Trading_Code,Date,Open,High,Low,Close,Volume
DSHGARME,2025-04-08,72.5,72.5,70.0,70.8,10702.0
DSHGARME,2025-04-07,71.6,73.1,71.5,72.6,12804.0
DSHGARME,2025-04-06,68.1,71.7,68.1,71.5,7805.0
DSHGARME,2025-03-27,72.8,73.7,71.7,72.0,5580.0
DSHGARME,2025-03-25,73.0,73.7,72.1,73.1,2152.0
DSHGARME,2025-03-24,72.0,74.0,71.7,72.3,3959.0
DSHGARME,2025-03-23,72.6,73.3,71.5,71.7,7622.0
DSHGARME,2025-03-20,73.5,74.9,73.1,73.3,10585.0
DSHGARME,2025-03-19,74.1,74.5,73.5,73.7,7268.0
DSHGARME,2025-03-18,74.3,74.8,73.7,74.2,7092.0
DSHGARME,2025-03-17,73.6,74.7,73.5,73.8,4971.0
DSHGARME,2025-03-16,74.3,76.8,73.4,73.7,8290.0
DSHGARME,2025-03-13,76.7,76.7,73.6,73.8,5988.0
DSHGARME,2025-03-12,74.1,75.3,73.5,74.1,8935.0
DSHGARME,2025-03-11,74.0,76.0,74.0,74.1,20295.0
DSHGARME,2025-03-10,75.1,76.0,74.0,74.1,17076.0
DSHGARME,2025-03-09,75.0,76.6,74.8,75.1,5599.0
DSHGARME,2025-03-06,77.0,77.0,74.8,75.0,12999.0
DSHGARME,2025-03-05,75.5,75.8,74.5,75.0,12065.0
DSHGARME,2025-03-04,75.2,75.9,73.8,74.5,14593.0
DSHGARME,2025-03-03,78.0,79.0,74.7,75.0,29470.0
DSHGARME,2025-03-02,78.4,81.6,77.2,77.8,28399.0
DSHGARME,2025-02-27,74.0,80.7,74.0,77.4,98776.0
DSHGARME,2025-02-26,74.0,74.0,73.1,73.4,4250.0
DSHGARME,2025-02-25,75.0,75.0,72.7,73.0,10561.0
DSHGARME,2025-02-24,72.5,74.5,72.2,74.3,22553.0
DSHGARME,2025-02-23,71.7,73.1,71.3,71.4,7673.0
DSHGARME,2025-02-20,71.8,73.0,71.3,71.6,13510.0
DSHGARME,2025-02-19,72.5,74.3,71.3,72.0,8569.0
DSHGARME,2025-02-18,74.2,75.3,72.0,72.5,9759.0
DSHGARME,2025-02-17,71.4,74.8,71.4,74.0,27271.0
DSHGARME,2025-02-16,73.3,73.4,71.7,72.0,13118.0
DSHGARME,2025-02-13,72.2,72.4,71.5,71.6,4114.0
DSHGARME,2025-02-12,73.7,73.7,71.6,71.8,1327.0
DSHGARME,2025-02-11,73.0,74.0,71.8,72.0,17629.0
