Trading_Code,Date,Open,High,Low,Close,Volume
DULAMIACOT,2025-04-08,77.0,77.0,73.5,73.8,7635.0
DULAMIACOT,2025-04-07,79.0,79.0,75.0,75.1,5050.0
DULAMIACOT,2025-04-06,77.7,77.7,75.1,76.0,165.0
DULAMIACOT,2025-03-27,77.5,77.5,75.3,75.5,1668.0
DULAMIACOT,2025-03-25,77.4,77.4,75.0,75.8,2496.0
DULAMIACOT,2025-03-24,76.9,76.9,75.0,76.5,570.0
DULAMIACOT,2025-03-23,76.0,76.2,73.8,74.7,2487.0
DULAMIACOT,2025-03-20,74.0,77.0,74.0,74.3,12222.0
DULAMIACOT,2025-03-19,72.3,77.7,72.3,75.0,5102.0
DULAMIACOT,2025-03-18,75.1,78.5,75.0,75.3,4565.0
DULAMIACOT,2025-03-17,74.5,78.0,74.5,75.4,27457.0
DULAMIACOT,2025-03-16,81.5,81.5,76.1,77.9,564.0
DULAMIACOT,2025-03-13,78.0,81.0,74.8,79.4,25186.0
DULAMIACOT,2025-03-12,78.0,78.0,73.4,74.3,7754.0
DULAMIACOT,2025-03-11,78.0,79.9,73.0,73.3,7798.0
DULAMIACOT,2025-03-10,78.7,78.7,75.3,75.4,1609.0
DULAMIACOT,2025-03-09,75.0,77.7,75.0,75.2,897.0
DULAMIACOT,2025-03-06,77.0,79.0,76.5,77.0,8592.0
DULAMIACOT,2025-03-05,77.9,77.9,75.0,75.3,2239.0
DULAMIACOT,2025-03-04,78.0,78.0,76.1,77.3,1122.0
DULAMIACOT,2025-03-03,79.9,79.9,76.2,77.6,2589.0
DULAMIACOT,2025-03-02,82.0,82.0,78.9,80.5,525.0
DULAMIACOT,2025-02-27,81.9,81.9,74.5,80.4,520.0
DULAMIACOT,2025-02-26,77.0,77.0,74.0,75.5,706.0
DULAMIACOT,2025-02-25,76.0,76.9,72.4,75.1,11707.0
DULAMIACOT,2025-02-24,78.4,78.4,73.5,74.3,3916.0
DULAMIACOT,2025-02-23,77.0,77.0,73.6,73.7,931.0
DULAMIACOT,2025-02-20,77.0,77.6,74.0,74.0,3529.0
DULAMIACOT,2025-02-19,72.4,76.0,72.4,74.9,1173.0
DULAMIACOT,2025-02-18,77.0,78.5,74.3,74.6,2072.0
DULAMIACOT,2025-02-17,78.0,79.0,74.0,75.1,2841.0
DULAMIACOT,2025-02-16,79.0,79.3,75.0,75.3,4365.0
DULAMIACOT,2025-02-13,79.5,79.5,76.0,76.3,14775.0
DULAMIACOT,2025-02-12,81.0,81.0,77.0,77.3,4431.0
DULAMIACOT,2025-02-11,77.4,82.9,77.0,77.7,5955.0
DULAMIACOT,2025-02-10,76.3,82.2,74.3,77.6,7649.0
DULAMIACOT,2025-02-09,80.2,81.0,77.0,77.2,7751.0
DULAMIACOT,2025-02-06,79.2,80.9,76.5,79.2,4649.0
DULAMIACOT,2025-02-05,88.2,88.2,78.0,79.6,24670.0
DULAMIACOT,2025-02-04,80.0,81.0,78.6,80.2,7384.0
DULAMIACOT,2025-02-03,80.3,82.9,80.0,80.2,3272.0
DULAMIACOT,2025-02-02,84.0,85.6,80.0,82.1,5717.0
DULAMIACOT,2025-01-30,79.1,85.5,78.6,83.4,7442.0
DULAMIACOT,2025-01-29,85.9,85.9,80.0,80.8,23737.0
DULAMIACOT,2025-01-28,85.0,87.0,83.3,83.7,47939.0
DULAMIACOT,2025-01-27,82.4,85.0,82.4,83.2,21319.0
DULAMIACOT,2025-01-26,84.9,85.0,81.0,81.6,13016.0
DULAMIACOT,2025-01-23,83.0,83.0,80.5,82.2,10968.0
DULAMIACOT,2025-01-22,81.2,81.4,80.0,80.7,5123.0
DULAMIACOT,2025-01-21,82.0,83.5,79.0,79.3,5775.0
DULAMIACOT,2025-01-20,79.0,81.6,78.0,81.6,34230.0
DULAMIACOT,2025-01-19,76.5,76.5,73.3,74.2,12164.0
DULAMIACOT,2025-01-16,73.4,75.9,72.6,73.2,5841.0
DULAMIACOT,2025-01-15,79.0,79.0,73.1,73.9,4115.0
DULAMIACOT,2025-01-14,75.1,77.1,74.5,74.8,3951.0
DULAMIACOT,2025-01-13,74.0,74.0,72.0,72.1,6941.0
DULAMIACOT,2025-01-12,75.9,78.3,72.0,72.3,9200.0
DULAMIACOT,2025-01-09,74.3,78.9,73.0,73.5,10642.0
DULAMIACOT,2025-01-08,80.0,80.0,71.0,73.1,16773.0
DULAMIACOT,2025-01-07,82.0,82.0,78.0,78.7,3320.0
DULAMIACOT,2025-01-06,80.0,81.7,78.0,78.8,2209.0
DULAMIACOT,2025-01-05,79.4,79.4,78.7,79.0,500.0
DULAMIACOT,2025-01-02,82.0,83.0,80.0,80.1,8291.0
DULAMIACOT,2025-01-01,82.3,83.2,81.1,81.6,2582.0
DULAMIACOT,2024-12-30,83.9,83.9,81.2,82.0,1489.0
DULAMIACOT,2024-12-29,84.3,84.4,81.7,82.4,6813.0
DULAMIACOT,2024-12-26,80.1,82.9,79.1,82.0,16461.0
DULAMIACOT,2024-12-24,78.0,81.7,76.0,79.8,26181.0
DULAMIACOT,2024-12-23,82.1,82.1,79.0,79.2,5551.0
DULAMIACOT,2024-12-22,80.1,82.2,79.0,80.0,12649.0
DULAMIACOT,2024-12-19,82.9,82.9,79.9,80.8,6530.0
DULAMIACOT,2024-12-18,84.0,84.0,80.2,80.7,12452.0
DULAMIACOT,2024-12-17,83.2,84.0,81.1,83.2,13206.0
DULAMIACOT,2024-12-15,77.7,80.9,77.4,80.6,9682.0
DULAMIACOT,2024-12-12,81.5,81.8,77.0,77.7,14938.0
DULAMIACOT,2024-12-11,80.2,82.3,80.0,80.8,2140.0
DULAMIACOT,2024-12-10,82.7,82.7,79.0,81.0,7332.0
DULAMIACOT,2024-12-09,77.1,81.7,77.0,78.2,8519.0
DULAMIACOT,2024-12-08,82.0,82.0,77.0,78.7,47077.0
DULAMIACOT,2024-12-05,87.7,87.7,82.4,83.8,40211.0
DULAMIACOT,2024-12-04,88.5,89.5,83.9,85.6,80528.0
DULAMIACOT,2024-12-03,77.7,81.4,77.0,81.4,44229.0
DULAMIACOT,2024-12-02,76.0,78.4,73.5,74.0,23337.0
DULAMIACOT,2024-12-01,70.9,75.5,70.9,74.8,70369.0
DULAMIACOT,2024-11-28,75.0,75.0,70.1,73.8,57071.0
DULAMIACOT,2024-11-27,73.0,73.0,70.1,71.4,6010.0
DULAMIACOT,2024-11-26,72.8,72.8,70.0,70.2,2980.0
DULAMIACOT,2024-11-25,70.2,70.8,70.0,70.0,5030.0
DULAMIACOT,2024-11-24,71.9,71.9,71.9,71.9,115.0
DULAMIACOT,2024-11-21,73.0,73.0,70.0,70.0,954.0
DULAMIACOT,2024-11-20,73.0,73.0,66.2,69.4,138.0
DULAMIACOT,2024-11-19,76.0,76.0,70.5,70.7,2775.0
DULAMIACOT,2024-11-18,0.0,0.0,0.0,71.4,0.0
DULAMIACOT,2024-11-17,73.6,73.6,70.6,71.4,2976.0
DULAMIACOT,2024-11-14,70.0,74.9,70.0,72.0,21249.0
DULAMIACOT,2024-11-13,71.0,71.6,69.4,71.4,10530.0
DULAMIACOT,2024-11-12,71.7,71.7,69.0,70.7,10492.0
DULAMIACOT,2024-11-11,69.1,71.9,68.5,69.0,12366.0
DULAMIACOT,2024-11-10,72.9,72.9,68.3,70.4,4206.0
DULAMIACOT,2024-11-07,71.0,71.0,68.7,69.6,11131.0
DULAMIACOT,2024-11-06,70.0,70.7,68.0,70.0,2018.0
DULAMIACOT,2024-11-05,69.8,69.8,67.5,68.1,138.0
DULAMIACOT,2024-11-04,70.8,70.8,67.0,68.7,274.0
DULAMIACOT,2024-11-03,68.0,68.0,67.0,67.5,208.0
DULAMIACOT,2024-10-31,67.5,70.0,65.5,66.5,1742.0
DULAMIACOT,2024-10-30,66.2,66.2,64.0,65.5,2857.0
DULAMIACOT,2024-10-29,65.3,65.3,62.0,62.0,522.0
DULAMIACOT,2024-10-28,75.0,75.0,56.2,59.5,415.0
DULAMIACOT,2024-10-27,69.1,69.1,69.1,69.1,5.0
DULAMIACOT,2024-10-24,66.5,66.5,59.9,65.0,6.0
DULAMIACOT,2024-10-23,68.0,68.0,62.0,63.5,280.0
DULAMIACOT,2024-10-22,67.3,67.3,64.3,65.0,157.0
DULAMIACOT,2024-10-21,69.2,69.2,60.7,61.2,759.0
DULAMIACOT,2024-10-20,67.2,67.2,64.0,66.7,6.0
DULAMIACOT,2024-10-17,71.0,71.0,61.0,61.1,37075.0
DULAMIACOT,2024-10-16,66.0,66.0,65.0,65.2,703.0
DULAMIACOT,2024-10-15,69.5,69.5,60.2,62.9,23533.0
DULAMIACOT,2024-10-14,71.9,71.9,66.0,66.0,20005.0
DULAMIACOT,2024-10-09,70.4,70.4,63.7,68.7,1310.0
DULAMIACOT,2024-10-08,71.0,71.0,70.0,70.6,8.0
DULAMIACOT,2024-10-07,71.0,71.0,66.1,66.4,454.0
DULAMIACOT,2024-10-06,65.6,70.5,65.6,65.8,281.0
DULAMIACOT,2024-10-03,71.5,71.5,71.5,71.5,10.0
DULAMIACOT,2024-10-02,69.9,70.1,65.3,65.6,675.0
DULAMIACOT,2024-10-01,67.4,72.0,67.4,70.1,893.0
DULAMIACOT,2024-09-30,70.0,70.1,67.6,68.8,855.0
DULAMIACOT,2024-09-29,71.9,71.9,65.0,65.4,420.0
DULAMIACOT,2024-09-26,69.7,69.9,67.9,68.8,2158.0
DULAMIACOT,2024-09-25,66.4,70.0,65.2,65.8,2094.0
DULAMIACOT,2024-09-24,69.5,70.0,68.4,68.6,24751.0
DULAMIACOT,2024-09-23,75.0,75.0,68.6,69.7,30615.0
DULAMIACOT,2024-09-22,72.0,72.0,69.4,70.1,965.0
DULAMIACOT,2024-09-19,73.0,73.0,70.7,71.2,2516.0
DULAMIACOT,2024-09-18,72.1,72.3,66.0,71.7,13732.0
DULAMIACOT,2024-09-17,73.0,73.0,70.7,71.9,6165.0
DULAMIACOT,2024-09-15,72.4,72.4,72.4,72.4,20.0
DULAMIACOT,2024-09-12,72.0,73.4,70.6,71.0,5130.0
DULAMIACOT,2024-09-11,72.0,74.9,70.6,72.0,6474.0
DULAMIACOT,2024-09-10,70.0,71.9,68.2,69.5,10924.0
DULAMIACOT,2024-09-09,70.0,70.0,69.5,69.9,15490.0
DULAMIACOT,2024-09-08,71.4,71.4,68.9,69.6,11110.0
DULAMIACOT,2024-09-05,70.0,70.7,67.3,70.1,3969.0
DULAMIACOT,2024-09-04,70.1,71.0,66.8,68.1,486.0
DULAMIACOT,2024-09-03,70.2,71.1,64.5,66.4,2716.0
DULAMIACOT,2024-09-02,72.0,72.0,63.6,66.4,2633.0
DULAMIACOT,2024-09-01,70.4,70.4,69.0,69.6,2796.0
DULAMIACOT,2024-08-29,70.0,72.6,66.1,70.4,5105.0
DULAMIACOT,2024-08-28,72.2,72.2,70.0,70.0,13936.0
DULAMIACOT,2024-08-27,74.8,74.8,70.8,71.1,7816.0
DULAMIACOT,2024-08-25,70.7,72.8,70.3,70.7,6802.0
DULAMIACOT,2024-08-22,67.0,71.2,66.2,70.7,5283.0
DULAMIACOT,2024-08-21,66.0,69.4,64.0,64.8,830.0
DULAMIACOT,2024-08-20,71.3,71.3,65.0,65.9,2298.0
DULAMIACOT,2024-08-19,71.8,71.8,63.5,65.0,1374.0
DULAMIACOT,2024-08-18,72.9,72.9,64.7,65.4,401.0
DULAMIACOT,2024-08-15,74.0,74.0,65.9,66.7,1778.0
DULAMIACOT,2024-08-14,72.0,72.0,67.2,67.9,5992.0
DULAMIACOT,2024-08-13,69.1,72.8,69.0,69.2,6991.0
DULAMIACOT,2024-08-12,72.0,75.3,71.1,71.1,6563.0
DULAMIACOT,2024-08-11,77.4,78.8,73.0,73.2,29786.0
DULAMIACOT,2024-08-08,75.9,75.9,68.6,74.9,122760.0
DULAMIACOT,2024-08-07,69.0,69.0,69.0,69.0,1441.0
DULAMIACOT,2024-08-06,62.8,62.8,62.8,62.8,4264.0
DULAMIACOT,2024-08-04,63.8,63.8,56.4,57.1,1454.0
DULAMIACOT,2024-08-01,58.2,59.0,58.1,58.1,1503.0
DULAMIACOT,2024-07-31,65.0,65.0,57.9,59.8,48.0
