Trading_Code,Date,Open,High,Low,Close,Volume
EAGLESTAR,2009-12-02,11.6,11.6,11.6,11.6,50.0
EAGLESTAR,2009-11-02,10.5,11.0,10.5,10.8,450.0
EAGLESTAR,2009-10-02,10.0,10.5,9.9,10.0,2550.0
EAGLESTAR,2009-09-07,11.0,11.0,9.8,9.9,600.0
EAGLESTAR,2009-09-02,10.0,11.0,9.9,10.5,1700.0
EAGLESTAR,2009-08-07,12.0,12.0,12.0,12.0,500.0
EAGLESTAR,2009-08-02,9.5,9.8,9.5,9.6,200.0
EAGLESTAR,2009-07-07,12.0,12.0,12.0,12.0,50.0
EAGLESTAR,2009-07-01,8.4,8.4,8.4,8.4,600.0
EAGLESTAR,2009-06-28,13.1,13.2,12.0,12.5,6450.0
EAGLESTAR,2009-06-25,12.0,14.7,12.0,14.4,14300.0
EAGLESTAR,2009-06-24,11.7,12.6,11.7,12.3,1600.0
EAGLESTAR,2009-05-02,9.0,9.2,9.0,9.0,250.0
EAGLESTAR,2009-04-03,11.9,11.9,11.7,11.7,1800.0
EAGLESTAR,2009-04-02,8.2,8.2,8.2,8.2,100.0
EAGLESTAR,2009-03-03,12.0,12.0,11.5,11.6,3550.0
EAGLESTAR,2009-02-26,9.0,9.0,9.0,9.0,200.0
EAGLESTAR,2009-02-16,10.1,10.1,10.0,10.0,1150.0
EAGLESTAR,2009-02-15,10.5,10.5,10.5,10.5,50.0
EAGLESTAR,2009-02-07,12.9,12.9,12.8,12.8,1150.0
EAGLESTAR,2009-02-03,10.5,11.5,10.5,11.3,250.0
EAGLESTAR,2009-01-22,7.5,7.5,7.5,7.5,100.0
EAGLESTAR,2009-01-21,8.0,8.0,8.0,8.0,500.0
EAGLESTAR,2009-01-03,9.2,9.9,9.2,9.7,250.0
EAGLESTAR,2008-12-18,8.4,8.4,8.4,8.4,1000.0
EAGLESTAR,2008-12-05,10.0,10.0,10.0,10.0,50.0
EAGLESTAR,2008-11-27,8.0,8.0,8.0,8.0,50.0
EAGLESTAR,2008-11-26,8.2,8.2,8.2,8.2,50.0
EAGLESTAR,2008-11-25,9.0,9.0,8.5,8.9,1200.0
EAGLESTAR,2008-11-17,9.1,9.1,9.1,9.1,400.0
EAGLESTAR,2008-11-16,9.6,9.6,9.6,9.6,2250.0
EAGLESTAR,2008-11-03,10.0,10.0,10.0,10.0,500.0
EAGLESTAR,2008-10-03,10.0,10.0,9.0,9.5,400.0
EAGLESTAR,2008-07-05,10.0,10.0,10.0,10.0,500.0
EAGLESTAR,2008-07-04,10.5,11.0,10.5,10.6,650.0
EAGLESTAR,2008-06-25,9.2,9.2,9.2,9.2,50.0
EAGLESTAR,2008-06-24,9.0,9.0,9.0,9.0,50.0
EAGLESTAR,2008-06-19,9.0,9.0,9.0,9.0,300.0
EAGLESTAR,2008-06-04,10.0,10.0,10.0,10.0,1350.0
EAGLESTAR,2008-05-29,9.6,9.6,9.6,9.6,100.0
EAGLESTAR,2008-05-26,9.5,9.5,9.5,9.5,100.0
EAGLESTAR,2008-05-25,9.5,9.5,9.5,9.5,1100.0
EAGLESTAR,2008-05-20,9.9,9.9,9.9,9.9,200.0
EAGLESTAR,2008-05-15,10.0,10.0,9.9,9.9,400.0
EAGLESTAR,2008-05-05,10.0,10.0,10.0,10.0,250.0
EAGLESTAR,2008-04-28,10.0,10.0,10.0,10.0,200.0
EAGLESTAR,2008-04-27,10.0,10.0,10.0,10.0,1750.0
EAGLESTAR,2008-04-23,10.4,10.4,10.3,10.3,550.0
EAGLESTAR,2008-04-22,10.4,10.4,10.4,10.4,200.0
EAGLESTAR,2008-04-21,11.5,11.5,11.5,11.5,500.0
EAGLESTAR,2008-04-20,11.1,11.1,11.1,11.1,400.0
EAGLESTAR,2008-04-12,9.0,9.0,9.0,9.0,200.0
EAGLESTAR,2008-04-05,10.0,10.0,10.0,10.0,200.0
EAGLESTAR,2008-04-03,10.1,10.1,10.1,10.1,500.0
EAGLESTAR,2008-03-31,11.0,11.0,10.4,10.9,1050.0
EAGLESTAR,2008-03-25,11.5,11.5,11.4,11.4,2000.0
EAGLESTAR,2008-03-23,10.5,11.6,10.5,11.0,2950.0
EAGLESTAR,2008-03-20,10.0,10.0,10.0,10.0,100.0
EAGLESTAR,2008-03-19,9.3,9.3,9.3,9.3,300.0
EAGLESTAR,2008-03-18,9.5,10.0,9.5,9.5,1100.0
EAGLESTAR,2008-03-13,10.0,10.0,9.5,9.7,200.0
EAGLESTAR,2008-03-12,8.5,8.5,8.5,8.5,100.0
EAGLESTAR,2008-03-07,8.8,8.8,8.8,8.8,200.0
EAGLESTAR,2008-03-04,10.5,10.5,10.5,10.5,500.0
EAGLESTAR,2008-03-03,10.2,10.2,10.2,10.2,250.0
EAGLESTAR,2008-02-28,10.1,10.2,10.1,10.1,300.0
EAGLESTAR,2008-02-19,10.5,10.5,10.5,10.5,400.0
EAGLESTAR,2008-02-17,10.5,10.5,10.1,10.4,1450.0
EAGLESTAR,2008-02-12,9.0,9.0,9.0,9.0,400.0
