Trading_Code,Date,Open,High,Low,Close,Volume
EASTERNINS,2025-04-08,44.8,45.0,44.7,44.8,15595.0
EASTERNINS,2025-04-07,45.1,45.2,44.8,45.0,11662.0
EASTERNINS,2025-04-06,44.1,45.4,44.1,45.2,20749.0
EASTERNINS,2025-03-27,44.8,45.0,44.5,45.0,10823.0
EASTERNINS,2025-03-25,45.1,45.1,44.4,44.7,9902.0
EASTERNINS,2025-03-24,44.9,45.4,44.3,44.4,9351.0
EASTERNINS,2025-03-23,44.1,45.4,44.1,45.0,22050.0
EASTERNINS,2025-03-20,46.0,46.0,44.5,44.8,22390.0
EASTERNINS,2025-03-19,45.8,46.6,45.3,45.5,24603.0
EASTERNINS,2025-03-18,45.6,46.8,45.6,46.2,17150.0
EASTERNINS,2025-03-17,47.8,47.8,45.5,46.4,45023.0
EASTERNINS,2025-03-16,45.4,48.1,45.4,47.5,106169.0
EASTERNINS,2025-03-13,44.4,46.6,44.4,46.1,81447.0
EASTERNINS,2025-03-12,45.0,45.0,44.1,44.4,9797.0
EASTERNINS,2025-03-11,43.9,44.9,43.6,44.4,20344.0
EASTERNINS,2025-03-10,43.0,43.5,42.5,43.4,36812.0
EASTERNINS,2025-03-09,44.9,44.9,42.9,43.1,34598.0
EASTERNINS,2025-03-06,45.0,45.0,44.5,44.7,1905.0
EASTERNINS,2025-03-05,45.0,45.0,44.2,44.4,40477.0
EASTERNINS,2025-03-04,45.2,45.5,44.6,45.3,14518.0
EASTERNINS,2025-03-03,44.8,46.1,44.5,45.6,30562.0
EASTERNINS,2025-03-02,45.4,45.5,44.6,44.8,14707.0
EASTERNINS,2025-02-27,45.7,45.7,44.4,44.8,9629.0
EASTERNINS,2025-02-26,46.2,46.2,45.0,45.0,15357.0
EASTERNINS,2025-02-25,45.5,46.4,45.2,45.4,59724.0
EASTERNINS,2025-02-24,45.8,45.8,45.1,45.3,18602.0
EASTERNINS,2025-02-23,45.3,45.7,44.4,45.3,54993.0
EASTERNINS,2025-02-20,45.0,45.0,43.8,44.0,20297.0
EASTERNINS,2025-02-19,45.4,45.4,44.0,44.5,17503.0
EASTERNINS,2025-02-18,45.9,45.9,44.1,44.4,37448.0
EASTERNINS,2025-02-17,45.2,45.3,44.8,44.9,11546.0
EASTERNINS,2025-02-16,46.5,46.5,44.5,44.7,38135.0
EASTERNINS,2025-02-13,45.4,46.2,45.3,45.5,33726.0
EASTERNINS,2025-02-12,46.0,46.3,45.2,45.4,8682.0
EASTERNINS,2025-02-11,46.4,46.4,45.5,45.8,13259.0
EASTERNINS,2025-02-10,45.6,46.2,45.5,45.8,26020.0
EASTERNINS,2025-02-09,45.5,46.4,45.5,45.8,12732.0
EASTERNINS,2025-02-06,46.9,46.9,45.6,45.9,37718.0
EASTERNINS,2025-02-05,46.5,46.7,46.0,46.2,12912.0
EASTERNINS,2025-02-04,46.5,47.0,46.2,46.2,11703.0
EASTERNINS,2025-02-03,46.2,47.0,46.1,46.9,31369.0
EASTERNINS,2025-02-02,46.0,46.2,45.7,46.0,13270.0
EASTERNINS,2025-01-30,46.2,46.8,46.1,46.1,12503.0
EASTERNINS,2025-01-29,46.4,47.0,46.4,46.8,12116.0
EASTERNINS,2025-01-28,45.2,47.8,44.7,46.8,51573.0
EASTERNINS,2025-01-27,45.7,45.7,44.7,45.2,44335.0
EASTERNINS,2025-01-26,45.7,45.7,45.0,45.2,20688.0
EASTERNINS,2025-01-23,46.0,46.3,45.5,45.8,24749.0
EASTERNINS,2025-01-22,46.7,47.5,45.9,46.0,25177.0
EASTERNINS,2025-01-21,48.8,48.8,46.7,47.0,51396.0
EASTERNINS,2025-01-20,47.0,49.0,46.3,47.6,46825.0
EASTERNINS,2025-01-19,45.7,47.8,45.7,46.6,73158.0
EASTERNINS,2025-01-16,44.1,46.0,44.0,45.4,38482.0
EASTERNINS,2025-01-15,45.3,45.3,44.0,44.3,38145.0
EASTERNINS,2025-01-14,46.0,46.9,45.1,45.3,43099.0
EASTERNINS,2025-01-13,46.0,46.6,45.5,45.7,30290.0
EASTERNINS,2025-01-12,48.5,48.5,46.4,46.5,16311.0
EASTERNINS,2025-01-09,47.9,47.9,46.4,46.7,52283.0
EASTERNINS,2025-01-08,47.9,47.9,46.7,46.8,52985.0
EASTERNINS,2025-01-07,48.0,48.3,47.1,47.3,87658.0
EASTERNINS,2025-01-06,47.5,48.5,47.0,48.2,16954.0
EASTERNINS,2025-01-05,47.1,47.8,46.8,47.5,10664.0
EASTERNINS,2025-01-02,49.3,49.3,47.4,47.7,63699.0
EASTERNINS,2025-01-01,49.1,50.0,48.4,49.0,11957.0
EASTERNINS,2024-12-30,50.0,50.9,49.1,49.5,33522.0
EASTERNINS,2024-12-29,48.5,50.2,48.4,50.0,46743.0
EASTERNINS,2024-12-26,48.3,49.1,48.2,48.9,30314.0
EASTERNINS,2024-12-24,49.2,49.2,48.1,48.3,26153.0
EASTERNINS,2024-12-23,48.0,49.0,48.0,48.4,31552.0
EASTERNINS,2024-12-22,47.3,48.3,47.3,47.8,18732.0
EASTERNINS,2024-12-19,48.5,48.5,47.5,47.7,39732.0
EASTERNINS,2024-12-18,48.4,49.6,47.9,48.0,35145.0
EASTERNINS,2024-12-17,49.6,50.4,48.2,48.6,18499.0
EASTERNINS,2024-12-15,49.3,49.3,47.7,47.8,10270.0
EASTERNINS,2024-12-12,49.0,49.0,47.5,47.6,28536.0
EASTERNINS,2024-12-11,50.6,50.7,48.0,48.9,40089.0
EASTERNINS,2024-12-10,48.2,50.6,48.2,50.1,54577.0
EASTERNINS,2024-12-09,50.2,50.2,47.5,47.8,17959.0
EASTERNINS,2024-12-08,48.2,48.4,47.4,48.1,42817.0
EASTERNINS,2024-12-05,50.5,50.5,49.0,49.1,33049.0
EASTERNINS,2024-12-04,50.8,51.2,49.8,49.9,45556.0
EASTERNINS,2024-12-03,51.5,51.5,49.8,50.1,40507.0
EASTERNINS,2024-12-02,50.3,51.8,49.4,50.2,58890.0
EASTERNINS,2024-12-01,51.0,51.0,49.3,49.5,42821.0
EASTERNINS,2024-11-28,51.8,51.8,49.7,50.1,81756.0
EASTERNINS,2024-11-27,49.8,51.5,49.8,50.9,73605.0
EASTERNINS,2024-11-26,50.7,51.2,49.6,49.8,31667.0
