Trading_Code,Date,Open,High,Low,Close,Volume
EASTLAND,2025-04-08,18.4,18.5,18.3,18.5,50145.0
EASTLAND,2025-04-07,18.4,18.5,18.3,18.5,25371.0
EASTLAND,2025-04-06,18.3,18.5,18.2,18.3,14405.0
EASTLAND,2025-03-27,18.5,18.5,18.1,18.4,22399.0
EASTLAND,2025-03-25,18.6,18.6,18.1,18.2,5289.0
EASTLAND,2025-03-24,19.0,19.0,18.0,18.2,95283.0
EASTLAND,2025-03-23,18.0,18.4,17.9,18.2,49262.0
EASTLAND,2025-03-20,18.8,18.8,18.0,18.1,61566.0
EASTLAND,2025-03-19,18.4,18.7,18.1,18.3,33968.0
EASTLAND,2025-03-18,18.7,18.9,18.3,18.4,70025.0
EASTLAND,2025-03-17,19.2,19.2,18.6,18.9,72100.0
EASTLAND,2025-03-16,18.5,19.2,18.3,19.0,486545.0
EASTLAND,2025-03-13,18.6,18.7,18.0,18.2,194227.0
EASTLAND,2025-03-12,18.5,18.6,17.9,18.0,143757.0
EASTLAND,2025-03-11,18.3,18.3,18.0,18.1,54468.0
EASTLAND,2025-03-10,17.9,18.6,17.8,18.1,26389.0
EASTLAND,2025-03-09,18.5,18.5,18.0,18.2,1922.0
EASTLAND,2025-03-06,18.3,18.9,18.3,18.3,1131.0
EASTLAND,2025-03-05,18.2,18.6,18.2,18.2,16901.0
EASTLAND,2025-03-04,18.8,18.8,18.3,18.4,9193.0
EASTLAND,2025-03-03,18.5,18.8,18.5,18.7,17233.0
EASTLAND,2025-03-02,18.9,18.9,18.6,18.9,177747.0
EASTLAND,2025-02-27,18.5,18.7,18.4,18.5,50291.0
EASTLAND,2025-02-26,18.6,18.7,18.5,18.5,121706.0
EASTLAND,2025-02-25,18.6,19.0,18.5,18.7,53393.0
EASTLAND,2025-02-24,18.9,18.9,18.4,18.6,39233.0
EASTLAND,2025-02-23,18.4,18.8,18.3,18.8,70582.0
EASTLAND,2025-02-20,18.0,18.3,17.8,17.9,79076.0
EASTLAND,2025-02-19,18.1,18.4,18.0,18.2,10720.0
EASTLAND,2025-02-18,18.2,18.6,18.1,18.2,16214.0
EASTLAND,2025-02-17,18.2,18.6,18.2,18.4,4860.0
EASTLAND,2025-02-16,18.4,18.7,18.2,18.5,14781.0
EASTLAND,2025-02-13,18.4,18.5,18.2,18.4,16722.0
