Trading_Code,Date,Open,High,Low,Close,Volume
EASTRNLUB,2025-04-08,2250.0,2325.9,2250.0,2325.9,14999.0
EASTRNLUB,2025-04-07,2131.0,2215.2,2122.0,2215.2,22316.0
EASTRNLUB,2025-04-06,1980.0,2109.8,1979.0,2109.8,26338.0
EASTRNLUB,2025-03-27,1913.5,1999.9,1870.0,1985.7,15339.0
EASTRNLUB,2025-03-25,2020.0,2020.0,1880.0,1913.5,23513.0
EASTRNLUB,2025-03-24,2031.0,2032.9,1941.0,1995.2,53438.0
EASTRNLUB,2025-03-23,1810.0,1913.4,1810.0,1913.4,32622.0
EASTRNLUB,2025-03-20,1705.0,1810.0,1683.0,1800.9,32582.0
EASTRNLUB,2025-03-19,1677.1,1740.0,1662.0,1705.0,13589.0
EASTRNLUB,2025-03-18,1625.0,1704.6,1625.0,1688.9,41722.0
EASTRNLUB,2025-03-17,1577.0,1628.0,1563.1,1604.4,30312.0
EASTRNLUB,2025-03-16,1514.1,1579.9,1514.1,1547.0,21378.0
EASTRNLUB,2025-03-13,1505.0,1544.0,1495.0,1520.0,15160.0
EASTRNLUB,2025-03-12,1460.5,1500.0,1443.3,1498.4,32996.0
EASTRNLUB,2025-03-11,1465.0,1478.8,1452.3,1458.4,8209.0
EASTRNLUB,2025-03-10,1509.9,1509.9,1460.0,1462.8,13100.0
EASTRNLUB,2025-03-09,1550.0,1550.0,1493.3,1506.9,16135.0
EASTRNLUB,2025-03-06,1479.9,1504.0,1440.0,1498.4,32706.0
EASTRNLUB,2025-03-05,1430.0,1463.4,1415.5,1452.4,18516.0
EASTRNLUB,2025-03-04,1407.1,1427.9,1400.0,1411.3,4586.0
EASTRNLUB,2025-03-03,1438.0,1471.0,1416.0,1423.9,19957.0
EASTRNLUB,2025-03-02,1340.1,1421.2,1336.6,1404.5,6029.0
EASTRNLUB,2025-02-27,1338.3,1344.0,1336.7,1337.6,3042.0
EASTRNLUB,2025-02-26,1339.4,1345.0,1338.5,1339.0,2138.0
EASTRNLUB,2025-02-25,1349.9,1349.9,1338.7,1339.4,1809.0
EASTRNLUB,2025-02-24,1340.5,1340.5,1338.2,1338.7,4701.0
EASTRNLUB,2025-02-23,1341.0,1359.0,1338.0,1339.9,3887.0
EASTRNLUB,2025-02-20,1340.0,1341.0,1337.7,1339.5,2181.0
EASTRNLUB,2025-02-19,1337.3,1340.7,1337.2,1340.1,4839.0
EASTRNLUB,2025-02-18,1345.0,1349.0,1339.2,1340.0,3641.0
EASTRNLUB,2025-02-17,1351.0,1351.0,1337.3,1340.5,1283.0
EASTRNLUB,2025-02-16,1359.9,1359.9,1335.3,1342.2,7515.0
EASTRNLUB,2025-02-13,1356.9,1356.9,1334.9,1342.7,3127.0
EASTRNLUB,2025-02-12,1345.5,1366.9,1340.8,1343.0,2232.0
EASTRNLUB,2025-02-11,1348.9,1352.8,1337.1,1347.6,5695.0
EASTRNLUB,2025-02-10,1333.1,1348.4,1333.0,1338.1,11301.0
EASTRNLUB,2025-02-09,1355.0,1356.1,1332.0,1337.2,4481.0
EASTRNLUB,2025-02-06,1345.0,1370.1,1340.0,1354.0,4220.0
EASTRNLUB,2025-02-05,1349.1,1358.0,1338.7,1347.3,6058.0
EASTRNLUB,2025-02-04,1365.0,1378.9,1338.1,1339.1,7999.0
EASTRNLUB,2025-02-03,1380.0,1394.0,1355.0,1359.1,5679.0
EASTRNLUB,2025-02-02,1413.0,1413.0,1371.0,1373.2,8931.0
EASTRNLUB,2025-01-30,1430.0,1455.0,1400.0,1415.4,10028.0
EASTRNLUB,2025-01-29,1422.1,1422.1,1380.0,1422.1,33090.0
EASTRNLUB,2025-01-28,1359.1,1375.0,1333.6,1338.5,3923.0
EASTRNLUB,2025-01-27,1331.2,1364.4,1330.0,1360.3,4282.0
EASTRNLUB,2025-01-26,1322.0,1349.0,1315.1,1335.6,4756.0
EASTRNLUB,2025-01-23,1306.0,1325.0,1300.3,1312.8,3159.0
EASTRNLUB,2025-01-22,1296.0,1308.0,1296.0,1299.5,2660.0
EASTRNLUB,2025-01-21,1288.1,1305.0,1286.6,1297.5,1668.0
EASTRNLUB,2025-01-20,1278.0,1292.5,1278.0,1290.7,2113.0
EASTRNLUB,2025-01-19,1278.0,1287.0,1276.9,1280.6,3273.0
EASTRNLUB,2025-01-16,1278.0,1283.0,1278.0,1279.4,2512.0
EASTRNLUB,2025-01-15,1284.0,1284.0,1277.7,1278.1,2670.0
EASTRNLUB,2025-01-14,1277.0,1282.4,1277.0,1279.7,1865.0
EASTRNLUB,2025-01-13,1276.1,1283.9,1275.8,1279.4,790.0
EASTRNLUB,2025-01-12,1285.0,1288.8,1275.0,1278.0,1973.0
EASTRNLUB,2025-01-09,1281.5,1292.9,1279.1,1283.0,958.0
EASTRNLUB,2025-01-08,1288.0,1295.0,1275.0,1280.6,1890.0
