Trading_Code,Date,Open,High,Low,Close,Volume
EBL,2025-04-08,27.2,27.3,27.0,27.1,908929.0
EBL,2025-04-07,27.2,27.3,27.0,27.2,1370967.0
EBL,2025-04-06,26.7,27.2,26.7,27.1,1579862.0
EBL,2025-03-27,26.5,26.9,26.4,26.8,2250676.0
EBL,2025-03-25,27.1,27.1,26.2,26.5,2148439.0
EBL,2025-03-24,26.0,26.0,25.9,26.0,1635033.0
EBL,2025-03-23,25.8,26.0,25.8,26.0,204857.0
EBL,2025-03-20,25.9,26.0,25.8,26.0,683672.0
EBL,2025-03-19,26.0,26.2,25.9,25.9,288930.0
EBL,2025-03-18,25.6,26.0,25.6,26.0,784064.0
EBL,2025-03-17,25.6,25.8,25.4,25.6,384806.0
EBL,2025-03-16,25.9,25.9,25.5,25.6,317652.0
EBL,2025-03-13,26.0,26.0,25.9,25.9,81610.0
EBL,2025-03-12,25.9,25.9,25.8,25.9,85870.0
EBL,2025-03-11,25.9,26.0,25.7,25.8,168945.0
EBL,2025-03-10,25.8,25.9,25.8,25.9,164903.0
EBL,2025-03-09,26.0,26.0,25.7,25.7,108395.0
EBL,2025-03-06,25.8,26.0,25.8,25.9,26469.0
EBL,2025-03-05,25.9,26.0,25.9,25.9,52119.0
EBL,2025-03-04,25.9,26.0,25.9,25.9,130109.0
EBL,2025-03-03,26.0,26.1,25.9,25.9,185382.0
EBL,2025-03-02,26.0,26.1,26.0,26.0,128261.0
EBL,2025-02-27,25.9,26.1,25.9,26.0,202104.0
EBL,2025-02-26,26.3,26.3,25.9,26.0,158742.0
EBL,2025-02-25,25.9,26.2,25.9,26.1,116421.0
EBL,2025-02-24,26.0,26.2,26.0,26.0,164253.0
EBL,2025-02-23,26.1,26.2,25.9,26.1,235510.0
EBL,2025-02-20,25.9,26.1,25.8,26.1,292939.0
EBL,2025-02-19,25.6,25.9,25.6,25.8,94872.0
EBL,2025-02-18,26.0,26.1,25.8,25.9,312437.0
EBL,2025-02-17,25.9,26.1,25.9,25.9,272590.0
EBL,2025-02-16,25.7,26.0,25.7,25.9,172612.0
EBL,2025-02-13,25.4,25.7,25.2,25.7,112451.0
EBL,2025-02-12,25.7,25.8,25.5,25.6,163566.0
EBL,2025-02-11,25.7,25.9,25.6,25.7,244626.0
EBL,2025-02-10,25.7,25.9,25.5,25.8,423207.0
EBL,2025-02-09,25.8,25.9,25.6,25.7,389558.0
EBL,2025-02-06,25.7,25.8,25.5,25.7,384132.0
EBL,2025-02-05,24.0,25.7,24.0,25.6,308250.0
EBL,2025-02-04,25.1,25.7,25.1,25.6,976880.0
EBL,2025-02-03,24.8,25.5,24.7,25.3,763957.0
EBL,2025-02-02,24.2,24.9,24.2,24.7,324396.0
EBL,2025-01-30,24.2,24.3,24.1,24.2,442718.0
EBL,2025-01-29,24.2,24.3,24.0,24.1,520387.0
EBL,2025-01-28,24.2,24.3,24.1,24.2,115240.0
EBL,2025-01-27,24.3,24.3,24.1,24.2,98052.0
EBL,2025-01-26,24.3,24.3,24.2,24.3,287579.0
EBL,2025-01-23,24.3,24.4,24.2,24.3,123281.0
EBL,2025-01-22,24.2,24.4,24.1,24.3,130497.0
EBL,2025-01-21,24.3,24.4,24.2,24.3,307741.0
EBL,2025-01-20,24.1,24.3,24.1,24.3,167089.0
EBL,2025-01-19,24.1,24.3,24.0,24.1,169642.0
EBL,2025-01-16,24.2,24.3,24.1,24.2,121116.0
EBL,2025-01-15,24.3,24.3,24.1,24.2,235685.0
EBL,2025-01-14,23.9,24.2,23.9,24.0,108249.0
EBL,2025-01-13,24.2,24.3,24.0,24.0,240031.0
EBL,2025-01-12,24.5,24.5,24.1,24.1,403908.0
EBL,2025-01-09,24.5,24.6,24.4,24.4,95562.0
EBL,2025-01-08,24.4,24.6,24.4,24.5,102288.0
EBL,2025-01-07,24.5,24.6,24.4,24.4,479047.0
EBL,2025-01-06,24.3,24.4,24.2,24.4,320675.0
EBL,2025-01-05,24.5,24.6,24.2,24.3,316411.0
EBL,2025-01-02,24.5,24.7,24.4,24.5,807313.0
EBL,2025-01-01,24.8,24.9,24.2,24.5,906957.0
EBL,2024-12-30,24.7,24.8,24.5,24.7,279220.0
EBL,2024-12-29,24.8,24.9,24.3,24.8,1101154.0
EBL,2024-12-26,24.7,24.7,24.3,24.5,531714.0
EBL,2024-12-24,24.8,24.8,23.8,24.6,543228.0
EBL,2024-12-23,23.9,24.1,23.9,23.9,751888.0
EBL,2024-12-22,24.5,24.5,24.0,24.1,1652706.0
EBL,2024-12-19,23.9,24.8,23.8,24.5,1462533.0
EBL,2024-12-18,23.9,24.0,23.6,23.8,1048232.0
EBL,2024-12-17,23.6,23.9,23.5,23.8,1341932.0
EBL,2024-12-15,23.4,23.6,23.3,23.5,423040.0
EBL,2024-12-12,23.3,23.5,23.2,23.4,275000.0
EBL,2024-12-11,23.1,23.3,23.1,23.2,111524.0
EBL,2024-12-10,23.1,23.4,23.1,23.3,158236.0
EBL,2024-12-09,23.4,23.4,23.1,23.1,152760.0
EBL,2024-12-08,23.2,23.3,23.1,23.2,133771.0
EBL,2024-12-05,23.7,23.7,23.1,23.1,232937.0
EBL,2024-12-04,23.6,23.6,23.4,23.4,434200.0
EBL,2024-12-03,23.1,23.5,23.1,23.4,569009.0
EBL,2024-12-02,23.4,23.4,23.0,23.2,1273046.0
EBL,2024-12-01,23.3,23.4,23.0,23.1,705583.0
EBL,2024-11-28,23.9,23.9,23.1,23.2,1964744.0
EBL,2024-11-27,23.2,23.5,22.9,23.4,1083500.0
EBL,2024-11-26,23.2,23.3,22.9,23.0,4407746.0
EBL,2024-11-25,23.3,23.4,23.0,23.1,1982491.0
EBL,2024-11-24,23.6,23.6,23.3,23.3,1863130.0
EBL,2024-11-21,23.7,23.8,23.6,23.6,3929993.0
EBL,2024-11-20,23.7,23.8,23.7,23.8,3105529.0
EBL,2024-11-19,23.9,23.9,23.7,23.8,626749.0
EBL,2024-11-18,24.0,24.0,23.8,23.9,1082395.0
EBL,2024-11-17,24.2,24.2,23.9,23.9,446563.0
EBL,2024-11-14,24.3,24.3,23.7,23.9,3117166.0
EBL,2024-11-13,24.0,24.2,23.9,24.0,378427.0
EBL,2024-11-12,24.0,24.3,24.0,24.0,586728.0
EBL,2024-11-11,24.4,24.4,23.9,23.9,583589.0
EBL,2024-11-10,24.5,24.6,24.0,24.1,236633.0
EBL,2024-11-07,25.0,25.0,24.2,24.3,334951.0
EBL,2024-11-06,25.0,25.0,24.5,24.6,1237293.0
EBL,2024-11-05,25.1,25.1,24.8,24.9,1007377.0
EBL,2024-11-04,24.9,24.9,24.5,24.9,210791.0
EBL,2024-11-03,24.6,25.0,24.4,24.6,465480.0
EBL,2024-10-31,24.9,24.9,24.6,24.9,405710.0
EBL,2024-10-30,24.8,25.2,24.7,24.9,693263.0
EBL,2024-10-29,24.9,25.1,24.6,24.8,245139.0
EBL,2024-10-28,24.9,25.0,24.5,24.6,390361.0
EBL,2024-10-27,25.7,25.7,24.8,24.9,452777.0
EBL,2024-10-24,25.3,25.6,25.2,25.3,566178.0
EBL,2024-10-23,25.4,25.5,25.2,25.3,542660.0
EBL,2024-10-22,25.2,25.4,25.1,25.3,113981.0
EBL,2024-10-21,25.1,25.5,25.1,25.1,141909.0
EBL,2024-10-20,25.5,25.5,25.0,25.1,261716.0
EBL,2024-10-17,25.3,25.4,25.2,25.2,376002.0
EBL,2024-10-16,25.2,25.3,25.0,25.2,178384.0
EBL,2024-10-15,25.3,25.3,25.1,25.2,157040.0
EBL,2024-10-14,25.5,25.8,25.2,25.3,377657.0
EBL,2024-10-09,25.1,25.6,25.1,25.3,890360.0
EBL,2024-10-08,25.3,25.3,25.1,25.1,389542.0
EBL,2024-10-07,25.2,25.3,25.0,25.2,500601.0
EBL,2024-10-06,25.7,25.7,25.1,25.1,218044.0
EBL,2024-10-03,26.0,26.0,24.5,25.1,988141.0
EBL,2024-10-02,25.4,25.7,25.0,25.3,390655.0
EBL,2024-10-01,25.6,25.9,25.4,25.5,673524.0
EBL,2024-09-30,25.8,25.9,25.5,25.6,531568.0
EBL,2024-09-29,25.9,26.1,25.7,25.8,902117.0
EBL,2024-09-26,25.9,26.0,25.8,25.9,538858.0
EBL,2024-09-25,26.2,26.3,25.8,25.9,2174346.0
EBL,2024-09-24,26.5,26.7,26.1,26.2,440757.0
EBL,2024-09-23,26.2,26.4,26.1,26.3,341239.0
EBL,2024-09-22,26.4,26.5,26.2,26.2,514979.0
EBL,2024-09-19,26.1,26.4,26.1,26.2,471727.0
EBL,2024-09-18,26.2,26.7,26.0,26.1,812544.0
EBL,2024-09-17,26.4,26.5,26.0,26.2,1436601.0
EBL,2024-09-15,26.4,26.7,26.4,26.4,332708.0
EBL,2024-09-12,26.7,26.7,26.4,26.6,293234.0
EBL,2024-09-11,26.7,26.7,26.4,26.7,794936.0
EBL,2024-09-10,26.6,26.6,26.4,26.5,230319.0
EBL,2024-09-09,26.4,27.3,26.3,26.4,336624.0
EBL,2024-09-08,26.8,26.9,26.4,26.4,563507.0
EBL,2024-09-05,26.8,26.8,26.1,26.5,885029.0
EBL,2024-09-04,26.9,27.0,26.7,26.8,2186135.0
EBL,2024-09-03,26.9,27.1,26.9,27.0,1068441.0
EBL,2024-09-02,27.1,27.1,26.7,26.9,1115026.0
EBL,2024-09-01,27.1,27.1,26.8,26.9,855517.0
EBL,2024-08-29,27.0,27.1,26.8,26.9,1213754.0
EBL,2024-08-28,27.0,27.2,26.9,27.0,485841.0
EBL,2024-08-27,27.0,27.3,26.9,27.0,708077.0
EBL,2024-08-25,27.6,27.6,27.1,27.2,1019122.0
EBL,2024-08-22,27.0,27.5,26.8,27.3,4017819.0
EBL,2024-08-21,26.8,27.1,26.6,27.0,2014420.0
EBL,2024-08-20,26.8,27.4,26.8,27.0,2723755.0
EBL,2024-08-19,27.0,27.7,26.7,27.0,1383977.0
EBL,2024-08-18,27.3,27.8,27.1,27.1,1432427.0
EBL,2024-08-15,28.0,28.4,27.7,27.9,2491303.0
EBL,2024-08-14,28.0,28.1,26.9,27.9,1944181.0
EBL,2024-08-13,27.4,27.8,27.4,27.5,1202239.0
EBL,2024-08-12,29.4,29.4,28.2,28.2,1729574.0
