Trading_Code,Date,Open,High,Low,Close,Volume
EBLNRBMF,2025-04-08,3.9,4.2,3.9,4.0,1389682.0
EBLNRBMF,2025-04-07,4.1,4.1,3.8,3.9,667234.0
EBLNRBMF,2025-04-06,3.7,4.1,3.6,4.0,2315831.0
EBLNRBMF,2025-03-27,3.6,3.8,3.6,3.8,606486.0
EBLNRBMF,2025-03-25,3.6,3.7,3.4,3.6,535980.0
EBLNRBMF,2025-03-24,3.6,3.7,3.5,3.6,409450.0
EBLNRBMF,2025-03-23,3.6,3.8,3.5,3.6,511271.0
EBLNRBMF,2025-03-20,3.7,3.9,3.6,3.6,812010.0
EBLNRBMF,2025-03-19,3.5,3.8,3.5,3.8,3027063.0
EBLNRBMF,2025-03-18,3.3,3.5,3.3,3.5,929164.0
EBLNRBMF,2025-03-17,3.2,3.3,3.2,3.3,306212.0
EBLNRBMF,2025-03-16,3.3,3.3,3.2,3.2,210073.0
EBLNRBMF,2025-03-13,3.3,3.3,3.2,3.2,182168.0
EBLNRBMF,2025-03-12,3.3,3.3,3.2,3.2,93601.0
EBLNRBMF,2025-03-11,3.2,3.2,3.2,3.2,73000.0
EBLNRBMF,2025-03-10,3.2,3.3,3.2,3.2,81648.0
EBLNRBMF,2025-03-09,3.3,3.3,3.2,3.2,101742.0
EBLNRBMF,2025-03-06,3.2,3.2,3.2,3.2,28500.0
EBLNRBMF,2025-03-05,3.2,3.3,3.2,3.2,192575.0
EBLNRBMF,2025-03-04,3.3,3.3,3.2,3.2,190801.0
EBLNRBMF,2025-03-03,3.3,3.3,3.2,3.2,65587.0
EBLNRBMF,2025-03-02,3.3,3.4,3.3,3.3,231394.0
EBLNRBMF,2025-02-27,3.4,3.5,3.3,3.4,386356.0
EBLNRBMF,2025-02-26,3.4,3.5,3.3,3.3,294434.0
EBLNRBMF,2025-02-25,3.3,3.4,3.3,3.3,479496.0
EBLNRBMF,2025-02-24,3.4,3.5,3.3,3.4,143815.0
