Trading_Code,Date,Open,High,Low,Close,Volume
EGEN,2025-04-08,24.0,24.0,23.4,23.5,517095.0
EGEN,2025-04-07,23.7,24.2,23.7,23.8,834659.0
EGEN,2025-04-06,23.6,23.9,23.3,23.7,513003.0
EGEN,2025-03-27,24.2,24.2,23.6,23.8,479222.0
EGEN,2025-03-25,23.6,24.2,23.6,24.1,496669.0
EGEN,2025-03-24,23.8,24.0,23.4,23.6,541652.0
EGEN,2025-03-23,24.0,24.2,23.7,23.8,494259.0
EGEN,2025-03-20,23.5,24.4,23.0,24.0,1073008.0
EGEN,2025-03-19,24.0,24.0,23.0,23.6,624423.0
EGEN,2025-03-18,24.2,24.2,23.7,23.8,662897.0
EGEN,2025-03-17,24.0,24.6,23.9,24.0,779555.0
EGEN,2025-03-16,23.2,24.4,23.2,24.3,877786.0
EGEN,2025-03-13,23.8,24.3,23.7,23.9,917144.0
EGEN,2025-03-12,23.7,23.7,23.2,23.5,520220.0
EGEN,2025-03-11,23.5,23.7,23.2,23.3,535348.0
EGEN,2025-03-10,22.9,23.5,22.9,23.4,396540.0
EGEN,2025-03-09,23.5,23.9,23.1,23.2,407093.0
EGEN,2025-03-06,24.2,24.3,23.5,23.6,344347.0
EGEN,2025-03-05,23.9,24.2,23.6,23.9,384783.0
EGEN,2025-03-04,24.0,24.4,23.8,23.9,359094.0
EGEN,2025-03-03,24.8,24.8,24.1,24.2,921468.0
EGEN,2025-03-02,25.2,25.2,24.6,24.8,665579.0
EGEN,2025-02-27,24.7,25.2,24.5,25.0,1444726.0
EGEN,2025-02-26,25.0,25.3,24.5,24.6,1429598.0
EGEN,2025-02-25,24.4,25.4,24.2,25.0,2709695.0
EGEN,2025-02-24,24.0,24.3,23.8,24.2,1576509.0
EGEN,2025-02-23,24.4,24.5,23.7,23.8,1630170.0
EGEN,2025-02-20,24.5,24.9,24.3,24.4,1859414.0
EGEN,2025-02-19,24.0,24.4,23.8,24.3,1586901.0
EGEN,2025-02-18,23.1,24.5,22.9,24.2,3298373.0
EGEN,2025-02-17,23.4,23.5,22.8,23.1,703526.0
EGEN,2025-02-16,22.8,23.7,22.6,23.3,2350525.0
EGEN,2025-02-13,22.5,22.8,22.5,22.7,455743.0
EGEN,2025-02-12,23.1,23.2,22.5,22.6,891948.0
EGEN,2025-02-11,22.1,23.3,22.1,23.0,1602346.0
EGEN,2025-02-10,22.2,22.3,21.7,22.0,851554.0
EGEN,2025-02-09,22.3,22.4,21.9,22.0,368892.0
EGEN,2025-02-06,22.7,23.2,22.1,22.4,754840.0
EGEN,2025-02-05,21.5,22.8,21.2,22.5,1378984.0
EGEN,2025-02-04,21.7,21.8,21.3,21.5,513654.0
EGEN,2025-02-03,21.6,21.9,21.5,21.6,535303.0
EGEN,2025-02-02,22.3,22.3,20.9,21.2,412119.0
EGEN,2025-01-30,22.2,22.2,21.5,21.6,646728.0
EGEN,2025-01-29,22.3,22.5,22.3,22.3,279191.0
EGEN,2025-01-28,22.6,22.8,22.4,22.4,256470.0
EGEN,2025-01-27,22.8,22.8,22.4,22.6,236209.0
EGEN,2025-01-26,22.8,22.9,22.4,22.5,271466.0
EGEN,2025-01-23,22.9,23.1,22.6,22.7,328508.0
EGEN,2025-01-22,23.0,23.5,22.8,22.9,511156.0
EGEN,2025-01-21,23.6,23.7,23.0,23.0,706758.0
EGEN,2025-01-20,22.5,23.5,22.5,23.2,561194.0
EGEN,2025-01-19,22.4,22.7,22.3,22.5,310425.0
EGEN,2025-01-16,22.9,23.0,22.3,22.4,280508.0
EGEN,2025-01-15,23.3,23.6,22.7,22.8,592911.0
EGEN,2025-01-14,23.4,23.9,23.3,23.4,321405.0
EGEN,2025-01-13,23.7,23.8,23.3,23.5,441419.0
EGEN,2025-01-12,24.1,24.2,23.5,23.7,433539.0
EGEN,2025-01-09,24.2,24.4,24.0,24.1,398727.0
EGEN,2025-01-08,24.0,24.2,23.8,24.0,492074.0
EGEN,2025-01-07,24.4,24.8,24.0,24.1,347847.0
EGEN,2025-01-06,24.2,24.7,24.0,24.5,508006.0
