Trading_Code,Date,Open,High,Low,Close,Volume
EHL,2025-04-08,81.8,84.3,80.8,83.1,1126009.0
EHL,2025-04-07,81.7,83.5,79.3,81.8,1043151.0
EHL,2025-04-06,76.6,81.4,75.5,80.3,956617.0
EHL,2025-03-27,75.9,77.7,75.4,77.1,244756.0
EHL,2025-03-25,76.0,76.8,75.1,75.4,187406.0
EHL,2025-03-24,75.9,78.5,75.3,76.0,535933.0
EHL,2025-03-23,74.5,76.0,73.7,75.3,216148.0
EHL,2025-03-20,75.7,75.7,74.2,74.4,228382.0
EHL,2025-03-19,76.4,76.7,75.5,75.9,338285.0
EHL,2025-03-18,75.8,76.7,75.0,76.3,481712.0
EHL,2025-03-17,74.1,75.8,74.1,75.5,482869.0
EHL,2025-03-16,73.7,74.4,73.4,74.1,261784.0
EHL,2025-03-13,74.4,74.4,73.0,73.7,191904.0
EHL,2025-03-12,72.5,74.3,72.5,73.6,285995.0
EHL,2025-03-11,72.7,72.9,72.1,72.5,98165.0
EHL,2025-03-10,72.2,72.9,72.0,72.4,115704.0
EHL,2025-03-09,73.3,73.3,72.3,72.4,110206.0
EHL,2025-03-06,72.9,73.7,72.7,73.3,148219.0
EHL,2025-03-05,72.9,72.9,72.0,72.6,86714.0
EHL,2025-03-04,72.3,72.9,72.0,72.6,122201.0
EHL,2025-03-03,73.0,73.0,72.0,72.4,121864.0
EHL,2025-03-02,73.3,73.4,72.0,72.6,284124.0
EHL,2025-02-27,73.9,73.9,72.5,72.9,155360.0
EHL,2025-02-26,75.0,75.0,72.8,73.1,267540.0
EHL,2025-02-25,72.8,74.8,72.6,74.5,554795.0
EHL,2025-02-24,73.4,73.7,72.1,72.6,244339.0
EHL,2025-02-23,73.3,73.5,73.1,73.3,224613.0
EHL,2025-02-20,72.6,73.4,72.6,73.0,138203.0
EHL,2025-02-19,73.5,73.7,72.6,72.8,116054.0
EHL,2025-02-18,75.0,75.3,72.6,73.1,544534.0
EHL,2025-02-17,72.2,75.1,72.2,74.8,514701.0
EHL,2025-02-16,73.9,74.0,72.3,72.8,314717.0
EHL,2025-02-13,73.2,74.8,73.1,73.7,286622.0
EHL,2025-02-12,75.2,76.9,73.6,73.9,678706.0
EHL,2025-02-11,79.8,79.8,74.1,75.5,326493.0
EHL,2025-02-10,72.5,77.8,71.4,75.9,1092860.0
EHL,2025-02-09,74.3,74.5,72.1,72.5,288743.0
EHL,2025-02-06,68.0,74.3,67.8,74.3,1851560.0
EHL,2025-02-05,67.1,68.0,67.0,67.6,182547.0
EHL,2025-02-04,67.9,67.9,66.9,67.1,173385.0
EHL,2025-02-03,67.4,68.1,67.2,67.4,139274.0
EHL,2025-02-02,67.0,67.9,67.0,67.4,86723.0
EHL,2025-01-30,67.0,67.5,66.8,67.0,157505.0
EHL,2025-01-29,68.0,68.0,66.8,67.4,196197.0
EHL,2025-01-28,67.9,69.9,67.4,67.7,343289.0
EHL,2025-01-27,68.0,68.3,67.2,67.7,822178.0
EHL,2025-01-26,64.9,66.6,64.0,66.2,198686.0
EHL,2025-01-23,66.3,66.3,64.4,64.8,198337.0
