Trading_Code,Date,Open,High,Low,Close,Volume
EPGL,2025-04-08,20.9,20.9,20.0,20.1,839813.0
EPGL,2025-04-07,21.5,21.5,20.6,20.8,469455.0
EPGL,2025-04-06,21.0,21.4,20.8,21.1,989620.0
EPGL,2025-03-27,21.5,21.5,21.0,21.3,423732.0
EPGL,2025-03-25,21.4,21.6,21.0,21.4,499450.0
EPGL,2025-03-24,21.7,21.9,20.8,21.0,944551.0
EPGL,2025-03-23,22.6,22.6,21.4,21.6,739853.0
EPGL,2025-03-20,22.2,23.4,22.2,22.5,2232341.0
EPGL,2025-03-19,21.2,22.5,21.2,22.1,1561086.0
EPGL,2025-03-18,22.2,22.5,21.0,21.3,1842391.0
EPGL,2025-03-17,22.9,22.9,21.8,22.0,1996089.0
EPGL,2025-03-16,22.4,24.0,22.4,22.9,2741789.0
EPGL,2025-03-13,23.0,23.3,21.8,22.2,2074426.0
EPGL,2025-03-12,20.8,22.6,20.8,22.6,2787318.0
EPGL,2025-03-11,20.2,20.9,20.0,20.6,1886491.0
EPGL,2025-03-10,20.5,20.5,19.8,19.9,369986.0
EPGL,2025-03-09,20.1,20.8,19.7,20.1,1114076.0
EPGL,2025-03-06,20.7,21.0,19.9,20.1,534147.0
EPGL,2025-03-05,19.3,21.0,19.3,20.7,1363175.0
EPGL,2025-03-04,19.7,19.9,19.0,19.2,613352.0
EPGL,2025-03-03,20.4,20.5,19.4,19.7,568768.0
EPGL,2025-03-02,20.8,21.0,20.3,20.4,455897.0
EPGL,2025-02-27,20.7,21.4,20.2,20.7,833355.0
EPGL,2025-02-26,21.1,21.2,20.3,20.5,642164.0
EPGL,2025-02-25,20.9,21.6,20.6,20.8,1341675.0
EPGL,2025-02-24,20.7,21.2,20.4,20.7,876371.0
EPGL,2025-02-23,21.5,21.5,20.4,20.6,1178762.0
EPGL,2025-02-20,22.5,22.5,21.0,21.1,1181468.0
EPGL,2025-02-19,21.0,22.8,21.0,22.3,1640498.0
EPGL,2025-02-18,22.0,22.0,20.6,20.9,1346356.0
EPGL,2025-02-17,21.8,22.7,21.4,21.6,1343291.0
EPGL,2025-02-16,23.0,23.1,21.5,21.8,992846.0
EPGL,2025-02-13,21.8,23.9,21.7,22.8,1447042.0
EPGL,2025-02-12,23.4,23.4,21.8,22.1,1627892.0
EPGL,2025-02-11,24.7,25.4,23.1,23.4,1724189.0
EPGL,2025-02-10,22.0,24.0,21.7,24.0,2355647.0
EPGL,2025-02-09,22.7,23.8,21.4,21.9,2982952.0
EPGL,2025-02-06,20.8,21.8,20.5,21.8,953247.0
EPGL,2025-02-05,18.6,19.9,18.6,19.9,1102334.0
EPGL,2025-02-04,18.1,18.1,17.3,18.1,2714970.0
EPGL,2025-02-03,16.5,16.5,16.5,16.5,755921.0
EPGL,2025-02-02,15.0,15.0,15.0,15.0,356187.0
EPGL,2025-01-30,13.7,13.7,13.7,13.7,117663.0
EPGL,2025-01-29,12.9,12.9,12.5,12.5,177874.0
EPGL,2025-01-28,12.8,13.0,12.7,12.9,84736.0
EPGL,2025-01-27,13.1,13.1,12.8,12.8,132493.0
EPGL,2025-01-26,12.8,13.4,12.8,12.9,156174.0
EPGL,2025-01-23,12.6,13.4,12.6,13.0,301593.0
EPGL,2025-01-22,12.7,12.7,12.5,12.6,46425.0
EPGL,2025-01-21,12.6,12.8,12.6,12.7,52933.0
EPGL,2025-01-20,12.8,12.8,12.5,12.6,44486.0
EPGL,2025-01-19,12.6,12.9,12.5,12.5,42977.0
EPGL,2025-01-16,12.5,12.8,12.5,12.7,45487.0
EPGL,2025-01-15,12.8,12.8,12.5,12.5,69390.0
EPGL,2025-01-14,12.5,12.9,12.4,12.5,156809.0
EPGL,2025-01-13,12.7,12.7,12.4,12.5,44994.0
EPGL,2025-01-12,12.7,12.7,12.4,12.5,61082.0
EPGL,2025-01-09,12.5,12.8,12.5,12.5,34548.0
EPGL,2025-01-08,12.8,12.8,12.5,12.5,41623.0
EPGL,2025-01-07,12.8,13.0,12.5,12.6,44147.0
EPGL,2025-01-06,12.5,13.1,12.5,12.8,30212.0
EPGL,2025-01-05,12.4,12.6,12.4,12.5,24798.0
EPGL,2025-01-02,12.4,12.7,12.4,12.6,42679.0
EPGL,2025-01-01,12.7,12.9,12.5,12.5,78230.0
EPGL,2024-12-30,12.7,12.9,12.6,12.7,39358.0
EPGL,2024-12-29,12.3,13.0,12.3,12.6,70868.0
EPGL,2024-12-26,12.7,12.7,12.5,12.5,69646.0
EPGL,2024-12-24,13.2,13.2,12.5,12.7,85424.0
EPGL,2024-12-23,12.5,12.7,12.3,12.4,74035.0
EPGL,2024-12-22,12.5,12.9,12.4,12.5,112572.0
EPGL,2024-12-19,13.2,13.4,12.9,13.0,103380.0
EPGL,2024-12-18,14.2,14.2,12.8,12.9,173501.0
EPGL,2024-12-17,13.0,13.3,12.9,13.1,115438.0
EPGL,2024-12-15,0.0,0.0,0.0,12.9,0.0
EPGL,2024-12-12,13.0,13.2,12.8,12.9,89056.0
EPGL,2024-12-11,13.1,13.3,12.8,12.8,92199.0
EPGL,2024-12-10,13.8,13.8,13.0,13.1,145491.0
EPGL,2024-12-09,13.0,13.8,13.0,13.2,225882.0
EPGL,2024-12-08,12.7,12.7,12.4,12.7,161745.0
EPGL,2024-12-05,13.0,13.2,12.7,12.8,111398.0
EPGL,2024-12-04,13.7,13.8,13.0,13.1,185567.0
EPGL,2024-12-03,13.4,13.5,13.1,13.4,285922.0
EPGL,2024-12-02,13.5,13.6,13.1,13.2,346290.0
EPGL,2024-12-01,13.0,13.2,12.7,13.0,280635.0
EPGL,2024-11-28,12.8,13.3,12.6,12.8,292614.0
EPGL,2024-11-27,12.3,12.6,12.3,12.4,188124.0
EPGL,2024-11-26,12.4,12.4,12.1,12.2,101239.0
EPGL,2024-11-25,12.5,12.6,12.2,12.2,121236.0
EPGL,2024-11-24,12.5,13.2,12.1,12.3,520803.0
EPGL,2024-11-21,14.4,14.6,14.1,14.3,88356.0
EPGL,2024-11-20,15.4,15.4,14.3,14.3,78478.0
EPGL,2024-11-19,14.8,14.9,14.3,14.4,131573.0
EPGL,2024-11-18,15.0,15.2,14.5,14.7,117440.0
EPGL,2024-11-17,16.0,16.0,14.6,15.0,288347.0
EPGL,2024-11-14,15.4,15.4,14.2,14.6,149231.0
EPGL,2024-11-13,13.6,14.1,13.6,14.0,97561.0
EPGL,2024-11-12,14.7,14.7,14.0,14.0,110979.0
EPGL,2024-11-11,15.1,15.1,13.5,14.1,339979.0
EPGL,2024-11-10,15.6,15.6,14.8,14.9,69805.0
EPGL,2024-11-07,15.1,15.5,15.0,15.1,125981.0
EPGL,2024-11-06,15.9,15.9,14.9,15.0,178794.0
EPGL,2024-11-05,15.2,16.0,14.9,15.5,289494.0
EPGL,2024-11-04,14.5,15.0,14.4,15.0,195887.0
EPGL,2024-11-03,14.8,16.0,14.4,14.6,238262.0
EPGL,2024-10-31,13.8,14.9,13.8,14.6,181847.0
EPGL,2024-10-30,13.7,13.9,12.7,13.9,261096.0
EPGL,2024-10-29,12.1,12.9,12.1,12.7,133976.0
EPGL,2024-10-28,12.5,12.9,12.1,12.2,237497.0
EPGL,2024-10-27,13.9,13.9,12.4,12.5,188637.0
EPGL,2024-10-24,13.5,13.8,13.2,13.4,140995.0
EPGL,2024-10-23,13.6,14.9,13.4,13.5,144604.0
EPGL,2024-10-22,14.8,14.8,14.3,14.4,53556.0
EPGL,2024-10-21,14.6,15.0,13.9,14.2,105332.0
EPGL,2024-10-20,15.6,15.6,14.7,14.7,90034.0
EPGL,2024-10-17,15.6,15.7,15.1,15.2,49506.0
EPGL,2024-10-16,15.6,16.1,15.5,15.5,55231.0
EPGL,2024-10-15,16.9,16.9,15.8,15.9,31983.0
EPGL,2024-10-14,16.3,16.5,16.0,16.3,61324.0
EPGL,2024-10-09,16.0,16.2,15.5,16.1,45881.0
EPGL,2024-10-08,15.8,16.0,15.5,15.6,95219.0
EPGL,2024-10-07,16.1,16.5,15.6,15.7,43656.0
EPGL,2024-10-06,16.3,16.8,16.0,16.2,150868.0
EPGL,2024-10-03,15.6,16.1,15.3,15.9,64634.0
EPGL,2024-10-02,16.7,16.7,15.4,15.7,124675.0
EPGL,2024-10-01,17.5,17.5,16.4,16.6,180733.0
EPGL,2024-09-30,17.2,18.0,17.0,17.4,100131.0
EPGL,2024-09-29,17.5,18.4,17.5,17.6,378062.0
EPGL,2024-09-26,16.8,17.2,16.8,16.8,263956.0
EPGL,2024-09-25,18.6,19.1,18.3,18.6,150410.0
EPGL,2024-09-24,20.0,20.0,19.0,19.1,40446.0
EPGL,2024-09-23,19.3,19.6,19.0,19.1,53981.0
EPGL,2024-09-22,20.0,20.0,19.2,19.3,42710.0
EPGL,2024-09-19,19.4,20.1,19.4,19.6,62096.0
EPGL,2024-09-18,20.3,20.3,19.2,19.4,43631.0
EPGL,2024-09-17,20.1,20.5,19.7,19.7,193661.0
EPGL,2024-09-15,19.7,20.0,19.4,20.0,155755.0
EPGL,2024-09-12,20.5,20.5,19.6,19.6,66803.0
EPGL,2024-09-11,19.7,20.0,19.7,19.8,107155.0
EPGL,2024-09-10,19.6,20.3,19.5,19.8,95492.0
EPGL,2024-09-09,19.8,20.4,19.5,19.6,50410.0
EPGL,2024-09-08,20.7,20.7,19.9,20.1,60826.0
EPGL,2024-09-05,20.4,20.8,20.1,20.2,47789.0
EPGL,2024-09-04,20.5,21.0,20.2,20.4,109538.0
EPGL,2024-09-03,21.5,21.5,20.7,20.8,45055.0
EPGL,2024-09-02,21.4,21.8,20.8,21.0,124238.0
EPGL,2024-09-01,20.6,21.6,20.6,21.3,103786.0
EPGL,2024-08-29,20.1,21.0,20.1,20.9,73465.0
EPGL,2024-08-28,19.8,20.5,19.8,20.2,53251.0
EPGL,2024-08-27,20.0,20.5,19.8,19.9,55957.0
EPGL,2024-08-25,21.4,21.4,19.8,20.3,74837.0
EPGL,2024-08-22,22.0,22.0,19.9,20.4,42385.0
EPGL,2024-08-21,20.3,20.3,20.1,20.1,74802.0
EPGL,2024-08-20,20.2,21.8,20.2,20.7,77399.0
EPGL,2024-08-19,20.3,21.2,20.3,20.4,95023.0
EPGL,2024-08-18,21.9,22.0,20.9,20.9,53005.0
EPGL,2024-08-15,22.5,22.5,21.4,21.5,79148.0
EPGL,2024-08-14,22.9,22.9,21.6,21.9,98844.0
EPGL,2024-08-13,22.6,22.6,21.6,21.7,125425.0
EPGL,2024-08-12,22.6,23.0,22.2,22.2,112348.0
EPGL,2024-08-11,24.5,24.8,22.6,22.8,455549.0
EPGL,2024-08-08,22.4,23.5,21.3,23.2,369380.0
EPGL,2024-08-07,21.5,22.4,20.6,21.8,193328.0
EPGL,2024-08-06,20.3,20.7,19.4,20.7,182633.0
EPGL,2024-08-04,18.9,18.9,18.8,18.9,30767.0
EPGL,2024-08-01,19.4,19.4,19.0,19.3,33618.0
EPGL,2024-07-31,19.8,19.8,18.7,18.9,51395.0
EPGL,2024-07-30,19.1,19.1,18.9,19.0,75539.0
EPGL,2024-07-29,19.8,19.9,19.4,19.4,40771.0
EPGL,2024-07-28,21.3,21.3,19.8,20.0,70969.0
EPGL,2024-07-25,20.0,20.3,19.6,20.1,22131.0
EPGL,2024-07-24,20.4,20.4,19.9,20.0,55095.0
EPGL,2024-07-18,20.2,21.4,20.2,20.5,95005.0
EPGL,2024-07-16,20.8,21.5,20.5,20.8,35618.0
EPGL,2024-07-15,22.2,22.2,20.7,21.0,39473.0
EPGL,2024-07-14,21.4,21.8,21.3,21.3,87641.0
EPGL,2024-07-11,22.2,22.5,21.9,21.9,109639.0
EPGL,2024-07-10,23.4,23.4,22.4,22.5,200675.0
EPGL,2024-07-09,22.0,23.2,21.7,23.0,333155.0
EPGL,2024-07-08,21.9,21.9,21.3,21.8,156336.0
EPGL,2024-07-07,21.5,22.5,20.3,21.6,343917.0
EPGL,2024-07-04,19.9,20.7,19.7,20.6,222454.0
EPGL,2024-07-03,19.4,19.8,18.9,19.6,159329.0
EPGL,2024-07-02,19.2,19.2,18.5,19.1,67485.0
EPGL,2024-06-30,19.5,19.5,18.6,18.9,97786.0
EPGL,2024-06-27,19.0,19.7,18.9,19.1,414341.0
EPGL,2024-06-26,19.4,19.4,18.7,19.2,102703.0
EPGL,2024-06-25,19.0,19.3,18.4,18.9,25190.0
EPGL,2024-06-24,19.7,19.7,18.6,18.9,64492.0
EPGL,2024-06-23,19.3,19.4,19.0,19.1,68049.0
EPGL,2024-06-20,19.0,19.4,18.9,19.3,127595.0
EPGL,2024-06-19,19.4,19.4,18.7,19.0,36189.0
EPGL,2024-06-13,19.5,20.9,18.7,19.0,83925.0
EPGL,2024-06-12,19.5,19.6,18.8,19.0,77792.0
EPGL,2024-06-11,20.0,20.0,19.2,19.2,51423.0
EPGL,2024-06-10,19.8,19.9,19.4,19.7,83506.0
EPGL,2024-06-09,20.8,20.8,19.9,20.0,47812.0
EPGL,2024-06-06,19.7,20.6,19.6,20.5,55934.0
EPGL,2024-06-05,20.8,20.8,20.0,20.1,87857.0
EPGL,2024-06-04,20.5,21.2,20.1,20.4,109811.0
EPGL,2024-06-03,19.9,20.3,19.2,20.0,95206.0
EPGL,2024-06-02,20.0,20.5,19.4,19.7,71261.0
EPGL,2024-05-30,19.4,19.9,19.2,19.8,10503.0
EPGL,2024-05-29,19.5,20.1,19.3,19.4,32011.0
EPGL,2024-05-28,20.9,20.9,19.5,19.8,91378.0
EPGL,2024-05-27,19.9,21.0,19.3,20.1,53175.0
EPGL,2024-05-26,19.5,21.3,19.5,19.6,98357.0
EPGL,2024-05-23,20.0,21.7,19.9,20.1,85016.0
EPGL,2024-05-21,21.8,22.0,20.4,20.5,104890.0
EPGL,2024-05-20,20.6,22.2,20.6,20.9,37703.0
EPGL,2024-05-19,21.3,22.0,21.2,21.2,33400.0
EPGL,2024-05-16,23.3,23.3,21.6,21.8,37109.0
EPGL,2024-05-15,23.2,23.2,22.2,22.2,73987.0
EPGL,2024-05-14,23.9,23.9,22.7,22.8,112547.0
EPGL,2024-05-13,24.5,24.5,23.3,23.4,112454.0
EPGL,2024-05-12,23.0,24.2,23.0,23.6,162095.0
EPGL,2024-05-09,23.7,23.7,22.8,22.9,74723.0
EPGL,2024-05-08,24.5,24.5,23.3,23.4,163357.0
EPGL,2024-05-07,24.0,24.1,23.4,23.4,128633.0
EPGL,2024-05-06,22.5,24.4,22.4,24.1,330344.0
EPGL,2024-05-05,22.3,22.3,21.6,22.2,102041.0
EPGL,2024-05-02,21.9,21.9,20.9,21.5,48528.0
EPGL,2024-04-30,20.9,22.5,20.9,20.9,133702.0
EPGL,2024-04-29,22.0,22.4,21.5,21.5,42855.0
EPGL,2024-04-28,23.0,23.0,21.1,22.1,46090.0
EPGL,2024-04-25,23.0,23.0,21.7,21.7,44955.0
EPGL,2024-04-24,23.7,23.7,22.1,22.3,46419.0
EPGL,2024-04-23,23.9,23.9,22.1,22.3,66068.0
EPGL,2024-04-22,23.7,24.9,22.8,22.9,39550.0
EPGL,2024-04-21,23.8,23.8,22.5,22.7,76809.0
EPGL,2024-04-18,23.5,23.5,22.8,23.0,73921.0
EPGL,2024-04-17,23.6,24.0,23.3,23.7,82488.0
EPGL,2024-04-16,23.8,23.9,23.0,23.3,101001.0
EPGL,2024-04-15,24.9,24.9,23.9,24.0,12793.0
EPGL,2024-04-09,23.5,25.6,23.5,24.7,19754.0
EPGL,2024-04-08,25.9,25.9,24.8,25.0,20264.0
EPGL,2024-04-04,24.3,25.2,24.3,25.0,47082.0
EPGL,2024-04-03,24.5,24.5,24.0,24.2,45861.0
EPGL,2024-04-02,24.4,24.4,23.5,24.1,37860.0
EPGL,2024-04-01,25.8,25.8,23.5,23.7,92246.0
EPGL,2024-03-31,24.1,25.4,23.7,24.3,40325.0
EPGL,2024-03-28,25.5,25.5,24.0,24.1,54247.0
EPGL,2024-03-27,25.0,25.8,24.0,24.3,142782.0
EPGL,2024-03-25,25.9,25.9,25.1,25.1,44703.0
EPGL,2024-03-24,26.3,26.3,25.6,25.7,88223.0
EPGL,2024-03-21,26.3,26.3,25.9,25.9,124633.0
EPGL,2024-03-20,26.2,26.8,25.7,25.9,91753.0
EPGL,2024-03-19,26.8,27.0,25.5,25.6,217230.0
EPGL,2024-03-18,27.2,27.9,26.5,26.6,254395.0
EPGL,2024-03-14,25.9,27.3,25.8,26.7,354065.0
EPGL,2024-03-13,26.2,26.2,25.5,25.7,60954.0
EPGL,2024-03-12,26.1,27.2,26.1,26.1,77961.0
EPGL,2024-03-11,25.9,26.7,25.9,26.5,118720.0
EPGL,2024-03-10,26.3,27.2,26.1,26.1,24913.0
EPGL,2024-03-07,26.4,27.2,26.0,26.1,37122.0
EPGL,2024-03-06,26.4,27.4,26.3,26.6,34348.0
EPGL,2024-03-05,26.3,27.3,26.3,26.4,58718.0
EPGL,2024-03-04,26.4,27.0,25.8,26.1,199214.0
EPGL,2024-03-03,26.6,27.5,26.0,26.4,216697.0
EPGL,2024-02-29,27.9,27.9,26.8,26.9,69577.0
EPGL,2024-02-28,28.4,28.4,27.1,27.2,66491.0
EPGL,2024-02-27,27.8,27.8,27.0,27.5,151440.0
EPGL,2024-02-25,28.6,28.6,26.9,27.1,62694.0
EPGL,2024-02-22,28.4,28.4,26.7,26.8,152185.0
EPGL,2024-02-20,27.9,27.9,26.6,26.7,129828.0
EPGL,2024-02-19,28.4,28.4,26.5,26.9,174705.0
EPGL,2024-02-18,29.0,29.0,26.7,27.7,149273.0
EPGL,2024-02-15,28.5,29.3,27.4,27.6,191349.0
EPGL,2024-02-14,29.5,30.2,28.5,28.7,99035.0
EPGL,2024-02-13,30.9,30.9,29.2,29.4,254013.0
EPGL,2024-02-12,29.6,30.6,29.0,29.2,171888.0
EPGL,2024-02-11,30.5,30.8,29.2,29.6,325876.0
EPGL,2024-02-08,30.2,31.3,30.1,30.5,531358.0
EPGL,2024-02-07,28.9,30.5,28.0,30.1,457806.0
EPGL,2024-02-06,29.0,29.7,28.6,28.9,471953.0
EPGL,2024-02-05,28.7,28.9,27.6,28.6,230264.0
EPGL,2024-02-04,27.0,28.6,27.0,28.3,334857.0
EPGL,2024-02-01,26.3,27.0,25.6,26.9,197437.0
EPGL,2024-01-31,26.1,27.4,25.7,26.0,127634.0
EPGL,2024-01-30,26.1,27.3,25.6,26.6,299876.0
EPGL,2024-01-29,26.2,26.6,25.7,26.1,149326.0
EPGL,2024-01-28,28.4,29.0,25.8,26.2,293222.0
EPGL,2024-01-25,29.0,29.7,28.0,28.4,134899.0
EPGL,2024-01-24,29.0,30.0,28.2,29.0,288337.0
EPGL,2024-01-23,29.3,29.8,28.5,29.3,190892.0
EPGL,2024-01-22,28.1,30.0,28.0,29.8,570014.0
EPGL,2024-01-21,31.1,31.1,31.1,31.1,21456.0
EPGL,2024-01-18,34.5,34.5,34.5,34.5,568.0
EPGL,2024-01-17,34.5,34.5,34.5,34.5,1250.0
EPGL,2024-01-16,34.5,34.5,34.5,34.5,500.0
EPGL,2024-01-15,34.5,34.5,34.5,34.5,5.0
EPGL,2024-01-14,34.5,34.5,34.5,34.5,165.0
EPGL,2024-01-11,0.0,0.0,0.0,34.5,0.0
EPGL,2024-01-10,34.5,34.5,34.5,34.5,2507.0
EPGL,2024-01-09,0.0,0.0,0.0,34.5,0.0
EPGL,2024-01-08,0.0,0.0,0.0,34.5,0.0
EPGL,2024-01-04,0.0,0.0,0.0,34.5,0.0
EPGL,2024-01-03,0.0,0.0,0.0,34.5,0.0
EPGL,2024-01-02,0.0,0.0,0.0,34.5,0.0
EPGL,2024-01-01,34.5,34.5,34.5,34.5,153.0
EPGL,2023-12-28,34.5,34.5,34.5,34.5,1948.0
EPGL,2023-12-27,0.0,0.0,0.0,34.5,0.0
EPGL,2023-12-26,34.5,34.5,34.5,34.5,4588.0
EPGL,2023-12-24,34.5,34.5,34.5,34.5,50.0
EPGL,2023-12-21,34.5,34.5,34.5,34.5,184.0
EPGL,2023-12-20,34.5,34.5,34.5,34.5,11.0
EPGL,2023-12-19,34.5,34.5,34.5,34.5,581.0
EPGL,2023-12-18,34.5,34.5,34.5,34.5,120.0
EPGL,2023-12-17,34.5,34.5,34.5,34.5,1575.0
EPGL,2023-12-14,34.5,34.5,34.5,34.5,1020.0
EPGL,2023-12-13,34.5,34.5,34.5,34.5,2132.0
EPGL,2023-12-12,34.5,34.5,34.5,34.5,281.0
EPGL,2023-12-11,34.5,34.5,34.5,34.5,835.0
EPGL,2023-12-10,34.5,34.5,34.5,34.5,2.0
EPGL,2023-12-07,34.5,34.5,34.5,34.5,240.0
EPGL,2023-12-06,34.5,34.5,34.5,34.5,1071.0
EPGL,2023-12-05,34.5,34.5,34.5,34.5,505.0
EPGL,2023-12-04,34.5,34.5,34.5,34.5,10.0
EPGL,2023-12-03,34.5,34.5,34.5,34.5,552.0
EPGL,2023-11-30,34.5,34.5,34.5,34.5,1190.0
EPGL,2023-11-29,34.5,34.5,34.5,34.5,2000.0
EPGL,2023-11-28,0.0,0.0,0.0,34.5,0.0
EPGL,2023-11-27,34.5,34.5,34.5,34.5,501.0
EPGL,2023-11-26,34.5,34.5,34.5,34.5,400.0
EPGL,2023-11-23,34.5,34.5,34.5,34.5,65.0
EPGL,2023-11-22,34.5,34.5,34.5,34.5,205.0
EPGL,2023-11-21,0.0,0.0,0.0,34.5,0.0
EPGL,2023-11-20,34.5,34.5,34.5,34.5,9.0
EPGL,2023-11-19,0.0,0.0,0.0,34.5,0.0
EPGL,2023-11-16,34.5,34.5,34.5,34.5,1.0
EPGL,2023-11-15,34.5,34.5,34.5,34.5,160.0
EPGL,2023-11-14,0.0,0.0,0.0,34.5,0.0
EPGL,2023-11-13,0.0,0.0,0.0,34.5,0.0
EPGL,2023-11-12,34.5,34.5,34.5,34.5,10197.0
EPGL,2023-11-09,34.5,34.5,34.5,34.5,503.0
EPGL,2023-11-08,0.0,0.0,0.0,34.5,0.0
EPGL,2023-11-07,0.0,0.0,0.0,34.5,0.0
EPGL,2023-11-06,0.0,0.0,0.0,34.5,0.0
EPGL,2023-11-05,34.5,34.5,34.5,34.5,2944.0
EPGL,2023-11-02,34.5,34.5,34.5,34.5,300.0
EPGL,2023-11-01,34.5,34.5,34.5,34.5,131.0
EPGL,2023-10-31,34.5,34.5,34.5,34.5,40.0
EPGL,2023-10-30,34.5,34.5,34.5,34.5,170.0
EPGL,2023-10-29,34.5,34.5,34.5,34.5,1018.0
EPGL,2023-10-26,34.5,34.5,34.5,34.5,50.0
EPGL,2023-10-25,34.5,34.5,34.5,34.5,1174.0
EPGL,2023-10-23,34.5,34.5,34.5,34.5,2.0
EPGL,2023-10-22,34.5,34.5,34.5,34.5,52.0
EPGL,2023-10-19,34.5,34.5,34.5,34.5,2000.0
EPGL,2023-10-18,34.5,34.5,34.5,34.5,100.0
EPGL,2023-10-17,34.5,34.5,34.5,34.5,2988.0
EPGL,2023-10-16,34.5,34.5,34.5,34.5,76.0
EPGL,2023-10-15,34.5,34.5,34.5,34.5,1.0
EPGL,2023-10-12,34.5,34.5,34.5,34.5,22.0
EPGL,2023-10-11,0.0,0.0,0.0,34.5,0.0
EPGL,2023-10-10,0.0,0.0,0.0,34.5,0.0
EPGL,2023-10-09,34.5,34.5,34.5,34.5,385.0
EPGL,2023-10-08,0.0,0.0,0.0,34.5,0.0
EPGL,2023-10-05,34.5,34.5,34.5,34.5,1000.0
EPGL,2023-10-04,34.5,34.5,34.5,34.5,4000.0
EPGL,2023-10-03,0.0,0.0,0.0,34.5,0.0
EPGL,2023-10-02,34.5,34.5,34.5,34.5,101.0
EPGL,2023-10-01,0.0,0.0,0.0,34.5,0.0
EPGL,2023-09-27,34.5,34.5,34.5,34.5,3.0
EPGL,2023-09-26,34.5,34.5,34.5,34.5,31.0
EPGL,2023-09-25,34.5,34.5,34.5,34.5,7.0
EPGL,2023-09-24,34.5,34.5,34.5,34.5,915.0
EPGL,2023-09-21,34.5,34.5,34.5,34.5,235.0
EPGL,2023-09-20,34.5,34.5,34.5,34.5,95.0
EPGL,2023-09-19,34.5,34.5,34.5,34.5,1951.0
EPGL,2023-09-18,0.0,0.0,0.0,34.5,0.0
EPGL,2023-09-17,34.5,34.5,34.5,34.5,351.0
EPGL,2023-09-14,34.5,34.5,34.5,34.5,980.0
EPGL,2023-09-13,34.5,34.5,34.5,34.5,2.0
EPGL,2023-09-12,34.5,34.5,34.5,34.5,40.0
EPGL,2023-09-11,34.5,34.5,34.5,34.5,580.0
EPGL,2023-09-10,34.5,34.5,34.5,34.5,549.0
EPGL,2023-09-07,34.5,34.5,34.5,34.5,900.0
EPGL,2023-09-05,34.5,34.5,34.5,34.5,31.0
EPGL,2023-09-04,34.5,34.5,34.5,34.5,1.0
EPGL,2023-09-03,34.5,34.5,34.5,34.5,133.0
EPGL,2023-08-31,34.5,34.5,34.5,34.5,280.0
EPGL,2023-08-30,0.0,0.0,0.0,34.5,0.0
EPGL,2023-08-29,34.5,34.5,34.5,34.5,4035.0
EPGL,2023-08-28,34.5,34.5,34.5,34.5,720.0
EPGL,2023-08-27,34.5,34.5,34.5,34.5,75.0
EPGL,2023-08-24,34.5,34.5,34.5,34.5,2360.0
EPGL,2023-08-23,34.5,34.5,34.5,34.5,5650.0
EPGL,2023-08-22,34.5,34.5,34.5,34.5,8932.0
EPGL,2023-08-21,34.5,34.5,34.5,34.5,1240.0
