Trading_Code,Date,Open,High,Low,Close,Volume
ESQUIRENIT,2025-04-08,23.7,23.7,22.9,22.9,53274.0
ESQUIRENIT,2025-04-07,24.1,24.1,22.8,22.9,41250.0
ESQUIRENIT,2025-04-06,23.5,23.8,22.5,23.0,284167.0
ESQUIRENIT,2025-03-27,24.4,24.5,24.2,24.3,15672.0
ESQUIRENIT,2025-03-25,24.4,24.9,23.8,24.3,209264.0
ESQUIRENIT,2025-03-24,24.4,24.5,24.0,24.2,94856.0
ESQUIRENIT,2025-03-23,24.9,25.3,24.3,24.4,133617.0
ESQUIRENIT,2025-03-20,24.9,25.7,24.8,24.9,244493.0
ESQUIRENIT,2025-03-19,25.5,25.5,24.7,24.9,278061.0
ESQUIRENIT,2025-03-18,26.1,26.1,24.9,25.1,267571.0
ESQUIRENIT,2025-03-17,26.4,26.7,24.8,25.9,616786.0
ESQUIRENIT,2025-03-16,25.2,26.6,25.2,26.4,993229.0
ESQUIRENIT,2025-03-13,24.0,25.4,23.4,24.5,826725.0
ESQUIRENIT,2025-03-12,23.2,23.5,22.9,23.1,176085.0
ESQUIRENIT,2025-03-11,22.9,23.0,22.3,22.7,228947.0
ESQUIRENIT,2025-03-10,22.6,23.1,22.2,22.4,49011.0
ESQUIRENIT,2025-03-09,23.0,23.0,22.3,22.5,69719.0
ESQUIRENIT,2025-03-06,22.9,23.5,22.8,22.9,50744.0
ESQUIRENIT,2025-03-05,23.0,23.3,22.9,23.1,62501.0
ESQUIRENIT,2025-03-04,23.3,23.6,22.9,23.1,140823.0
ESQUIRENIT,2025-03-03,23.1,23.5,23.0,23.4,43448.0
ESQUIRENIT,2025-03-02,23.8,23.8,23.1,23.1,99525.0
ESQUIRENIT,2025-02-27,23.6,24.0,23.3,23.4,127924.0
ESQUIRENIT,2025-02-26,23.5,24.4,23.1,23.3,150600.0
ESQUIRENIT,2025-02-25,24.3,24.6,23.3,23.4,453856.0
ESQUIRENIT,2025-02-24,24.7,24.8,24.1,24.2,270162.0
ESQUIRENIT,2025-02-23,24.0,25.5,24.0,24.6,776488.0
ESQUIRENIT,2025-02-20,24.7,24.7,23.5,23.8,384071.0
ESQUIRENIT,2025-02-19,24.1,25.2,23.6,24.5,549004.0
ESQUIRENIT,2025-02-18,23.0,24.7,22.9,24.0,1029576.0
ESQUIRENIT,2025-02-17,22.4,22.9,22.2,22.8,257623.0
ESQUIRENIT,2025-02-16,22.4,22.5,21.9,22.3,194318.0
ESQUIRENIT,2025-02-13,22.3,22.9,21.8,22.0,311625.0
ESQUIRENIT,2025-02-12,22.7,22.8,22.2,22.3,373807.0
ESQUIRENIT,2025-02-11,22.2,23.3,22.2,22.8,530110.0
ESQUIRENIT,2025-02-10,22.2,22.8,21.3,22.0,340442.0
ESQUIRENIT,2025-02-09,23.4,23.4,22.0,22.2,281731.0
ESQUIRENIT,2025-02-06,21.0,22.4,21.0,22.4,846124.0
ESQUIRENIT,2025-02-05,20.2,21.2,20.2,20.4,222226.0
ESQUIRENIT,2025-02-04,21.1,21.1,20.2,20.4,276230.0
ESQUIRENIT,2025-02-03,21.0,21.7,20.5,21.1,235713.0
ESQUIRENIT,2025-02-02,20.0,21.4,20.0,20.7,557937.0
ESQUIRENIT,2025-01-30,20.5,21.0,19.3,19.5,87922.0
ESQUIRENIT,2025-01-29,19.7,20.1,19.7,20.0,71810.0
ESQUIRENIT,2025-01-28,19.3,20.0,19.3,19.8,50134.0
ESQUIRENIT,2025-01-27,19.9,19.9,19.1,19.3,121746.0
ESQUIRENIT,2025-01-26,20.1,20.2,19.6,19.9,50998.0
ESQUIRENIT,2025-01-23,19.5,20.6,19.5,20.1,217846.0
ESQUIRENIT,2025-01-22,19.4,19.6,19.4,19.5,37939.0
ESQUIRENIT,2025-01-21,19.3,20.0,19.3,19.4,143636.0
ESQUIRENIT,2025-01-20,18.6,19.7,18.6,19.4,25917.0
ESQUIRENIT,2025-01-19,19.1,19.2,18.3,18.5,133432.0
ESQUIRENIT,2025-01-16,19.7,19.7,19.1,19.2,38379.0
ESQUIRENIT,2025-01-15,19.9,19.9,19.1,19.3,13144.0
ESQUIRENIT,2025-01-14,19.4,19.7,19.1,19.4,33092.0
ESQUIRENIT,2025-01-13,19.5,19.8,19.2,19.4,81986.0
ESQUIRENIT,2025-01-12,20.1,20.3,19.5,19.6,63156.0
ESQUIRENIT,2025-01-09,19.2,20.4,19.2,20.0,207366.0
ESQUIRENIT,2025-01-08,18.9,19.1,18.9,19.0,17301.0
ESQUIRENIT,2025-01-07,18.7,19.3,18.7,18.8,27286.0
ESQUIRENIT,2025-01-06,18.8,19.0,18.7,18.8,34024.0
ESQUIRENIT,2025-01-05,19.1,19.1,18.7,18.8,50327.0
ESQUIRENIT,2025-01-02,19.2,19.5,19.2,19.3,18100.0
ESQUIRENIT,2025-01-01,19.6,19.7,19.3,19.4,49134.0
ESQUIRENIT,2024-12-30,19.4,19.9,19.4,19.5,28015.0
ESQUIRENIT,2024-12-29,19.3,19.5,19.3,19.4,21326.0
ESQUIRENIT,2024-12-26,19.4,19.4,19.1,19.2,6442.0
ESQUIRENIT,2024-12-24,19.2,19.9,19.1,19.2,25861.0
ESQUIRENIT,2024-12-23,19.2,19.6,19.1,19.2,41384.0
ESQUIRENIT,2024-12-22,19.5,20.0,19.3,19.4,34282.0
ESQUIRENIT,2024-12-19,19.7,20.0,19.5,19.7,70253.0
ESQUIRENIT,2024-12-18,20.2,20.5,19.6,19.7,98522.0
ESQUIRENIT,2024-12-17,20.1,20.4,20.0,20.3,54501.0
ESQUIRENIT,2024-12-15,20.2,20.2,19.8,19.9,56027.0
ESQUIRENIT,2024-12-12,19.8,20.4,19.8,20.0,83685.0
ESQUIRENIT,2024-12-11,20.4,20.4,19.8,20.0,87665.0
ESQUIRENIT,2024-12-10,20.4,20.4,19.9,20.1,87970.0
ESQUIRENIT,2024-12-09,20.5,20.5,19.6,19.7,95845.0
ESQUIRENIT,2024-12-08,20.4,20.4,18.9,19.7,114534.0
ESQUIRENIT,2024-12-05,20.2,20.7,19.8,19.9,78994.0
ESQUIRENIT,2024-12-04,21.3,21.3,20.4,20.5,86871.0
ESQUIRENIT,2024-12-03,21.2,21.2,19.8,20.9,242373.0
ESQUIRENIT,2024-12-02,0.0,0.0,0.0,21.5,0.0
ESQUIRENIT,2024-12-01,21.3,21.7,21.0,21.5,346136.0
ESQUIRENIT,2024-11-28,22.0,22.0,21.2,21.3,240099.0
ESQUIRENIT,2024-11-27,20.8,21.7,20.8,21.5,174252.0
ESQUIRENIT,2024-11-26,20.9,20.9,20.3,20.6,66815.0
ESQUIRENIT,2024-11-25,20.7,20.7,20.2,20.4,80055.0
ESQUIRENIT,2024-11-24,20.1,20.2,19.7,19.8,74844.0
ESQUIRENIT,2024-11-21,20.1,20.4,19.7,19.9,154408.0
ESQUIRENIT,2024-11-20,21.2,21.2,20.0,20.3,160565.0
ESQUIRENIT,2024-11-19,21.1,21.3,20.4,20.6,170646.0
ESQUIRENIT,2024-11-18,20.8,21.4,20.7,21.0,162073.0
ESQUIRENIT,2024-11-17,22.7,22.7,20.8,20.9,447861.0
ESQUIRENIT,2024-11-14,21.2,22.7,21.0,22.1,341891.0
ESQUIRENIT,2024-11-13,21.5,22.7,20.9,21.1,493538.0
ESQUIRENIT,2024-11-12,23.4,23.6,22.7,23.2,266371.0
ESQUIRENIT,2024-11-11,24.3,24.3,22.7,23.4,472560.0
ESQUIRENIT,2024-11-10,23.9,25.2,23.8,24.2,464870.0
ESQUIRENIT,2024-11-07,23.1,23.8,22.8,23.4,326658.0
ESQUIRENIT,2024-11-06,22.7,23.9,22.1,22.9,372949.0
ESQUIRENIT,2024-11-05,23.0,24.5,22.1,22.7,296433.0
ESQUIRENIT,2024-11-04,21.1,22.8,21.0,22.8,707940.0
ESQUIRENIT,2024-11-03,21.0,21.3,20.7,20.8,144750.0
ESQUIRENIT,2024-10-31,21.3,21.4,20.1,20.7,393627.0
ESQUIRENIT,2024-10-30,21.2,22.3,20.8,21.3,308534.0
ESQUIRENIT,2024-10-29,20.7,22.4,19.4,21.4,791290.0
ESQUIRENIT,2024-10-28,19.0,20.6,18.0,20.6,703981.0
ESQUIRENIT,2024-10-27,17.5,20.0,16.0,18.8,1042146.0
ESQUIRENIT,2024-10-24,15.6,15.9,15.0,15.4,110701.0
ESQUIRENIT,2024-10-23,15.9,16.1,15.4,15.6,82743.0
ESQUIRENIT,2024-10-22,16.1,16.8,15.8,15.9,115626.0
ESQUIRENIT,2024-10-21,16.3,17.9,15.4,15.7,338326.0
ESQUIRENIT,2024-10-20,18.9,18.9,17.1,17.1,211998.0
ESQUIRENIT,2024-10-17,19.5,19.5,18.5,18.9,6064.0
ESQUIRENIT,2024-10-16,19.9,19.9,19.1,19.3,13958.0
ESQUIRENIT,2024-10-15,19.5,20.0,19.3,19.5,40007.0
ESQUIRENIT,2024-10-14,19.6,21.3,19.6,19.8,205064.0
ESQUIRENIT,2024-10-09,19.5,19.6,19.2,19.6,90663.0
ESQUIRENIT,2024-10-08,19.2,19.4,19.0,19.2,35640.0
ESQUIRENIT,2024-10-07,19.1,19.7,19.0,19.1,84823.0
ESQUIRENIT,2024-10-06,19.3,20.7,18.6,19.0,37935.0
ESQUIRENIT,2024-10-03,20.9,20.9,19.0,19.6,44723.0
ESQUIRENIT,2024-10-02,18.6,20.8,18.6,19.1,28194.0
ESQUIRENIT,2024-10-01,20.8,20.8,20.0,20.2,12715.0
ESQUIRENIT,2024-09-30,20.4,21.1,19.5,20.5,72113.0
ESQUIRENIT,2024-09-29,19.5,20.7,19.5,20.1,8215.0
ESQUIRENIT,2024-09-26,20.5,20.5,19.4,20.2,46720.0
ESQUIRENIT,2024-09-25,21.9,22.0,20.1,20.7,76985.0
ESQUIRENIT,2024-09-24,21.8,22.4,21.6,22.2,128663.0
ESQUIRENIT,2024-09-23,22.2,22.6,21.5,21.6,59523.0
ESQUIRENIT,2024-09-22,22.9,22.9,22.1,22.3,50706.0
ESQUIRENIT,2024-09-19,22.7,22.8,22.3,22.4,74181.0
ESQUIRENIT,2024-09-18,22.6,23.5,22.3,22.4,72173.0
ESQUIRENIT,2024-09-17,23.3,24.0,21.4,22.7,252730.0
ESQUIRENIT,2024-09-15,24.0,24.0,23.0,23.7,158328.0
ESQUIRENIT,2024-09-12,23.2,24.5,22.7,23.8,86302.0
ESQUIRENIT,2024-09-11,23.8,23.8,22.7,22.9,73597.0
ESQUIRENIT,2024-09-10,22.5,23.5,22.3,23.2,69269.0
ESQUIRENIT,2024-09-09,23.8,23.8,22.1,22.4,52326.0
ESQUIRENIT,2024-09-08,23.7,23.8,22.8,22.9,103155.0
ESQUIRENIT,2024-09-05,23.5,24.1,22.9,23.4,80471.0
ESQUIRENIT,2024-09-04,23.9,24.8,23.5,23.8,142503.0
ESQUIRENIT,2024-09-03,25.8,27.4,24.2,24.8,136139.0
ESQUIRENIT,2024-09-02,25.0,25.8,24.0,25.1,917425.0
ESQUIRENIT,2024-09-01,24.4,24.5,23.1,23.5,70567.0
ESQUIRENIT,2024-08-29,22.2,23.9,21.7,23.8,278476.0
ESQUIRENIT,2024-08-28,22.3,22.3,21.4,21.8,31696.0
ESQUIRENIT,2024-08-27,22.0,22.0,21.4,21.5,14586.0
ESQUIRENIT,2024-08-25,20.6,22.6,20.6,21.1,60317.0
ESQUIRENIT,2024-08-22,22.7,22.7,20.9,21.2,11861.0
ESQUIRENIT,2024-08-21,21.7,21.7,21.4,21.4,12694.0
ESQUIRENIT,2024-08-20,22.2,22.6,21.9,22.0,10986.0
ESQUIRENIT,2024-08-19,22.7,22.7,22.1,22.3,37063.0
ESQUIRENIT,2024-08-18,23.0,23.0,22.7,22.7,44017.0
ESQUIRENIT,2024-08-15,23.0,24.2,22.9,23.3,64228.0
ESQUIRENIT,2024-08-14,23.0,24.4,22.9,23.4,72160.0
ESQUIRENIT,2024-08-13,23.7,23.8,22.1,23.4,104323.0
ESQUIRENIT,2024-08-12,22.4,23.3,22.4,22.7,56975.0
ESQUIRENIT,2024-08-11,24.6,25.3,22.6,23.0,216669.0
ESQUIRENIT,2024-08-08,23.5,23.9,21.8,23.0,180860.0
ESQUIRENIT,2024-08-07,21.1,22.3,20.5,22.2,167797.0
ESQUIRENIT,2024-08-06,19.5,20.4,19.5,20.3,59233.0
ESQUIRENIT,2024-08-04,18.8,18.8,18.6,18.6,17358.0
ESQUIRENIT,2024-08-01,19.7,19.7,18.9,19.1,39037.0
ESQUIRENIT,2024-07-31,19.2,19.7,18.9,19.1,21016.0
ESQUIRENIT,2024-07-30,19.3,19.4,19.3,19.3,25703.0
ESQUIRENIT,2024-07-29,21.0,21.0,19.4,19.5,20182.0
ESQUIRENIT,2024-07-28,19.2,20.2,18.7,19.3,15582.0
ESQUIRENIT,2024-07-25,19.1,20.2,19.1,19.2,14284.0
ESQUIRENIT,2024-07-24,20.1,20.1,19.5,19.6,12933.0
ESQUIRENIT,2024-07-18,20.0,20.5,20.0,20.1,19247.0
ESQUIRENIT,2024-07-16,20.8,21.3,20.4,20.5,38185.0
ESQUIRENIT,2024-07-15,20.9,21.5,20.9,21.0,8501.0
ESQUIRENIT,2024-07-14,20.9,21.8,20.8,20.8,32275.0
ESQUIRENIT,2024-07-11,21.5,22.2,21.1,21.2,29343.0
ESQUIRENIT,2024-07-10,22.5,22.5,21.7,21.7,84229.0
ESQUIRENIT,2024-07-09,21.7,22.4,21.4,22.3,80867.0
ESQUIRENIT,2024-07-08,22.3,22.3,21.7,21.8,141789.0
ESQUIRENIT,2024-07-07,22.0,22.4,20.8,22.3,106478.0
ESQUIRENIT,2024-07-04,19.9,21.4,19.9,21.4,165219.0
ESQUIRENIT,2024-07-03,19.4,19.8,19.3,19.5,47005.0
ESQUIRENIT,2024-07-02,18.7,19.4,18.6,19.0,25618.0
ESQUIRENIT,2024-06-30,19.2,19.2,18.6,18.7,21616.0
ESQUIRENIT,2024-06-27,19.0,19.6,18.8,19.1,44492.0
ESQUIRENIT,2024-06-26,18.7,19.4,18.6,18.8,26782.0
ESQUIRENIT,2024-06-25,18.6,19.0,18.6,18.8,22050.0
ESQUIRENIT,2024-06-24,18.9,19.3,18.5,18.8,7522.0
ESQUIRENIT,2024-06-23,20.3,20.3,18.8,18.9,40511.0
ESQUIRENIT,2024-06-20,18.9,19.6,18.7,19.3,12564.0
ESQUIRENIT,2024-06-19,18.5,19.0,18.5,18.6,24024.0
ESQUIRENIT,2024-06-13,18.7,18.8,18.4,18.5,12407.0
ESQUIRENIT,2024-06-12,18.5,19.3,18.5,18.8,5424.0
ESQUIRENIT,2024-06-11,18.6,18.7,18.5,18.5,28241.0
ESQUIRENIT,2024-06-10,19.4,19.4,18.9,19.0,32997.0
ESQUIRENIT,2024-06-09,19.6,19.7,19.4,19.4,42303.0
ESQUIRENIT,2024-06-06,19.8,20.2,19.7,20.0,79873.0
ESQUIRENIT,2024-06-05,20.7,20.7,20.3,20.3,7079.0
ESQUIRENIT,2024-06-04,20.0,21.8,20.0,20.9,67330.0
ESQUIRENIT,2024-06-03,19.6,20.3,19.6,20.1,35154.0
ESQUIRENIT,2024-06-02,19.8,20.5,19.8,20.0,36525.0
ESQUIRENIT,2024-05-30,20.7,20.7,19.5,19.8,10272.0
ESQUIRENIT,2024-05-29,20.5,20.5,19.5,19.6,26917.0
ESQUIRENIT,2024-05-28,20.5,20.9,20.0,20.0,20918.0
ESQUIRENIT,2024-05-27,19.7,21.2,19.7,20.6,16441.0
ESQUIRENIT,2024-05-26,22.0,22.0,19.6,19.9,51158.0
ESQUIRENIT,2024-05-23,21.0,21.0,20.0,20.2,34529.0
ESQUIRENIT,2024-05-21,21.3,21.6,20.4,20.6,104363.0
ESQUIRENIT,2024-05-20,21.0,21.7,20.4,20.9,92699.0
ESQUIRENIT,2024-05-19,23.3,23.3,21.0,21.0,55102.0
ESQUIRENIT,2024-05-16,21.6,22.0,21.5,21.6,35943.0
ESQUIRENIT,2024-05-15,23.7,23.7,21.6,21.9,41161.0
