Trading_Code,Date,Open,High,Low,Close,Volume
EXIM1STMF,2025-04-08,3.9,4.2,3.9,4.1,2026110.0
EXIM1STMF,2025-04-07,3.9,4.0,3.8,3.9,1640253.0
EXIM1STMF,2025-04-06,3.7,4.0,3.6,4.0,2858475.0
EXIM1STMF,2025-03-27,3.4,3.8,3.4,3.7,2064034.0
EXIM1STMF,2025-03-25,3.4,3.6,3.3,3.5,1350091.0
EXIM1STMF,2025-03-24,3.3,3.5,3.3,3.4,1127732.0
EXIM1STMF,2025-03-23,3.3,3.4,3.2,3.3,610074.0
EXIM1STMF,2025-03-20,3.4,3.4,3.2,3.3,543045.0
EXIM1STMF,2025-03-19,3.4,3.5,3.3,3.4,1561973.0
EXIM1STMF,2025-03-18,3.1,3.3,3.1,3.3,895539.0
EXIM1STMF,2025-03-17,3.1,3.2,3.0,3.1,523731.0
EXIM1STMF,2025-03-16,3.2,3.2,3.0,3.1,448935.0
EXIM1STMF,2025-03-13,3.1,3.2,3.1,3.1,184812.0
EXIM1STMF,2025-03-12,3.1,3.2,3.1,3.1,185532.0
EXIM1STMF,2025-03-11,3.1,3.2,3.1,3.1,26411.0
EXIM1STMF,2025-03-10,3.1,3.2,3.1,3.1,115045.0
EXIM1STMF,2025-03-09,3.1,3.2,3.1,3.1,150011.0
EXIM1STMF,2025-03-06,3.2,3.2,3.1,3.1,795258.0
EXIM1STMF,2025-03-05,3.2,3.2,3.1,3.1,214694.0
EXIM1STMF,2025-03-04,3.2,3.2,3.1,3.1,419186.0
EXIM1STMF,2025-03-03,3.3,3.3,3.1,3.1,1020466.0
EXIM1STMF,2025-03-02,3.4,3.4,3.2,3.3,356767.0
EXIM1STMF,2025-02-27,3.4,3.5,3.3,3.3,1186647.0
EXIM1STMF,2025-02-26,3.5,3.7,3.3,3.4,1437038.0
EXIM1STMF,2025-02-25,3.3,3.5,3.3,3.5,1275145.0
EXIM1STMF,2025-02-24,3.5,3.7,3.4,3.4,710796.0
EXIM1STMF,2025-02-23,3.2,3.4,3.2,3.4,1688477.0
EXIM1STMF,2025-02-20,3.2,3.3,3.1,3.1,253401.0
EXIM1STMF,2025-02-19,3.4,3.4,3.1,3.1,520070.0
EXIM1STMF,2025-02-18,3.3,3.5,3.3,3.4,615786.0
EXIM1STMF,2025-02-17,3.2,3.3,3.2,3.3,439219.0
EXIM1STMF,2025-02-16,3.2,3.3,3.1,3.2,608646.0
EXIM1STMF,2025-02-13,3.2,3.3,3.1,3.2,53242.0
EXIM1STMF,2025-02-12,3.2,3.3,3.1,3.2,432351.0
EXIM1STMF,2025-02-11,3.1,3.2,3.1,3.1,62855.0
EXIM1STMF,2025-02-10,3.2,3.3,3.1,3.2,40368.0
EXIM1STMF,2025-02-09,3.2,3.4,3.1,3.2,809489.0
EXIM1STMF,2025-02-06,3.1,3.2,3.1,3.2,250323.0
EXIM1STMF,2025-02-05,3.1,3.1,3.0,3.0,19751.0
EXIM1STMF,2025-02-04,3.1,3.1,3.0,3.0,239.0
EXIM1STMF,2025-02-03,3.1,3.1,3.0,3.0,11008.0
EXIM1STMF,2025-02-02,3.1,3.1,3.0,3.0,241835.0
EXIM1STMF,2025-01-30,3.1,3.1,3.1,3.1,9630.0
EXIM1STMF,2025-01-29,3.1,3.1,3.0,3.0,188007.0
EXIM1STMF,2025-01-28,3.1,3.1,3.1,3.1,21000.0
EXIM1STMF,2025-01-27,3.0,3.2,3.0,3.1,48900.0
EXIM1STMF,2025-01-26,3.1,3.1,3.1,3.1,61202.0
EXIM1STMF,2025-01-23,3.1,3.2,3.1,3.1,44.0
EXIM1STMF,2025-01-22,3.2,3.2,3.1,3.1,4251.0
EXIM1STMF,2025-01-21,3.1,3.2,3.1,3.1,17923.0
EXIM1STMF,2025-01-20,3.2,3.2,3.1,3.1,35750.0
EXIM1STMF,2025-01-19,3.1,3.2,3.0,3.1,78789.0
EXIM1STMF,2025-01-16,3.1,3.2,3.1,3.1,2403.0
EXIM1STMF,2025-01-15,3.2,3.2,3.1,3.1,103347.0
EXIM1STMF,2025-01-14,3.2,3.2,3.1,3.1,163660.0
EXIM1STMF,2025-01-13,3.2,3.3,3.1,3.2,216040.0
EXIM1STMF,2025-01-12,3.4,3.4,3.2,3.2,74311.0
EXIM1STMF,2025-01-09,3.3,3.3,3.3,3.3,102568.0
EXIM1STMF,2025-01-08,3.4,3.4,3.2,3.2,87969.0
EXIM1STMF,2025-01-07,3.3,3.4,3.3,3.3,147801.0
EXIM1STMF,2025-01-06,3.3,3.3,3.2,3.3,57400.0
EXIM1STMF,2025-01-05,3.3,3.3,3.2,3.3,313284.0
EXIM1STMF,2025-01-02,3.2,3.3,3.2,3.2,63353.0
EXIM1STMF,2025-01-01,3.3,3.3,3.2,3.2,100511.0
EXIM1STMF,2024-12-30,3.3,3.3,3.2,3.2,6325.0
EXIM1STMF,2024-12-29,3.2,3.3,3.2,3.2,74538.0
EXIM1STMF,2024-12-26,3.2,3.2,3.2,3.2,61227.0
EXIM1STMF,2024-12-24,3.3,3.3,3.2,3.2,97261.0
EXIM1STMF,2024-12-23,3.2,3.3,3.1,3.2,124463.0
EXIM1STMF,2024-12-22,3.3,3.3,3.2,3.2,205891.0
EXIM1STMF,2024-12-19,3.3,3.3,3.2,3.3,124828.0
EXIM1STMF,2024-12-18,3.3,3.3,3.2,3.3,79568.0
EXIM1STMF,2024-12-17,3.3,3.3,3.2,3.3,117452.0
EXIM1STMF,2024-12-15,3.2,3.4,3.2,3.3,123696.0
EXIM1STMF,2024-12-12,3.4,3.4,3.3,3.4,110.0
EXIM1STMF,2024-12-11,3.4,3.4,3.2,3.3,101500.0
EXIM1STMF,2024-12-10,3.4,3.4,3.3,3.3,120201.0
EXIM1STMF,2024-12-09,3.4,3.4,3.3,3.3,42007.0
EXIM1STMF,2024-12-08,3.3,3.3,3.2,3.3,84400.0
EXIM1STMF,2024-12-05,3.4,3.5,3.3,3.3,80502.0
EXIM1STMF,2024-12-04,3.4,3.6,3.4,3.4,526168.0
EXIM1STMF,2024-12-03,3.3,3.4,3.3,3.3,42027.0
EXIM1STMF,2024-12-02,3.3,3.4,3.2,3.3,49249.0
EXIM1STMF,2024-12-01,3.4,3.4,3.2,3.3,41817.0
EXIM1STMF,2024-11-28,3.3,3.3,3.3,3.3,171500.0
EXIM1STMF,2024-11-27,3.2,3.4,3.2,3.3,196335.0
EXIM1STMF,2024-11-26,3.3,3.4,3.2,3.2,274032.0
EXIM1STMF,2024-11-25,3.3,3.4,3.3,3.3,53955.0
EXIM1STMF,2024-11-24,3.3,3.4,3.3,3.3,22807.0
EXIM1STMF,2024-11-21,3.4,3.4,3.3,3.3,84320.0
EXIM1STMF,2024-11-20,3.4,3.5,3.3,3.3,98322.0
EXIM1STMF,2024-11-19,3.5,3.5,3.4,3.4,40761.0
EXIM1STMF,2024-11-18,3.4,3.5,3.4,3.4,50633.0
EXIM1STMF,2024-11-17,3.4,3.5,3.4,3.4,53125.0
EXIM1STMF,2024-11-14,3.5,3.6,3.5,3.5,194190.0
EXIM1STMF,2024-11-13,3.4,3.5,3.4,3.4,135323.0
EXIM1STMF,2024-11-12,3.5,3.6,3.4,3.5,218363.0
EXIM1STMF,2024-11-11,3.4,3.5,3.4,3.4,194400.0
EXIM1STMF,2024-11-10,3.4,3.5,3.4,3.4,272150.0
EXIM1STMF,2024-11-07,3.5,3.6,3.4,3.4,330538.0
