Trading_Code,Date,Open,High,Low,Close,Volume
FAMILYTEX,2025-04-08,2.5,2.6,2.5,2.5,425418.0
FAMILYTEX,2025-04-07,2.6,2.6,2.5,2.5,270719.0
FAMILYTEX,2025-04-06,2.6,2.6,2.5,2.5,494145.0
FAMILYTEX,2025-03-27,2.7,2.7,2.6,2.6,266267.0
FAMILYTEX,2025-03-25,2.7,2.7,2.6,2.6,24677.0
FAMILYTEX,2025-03-24,2.7,2.7,2.6,2.6,197593.0
FAMILYTEX,2025-03-23,2.7,2.8,2.6,2.6,825268.0
FAMILYTEX,2025-03-20,2.7,2.7,2.5,2.6,371221.0
FAMILYTEX,2025-03-19,2.6,2.6,2.5,2.5,192076.0
FAMILYTEX,2025-03-18,2.7,2.7,2.5,2.5,229390.0
FAMILYTEX,2025-03-17,2.7,2.7,2.5,2.6,308146.0
FAMILYTEX,2025-03-16,2.6,2.7,2.6,2.6,110179.0
FAMILYTEX,2025-03-13,2.7,2.7,2.6,2.6,338665.0
FAMILYTEX,2025-03-12,2.7,2.7,2.6,2.6,242780.0
FAMILYTEX,2025-03-11,2.7,2.7,2.6,2.6,187358.0
FAMILYTEX,2025-03-10,2.8,2.8,2.6,2.6,480668.0
FAMILYTEX,2025-03-09,2.8,2.8,2.6,2.7,527683.0
FAMILYTEX,2025-03-06,2.8,2.8,2.7,2.8,255461.0
FAMILYTEX,2025-03-05,2.8,2.8,2.7,2.7,550909.0
FAMILYTEX,2025-03-04,2.8,2.8,2.7,2.7,531050.0
FAMILYTEX,2025-03-03,2.8,2.8,2.7,2.7,173959.0
FAMILYTEX,2025-03-02,2.9,2.9,2.7,2.8,417612.0
FAMILYTEX,2025-02-27,2.9,2.9,2.7,2.9,387328.0
FAMILYTEX,2025-02-26,2.9,2.9,2.7,2.8,722758.0
FAMILYTEX,2025-02-25,2.8,2.9,2.7,2.8,382805.0
FAMILYTEX,2025-02-24,2.9,2.9,2.7,2.8,867056.0
FAMILYTEX,2025-02-23,2.9,2.9,2.8,2.8,386463.0
FAMILYTEX,2025-02-20,2.9,3.0,2.7,2.8,836383.0
FAMILYTEX,2025-02-19,2.9,2.9,2.7,2.8,524622.0
FAMILYTEX,2025-02-18,2.9,3.0,2.8,2.8,897848.0
FAMILYTEX,2025-02-17,2.7,3.0,2.7,2.9,920763.0
FAMILYTEX,2025-02-16,3.0,3.0,2.8,2.8,732692.0
FAMILYTEX,2025-02-13,2.8,3.0,2.7,2.9,1747951.0
FAMILYTEX,2025-02-12,2.9,2.9,2.7,2.8,452653.0
FAMILYTEX,2025-02-11,2.8,2.9,2.7,2.8,812702.0
FAMILYTEX,2025-02-10,2.9,3.0,2.8,2.8,615942.0
FAMILYTEX,2025-02-09,2.8,3.0,2.8,2.9,2801900.0
FAMILYTEX,2025-02-06,2.7,2.8,2.5,2.8,2809297.0
FAMILYTEX,2025-02-05,2.5,2.6,2.5,2.6,392151.0
FAMILYTEX,2025-02-04,2.6,2.7,2.5,2.5,545001.0
FAMILYTEX,2025-02-03,2.5,2.6,2.5,2.6,1513774.0
FAMILYTEX,2025-02-02,2.5,2.5,2.4,2.4,295083.0
FAMILYTEX,2025-01-30,2.5,2.5,2.4,2.5,79774.0
FAMILYTEX,2025-01-29,2.6,2.6,2.4,2.5,499442.0
FAMILYTEX,2025-01-28,2.4,2.6,2.3,2.5,945776.0
FAMILYTEX,2025-01-27,2.4,2.5,2.3,2.4,256268.0
FAMILYTEX,2025-01-26,2.5,2.5,2.4,2.4,245618.0
FAMILYTEX,2025-01-23,2.5,2.5,2.4,2.4,44651.0
FAMILYTEX,2025-01-22,2.4,2.5,2.4,2.4,538089.0
FAMILYTEX,2025-01-21,2.5,2.5,2.4,2.4,261708.0
FAMILYTEX,2025-01-20,2.4,2.5,2.4,2.4,486964.0
FAMILYTEX,2025-01-19,2.5,2.5,2.4,2.4,409494.0
FAMILYTEX,2025-01-16,2.5,2.6,2.4,2.5,292470.0
FAMILYTEX,2025-01-15,2.5,2.6,2.4,2.5,349830.0
FAMILYTEX,2025-01-14,2.5,2.5,2.4,2.5,211218.0
FAMILYTEX,2025-01-13,2.5,2.5,2.4,2.4,210643.0
FAMILYTEX,2025-01-12,2.6,2.6,2.4,2.5,146070.0
FAMILYTEX,2025-01-09,2.5,2.6,2.5,2.5,120719.0
FAMILYTEX,2025-01-08,2.5,2.6,2.5,2.5,163618.0
FAMILYTEX,2025-01-07,2.6,2.6,2.5,2.5,509259.0
FAMILYTEX,2025-01-06,2.6,2.6,2.5,2.5,247224.0
FAMILYTEX,2025-01-05,2.6,2.6,2.5,2.5,109871.0
FAMILYTEX,2025-01-02,2.5,2.6,2.5,2.6,84412.0
FAMILYTEX,2025-01-01,2.5,2.6,2.5,2.5,179498.0
FAMILYTEX,2024-12-30,2.6,2.6,2.5,2.5,151300.0
FAMILYTEX,2024-12-29,2.6,2.6,2.5,2.5,70633.0
FAMILYTEX,2024-12-26,2.5,2.6,2.4,2.5,427713.0
FAMILYTEX,2024-12-24,2.6,2.6,2.5,2.5,156402.0
FAMILYTEX,2024-12-23,2.6,2.6,2.5,2.6,233701.0
FAMILYTEX,2024-12-22,2.5,2.7,2.5,2.5,1050813.0
