Trading_Code,Date,Open,High,Low,Close,Volume
FBFIF,2025-04-08,3.5,3.8,3.5,3.8,2524161.0
FBFIF,2025-04-07,3.6,3.6,3.4,3.5,770995.0
FBFIF,2025-04-06,3.4,3.7,3.3,3.6,1684141.0
FBFIF,2025-03-27,3.2,3.5,3.2,3.4,1485747.0
FBFIF,2025-03-25,3.3,3.3,3.2,3.3,623193.0
FBFIF,2025-03-24,3.3,3.3,3.2,3.2,583299.0
FBFIF,2025-03-23,3.2,3.3,3.1,3.2,410250.0
FBFIF,2025-03-20,3.3,3.3,3.2,3.2,375441.0
FBFIF,2025-03-19,3.1,3.3,3.1,3.3,1292476.0
FBFIF,2025-03-18,3.0,3.2,3.0,3.1,865495.0
FBFIF,2025-03-17,3.0,3.1,3.0,3.0,230830.0
FBFIF,2025-03-16,3.1,3.1,3.0,3.0,42201.0
FBFIF,2025-03-13,3.1,3.1,3.0,3.1,39233.0
FBFIF,2025-03-12,3.1,3.1,3.0,3.0,331798.0
FBFIF,2025-03-11,3.1,3.1,3.0,3.1,83153.0
FBFIF,2025-03-10,3.1,3.2,3.0,3.1,551267.0
FBFIF,2025-03-09,3.1,3.2,3.0,3.1,238044.0
FBFIF,2025-03-06,3.1,3.1,3.0,3.1,713919.0
FBFIF,2025-03-05,3.1,3.2,3.0,3.1,595784.0
FBFIF,2025-03-04,3.1,3.1,3.0,3.1,259660.0
FBFIF,2025-03-03,3.1,3.2,3.0,3.1,135465.0
FBFIF,2025-03-02,3.1,3.2,3.1,3.1,171681.0
FBFIF,2025-02-27,3.1,3.2,3.1,3.1,181453.0
FBFIF,2025-02-26,3.2,3.2,3.1,3.1,939831.0
FBFIF,2025-02-25,3.1,3.2,3.1,3.1,358378.0
FBFIF,2025-02-24,3.2,3.3,3.1,3.1,1092377.0
FBFIF,2025-02-23,3.1,3.3,3.1,3.2,458022.0
FBFIF,2025-02-20,3.1,3.2,3.0,3.1,305726.0
FBFIF,2025-02-19,3.2,3.2,3.1,3.1,510693.0
FBFIF,2025-02-18,3.3,3.4,3.2,3.2,1041026.0
FBFIF,2025-02-17,3.2,3.3,3.1,3.3,1103836.0
FBFIF,2025-02-16,3.1,3.2,3.1,3.2,753250.0
FBFIF,2025-02-13,3.2,3.2,3.1,3.1,122723.0
FBFIF,2025-02-12,3.1,3.2,3.1,3.1,256116.0
FBFIF,2025-02-11,3.1,3.2,3.1,3.1,61905.0
FBFIF,2025-02-10,3.2,3.2,3.0,3.1,199583.0
FBFIF,2025-02-09,3.2,3.2,3.0,3.1,295105.0
FBFIF,2025-02-06,3.1,3.2,3.1,3.1,441574.0
FBFIF,2025-02-05,3.1,3.2,3.1,3.1,46584.0
FBFIF,2025-02-04,3.2,3.2,3.0,3.1,128967.0
FBFIF,2025-02-03,3.1,3.2,3.0,3.1,740359.0
FBFIF,2025-02-02,3.1,3.1,3.0,3.0,304999.0
FBFIF,2025-01-30,3.1,3.2,3.1,3.1,140683.0
FBFIF,2025-01-29,3.1,3.2,3.1,3.1,58946.0
FBFIF,2025-01-28,3.2,3.2,3.1,3.2,114152.0
FBFIF,2025-01-27,3.2,3.2,3.1,3.1,286558.0
FBFIF,2025-01-26,3.2,3.2,3.1,3.1,55251.0
FBFIF,2025-01-23,3.2,3.2,3.2,3.2,212292.0
FBFIF,2025-01-22,3.2,3.3,3.2,3.2,43671.0
FBFIF,2025-01-21,3.2,3.3,3.1,3.2,235632.0
FBFIF,2025-01-20,3.2,3.3,3.1,3.2,205515.0
FBFIF,2025-01-19,3.3,3.3,3.2,3.2,106810.0
FBFIF,2025-01-16,3.2,3.3,3.2,3.2,23281.0
FBFIF,2025-01-15,3.3,3.3,3.2,3.2,154419.0
FBFIF,2025-01-14,3.3,3.3,3.2,3.2,56816.0
FBFIF,2025-01-13,3.3,3.4,3.2,3.3,580617.0
FBFIF,2025-01-12,3.4,3.4,3.3,3.3,200315.0
FBFIF,2025-01-09,3.3,3.4,3.2,3.3,108236.0
FBFIF,2025-01-08,3.3,3.3,3.2,3.3,149254.0
FBFIF,2025-01-07,3.3,3.4,3.2,3.2,133451.0
FBFIF,2025-01-06,3.3,3.3,3.2,3.3,170440.0
FBFIF,2025-01-05,3.3,3.4,3.3,3.3,282685.0
FBFIF,2025-01-02,3.4,3.4,3.3,3.3,113816.0
FBFIF,2025-01-01,3.4,3.4,3.3,3.3,206193.0
FBFIF,2024-12-30,3.4,3.4,3.3,3.4,367534.0
FBFIF,2024-12-29,3.4,3.4,3.3,3.3,118939.0
FBFIF,2024-12-26,3.4,3.4,3.3,3.3,70303.0
FBFIF,2024-12-24,3.3,3.4,3.3,3.3,158602.0
FBFIF,2024-12-23,3.4,3.4,3.3,3.3,312561.0
FBFIF,2024-12-22,3.4,3.4,3.3,3.4,209132.0
FBFIF,2024-12-19,3.3,3.4,3.3,3.3,171617.0
FBFIF,2024-12-18,3.4,3.4,3.3,3.3,556239.0
FBFIF,2024-12-17,3.4,3.4,3.3,3.3,189240.0
FBFIF,2024-12-15,3.4,3.4,3.3,3.3,47778.0
FBFIF,2024-12-12,3.4,3.4,3.3,3.3,77316.0
FBFIF,2024-12-11,3.4,3.5,3.3,3.4,55566.0
FBFIF,2024-12-10,3.4,3.5,3.4,3.4,108769.0
FBFIF,2024-12-09,3.4,3.5,3.4,3.4,172905.0
FBFIF,2024-12-08,3.5,3.5,3.3,3.4,542647.0
FBFIF,2024-12-05,3.6,3.6,3.4,3.4,525987.0
FBFIF,2024-12-04,3.5,3.7,3.5,3.6,1417841.0
FBFIF,2024-12-03,3.4,3.5,3.3,3.4,251286.0
FBFIF,2024-12-02,3.4,3.4,3.3,3.4,581390.0
FBFIF,2024-12-01,3.4,3.5,3.3,3.4,193358.0
FBFIF,2024-11-28,3.4,3.5,3.4,3.4,360958.0
FBFIF,2024-11-27,3.3,3.5,3.3,3.4,703028.0
FBFIF,2024-11-26,3.4,3.5,3.3,3.4,821627.0
FBFIF,2024-11-25,3.4,3.4,3.3,3.4,116671.0
FBFIF,2024-11-24,3.4,3.4,3.3,3.4,69909.0
FBFIF,2024-11-21,3.4,3.4,3.3,3.3,172535.0
FBFIF,2024-11-20,3.4,3.4,3.3,3.4,52707.0
FBFIF,2024-11-19,3.4,3.4,3.3,3.4,390868.0
FBFIF,2024-11-18,3.5,3.5,3.4,3.4,809668.0
FBFIF,2024-11-17,3.5,3.5,3.4,3.5,153575.0
FBFIF,2024-11-14,3.4,3.6,3.4,3.4,860603.0
FBFIF,2024-11-13,3.6,3.6,3.4,3.5,42660.0
FBFIF,2024-11-12,3.5,3.6,3.4,3.5,241513.0
FBFIF,2024-11-11,3.6,3.6,3.4,3.5,276655.0
FBFIF,2024-11-10,3.5,3.6,3.4,3.5,766682.0
FBFIF,2024-11-07,3.7,3.7,3.5,3.6,963744.0
FBFIF,2024-11-06,3.6,3.7,3.6,3.7,1802740.0
FBFIF,2024-11-05,3.6,3.7,3.5,3.6,1270858.0
FBFIF,2024-11-04,3.7,3.7,3.4,3.5,1591528.0
FBFIF,2024-11-03,3.9,3.9,3.6,3.7,1407180.0
FBFIF,2024-10-31,3.5,3.6,3.5,3.6,1036560.0
FBFIF,2024-10-30,3.4,3.5,3.3,3.4,936867.0
FBFIF,2024-10-29,3.3,3.4,3.3,3.3,130932.0
FBFIF,2024-10-28,3.3,3.4,3.2,3.3,268031.0
FBFIF,2024-10-27,3.3,3.4,3.3,3.3,100059.0
FBFIF,2024-10-24,3.3,3.4,3.3,3.4,48900.0
FBFIF,2024-10-23,3.4,3.5,3.3,3.3,135020.0
FBFIF,2024-10-22,3.4,3.5,3.3,3.4,157660.0
FBFIF,2024-10-21,3.3,3.4,3.3,3.3,122201.0
FBFIF,2024-10-20,3.4,3.5,3.3,3.3,164929.0
FBFIF,2024-10-17,3.4,3.5,3.3,3.4,311131.0
FBFIF,2024-10-16,3.5,3.5,3.4,3.4,276158.0
FBFIF,2024-10-15,3.6,3.6,3.4,3.4,108156.0
FBFIF,2024-10-14,3.6,3.7,3.5,3.5,2768760.0
FBFIF,2024-10-09,3.4,3.7,3.4,3.6,837840.0
FBFIF,2024-10-08,3.4,3.5,3.3,3.4,89050.0
FBFIF,2024-10-07,3.4,3.5,3.3,3.4,327651.0
FBFIF,2024-10-06,0.0,0.0,0.0,3.4,0.0
FBFIF,2024-10-03,3.6,3.6,3.4,3.4,1556341.0
FBFIF,2024-10-02,3.6,3.7,3.5,3.6,951787.0
FBFIF,2024-10-01,3.6,3.7,3.5,3.6,471973.0
FBFIF,2024-09-30,3.5,3.6,3.4,3.5,242141.0
FBFIF,2024-09-29,3.6,3.6,3.5,3.5,915949.0
FBFIF,2024-09-26,3.6,3.7,3.5,3.5,541003.0
FBFIF,2024-09-25,3.9,4.0,3.5,3.5,2903110.0
FBFIF,2024-09-24,3.8,4.0,3.7,3.8,1655770.0
FBFIF,2024-09-23,3.9,3.9,3.7,3.7,1119950.0
FBFIF,2024-09-22,3.6,3.9,3.6,3.8,4357419.0
FBFIF,2024-09-19,3.5,3.6,3.5,3.6,82049.0
FBFIF,2024-09-18,3.6,3.6,3.5,3.5,858188.0
FBFIF,2024-09-17,3.8,3.8,3.6,3.6,874558.0
FBFIF,2024-09-15,3.8,3.9,3.7,3.8,577514.0
FBFIF,2024-09-12,3.9,4.0,3.7,3.8,286556.0
FBFIF,2024-09-11,3.8,3.9,3.8,3.9,297313.0
FBFIF,2024-09-10,3.8,3.9,3.7,3.8,56163.0
FBFIF,2024-09-09,3.8,3.9,3.8,3.8,224813.0
FBFIF,2024-09-08,3.9,4.0,3.8,3.9,90969.0
FBFIF,2024-09-05,3.9,4.0,3.9,3.9,297753.0
FBFIF,2024-09-04,3.9,4.0,3.9,3.9,188274.0
FBFIF,2024-09-03,3.9,4.0,3.9,3.9,271280.0
FBFIF,2024-09-02,4.1,4.1,3.8,3.9,536753.0
FBFIF,2024-09-01,4.1,4.1,4.0,4.0,236003.0
FBFIF,2024-08-29,4.1,4.1,3.9,4.0,486539.0
FBFIF,2024-08-28,4.0,4.1,4.0,4.0,185686.0
FBFIF,2024-08-27,4.0,4.1,3.9,4.0,434658.0
FBFIF,2024-08-25,4.0,4.2,3.9,4.0,325254.0
FBFIF,2024-08-22,3.9,3.9,3.8,3.9,290308.0
FBFIF,2024-08-21,3.9,3.9,3.9,3.9,27796.0
FBFIF,2024-08-20,4.0,4.1,4.0,4.0,95733.0
FBFIF,2024-08-19,4.1,4.2,4.1,4.1,347582.0
FBFIF,2024-08-18,4.2,4.2,4.2,4.2,37978.0
FBFIF,2024-08-15,4.3,4.3,4.3,4.3,194798.0
FBFIF,2024-08-14,4.4,4.5,4.3,4.4,634485.0
FBFIF,2024-08-13,4.4,4.5,4.4,4.4,1148910.0
FBFIF,2024-08-12,4.8,4.8,4.5,4.5,1123422.0
FBFIF,2024-08-11,4.4,4.6,4.2,4.6,1871070.0
FBFIF,2024-08-08,4.1,4.2,4.0,4.2,1361040.0
FBFIF,2024-08-07,3.7,3.9,3.7,3.9,1280582.0
FBFIF,2024-08-06,3.6,3.6,3.5,3.6,414931.0
FBFIF,2024-08-04,3.3,3.4,3.3,3.3,1200399.0
FBFIF,2024-08-01,3.4,3.4,3.3,3.4,1043106.0
FBFIF,2024-07-31,3.4,3.5,3.3,3.4,865279.0
FBFIF,2024-07-30,3.6,3.6,3.4,3.4,30148.0
FBFIF,2024-07-29,3.7,3.7,3.5,3.5,549459.0
FBFIF,2024-07-28,3.8,3.8,3.6,3.6,282496.0
FBFIF,2024-07-25,3.6,3.7,3.6,3.7,55111.0
FBFIF,2024-07-24,3.7,3.7,3.6,3.6,16130.0
FBFIF,2024-07-18,3.7,3.8,3.7,3.7,120314.0
FBFIF,2024-07-16,3.9,3.9,3.7,3.7,99431.0
FBFIF,2024-07-15,4.0,4.0,3.8,3.8,139208.0
FBFIF,2024-07-14,4.0,4.0,3.8,3.8,244286.0
FBFIF,2024-07-11,4.0,4.0,3.9,3.9,447784.0
FBFIF,2024-07-10,4.0,4.0,3.9,4.0,148159.0
FBFIF,2024-07-09,3.9,4.0,3.8,3.9,116368.0
FBFIF,2024-07-08,4.0,4.1,3.8,3.9,434177.0
FBFIF,2024-07-07,3.7,4.0,3.7,3.9,360276.0
FBFIF,2024-07-04,3.6,3.8,3.6,3.7,236444.0
FBFIF,2024-07-03,3.6,3.6,3.5,3.6,36890.0
FBFIF,2024-07-02,3.5,3.6,3.5,3.5,80521.0
FBFIF,2024-06-30,3.6,3.6,3.5,3.6,61281.0
FBFIF,2024-06-27,3.7,3.7,3.5,3.6,68310.0
FBFIF,2024-06-26,3.5,3.7,3.5,3.6,106264.0
FBFIF,2024-06-25,3.6,3.6,3.5,3.5,45022.0
FBFIF,2024-06-24,3.5,3.6,3.5,3.5,26263.0
FBFIF,2024-06-23,3.6,3.6,3.5,3.5,74768.0
FBFIF,2024-06-20,3.6,3.6,3.5,3.6,40304.0
FBFIF,2024-06-19,3.6,3.6,3.4,3.5,143109.0
FBFIF,2024-06-13,3.5,3.6,3.5,3.5,35575.0
FBFIF,2024-06-12,3.7,3.7,3.5,3.5,55844.0
FBFIF,2024-06-11,3.6,3.7,3.6,3.6,109622.0
FBFIF,2024-06-10,3.7,3.8,3.6,3.6,78338.0
FBFIF,2024-06-09,3.7,3.8,3.7,3.7,105497.0
FBFIF,2024-06-06,3.8,3.8,3.7,3.8,83755.0
FBFIF,2024-06-05,3.8,3.8,3.7,3.7,32538.0
FBFIF,2024-06-04,3.8,3.9,3.7,3.8,221417.0
FBFIF,2024-06-03,3.9,3.9,3.8,3.8,184715.0
FBFIF,2024-06-02,3.9,3.9,3.8,3.9,95266.0
FBFIF,2024-05-30,3.9,3.9,3.8,3.8,163258.0
FBFIF,2024-05-29,3.9,4.0,3.8,3.9,70296.0
FBFIF,2024-05-28,3.8,4.0,3.8,3.9,599932.0
FBFIF,2024-05-27,3.9,3.9,3.7,3.7,172636.0
FBFIF,2024-05-26,3.9,3.9,3.7,3.8,79858.0
FBFIF,2024-05-23,3.9,3.9,3.8,3.8,124085.0
FBFIF,2024-05-21,3.9,4.0,3.8,3.9,47724.0
FBFIF,2024-05-20,3.8,3.9,3.8,3.9,58559.0
FBFIF,2024-05-19,3.9,3.9,3.8,3.8,85199.0
FBFIF,2024-05-16,3.9,4.0,3.9,3.9,182500.0
FBFIF,2024-05-15,3.9,4.0,3.8,3.9,122121.0
FBFIF,2024-05-14,4.0,4.0,3.9,3.9,197900.0
FBFIF,2024-05-13,4.0,4.0,3.9,4.0,40137.0
FBFIF,2024-05-12,4.1,4.1,3.9,3.9,362020.0
FBFIF,2024-05-09,4.1,4.2,4.0,4.0,330174.0
FBFIF,2024-05-08,4.2,4.2,4.0,4.1,52507.0
FBFIF,2024-05-07,4.1,4.2,4.1,4.1,118697.0
FBFIF,2024-05-06,3.9,4.1,3.9,4.1,237531.0
FBFIF,2024-05-05,4.0,4.0,3.9,3.9,221361.0
FBFIF,2024-05-02,4.0,4.1,4.0,4.0,80092.0
FBFIF,2024-04-30,4.1,4.1,4.0,4.0,117784.0
FBFIF,2024-04-29,4.2,4.2,4.1,4.1,34636.0
FBFIF,2024-04-28,4.2,4.2,4.1,4.1,49808.0
FBFIF,2024-04-25,4.2,4.2,4.1,4.1,263981.0
FBFIF,2024-04-24,4.2,4.3,4.1,4.2,238333.0
FBFIF,2024-04-23,4.4,4.4,4.2,4.2,60222.0
FBFIF,2024-04-22,4.3,4.4,4.2,4.3,177222.0
FBFIF,2024-04-21,4.4,4.5,4.2,4.2,223147.0
FBFIF,2024-04-18,4.5,4.5,4.4,4.4,63801.0
FBFIF,2024-04-17,4.5,4.6,4.4,4.5,47655.0
FBFIF,2024-04-16,4.5,4.5,4.4,4.5,229156.0
FBFIF,2024-04-15,4.4,4.5,4.4,4.4,9324.0
FBFIF,2024-04-09,4.5,4.5,4.4,4.4,67252.0
FBFIF,2024-04-08,4.4,4.5,4.4,4.5,24415.0
FBFIF,2024-04-04,4.5,4.5,4.4,4.4,38353.0
FBFIF,2024-04-03,4.4,4.5,4.3,4.4,52562.0
FBFIF,2024-04-02,4.4,4.4,4.3,4.3,62100.0
FBFIF,2024-04-01,4.5,4.5,4.4,4.4,146904.0
FBFIF,2024-03-31,4.5,4.5,4.5,4.5,108300.0
FBFIF,2024-03-28,4.4,4.6,4.4,4.5,63910.0
FBFIF,2024-03-27,4.5,4.5,4.4,4.5,34330.0
FBFIF,2024-03-25,4.5,4.6,4.4,4.5,163648.0
FBFIF,2024-03-24,4.6,4.6,4.5,4.6,104134.0
FBFIF,2024-03-21,4.5,4.6,4.5,4.6,407159.0
FBFIF,2024-03-20,4.5,4.6,4.5,4.5,111743.0
FBFIF,2024-03-19,4.5,4.7,4.4,4.5,211752.0
FBFIF,2024-03-18,4.6,4.6,4.4,4.4,175083.0
FBFIF,2024-03-14,4.6,4.6,4.5,4.6,173150.0
FBFIF,2024-03-13,4.6,4.7,4.6,4.6,83416.0
FBFIF,2024-03-12,4.7,4.7,4.5,4.6,573660.0
FBFIF,2024-03-11,4.8,4.8,4.6,4.6,263674.0
FBFIF,2024-03-10,4.7,4.8,4.6,4.7,75096.0
FBFIF,2024-03-07,4.8,4.8,4.7,4.7,84376.0
FBFIF,2024-03-06,4.7,4.8,4.7,4.8,38975.0
FBFIF,2024-03-05,4.8,4.8,4.7,4.8,83957.0
FBFIF,2024-03-04,4.8,4.8,4.7,4.7,182784.0
FBFIF,2024-03-03,4.8,4.9,4.7,4.7,147343.0
FBFIF,2024-02-29,4.8,4.9,4.7,4.8,206013.0
FBFIF,2024-02-28,4.8,4.9,4.8,4.8,557250.0
FBFIF,2024-02-27,4.8,4.9,4.8,4.8,91073.0
FBFIF,2024-02-25,4.9,4.9,4.8,4.8,378954.0
FBFIF,2024-02-22,4.9,4.9,4.8,4.8,626424.0
FBFIF,2024-02-20,4.8,4.9,4.8,4.9,63442.0
FBFIF,2024-02-19,4.9,4.9,4.8,4.9,77795.0
FBFIF,2024-02-18,4.9,5.0,4.8,4.9,125804.0
FBFIF,2024-02-15,4.9,5.0,4.9,4.9,525863.0
FBFIF,2024-02-14,5.0,5.0,4.9,5.0,333144.0
FBFIF,2024-02-13,5.0,5.1,4.9,4.9,733252.0
FBFIF,2024-02-12,5.0,5.1,5.0,5.0,568308.0
FBFIF,2024-02-11,5.0,5.1,5.0,5.0,1014648.0
FBFIF,2024-02-08,5.1,5.1,5.0,5.0,860881.0
FBFIF,2024-02-07,4.9,5.1,4.9,5.0,989166.0
FBFIF,2024-02-06,5.1,5.1,4.9,4.9,570173.0
FBFIF,2024-02-05,5.0,5.1,5.0,5.0,442739.0
FBFIF,2024-02-04,5.0,5.1,4.8,5.0,771828.0
FBFIF,2024-02-01,4.9,5.0,4.8,4.9,356703.0
FBFIF,2024-01-31,4.9,5.0,4.8,4.9,533028.0
FBFIF,2024-01-30,4.9,5.1,4.8,4.9,677598.0
FBFIF,2024-01-29,4.9,4.9,4.8,4.9,128606.0
FBFIF,2024-01-28,4.9,5.0,4.8,4.8,209914.0
FBFIF,2024-01-25,4.9,5.0,4.9,4.9,213037.0
FBFIF,2024-01-24,5.1,5.1,4.9,4.9,540071.0
FBFIF,2024-01-23,5.0,5.2,5.0,5.0,769033.0
FBFIF,2024-01-22,4.9,5.1,4.8,5.0,349098.0
FBFIF,2024-01-21,4.8,5.0,4.8,4.9,686498.0
FBFIF,2024-01-18,5.0,5.1,5.0,5.0,669690.0
FBFIF,2024-01-17,5.1,5.1,5.0,5.0,405143.0
FBFIF,2024-01-16,5.1,5.1,5.0,5.0,1012122.0
FBFIF,2024-01-15,5.1,5.2,5.0,5.1,728596.0
FBFIF,2024-01-14,5.1,5.2,5.0,5.1,1060150.0
FBFIF,2024-01-11,5.1,5.2,5.0,5.1,1481082.0
FBFIF,2024-01-10,5.0,5.2,5.0,5.1,1194665.0
FBFIF,2024-01-09,5.0,5.1,5.0,5.0,865436.0
FBFIF,2024-01-08,5.0,5.1,5.0,5.1,809170.0
FBFIF,2024-01-04,5.0,5.0,5.0,5.0,138744.0
FBFIF,2024-01-03,5.0,5.0,5.0,5.0,171941.0
FBFIF,2024-01-02,5.1,5.1,5.0,5.0,860868.0
FBFIF,2024-01-01,5.2,5.2,5.0,5.0,920448.0
FBFIF,2023-12-28,5.0,5.2,5.0,5.1,2278950.0
FBFIF,2023-12-27,5.0,5.1,5.0,5.0,974213.0
FBFIF,2023-12-26,5.0,5.1,5.0,5.0,723160.0
FBFIF,2023-12-24,5.1,5.1,5.0,5.0,2395069.0
FBFIF,2023-12-21,5.2,5.5,5.1,5.1,4507697.0
FBFIF,2023-12-20,5.0,5.3,5.0,5.2,6993271.0
FBFIF,2023-12-19,5.0,5.0,5.0,5.0,7358.0
FBFIF,2023-12-18,5.0,5.0,5.0,5.0,6723.0
FBFIF,2023-12-17,5.0,5.0,5.0,5.0,9295.0
FBFIF,2023-12-14,5.0,5.0,5.0,5.0,11469.0
FBFIF,2023-12-13,5.0,5.0,5.0,5.0,45484.0
FBFIF,2023-12-12,5.0,5.0,5.0,5.0,1039.0
FBFIF,2023-12-11,5.0,5.0,5.0,5.0,5055.0
FBFIF,2023-12-10,5.0,5.0,5.0,5.0,14217.0
FBFIF,2023-12-07,5.0,5.0,5.0,5.0,10683.0
FBFIF,2023-12-06,5.0,5.0,5.0,5.0,110.0
FBFIF,2023-12-05,5.0,5.0,5.0,5.0,928.0
FBFIF,2023-12-04,5.0,5.0,5.0,5.0,2110.0
FBFIF,2023-12-03,5.0,5.0,5.0,5.0,31.0
FBFIF,2023-11-30,5.0,5.0,5.0,5.0,12.0
FBFIF,2023-11-29,5.0,5.0,5.0,5.0,175.0
FBFIF,2023-11-28,5.0,5.0,5.0,5.0,4.0
FBFIF,2023-11-27,5.0,5.0,5.0,5.0,49.0
FBFIF,2023-11-26,5.0,5.0,5.0,5.0,2520.0
FBFIF,2023-11-23,5.0,5.0,5.0,5.0,501051.0
FBFIF,2023-11-22,5.0,5.0,5.0,5.0,5111.0
FBFIF,2023-11-21,5.0,5.0,5.0,5.0,980.0
FBFIF,2023-11-20,5.0,5.0,5.0,5.0,3560.0
FBFIF,2023-11-19,5.0,5.0,5.0,5.0,61.0
FBFIF,2023-11-16,5.0,5.0,5.0,5.0,194.0
FBFIF,2023-11-15,5.0,5.0,5.0,5.0,10.0
FBFIF,2023-11-14,5.0,5.0,5.0,5.0,352.0
FBFIF,2023-11-13,5.0,5.0,5.0,5.0,367.0
FBFIF,2023-11-12,5.0,5.0,5.0,5.0,508101.0
FBFIF,2023-11-09,5.0,5.0,5.0,5.0,336.0
FBFIF,2023-11-08,5.0,5.0,5.0,5.0,590.0
FBFIF,2023-11-07,5.0,5.0,5.0,5.0,14.0
FBFIF,2023-11-06,5.0,5.0,5.0,5.0,1213.0
FBFIF,2023-11-05,5.0,5.0,5.0,5.0,2460.0
FBFIF,2023-11-02,5.0,5.0,5.0,5.0,8731.0
FBFIF,2023-11-01,5.0,5.0,5.0,5.0,30.0
FBFIF,2023-10-31,5.0,5.0,5.0,5.0,6741.0
FBFIF,2023-10-30,5.0,5.0,5.0,5.0,15.0
FBFIF,2023-10-29,5.0,5.0,5.0,5.0,10515.0
FBFIF,2023-10-26,5.0,5.0,5.0,5.0,51.0
FBFIF,2023-10-25,5.0,5.0,5.0,5.0,20013.0
FBFIF,2023-10-23,5.0,5.0,5.0,5.0,56.0
FBFIF,2023-10-22,5.0,5.0,5.0,5.0,12.0
FBFIF,2023-10-19,0.0,0.0,0.0,5.0,0.0
FBFIF,2023-10-18,5.0,5.0,5.0,5.0,5.0
FBFIF,2023-10-17,5.0,5.0,5.0,5.0,10.0
FBFIF,2023-10-16,5.0,5.0,5.0,5.0,500.0
FBFIF,2023-10-15,5.0,5.0,5.0,5.0,8.0
FBFIF,2023-10-12,5.0,5.0,5.0,5.0,1004.0
FBFIF,2023-10-11,5.0,5.0,5.0,5.0,210.0
FBFIF,2023-10-10,5.0,5.0,5.0,5.0,200.0
FBFIF,2023-10-09,5.0,5.0,5.0,5.0,12.0
FBFIF,2023-10-08,5.0,5.0,5.0,5.0,209.0
FBFIF,2023-10-05,5.0,5.0,5.0,5.0,490.0
FBFIF,2023-10-04,5.0,5.0,5.0,5.0,5000.0
FBFIF,2023-10-03,5.0,5.0,5.0,5.0,28.0
FBFIF,2023-10-02,5.0,5.0,5.0,5.0,10.0
FBFIF,2023-10-01,5.0,5.0,5.0,5.0,4.0
FBFIF,2023-09-27,5.0,5.0,5.0,5.0,1505.0
FBFIF,2023-09-26,5.0,5.0,5.0,5.0,10.0
FBFIF,2023-09-25,5.0,5.0,5.0,5.0,1700.0
FBFIF,2023-09-24,5.0,5.0,5.0,5.0,2.0
FBFIF,2023-09-21,0.0,0.0,0.0,5.0,0.0
FBFIF,2023-09-20,5.0,5.0,5.0,5.0,2.0
FBFIF,2023-09-19,5.0,5.0,5.0,5.0,115.0
FBFIF,2023-09-18,5.0,5.0,5.0,5.0,130.0
FBFIF,2023-09-17,5.0,5.0,5.0,5.0,2.0
FBFIF,2023-09-14,5.0,5.0,5.0,5.0,3032.0
FBFIF,2023-09-13,5.0,5.0,5.0,5.0,1.0
FBFIF,2023-09-12,5.0,5.0,5.0,5.0,6.0
FBFIF,2023-09-11,5.0,5.0,5.0,5.0,358.0
FBFIF,2023-09-10,5.0,5.0,5.0,5.0,2.0
FBFIF,2023-09-07,5.0,5.0,5.0,5.0,537.0
FBFIF,2023-09-05,5.0,5.0,5.0,5.0,4355.0
FBFIF,2023-09-04,0.0,0.0,0.0,5.1,0.0
FBFIF,2023-09-03,5.0,5.2,5.0,5.1,1527828.0
FBFIF,2023-08-31,5.1,5.2,5.0,5.0,1230847.0
FBFIF,2023-08-30,5.0,5.1,5.0,5.0,688122.0
FBFIF,2023-08-29,5.1,5.1,5.0,5.0,500157.0
FBFIF,2023-08-28,5.0,5.1,5.0,5.0,424206.0
FBFIF,2023-08-27,5.0,5.1,5.0,5.0,727503.0
FBFIF,2023-08-24,5.0,5.0,5.0,5.0,98157.0
FBFIF,2023-08-23,5.0,5.0,5.0,5.0,110150.0
FBFIF,2023-08-22,5.0,5.1,5.0,5.0,567906.0
FBFIF,2023-08-21,5.0,5.1,5.0,5.0,859860.0
FBFIF,2023-08-20,5.0,5.1,5.0,5.0,1027964.0
