Trading_Code,Date,Open,High,Low,Close,Volume
FIDELASSET,2011-12-04,660.0,725.0,632.0,715.5,24500.0
FIDELASSET,2011-12-01,800.0,839.0,786.25,819.0,17850.0
FIDELASSET,2011-11-04,700.0,730.0,661.0,675.0,34150.0
FIDELASSET,2011-11-01,715.0,772.75,715.0,772.0,4400.0
FIDELASSET,2011-10-04,668.0,717.0,658.0,713.0,59400.0
FIDELASSET,2011-10-03,600.0,628.75,587.0,619.0,33900.0
FIDELASSET,2011-10-02,647.0,648.0,628.0,630.75,3300.0
FIDELASSET,2011-10-01,726.0,726.0,670.0,672.0,5250.0
FIDELASSET,2011-09-03,564.0,589.0,542.0,585.0,24350.0
FIDELASSET,2011-09-02,708.0,718.0,630.0,639.0,8350.0
FIDELASSET,2011-09-01,860.0,860.25,760.0,778.25,24450.0
FIDELASSET,2011-08-03,501.0,552.75,500.0,548.0,29700.0
FIDELASSET,2011-08-02,639.0,672.0,590.0,670.75,13050.0
FIDELASSET,2011-07-04,670.0,680.0,661.0,667.0,42200.0
FIDELASSET,2011-07-03,486.0,515.5,481.0,514.25,30400.0
FIDELASSET,2011-07-02,650.0,651.0,624.25,625.25,7600.0
FIDELASSET,2011-06-04,670.0,685.0,645.0,677.25,24650.0
FIDELASSET,2011-06-03,501.0,501.0,469.0,478.0,7850.0
FIDELASSET,2011-06-02,682.0,722.0,671.25,674.75,9850.0
FIDELASSET,2011-06-01,890.0,890.0,827.25,842.5,24700.0
FIDELASSET,2011-05-04,657.5,698.0,626.0,670.0,58400.0
FIDELASSET,2011-05-01,881.0,894.75,875.0,888.75,7850.0
FIDELASSET,2011-04-25,530.25,533.0,502.0,505.25,15350.0
FIDELASSET,2011-04-24,578.0,579.0,537.0,542.0,11200.0
FIDELASSET,2011-04-21,577.0,577.0,546.25,565.5,9150.0
FIDELASSET,2011-04-20,589.75,589.75,555.0,557.75,7000.0
FIDELASSET,2011-04-19,629.0,629.0,580.25,596.0,39000.0
FIDELASSET,2011-04-17,710.0,710.0,675.25,684.75,28700.0
FIDELASSET,2011-04-13,673.0,715.0,672.25,700.75,33600.0
FIDELASSET,2011-04-04,605.5,650.5,602.0,650.25,63150.0
FIDELASSET,2011-04-01,878.0,930.0,878.0,898.75,12750.0
FIDELASSET,2011-03-31,560.0,620.0,510.0,594.75,59000.0
FIDELASSET,2011-03-30,557.0,557.0,532.0,538.25,11150.0
FIDELASSET,2011-03-29,604.75,604.75,546.0,549.5,12450.0
FIDELASSET,2011-03-28,536.0,567.75,535.25,563.25,9650.0
FIDELASSET,2011-03-27,529.0,552.75,529.0,534.5,6850.0
FIDELASSET,2011-03-24,551.0,555.0,526.0,529.25,13900.0
FIDELASSET,2011-03-23,594.75,596.0,550.0,558.5,13350.0
FIDELASSET,2011-03-22,596.75,596.75,579.0,582.0,13350.0
FIDELASSET,2011-03-21,599.0,620.0,580.0,585.25,33700.0
FIDELASSET,2011-03-20,598.0,599.0,570.0,581.0,25250.0
FIDELASSET,2011-03-16,546.25,592.0,546.25,579.5,14000.0
FIDELASSET,2011-03-15,586.5,594.0,548.0,558.0,13850.0
FIDELASSET,2011-03-14,597.0,599.75,536.25,582.75,13450.0
FIDELASSET,2011-03-13,600.0,613.5,572.75,573.25,19600.0
FIDELASSET,2011-03-04,600.0,630.0,591.0,605.25,42750.0
FIDELASSET,2011-03-03,452.0,500.0,429.0,472.0,18900.0
FIDELASSET,2011-03-02,740.5,742.0,720.0,725.5,14500.0
FIDELASSET,2011-03-01,967.0,967.0,921.0,933.25,23650.0
FIDELASSET,2011-02-28,480.0,480.0,465.5,466.25,8250.0
FIDELASSET,2011-02-27,507.0,516.0,500.25,503.0,9950.0
FIDELASSET,2011-02-24,585.0,585.0,539.0,540.75,8700.0
FIDELASSET,2011-02-23,605.0,611.0,580.0,582.5,12100.0
FIDELASSET,2011-02-20,590.0,597.75,589.0,596.0,4450.0
FIDELASSET,2011-02-15,549.75,577.0,500.0,556.25,15550.0
FIDELASSET,2011-02-14,540.0,540.0,539.75,539.75,8450.0
FIDELASSET,2011-02-13,630.0,635.0,583.5,583.5,10000.0
FIDELASSET,2011-02-03,528.0,528.0,465.75,466.0,9400.0
FIDELASSET,2011-02-02,758.0,765.0,740.0,749.75,11350.0
FIDELASSET,2011-02-01,948.0,985.0,930.0,941.0,37050.0
FIDELASSET,2011-01-31,795.0,809.0,765.0,783.25,19050.0
FIDELASSET,2011-01-30,718.0,774.0,712.0,773.25,14100.0
FIDELASSET,2011-01-27,711.0,745.0,711.0,720.0,23850.0
FIDELASSET,2011-01-26,690.0,693.75,690.0,693.25,450.0
FIDELASSET,2011-01-25,645.5,645.5,645.5,645.5,1000.0
FIDELASSET,2011-01-20,600.0,601.25,600.0,600.5,250.0
FIDELASSET,2011-01-19,702.0,749.0,650.0,659.75,8450.0
FIDELASSET,2011-01-18,717.0,725.25,701.5,708.0,6700.0
FIDELASSET,2011-01-17,775.0,775.0,730.0,732.25,11500.0
FIDELASSET,2011-01-16,778.0,778.0,736.0,741.25,14100.0
FIDELASSET,2011-01-13,795.0,819.0,780.0,794.0,13200.0
FIDELASSET,2011-01-03,500.0,503.5,467.0,503.25,16300.0
FIDELASSET,2011-01-02,800.0,800.0,752.0,756.0,8950.0
FIDELASSET,2010-12-30,855.0,928.0,850.0,912.25,13050.0
FIDELASSET,2010-12-29,865.0,875.75,857.25,863.75,5550.0
FIDELASSET,2010-12-28,877.0,895.0,877.0,880.5,9800.0
FIDELASSET,2010-12-27,805.0,863.0,805.0,856.75,4650.0
FIDELASSET,2010-12-26,840.0,851.0,825.0,827.75,5500.0
FIDELASSET,2010-12-23,865.0,880.0,857.5,862.25,5250.0
FIDELASSET,2010-12-22,881.0,895.0,870.0,871.5,14500.0
FIDELASSET,2010-12-21,833.0,890.0,833.0,883.0,14850.0
FIDELASSET,2010-12-20,889.5,889.5,827.25,840.25,10100.0
FIDELASSET,2010-12-19,860.0,864.5,793.0,809.5,9750.0
FIDELASSET,2010-12-15,936.5,936.5,890.0,895.25,11850.0
FIDELASSET,2010-12-14,967.0,967.0,937.0,940.75,9050.0
FIDELASSET,2010-12-13,980.0,980.0,924.0,949.25,13650.0
FIDELASSET,2010-12-12,1010.0,1010.0,951.0,954.0,13050.0
FIDELASSET,2010-12-10,890.0,916.0,885.25,891.5,31450.0
FIDELASSET,2010-12-08,855.0,878.0,851.0,866.25,43100.0
FIDELASSET,2010-12-07,705.25,719.75,694.0,712.0,83250.0
FIDELASSET,2010-12-05,700.0,700.0,650.5,658.0,154850.0
FIDELASSET,2010-12-04,530.0,530.0,516.0,517.5,39250.0
FIDELASSET,2010-12-01,557.0,564.0,551.0,552.75,45300.0
FIDELASSET,2010-11-30,916.0,980.0,916.0,954.0,41300.0
FIDELASSET,2010-11-29,911.0,945.0,911.0,937.0,29750.0
FIDELASSET,2010-11-28,918.0,935.0,901.25,924.25,56150.0
FIDELASSET,2010-11-25,915.0,932.75,906.0,914.75,36350.0
FIDELASSET,2010-11-24,935.0,935.0,900.0,918.5,31900.0
FIDELASSET,2010-11-23,900.0,945.0,900.0,923.0,45050.0
FIDELASSET,2010-11-22,870.0,916.75,865.75,894.0,33050.0
FIDELASSET,2010-11-21,897.75,897.75,862.5,873.0,24500.0
FIDELASSET,2010-11-15,870.25,887.5,870.25,877.5,12500.0
FIDELASSET,2010-11-14,850.25,890.0,850.25,871.75,14200.0
FIDELASSET,2010-11-11,865.0,883.5,856.0,860.75,11900.0
FIDELASSET,2010-11-10,870.0,914.75,855.0,901.0,33400.0
FIDELASSET,2010-11-08,870.0,870.0,855.0,857.0,83350.0
FIDELASSET,2010-11-07,718.0,726.0,705.0,711.75,94450.0
FIDELASSET,2010-11-05,660.0,691.0,660.0,688.75,377200.0
FIDELASSET,2010-11-04,528.0,534.0,521.5,524.5,23650.0
FIDELASSET,2010-11-03,536.0,540.0,530.0,530.5,16450.0
FIDELASSET,2010-11-02,553.0,555.0,540.0,548.75,45800.0
FIDELASSET,2010-11-01,568.5,573.0,554.5,557.5,34150.0
FIDELASSET,2010-10-31,1160.0,1167.0,1050.0,1059.0,52900.0
FIDELASSET,2010-10-28,1116.0,1175.0,1100.0,1148.75,112950.0
FIDELASSET,2010-10-27,1039.0,1125.0,1033.0,1106.75,112150.0
FIDELASSET,2010-10-26,1040.0,1051.0,1022.0,1029.25,70100.0
FIDELASSET,2010-10-25,1074.0,1079.0,1010.0,1018.75,98400.0
FIDELASSET,2010-10-24,1024.0,1070.0,1012.5,1044.25,125150.0
FIDELASSET,2010-10-21,1020.0,1032.0,995.0,1009.5,152850.0
FIDELASSET,2010-10-20,1014.0,1019.75,985.0,1006.25,100250.0
FIDELASSET,2010-10-19,1025.0,1025.0,981.0,989.0,102350.0
FIDELASSET,2010-10-18,980.0,1025.0,960.0,1011.5,154050.0
FIDELASSET,2010-10-14,955.0,1010.0,950.0,984.25,171500.0
FIDELASSET,2010-10-13,895.0,950.0,890.0,935.25,86950.0
FIDELASSET,2010-10-11,924.0,924.0,862.0,867.25,27800.0
FIDELASSET,2010-10-10,906.0,906.0,843.0,858.75,39900.0
FIDELASSET,2010-10-08,880.0,893.0,870.0,873.5,96550.0
FIDELASSET,2010-10-06,655.0,689.0,649.0,679.5,150850.0
FIDELASSET,2010-10-03,541.75,542.0,528.0,530.5,21850.0
FIDELASSET,2010-10-02,547.0,559.0,538.25,544.0,66800.0
FIDELASSET,2010-10-01,570.0,573.75,563.0,564.75,58150.0
FIDELASSET,2010-09-30,855.0,895.0,855.0,875.5,75650.0
FIDELASSET,2010-09-29,864.0,873.0,840.0,864.5,40650.0
FIDELASSET,2010-09-28,880.0,890.0,830.0,837.5,70400.0
FIDELASSET,2010-09-27,832.0,894.0,832.0,868.5,72450.0
FIDELASSET,2010-09-26,802.0,830.0,802.0,826.75,32450.0
FIDELASSET,2010-09-23,784.0,810.0,784.0,797.25,19900.0
FIDELASSET,2010-09-22,804.5,812.0,791.5,797.75,18350.0
FIDELASSET,2010-09-21,821.0,827.75,806.0,809.75,21750.0
FIDELASSET,2010-09-20,842.0,842.0,822.0,826.75,18250.0
FIDELASSET,2010-09-19,827.0,850.0,823.0,833.75,36350.0
FIDELASSET,2010-09-16,791.0,824.75,790.0,819.25,23100.0
FIDELASSET,2010-09-15,800.0,821.0,795.0,801.0,41800.0
FIDELASSET,2010-09-14,763.25,800.0,763.25,798.75,9300.0
FIDELASSET,2010-09-13,723.0,785.0,718.0,777.25,18350.0
FIDELASSET,2010-09-12,985.0,1020.0,962.0,974.25,20600.0
FIDELASSET,2010-09-11,860.0,937.0,850.0,876.0,19500.0
FIDELASSET,2010-09-08,898.0,912.0,870.0,886.25,141500.0
FIDELASSET,2010-09-06,651.75,667.0,647.0,654.5,73950.0
FIDELASSET,2010-09-05,733.0,733.0,670.25,691.25,240750.0
FIDELASSET,2010-09-03,539.0,542.0,530.25,533.25,16750.0
FIDELASSET,2010-09-02,548.0,552.75,541.0,542.25,24800.0
FIDELASSET,2010-08-31,802.0,849.0,791.0,834.0,25100.0
FIDELASSET,2010-08-30,841.0,841.0,805.0,817.0,18200.0
FIDELASSET,2010-08-29,845.0,851.25,821.0,846.75,11500.0
FIDELASSET,2010-08-26,866.0,866.75,812.0,833.0,44300.0
FIDELASSET,2010-08-25,879.0,879.0,830.25,843.0,28000.0
FIDELASSET,2010-08-24,877.0,880.0,870.0,876.25,43550.0
FIDELASSET,2010-08-23,895.0,895.0,870.0,872.0,48250.0
FIDELASSET,2010-08-22,900.0,900.0,880.0,896.25,90300.0
FIDELASSET,2010-08-19,911.5,911.5,876.0,880.25,55800.0
FIDELASSET,2010-08-18,873.0,914.75,860.5,892.75,129600.0
