Trading_Code,Date,Open,High,Low,Close,Volume
FORTUNE,2025-04-08,17.6,17.8,17.0,17.1,559785.0
FORTUNE,2025-04-07,17.7,17.9,17.6,17.7,189376.0
FORTUNE,2025-04-06,18.0,18.1,17.7,17.8,432169.0
FORTUNE,2025-03-27,18.5,18.5,17.6,18.2,338030.0
FORTUNE,2025-03-25,18.6,18.6,18.4,18.5,171466.0
FORTUNE,2025-03-24,18.8,18.9,18.4,18.5,185042.0
FORTUNE,2025-03-23,19.0,19.0,18.6,18.7,230111.0
FORTUNE,2025-03-20,18.6,18.9,18.4,18.7,450534.0
FORTUNE,2025-03-19,18.5,18.5,18.2,18.5,317320.0
FORTUNE,2025-03-18,18.8,18.9,18.4,18.5,239046.0
FORTUNE,2025-03-17,18.8,18.8,18.3,18.5,353010.0
FORTUNE,2025-03-16,18.9,18.9,18.3,18.5,371383.0
FORTUNE,2025-03-13,19.1,19.2,18.6,18.7,272187.0
FORTUNE,2025-03-12,19.4,19.4,19.0,19.0,365910.0
FORTUNE,2025-03-11,19.0,19.4,18.9,19.2,450446.0
FORTUNE,2025-03-10,18.7,18.9,18.5,18.8,339209.0
FORTUNE,2025-03-09,19.4,19.4,18.5,18.6,562153.0
FORTUNE,2025-03-06,19.5,20.0,19.3,19.4,485917.0
FORTUNE,2025-03-05,18.9,19.6,18.5,19.2,1108798.0
FORTUNE,2025-03-04,20.0,20.0,18.9,18.9,702052.0
FORTUNE,2025-03-03,21.5,21.5,19.5,19.7,1491339.0
FORTUNE,2025-03-02,18.7,20.1,18.7,20.1,3026397.0
FORTUNE,2025-02-27,18.0,18.5,17.8,18.3,837534.0
FORTUNE,2025-02-26,18.0,18.0,17.7,17.7,374989.0
FORTUNE,2025-02-25,17.7,18.1,17.6,17.7,390689.0
FORTUNE,2025-02-24,18.0,18.0,17.4,17.5,652933.0
FORTUNE,2025-02-23,18.1,18.1,17.6,17.8,399706.0
FORTUNE,2025-02-20,17.8,18.1,17.5,17.9,448336.0
FORTUNE,2025-02-19,18.2,18.2,17.6,17.7,564868.0
FORTUNE,2025-02-18,18.6,18.9,18.1,18.2,666114.0
FORTUNE,2025-02-17,18.9,19.0,18.2,18.6,888224.0
FORTUNE,2025-02-16,18.0,18.8,18.0,18.7,1536737.0
FORTUNE,2025-02-13,17.8,18.2,17.5,17.9,727383.0
FORTUNE,2025-02-12,17.3,18.5,17.2,17.7,1562438.0
FORTUNE,2025-02-11,16.8,17.3,16.8,17.2,933327.0
FORTUNE,2025-02-10,16.7,17.0,16.5,16.8,258203.0
FORTUNE,2025-02-09,17.3,17.3,16.6,16.7,414259.0
FORTUNE,2025-02-06,16.6,17.3,16.6,17.1,1208949.0
FORTUNE,2025-02-05,16.0,16.5,16.0,16.4,247391.0
FORTUNE,2025-02-04,16.2,16.3,16.0,16.2,274285.0
FORTUNE,2025-02-03,16.2,16.6,15.9,16.1,597871.0
FORTUNE,2025-02-02,15.7,15.9,15.5,15.8,343954.0
FORTUNE,2025-01-30,16.0,16.0,15.6,15.7,227438.0
FORTUNE,2025-01-29,16.1,16.4,16.0,16.0,263827.0
FORTUNE,2025-01-28,16.2,16.4,16.2,16.3,204302.0
FORTUNE,2025-01-27,16.5,16.6,16.0,16.1,358065.0
FORTUNE,2025-01-26,16.5,16.7,16.2,16.3,350237.0
FORTUNE,2025-01-23,17.0,17.0,16.4,16.5,176149.0
FORTUNE,2025-01-22,17.2,17.2,16.6,16.6,170065.0
FORTUNE,2025-01-21,17.0,17.3,16.8,16.9,400982.0
