Trading_Code,Date,Open,High,Low,Close,Volume
FUWANGCER,2025-04-08,14.6,14.7,14.0,14.2,1380155.0
FUWANGCER,2025-04-07,14.9,15.1,14.4,14.4,2678802.0
FUWANGCER,2025-04-06,15.0,15.4,14.6,15.0,2281770.0
FUWANGCER,2025-03-27,14.8,15.4,14.4,15.1,3118141.0
FUWANGCER,2025-03-25,15.0,15.0,14.5,14.6,1632280.0
FUWANGCER,2025-03-24,15.3,15.6,14.7,14.8,2433002.0
FUWANGCER,2025-03-23,15.5,15.8,15.0,15.2,2594234.0
FUWANGCER,2025-03-20,16.2,16.2,15.4,15.5,4060351.0
FUWANGCER,2025-03-19,15.6,16.4,15.2,15.9,6126950.0
FUWANGCER,2025-03-18,15.8,16.3,15.4,15.6,4406999.0
FUWANGCER,2025-03-17,14.6,15.8,14.5,15.6,7583657.0
FUWANGCER,2025-03-16,14.6,14.7,14.4,14.5,2178502.0
FUWANGCER,2025-03-13,14.1,14.5,14.0,14.4,1960872.0
FUWANGCER,2025-03-12,13.9,14.3,13.9,14.0,1424474.0
FUWANGCER,2025-03-11,14.0,14.1,13.7,13.8,770646.0
FUWANGCER,2025-03-10,13.7,14.0,13.6,13.8,826872.0
FUWANGCER,2025-03-09,14.1,14.2,13.6,13.7,807328.0
FUWANGCER,2025-03-06,14.2,14.3,14.0,14.1,603575.0
FUWANGCER,2025-03-05,14.3,14.5,14.0,14.1,893801.0
FUWANGCER,2025-03-04,14.6,14.7,14.2,14.3,1264983.0
FUWANGCER,2025-03-03,14.4,14.8,14.2,14.4,2020830.0
FUWANGCER,2025-03-02,14.7,14.7,14.1,14.2,1776737.0
FUWANGCER,2025-02-27,15.0,15.2,14.5,14.6,2341759.0
FUWANGCER,2025-02-26,14.8,15.2,14.5,15.0,3602143.0
FUWANGCER,2025-02-25,15.4,15.5,14.4,14.8,4387371.0
FUWANGCER,2025-02-24,15.1,15.4,14.7,15.2,5058522.0
FUWANGCER,2025-02-23,15.0,15.5,14.6,15.2,3760760.0
FUWANGCER,2025-02-20,13.7,14.8,13.7,14.7,7466869.0
FUWANGCER,2025-02-19,13.9,13.9,13.5,13.7,1239240.0
FUWANGCER,2025-02-18,13.7,14.1,13.6,13.8,3020244.0
FUWANGCER,2025-02-17,13.4,13.9,13.3,13.6,1598650.0
FUWANGCER,2025-02-16,13.6,13.6,13.3,13.3,904000.0
FUWANGCER,2025-02-13,13.4,13.6,13.3,13.4,886715.0
FUWANGCER,2025-02-12,13.5,13.6,13.2,13.3,902821.0
FUWANGCER,2025-02-11,13.6,13.9,13.4,13.5,1658551.0
FUWANGCER,2025-02-10,12.8,13.8,12.7,13.6,2127635.0
FUWANGCER,2025-02-09,13.2,13.2,12.8,12.9,478856.0
FUWANGCER,2025-02-06,13.3,13.5,13.0,13.1,1170832.0
FUWANGCER,2025-02-05,12.9,13.4,12.9,13.2,1308894.0
FUWANGCER,2025-02-04,13.1,13.1,12.8,12.8,756953.0
FUWANGCER,2025-02-03,13.4,13.5,12.9,13.1,969264.0
FUWANGCER,2025-02-02,12.7,13.4,12.6,13.3,862768.0
FUWANGCER,2025-01-30,12.6,12.8,12.6,12.7,456380.0
FUWANGCER,2025-01-29,13.0,13.0,12.6,12.7,436471.0
FUWANGCER,2025-01-28,13.1,13.1,12.8,12.9,559216.0
FUWANGCER,2025-01-27,13.0,13.2,12.9,13.0,635650.0
FUWANGCER,2025-01-26,13.2,13.3,12.9,13.0,754922.0
FUWANGCER,2025-01-23,13.4,13.4,13.1,13.2,922829.0
FUWANGCER,2025-01-22,13.6,13.7,13.2,13.2,1217453.0
FUWANGCER,2025-01-21,13.8,14.2,13.5,13.6,2051852.0
FUWANGCER,2025-01-20,13.9,13.9,13.5,13.6,1621632.0
FUWANGCER,2025-01-19,13.5,14.0,13.4,13.5,2345092.0
FUWANGCER,2025-01-16,14.3,14.5,13.4,13.5,2019090.0
FUWANGCER,2025-01-15,13.0,14.0,12.9,14.0,5653986.0
FUWANGCER,2025-01-14,12.4,13.0,12.3,12.8,1424667.0
FUWANGCER,2025-01-13,12.4,12.6,12.1,12.3,667562.0
FUWANGCER,2025-01-12,12.7,12.8,12.4,12.4,396697.0
FUWANGCER,2025-01-09,12.7,12.9,12.6,12.6,370185.0
FUWANGCER,2025-01-08,12.8,12.9,12.6,12.7,412698.0
FUWANGCER,2025-01-07,12.8,13.0,12.8,12.8,707824.0
FUWANGCER,2025-01-06,12.7,13.0,12.6,12.7,819246.0
FUWANGCER,2025-01-05,12.9,13.0,12.6,12.7,254927.0
FUWANGCER,2025-01-02,12.9,13.0,12.7,12.8,363549.0
FUWANGCER,2025-01-01,13.1,13.1,12.8,12.8,409344.0
FUWANGCER,2024-12-30,13.2,13.2,12.9,13.0,441641.0
FUWANGCER,2024-12-29,13.0,13.2,13.0,13.1,487265.0
FUWANGCER,2024-12-26,12.8,13.0,12.8,13.0,342061.0
FUWANGCER,2024-12-24,13.1,13.1,12.8,12.8,419599.0
FUWANGCER,2024-12-23,12.9,13.1,12.9,12.9,305640.0
FUWANGCER,2024-12-22,13.1,13.2,12.8,12.9,316031.0
FUWANGCER,2024-12-19,13.2,13.2,13.0,13.1,587236.0
FUWANGCER,2024-12-18,13.4,13.5,13.0,13.1,783482.0
FUWANGCER,2024-12-17,13.5,13.7,13.2,13.3,1187705.0
FUWANGCER,2024-12-15,13.3,13.4,13.2,13.3,580649.0
FUWANGCER,2024-12-12,13.1,13.3,13.0,13.1,557429.0
FUWANGCER,2024-12-11,13.3,13.4,13.1,13.1,563443.0
FUWANGCER,2024-12-10,13.5,13.7,13.2,13.3,790648.0
FUWANGCER,2024-12-09,13.5,13.8,13.3,13.4,907586.0
FUWANGCER,2024-12-08,13.1,13.5,12.8,13.3,1028186.0
FUWANGCER,2024-12-05,13.6,13.8,13.2,13.3,776945.0
FUWANGCER,2024-12-04,14.2,14.2,13.5,13.6,1023378.0
FUWANGCER,2024-12-03,13.6,14.4,13.4,14.0,3475491.0
FUWANGCER,2024-12-02,13.9,14.1,13.5,13.6,1607342.0
FUWANGCER,2024-12-01,12.8,13.9,12.6,13.8,1890177.0
FUWANGCER,2024-11-28,13.2,13.3,12.8,12.8,868538.0
FUWANGCER,2024-11-27,12.3,13.1,12.3,13.0,1340339.0
FUWANGCER,2024-11-26,12.4,12.5,12.3,12.3,370326.0
FUWANGCER,2024-11-25,12.2,12.5,12.2,12.3,443231.0
FUWANGCER,2024-11-24,12.4,12.5,12.0,12.1,347299.0
FUWANGCER,2024-11-21,12.3,12.6,12.2,12.3,487248.0
FUWANGCER,2024-11-20,0.0,0.0,0.0,12.5,0.0
FUWANGCER,2024-11-19,12.6,12.9,12.4,12.5,738857.0
FUWANGCER,2024-11-18,13.2,13.4,12.7,12.8,810270.0
FUWANGCER,2024-11-17,13.3,13.5,13.1,13.2,766654.0
FUWANGCER,2024-11-14,13.0,13.5,12.8,13.2,1030964.0
FUWANGCER,2024-11-13,13.0,13.3,12.5,12.7,635737.0
FUWANGCER,2024-11-12,13.5,13.7,13.0,13.1,1096633.0
