Trading_Code,Date,Open,High,Low,Close,Volume
FUWANGFOOD,2025-04-08,16.6,16.6,15.2,15.4,3351331.0
FUWANGFOOD,2025-04-07,16.9,17.1,16.3,16.5,1948743.0
FUWANGFOOD,2025-04-06,17.1,17.2,16.5,16.7,3890826.0
FUWANGFOOD,2025-03-27,17.4,17.7,17.0,17.6,1761848.0
FUWANGFOOD,2025-03-25,17.5,17.6,17.0,17.1,2805850.0
FUWANGFOOD,2025-03-24,17.9,18.2,17.2,17.4,3261672.0
FUWANGFOOD,2025-03-23,17.5,18.3,17.0,17.6,4766074.0
FUWANGFOOD,2025-03-20,18.2,18.2,17.3,17.4,4358437.0
FUWANGFOOD,2025-03-19,18.2,18.9,17.6,18.0,7115669.0
FUWANGFOOD,2025-03-18,17.2,18.4,17.2,18.1,7438219.0
FUWANGFOOD,2025-03-17,16.6,17.3,16.5,17.0,5821684.0
FUWANGFOOD,2025-03-16,16.4,16.7,16.3,16.4,2717309.0
FUWANGFOOD,2025-03-13,16.8,16.8,16.3,16.4,2234330.0
FUWANGFOOD,2025-03-12,16.4,17.1,16.4,16.6,4981380.0
FUWANGFOOD,2025-03-11,16.3,16.5,16.2,16.4,2304671.0
FUWANGFOOD,2025-03-10,16.0,16.3,15.8,16.1,2179902.0
FUWANGFOOD,2025-03-09,16.2,16.3,15.8,15.9,1502736.0
FUWANGFOOD,2025-03-06,16.0,16.3,15.8,16.0,1974080.0
FUWANGFOOD,2025-03-05,16.5,16.6,15.8,15.9,2698727.0
FUWANGFOOD,2025-03-04,17.1,17.2,16.3,16.5,2722612.0
FUWANGFOOD,2025-03-03,16.1,17.1,16.0,16.9,4266683.0
FUWANGFOOD,2025-03-02,16.8,17.1,15.7,16.0,4166318.0
FUWANGFOOD,2025-02-27,17.6,17.7,16.8,17.0,3932813.0
FUWANGFOOD,2025-02-26,16.3,17.7,16.1,17.4,7423477.0
FUWANGFOOD,2025-02-25,17.3,17.3,16.0,16.3,4464096.0
FUWANGFOOD,2025-02-24,16.8,17.5,16.3,16.9,6991100.0
FUWANGFOOD,2025-02-23,16.0,16.9,16.0,16.7,8168945.0
FUWANGFOOD,2025-02-20,14.2,15.4,14.2,15.4,7458159.0
FUWANGFOOD,2025-02-19,14.0,14.2,13.6,14.0,2080048.0
FUWANGFOOD,2025-02-18,13.6,14.3,13.5,14.0,4119026.0
FUWANGFOOD,2025-02-17,13.4,13.7,13.3,13.5,905138.0
FUWANGFOOD,2025-02-16,13.3,13.6,12.7,13.3,479547.0
FUWANGFOOD,2025-02-13,13.4,13.6,13.3,13.4,868578.0
FUWANGFOOD,2025-02-12,13.6,13.6,13.3,13.4,504159.0
FUWANGFOOD,2025-02-11,13.5,14.0,13.5,13.6,1957115.0
FUWANGFOOD,2025-02-10,13.2,13.6,13.1,13.4,1057178.0
FUWANGFOOD,2025-02-09,13.4,13.5,13.1,13.2,638441.0
FUWANGFOOD,2025-02-06,13.5,13.8,13.3,13.4,1096520.0
FUWANGFOOD,2025-02-05,13.1,13.8,13.0,13.4,1717537.0
FUWANGFOOD,2025-02-04,13.4,13.4,13.0,13.0,775163.0
FUWANGFOOD,2025-02-03,13.4,13.6,13.2,13.3,720949.0
FUWANGFOOD,2025-02-02,12.9,13.4,12.9,13.3,1052291.0
FUWANGFOOD,2025-01-30,13.1,13.2,12.7,12.9,688083.0
FUWANGFOOD,2025-01-29,13.1,13.1,12.9,13.0,421173.0
FUWANGFOOD,2025-01-28,13.4,13.5,13.0,13.1,492063.0
FUWANGFOOD,2025-01-27,13.5,13.6,13.2,13.3,498771.0
FUWANGFOOD,2025-01-26,13.6,13.6,13.2,13.4,516327.0
FUWANGFOOD,2025-01-23,13.7,13.7,13.3,13.3,872568.0
FUWANGFOOD,2025-01-22,13.9,13.9,13.5,13.5,889800.0
FUWANGFOOD,2025-01-21,14.1,14.4,13.6,13.8,1934296.0
FUWANGFOOD,2025-01-20,14.0,14.1,13.7,14.0,1733242.0
FUWANGFOOD,2025-01-19,13.5,14.0,13.3,13.7,1927592.0
FUWANGFOOD,2025-01-16,14.4,14.4,13.3,13.4,1636687.0
FUWANGFOOD,2025-01-15,13.4,14.3,13.2,14.1,4730910.0
FUWANGFOOD,2025-01-14,12.7,13.2,12.7,13.1,1179107.0
FUWANGFOOD,2025-01-13,12.9,12.9,12.6,12.7,469481.0
FUWANGFOOD,2025-01-12,13.1,13.1,12.7,12.8,445737.0
FUWANGFOOD,2025-01-09,13.0,13.1,12.9,12.9,396419.0
FUWANGFOOD,2025-01-08,13.1,13.1,12.9,12.9,444364.0
FUWANGFOOD,2025-01-07,12.9,13.3,12.9,13.0,642460.0
FUWANGFOOD,2025-01-06,12.8,13.1,12.7,12.9,608246.0
FUWANGFOOD,2025-01-05,13.1,13.1,12.7,12.8,333095.0
FUWANGFOOD,2025-01-02,13.2,13.2,12.7,12.8,775114.0
FUWANGFOOD,2025-01-01,13.4,13.4,13.0,13.0,639604.0
FUWANGFOOD,2024-12-30,13.4,13.4,13.1,13.2,576902.0
FUWANGFOOD,2024-12-29,13.3,13.5,13.1,13.3,727148.0
FUWANGFOOD,2024-12-26,13.3,13.4,13.1,13.3,563726.0
FUWANGFOOD,2024-12-24,13.3,13.4,13.1,13.2,707578.0
FUWANGFOOD,2024-12-23,13.3,13.4,13.1,13.1,822311.0
FUWANGFOOD,2024-12-22,13.5,13.5,13.0,13.1,794212.0
FUWANGFOOD,2024-12-19,13.7,13.7,13.3,13.5,963944.0
FUWANGFOOD,2024-12-18,14.2,14.2,13.5,13.6,1153854.0
FUWANGFOOD,2024-12-17,13.9,14.5,13.8,14.0,3546226.0
FUWANGFOOD,2024-12-15,13.7,13.8,13.5,13.6,904355.0
FUWANGFOOD,2024-12-12,13.4,13.5,13.1,13.4,1062821.0
FUWANGFOOD,2024-12-11,13.4,13.5,13.0,13.2,842930.0
FUWANGFOOD,2024-12-10,14.0,14.1,13.3,13.4,1363332.0
FUWANGFOOD,2024-12-09,13.5,14.2,13.5,13.7,1817748.0
FUWANGFOOD,2024-12-08,13.1,13.4,12.9,13.2,1310808.0
FUWANGFOOD,2024-12-05,13.8,13.8,13.3,13.3,1699735.0
FUWANGFOOD,2024-12-04,14.8,14.8,13.7,13.8,1699525.0
FUWANGFOOD,2024-12-03,13.1,14.5,13.1,14.4,5122442.0
FUWANGFOOD,2024-12-02,0.0,0.0,0.0,13.2,0.0
FUWANGFOOD,2024-12-01,12.5,13.4,12.4,13.2,2240969.0
FUWANGFOOD,2024-11-28,12.9,13.0,12.5,12.5,959034.0
FUWANGFOOD,2024-11-27,12.3,12.9,12.2,12.8,870053.0
FUWANGFOOD,2024-11-26,12.2,12.5,12.1,12.2,514471.0
FUWANGFOOD,2024-11-25,12.4,12.4,12.1,12.2,547736.0
FUWANGFOOD,2024-11-24,12.4,12.5,12.1,12.2,512097.0
FUWANGFOOD,2024-11-21,12.8,12.8,12.3,12.5,522100.0
FUWANGFOOD,2024-11-20,12.8,12.8,12.3,12.7,1030878.0
FUWANGFOOD,2024-11-19,13.0,13.0,12.5,12.5,1007700.0
FUWANGFOOD,2024-11-18,12.9,13.3,12.8,12.9,797791.0
FUWANGFOOD,2024-11-17,13.5,13.5,12.9,13.0,1195925.0
FUWANGFOOD,2024-11-14,12.5,13.5,12.5,13.3,2096118.0
FUWANGFOOD,2024-11-13,12.7,12.8,12.2,12.3,1309384.0
FUWANGFOOD,2024-11-12,12.7,13.5,12.6,12.8,2581685.0
FUWANGFOOD,2024-11-11,14.0,14.3,13.4,13.7,2352525.0
FUWANGFOOD,2024-11-10,15.2,15.2,13.9,14.0,2392286.0
FUWANGFOOD,2024-11-07,15.6,15.7,14.8,15.0,2800967.0
FUWANGFOOD,2024-11-06,15.0,15.7,14.6,15.6,4702243.0
FUWANGFOOD,2024-11-05,13.2,14.3,13.2,14.3,1939099.0
FUWANGFOOD,2024-11-04,12.7,13.2,12.5,13.0,1321640.0
FUWANGFOOD,2024-11-03,12.6,12.9,12.5,12.7,1212717.0
FUWANGFOOD,2024-10-31,12.2,12.8,12.2,12.5,1561981.0
FUWANGFOOD,2024-10-30,11.2,12.1,11.1,12.1,1419956.0
FUWANGFOOD,2024-10-29,10.8,11.1,10.5,11.0,945660.0
FUWANGFOOD,2024-10-28,10.6,11.0,10.2,10.5,836970.0
FUWANGFOOD,2024-10-27,11.5,11.7,10.5,10.6,950248.0
FUWANGFOOD,2024-10-24,11.7,11.9,11.3,11.5,679080.0
FUWANGFOOD,2024-10-23,12.8,12.9,11.8,11.9,1008997.0
FUWANGFOOD,2024-10-22,12.7,12.9,12.5,12.8,979325.0
FUWANGFOOD,2024-10-21,12.8,12.9,12.1,12.6,650119.0
FUWANGFOOD,2024-10-20,13.0,13.2,12.5,12.6,515992.0
FUWANGFOOD,2024-10-17,13.1,13.4,12.7,12.7,451367.0
FUWANGFOOD,2024-10-16,13.4,13.5,13.0,13.1,475319.0
FUWANGFOOD,2024-10-15,13.6,13.8,13.1,13.2,813615.0
FUWANGFOOD,2024-10-14,14.0,14.4,13.5,13.6,1144597.0
FUWANGFOOD,2024-10-09,14.2,14.3,13.7,14.0,1242157.0
FUWANGFOOD,2024-10-08,13.8,14.3,13.6,14.0,1467642.0
FUWANGFOOD,2024-10-07,14.0,14.5,13.5,13.8,2070900.0
FUWANGFOOD,2024-10-06,12.5,13.4,12.4,13.4,2047824.0
FUWANGFOOD,2024-10-03,11.8,12.3,11.6,12.2,1251794.0
FUWANGFOOD,2024-10-02,13.1,13.1,11.8,11.8,1244192.0
FUWANGFOOD,2024-10-01,14.1,14.1,12.9,13.1,1560276.0
FUWANGFOOD,2024-09-30,14.4,14.6,14.1,14.3,489442.0
FUWANGFOOD,2024-09-29,14.1,14.8,14.1,14.4,422504.0
FUWANGFOOD,2024-09-26,15.4,15.4,13.9,14.1,963261.0
FUWANGFOOD,2024-09-25,17.1,17.2,15.4,15.4,1304487.0
FUWANGFOOD,2024-09-24,17.5,17.7,17.1,17.1,568021.0
FUWANGFOOD,2024-09-23,17.6,17.8,17.2,17.3,449617.0
FUWANGFOOD,2024-09-22,18.0,18.1,17.5,17.6,482463.0
FUWANGFOOD,2024-09-19,18.2,18.3,17.6,17.8,850797.0
FUWANGFOOD,2024-09-18,18.6,18.6,18.0,18.1,476995.0
FUWANGFOOD,2024-09-17,18.3,18.9,18.3,18.6,780231.0
FUWANGFOOD,2024-09-15,17.6,18.7,17.6,18.3,801409.0
FUWANGFOOD,2024-09-12,17.9,18.0,17.6,17.7,587009.0
FUWANGFOOD,2024-09-11,17.7,18.4,17.7,17.9,405499.0
FUWANGFOOD,2024-09-10,17.9,17.9,17.4,17.7,672203.0
