Trading_Code,Date,Open,High,Low,Close,Volume
GACHIHATA,2009-12-05,25.0,27.0,24.75,26.5,36250.0
GACHIHATA,2009-12-04,25.0,27.5,25.0,27.0,30900.0
GACHIHATA,2009-12-03,26.0,29.75,26.0,28.75,8600.0
GACHIHATA,2009-12-02,26.5,27.0,23.5,26.25,7500.0
GACHIHATA,2009-12-01,17.75,19.75,17.75,19.25,23950.0
GACHIHATA,2009-11-06,40.0,40.75,38.5,39.25,5100.0
GACHIHATA,2009-11-05,24.5,25.0,24.0,24.5,12700.0
GACHIHATA,2009-11-03,27.25,28.0,26.5,27.0,14100.0
GACHIHATA,2009-11-02,27.25,27.25,24.25,25.0,22500.0
GACHIHATA,2009-11-01,18.0,18.0,17.5,17.75,250.0
GACHIHATA,2009-10-06,40.0,40.25,39.25,39.75,5600.0
GACHIHATA,2009-10-05,24.0,25.0,24.0,24.25,6500.0
GACHIHATA,2009-10-02,28.0,29.5,27.0,28.0,15500.0
GACHIHATA,2009-09-06,38.5,40.75,38.5,40.0,9500.0
GACHIHATA,2009-09-04,23.25,26.0,23.25,24.0,7850.0
GACHIHATA,2009-09-03,29.0,29.0,27.5,27.5,14600.0
GACHIHATA,2009-09-02,27.25,29.0,27.25,27.5,21600.0
GACHIHATA,2009-08-06,40.0,40.75,38.25,39.25,14150.0
GACHIHATA,2009-08-04,22.75,22.75,22.5,22.5,1300.0
GACHIHATA,2009-08-03,27.5,30.75,27.25,29.75,14500.0
GACHIHATA,2009-08-02,30.0,30.0,27.0,28.0,18900.0
GACHIHATA,2009-07-06,39.5,40.0,38.0,38.75,14950.0
GACHIHATA,2009-07-05,23.0,24.0,23.0,23.5,17050.0
GACHIHATA,2009-07-04,22.75,23.25,22.5,22.75,1650.0
GACHIHATA,2009-07-01,18.0,18.5,17.5,18.0,3400.0
GACHIHATA,2009-06-30,74.0,83.0,70.5,80.25,30900.0
GACHIHATA,2009-06-29,71.0,74.5,65.75,73.5,26300.0
GACHIHATA,2009-06-28,58.5,71.75,58.5,69.25,22550.0
GACHIHATA,2009-06-25,69.0,72.75,62.0,62.5,40950.0
GACHIHATA,2009-06-24,58.0,69.5,58.0,69.0,79600.0
GACHIHATA,2009-06-23,50.0,59.0,50.0,58.0,50800.0
GACHIHATA,2009-06-22,45.75,50.0,45.75,49.25,28400.0
GACHIHATA,2009-06-21,46.25,52.5,45.25,47.5,56600.0
GACHIHATA,2009-06-18,47.0,50.5,46.0,49.25,36150.0
GACHIHATA,2009-06-17,45.0,47.75,44.75,46.5,17850.0
GACHIHATA,2009-06-16,40.5,45.0,40.5,44.25,26600.0
GACHIHATA,2009-06-15,39.25,40.25,39.25,39.75,5250.0
GACHIHATA,2009-06-14,38.5,40.0,38.5,39.5,5600.0
GACHIHATA,2009-06-05,22.5,22.5,22.25,22.25,11350.0
GACHIHATA,2009-06-04,22.5,23.0,21.75,22.25,12100.0
GACHIHATA,2009-06-01,18.5,19.0,17.75,18.25,10750.0
GACHIHATA,2009-05-31,43.0,43.75,41.5,41.75,9400.0
GACHIHATA,2009-05-28,43.25,43.5,39.25,42.25,13200.0
GACHIHATA,2009-05-27,48.0,48.0,43.25,44.75,23050.0
GACHIHATA,2009-05-26,48.0,49.5,45.5,47.0,24700.0
GACHIHATA,2009-05-25,48.25,48.25,42.25,44.5,32800.0
GACHIHATA,2009-05-24,52.0,54.0,46.25,50.5,31850.0
