Trading_Code,Date,Open,High,Low,Close,Volume
GBBPOWER,2025-04-08,7.7,7.7,7.4,7.5,101302.0
GBBPOWER,2025-04-07,7.5,7.7,7.5,7.6,19061.0
GBBPOWER,2025-04-06,7.6,7.7,7.5,7.6,40818.0
GBBPOWER,2025-03-27,7.8,7.9,7.7,7.8,28736.0
GBBPOWER,2025-03-25,7.8,7.8,7.6,7.8,17102.0
GBBPOWER,2025-03-24,7.4,7.8,7.4,7.7,73429.0
GBBPOWER,2025-03-23,7.9,8.0,7.6,7.6,121686.0
GBBPOWER,2025-03-20,7.7,7.8,7.6,7.8,103185.0
GBBPOWER,2025-03-19,7.5,7.7,7.5,7.6,44222.0
GBBPOWER,2025-03-18,7.6,7.6,7.4,7.5,76588.0
GBBPOWER,2025-03-17,7.4,7.6,7.4,7.4,49639.0
GBBPOWER,2025-03-16,7.7,7.7,7.4,7.4,162532.0
GBBPOWER,2025-03-13,7.7,7.7,7.4,7.5,67707.0
GBBPOWER,2025-03-12,7.7,7.7,7.5,7.6,20951.0
GBBPOWER,2025-03-11,7.9,7.9,7.4,7.5,148897.0
GBBPOWER,2025-03-10,7.7,7.8,7.5,7.7,92994.0
GBBPOWER,2025-03-09,7.7,7.9,7.7,7.7,40177.0
GBBPOWER,2025-03-06,7.9,8.0,7.8,7.8,55504.0
GBBPOWER,2025-03-05,7.9,7.9,7.8,7.8,148586.0
GBBPOWER,2025-03-04,8.2,8.2,7.9,7.9,41863.0
GBBPOWER,2025-03-03,8.0,8.0,7.9,8.0,47013.0
GBBPOWER,2025-03-02,8.2,8.4,7.8,8.0,371294.0
GBBPOWER,2025-02-27,8.3,8.4,8.1,8.2,122177.0
GBBPOWER,2025-02-26,8.1,8.4,8.1,8.3,165863.0
GBBPOWER,2025-02-25,8.3,8.5,8.2,8.2,202482.0
GBBPOWER,2025-02-24,8.2,8.6,8.1,8.4,543695.0
GBBPOWER,2025-02-23,8.1,8.1,7.7,8.0,249910.0
GBBPOWER,2025-02-20,7.9,7.9,7.7,7.7,115881.0
GBBPOWER,2025-02-19,8.0,8.1,7.7,7.8,180869.0
