Trading_Code,Date,Open,High,Low,Close,Volume
GBJVFOOD,2008-12-05,3.1,3.1,3.1,3.1,12000.0
GBJVFOOD,2008-12-03,2.1,2.2,2.0,2.1,27500.0
GBJVFOOD,2008-12-02,2.1,2.1,2.0,2.0,19000.0
GBJVFOOD,2008-11-05,3.4,3.4,3.0,3.1,5000.0
GBJVFOOD,2008-11-03,2.0,2.1,2.0,2.0,20500.0
GBJVFOOD,2008-11-02,2.1,2.2,2.1,2.1,21000.0
GBJVFOOD,2008-10-04,2.8,2.9,2.8,2.8,12500.0
GBJVFOOD,2008-10-03,2.1,2.1,2.0,2.0,7500.0
GBJVFOOD,2008-10-02,2.1,2.1,2.0,2.0,28500.0
GBJVFOOD,2008-10-01,1.6,1.6,1.6,1.6,10000.0
GBJVFOOD,2008-09-04,3.0,3.0,2.9,2.9,9500.0
GBJVFOOD,2008-09-03,2.0,2.2,1.9,2.0,16000.0
GBJVFOOD,2008-09-01,1.6,1.7,1.6,1.6,6000.0
GBJVFOOD,2008-08-05,3.2,3.3,3.0,3.1,30000.0
GBJVFOOD,2008-08-04,2.8,3.0,2.8,2.9,21000.0
GBJVFOOD,2008-08-01,1.6,1.8,1.6,1.7,17500.0
GBJVFOOD,2008-07-05,3.2,3.2,3.2,3.2,2000.0
GBJVFOOD,2008-07-04,3.1,3.1,2.7,2.8,13000.0
GBJVFOOD,2008-07-02,2.2,2.2,2.2,2.2,20500.0
GBJVFOOD,2008-07-01,1.5,1.5,1.5,1.5,8500.0
GBJVFOOD,2008-06-05,3.0,3.2,2.9,3.0,29500.0
GBJVFOOD,2008-06-04,3.0,3.0,2.9,2.9,14000.0
GBJVFOOD,2008-06-03,1.9,1.9,1.9,1.9,9500.0
GBJVFOOD,2008-06-02,2.1,2.1,2.1,2.1,33000.0
GBJVFOOD,2008-06-01,1.4,1.4,1.4,1.4,2000.0
GBJVFOOD,2008-05-29,3.0,3.0,3.0,3.0,4000.0
GBJVFOOD,2008-05-28,3.0,3.1,3.0,3.0,9500.0
GBJVFOOD,2008-05-27,3.0,3.2,3.0,3.1,17000.0
GBJVFOOD,2008-05-26,3.5,3.5,3.2,3.3,13500.0
GBJVFOOD,2008-05-25,3.2,3.5,3.2,3.4,43500.0
GBJVFOOD,2008-05-22,3.0,3.1,3.0,3.0,8500.0
GBJVFOOD,2008-05-21,2.8,3.0,2.8,2.8,31000.0
GBJVFOOD,2008-05-20,2.7,2.8,2.7,2.7,6500.0
GBJVFOOD,2008-05-18,2.9,2.9,2.8,2.8,10500.0
GBJVFOOD,2008-05-15,2.8,2.9,2.8,2.8,12000.0
GBJVFOOD,2008-05-14,2.9,2.9,2.8,2.8,9500.0
GBJVFOOD,2008-05-13,3.0,3.0,2.9,2.9,22000.0
GBJVFOOD,2008-05-05,3.1,3.2,3.0,3.0,18000.0
GBJVFOOD,2008-05-03,2.0,2.0,1.8,1.8,16000.0
GBJVFOOD,2008-05-02,2.1,2.1,2.1,2.1,29500.0
GBJVFOOD,2008-04-30,3.5,3.5,3.3,3.4,33000.0
GBJVFOOD,2008-04-29,3.3,3.6,3.3,3.4,53000.0
GBJVFOOD,2008-04-28,3.5,3.5,3.1,3.3,20500.0
GBJVFOOD,2008-04-27,3.8,3.8,3.6,3.7,36500.0
GBJVFOOD,2008-04-24,3.9,4.0,3.8,3.9,150500.0
GBJVFOOD,2008-04-23,3.3,3.9,3.3,3.8,168500.0
GBJVFOOD,2008-04-22,3.0,3.4,3.0,3.3,102500.0
GBJVFOOD,2008-04-21,2.9,3.1,2.8,2.9,33000.0
GBJVFOOD,2008-04-20,2.8,3.0,2.8,2.9,49000.0
GBJVFOOD,2008-04-17,3.0,3.0,2.7,2.9,88500.0
GBJVFOOD,2008-04-16,2.6,3.0,2.6,2.8,21000.0
GBJVFOOD,2008-04-15,2.6,2.7,2.3,2.5,61000.0
GBJVFOOD,2008-04-05,3.2,3.2,3.2,3.2,3500.0
GBJVFOOD,2008-04-03,2.0,2.0,2.0,2.0,500.0
GBJVFOOD,2008-04-02,2.2,2.3,2.2,2.2,9500.0
GBJVFOOD,2008-03-31,3.5,3.5,3.0,3.1,13000.0
GBJVFOOD,2008-03-30,3.3,3.6,3.3,3.5,58500.0
GBJVFOOD,2008-03-25,3.0,3.5,3.0,3.3,97000.0
GBJVFOOD,2008-03-24,3.3,3.3,3.0,3.0,37500.0
GBJVFOOD,2008-03-23,3.1,3.4,3.1,3.4,128000.0
GBJVFOOD,2008-03-20,2.7,3.0,2.7,2.9,158000.0
GBJVFOOD,2008-03-19,2.4,2.7,2.4,2.5,38500.0
GBJVFOOD,2008-03-18,2.5,2.6,2.4,2.4,60000.0
GBJVFOOD,2008-03-17,2.5,2.7,2.5,2.6,112500.0
GBJVFOOD,2008-03-16,2.2,2.6,2.2,2.5,87500.0
GBJVFOOD,2008-03-13,2.2,2.3,2.2,2.2,51000.0
GBJVFOOD,2008-03-04,3.2,3.2,2.9,3.0,19500.0
GBJVFOOD,2008-03-03,2.0,2.0,1.9,1.9,13500.0
GBJVFOOD,2008-03-02,2.2,2.2,2.2,2.2,5000.0
GBJVFOOD,2008-03-01,1.6,1.6,1.5,1.5,19000.0
GBJVFOOD,2008-02-28,1.9,1.9,1.9,1.9,2000.0
GBJVFOOD,2008-02-27,1.9,1.9,1.8,1.8,2500.0
GBJVFOOD,2008-02-26,1.8,1.8,1.8,1.8,13500.0
GBJVFOOD,2008-02-25,1.9,1.9,1.8,1.8,11500.0
GBJVFOOD,2008-02-20,2.0,2.0,2.0,2.0,16000.0
GBJVFOOD,2008-02-19,2.0,2.0,2.0,2.0,8000.0
GBJVFOOD,2008-02-18,2.0,2.0,2.0,2.0,4000.0
GBJVFOOD,2008-02-17,2.1,2.2,2.1,2.1,13000.0
GBJVFOOD,2008-02-14,2.1,2.2,2.1,2.1,9500.0
GBJVFOOD,2008-02-13,2.1,2.1,2.1,2.1,4500.0
GBJVFOOD,2008-02-04,3.2,3.3,3.1,3.1,22500.0
GBJVFOOD,2008-02-03,2.0,2.0,2.0,2.0,1500.0
GBJVFOOD,2008-02-01,1.6,1.7,1.6,1.6,33000.0
GBJVFOOD,2008-01-31,2.5,2.5,2.3,2.3,28000.0
GBJVFOOD,2008-01-30,2.6,2.7,2.4,2.4,114500.0
GBJVFOOD,2008-01-29,2.2,2.5,2.2,2.5,72500.0
GBJVFOOD,2008-01-28,2.0,2.2,2.0,2.1,43000.0
GBJVFOOD,2008-01-27,1.9,2.0,1.9,1.9,24000.0
GBJVFOOD,2008-01-24,2.1,2.1,2.0,2.0,18000.0
GBJVFOOD,2008-01-23,2.4,2.4,2.0,2.0,86000.0
GBJVFOOD,2008-01-22,2.6,2.6,2.3,2.4,39000.0
GBJVFOOD,2008-01-17,2.9,3.0,2.6,2.8,40000.0
GBJVFOOD,2008-01-16,2.5,2.9,2.5,2.7,26500.0
GBJVFOOD,2008-01-15,2.2,2.5,2.2,2.4,61000.0
GBJVFOOD,2008-01-14,1.9,2.2,1.9,2.1,107500.0
GBJVFOOD,2008-01-13,1.7,1.9,1.7,1.8,40000.0
GBJVFOOD,2008-01-06,3.2,3.6,3.0,3.6,247500.0
GBJVFOOD,2008-01-04,3.0,3.2,3.0,3.1,39000.0
GBJVFOOD,2008-01-01,1.5,1.6,1.5,1.5,24500.0
GBJVFOOD,2007-12-30,1.5,1.5,1.5,1.5,2500.0
GBJVFOOD,2007-12-27,1.4,1.4,1.4,1.4,4000.0
GBJVFOOD,2007-12-26,1.3,1.3,1.3,1.3,1000.0
GBJVFOOD,2007-12-19,1.3,1.3,1.3,1.3,3000.0
GBJVFOOD,2007-12-17,1.2,1.2,1.2,1.2,12000.0
GBJVFOOD,2007-12-12,1.4,1.4,1.3,1.3,5500.0
GBJVFOOD,2007-11-28,1.2,1.2,1.2,1.2,500.0
GBJVFOOD,2007-11-26,1.2,1.2,1.2,1.2,3500.0
GBJVFOOD,2007-11-25,1.2,1.2,1.2,1.2,15000.0
GBJVFOOD,2007-11-22,1.2,1.2,1.2,1.2,2000.0
GBJVFOOD,2007-11-11,1.2,1.2,1.2,1.2,11500.0
GBJVFOOD,2007-10-31,1.3,1.3,1.3,1.3,5000.0
GBJVFOOD,2007-10-30,1.3,1.4,1.3,1.3,5000.0
GBJVFOOD,2007-10-29,1.2,1.3,1.2,1.2,10500.0
GBJVFOOD,2007-10-28,1.2,1.3,1.2,1.2,11000.0
GBJVFOOD,2007-10-18,1.2,1.2,1.2,1.2,14000.0
GBJVFOOD,2007-09-12,1.3,1.3,1.3,1.3,2500.0
GBJVFOOD,2007-09-10,1.3,1.3,1.2,1.2,14000.0
GBJVFOOD,2007-08-22,1.3,1.3,1.3,1.3,2000.0
GBJVFOOD,2007-08-10,1.3,1.3,1.3,1.3,5000.0
GBJVFOOD,2007-07-29,1.2,1.2,1.2,1.2,10000.0
GBJVFOOD,2007-07-26,1.2,1.2,1.2,1.2,3500.0
GBJVFOOD,2007-07-10,1.3,1.3,1.3,1.3,3000.0
GBJVFOOD,2007-06-12,1.4,1.5,1.4,1.4,27500.0
GBJVFOOD,2007-06-09,1.3,1.3,1.3,1.3,5000.0
GBJVFOOD,2007-05-12,1.3,1.3,1.3,1.3,1500.0
GBJVFOOD,2007-05-11,1.3,1.3,1.3,1.3,14000.0
GBJVFOOD,2007-04-12,1.2,1.2,1.2,1.2,4500.0
GBJVFOOD,2007-04-11,1.3,1.3,1.3,1.3,6000.0
GBJVFOOD,2007-04-10,1.2,1.2,1.2,1.2,17000.0
GBJVFOOD,2007-03-10,1.2,1.2,1.2,1.2,500.0
GBJVFOOD,2007-03-09,1.3,1.3,1.3,1.3,2000.0
GBJVFOOD,2007-01-11,1.3,1.3,1.3,1.3,14500.0
