Trading_Code,Date,Open,High,Low,Close,Volume
GEMINISEA,2025-04-08,149.0,151.0,147.9,150.0,73258.0
GEMINISEA,2025-04-07,150.3,150.3,147.2,147.7,30867.0
GEMINISEA,2025-04-06,146.0,151.3,145.0,148.5,34570.0
GEMINISEA,2025-03-27,148.5,150.5,147.0,147.3,39833.0
GEMINISEA,2025-03-25,150.6,150.6,148.3,149.2,21373.0
GEMINISEA,2025-03-24,149.1,151.0,147.5,148.3,49338.0
GEMINISEA,2025-03-23,150.9,152.8,148.9,149.1,24071.0
GEMINISEA,2025-03-20,154.5,162.0,148.6,150.6,49567.0
GEMINISEA,2025-03-19,152.0,153.3,148.2,149.0,61797.0
GEMINISEA,2025-03-18,155.7,156.6,152.0,152.7,88457.0
GEMINISEA,2025-03-17,148.0,155.6,146.3,153.9,82843.0
GEMINISEA,2025-03-16,150.7,152.9,148.0,148.4,56997.0
GEMINISEA,2025-03-13,155.5,155.5,150.0,150.8,47662.0
GEMINISEA,2025-03-12,153.6,155.7,151.5,151.9,67301.0
GEMINISEA,2025-03-11,153.4,158.0,153.2,153.6,79504.0
GEMINISEA,2025-03-10,153.0,155.9,152.7,154.8,80455.0
GEMINISEA,2025-03-09,157.3,158.5,152.0,152.7,88377.0
GEMINISEA,2025-03-06,163.0,163.8,156.9,157.3,105959.0
GEMINISEA,2025-03-05,155.3,163.0,153.6,161.2,234929.0
GEMINISEA,2025-03-04,160.0,160.0,154.1,155.3,120892.0
GEMINISEA,2025-03-03,152.9,164.8,152.4,159.1,355408.0
GEMINISEA,2025-03-02,146.0,155.0,146.0,150.0,101076.0
GEMINISEA,2025-02-27,145.5,147.5,142.9,146.1,79908.0
GEMINISEA,2025-02-26,146.9,146.9,142.2,142.8,56282.0
GEMINISEA,2025-02-25,145.3,145.4,143.7,143.9,42513.0
GEMINISEA,2025-02-24,142.5,145.5,142.5,143.7,57398.0
GEMINISEA,2025-02-23,143.8,145.4,142.1,142.7,67273.0
GEMINISEA,2025-02-20,149.0,149.0,143.0,143.8,76271.0
GEMINISEA,2025-02-19,146.1,149.0,145.5,145.9,47348.0
GEMINISEA,2025-02-18,153.8,153.8,146.7,147.3,78647.0
