Trading_Code,Date,Open,High,Low,Close,Volume
GHCL,2025-04-08,22.6,22.6,20.7,21.0,157425.0
GHCL,2025-04-07,21.1,22.9,21.1,21.3,99097.0
GHCL,2025-04-06,21.2,23.1,20.8,22.3,54532.0
GHCL,2025-03-27,21.5,23.2,21.5,22.2,70428.0
GHCL,2025-03-25,22.6,23.0,22.2,22.5,272889.0
GHCL,2025-03-24,23.2,23.2,22.4,22.6,34892.0
GHCL,2025-03-23,22.5,23.5,22.3,22.4,43557.0
GHCL,2025-03-20,21.0,23.2,21.0,22.3,263232.0
GHCL,2025-03-19,21.9,22.0,21.6,21.8,60206.0
GHCL,2025-03-18,22.5,22.5,21.7,21.8,40599.0
GHCL,2025-03-17,22.0,22.3,21.8,22.0,93074.0
GHCL,2025-03-16,21.0,22.6,21.0,21.8,141389.0
GHCL,2025-03-13,20.6,22.5,20.6,22.1,154721.0
GHCL,2025-03-12,22.3,22.6,21.9,22.3,88770.0
GHCL,2025-03-11,22.8,22.8,21.8,22.1,33200.0
GHCL,2025-03-10,22.8,22.8,21.5,22.0,80380.0
GHCL,2025-03-09,23.1,23.1,22.6,22.6,93013.0
GHCL,2025-03-06,23.6,23.6,23.0,23.1,52233.0
GHCL,2025-03-05,23.9,23.9,23.1,23.5,146884.0
GHCL,2025-03-04,23.0,23.8,22.9,23.5,232636.0
GHCL,2025-03-03,23.0,23.2,22.7,22.9,91975.0
GHCL,2025-03-02,23.5,23.8,22.5,22.8,183611.0
GHCL,2025-02-27,23.2,23.6,22.9,23.2,173963.0
GHCL,2025-02-26,23.0,23.2,22.0,22.9,353199.0
GHCL,2025-02-25,21.2,22.6,21.2,21.9,53148.0
GHCL,2025-02-24,21.6,22.5,21.3,21.8,95649.0
GHCL,2025-02-23,21.5,22.6,20.7,21.6,143308.0
GHCL,2025-02-20,22.4,22.6,22.0,22.2,104354.0
GHCL,2025-02-19,22.8,22.8,22.0,22.4,50702.0
GHCL,2025-02-18,22.4,23.0,22.1,22.2,147662.0
GHCL,2025-02-17,23.0,23.0,22.1,22.7,65749.0
GHCL,2025-02-16,23.0,23.0,22.4,22.5,81608.0
GHCL,2025-02-13,23.0,23.8,22.6,22.9,162193.0
GHCL,2025-02-12,22.5,23.0,22.2,22.9,106470.0
GHCL,2025-02-11,22.8,23.2,21.7,22.0,112654.0
GHCL,2025-02-10,20.9,23.2,20.9,22.8,177325.0
GHCL,2025-02-09,22.5,22.5,21.0,21.1,72701.0
GHCL,2025-02-06,21.4,22.7,21.4,21.7,65200.0
