Trading_Code,Date,Open,High,Low,Close,Volume
GIB,2025-04-08,3.6,3.7,3.6,3.6,792477.0
GIB,2025-04-07,3.7,3.7,3.6,3.6,561703.0
GIB,2025-04-06,3.7,3.7,3.6,3.6,712523.0
GIB,2025-03-27,3.6,3.7,3.6,3.7,356844.0
GIB,2025-03-25,3.7,3.7,3.6,3.6,521569.0
GIB,2025-03-24,3.8,3.8,3.6,3.7,347638.0
GIB,2025-03-23,3.8,3.8,3.7,3.7,681250.0
GIB,2025-03-20,3.8,3.9,3.7,3.8,342044.0
GIB,2025-03-19,3.9,3.9,3.7,3.8,659799.0
GIB,2025-03-18,3.9,3.9,3.8,3.8,294714.0
GIB,2025-03-17,4.0,4.0,3.8,3.8,572259.0
GIB,2025-03-16,3.9,4.0,3.8,3.9,643469.0
GIB,2025-03-13,4.0,4.0,3.9,3.9,243486.0
GIB,2025-03-12,4.0,4.0,3.9,3.9,283052.0
GIB,2025-03-11,4.0,4.0,3.9,4.0,290937.0
GIB,2025-03-10,4.0,4.1,3.9,3.9,1087344.0
GIB,2025-03-09,4.0,4.1,3.9,4.0,549003.0
GIB,2025-03-06,4.0,4.1,4.0,4.0,271942.0
GIB,2025-03-05,4.0,4.1,4.0,4.0,594517.0
GIB,2025-03-04,4.0,4.1,4.0,4.0,1422901.0
GIB,2025-03-03,4.0,4.1,4.0,4.0,452807.0
GIB,2025-03-02,4.1,4.1,4.0,4.0,405046.0
GIB,2025-02-27,4.0,4.1,4.0,4.1,1370466.0
GIB,2025-02-26,4.2,4.2,4.0,4.0,2939754.0
GIB,2025-02-25,4.0,4.3,4.0,4.2,2703124.0
GIB,2025-02-24,4.1,4.1,4.0,4.0,663432.0
GIB,2025-02-23,4.1,4.1,4.0,4.0,533348.0
GIB,2025-02-20,4.1,4.1,4.0,4.0,510387.0
GIB,2025-02-19,4.2,4.2,4.0,4.1,319559.0
GIB,2025-02-18,4.1,4.2,4.0,4.1,756850.0
GIB,2025-02-17,4.1,4.2,4.0,4.1,518785.0
GIB,2025-02-16,4.2,4.2,4.0,4.1,1278740.0
GIB,2025-02-13,4.2,4.2,4.1,4.2,784458.0
GIB,2025-02-12,4.3,4.3,4.1,4.2,1244593.0
GIB,2025-02-11,4.2,4.3,4.1,4.2,900670.0
GIB,2025-02-10,4.2,4.3,4.1,4.2,804475.0
GIB,2025-02-09,4.4,4.4,4.1,4.2,1913377.0
GIB,2025-02-06,4.5,4.6,4.3,4.4,2290235.0
GIB,2025-02-05,4.0,4.4,4.0,4.4,4642272.0
GIB,2025-02-04,4.1,4.2,4.0,4.0,1959249.0
GIB,2025-02-03,4.1,4.2,4.0,4.1,1968739.0
GIB,2025-02-02,4.3,4.4,4.0,4.1,1563526.0
GIB,2025-01-30,4.4,4.5,4.2,4.3,1638405.0
GIB,2025-01-29,4.4,4.5,4.3,4.4,1081002.0
GIB,2025-01-28,4.4,4.5,4.4,4.4,328019.0
