Trading_Code,Date,Open,High,Low,Close,Volume
GLAXOSMITH,2020-12-11,2098.1,2098.1,2060.1,2061.9,459.0
GLAXOSMITH,2020-12-10,2112.0,2120.0,2050.0,2096.5,5211.0
GLAXOSMITH,2020-12-08,2300.0,2329.0,2268.0,2298.9,3236.0
GLAXOSMITH,2020-12-07,2195.0,2227.0,2152.0,2193.1,4732.0
GLAXOSMITH,2020-12-03,2095.0,2130.0,2056.0,2114.7,9370.0
GLAXOSMITH,2020-12-02,1769.0,1836.0,1769.0,1820.4,3930.0
GLAXOSMITH,2020-12-01,1674.8,1674.8,1652.2,1654.5,1371.0
GLAXOSMITH,2020-11-24,2052.0,2060.1,2052.0,2052.6,1302.0
GLAXOSMITH,2020-11-23,2059.8,2075.0,2050.0,2070.6,1988.0
GLAXOSMITH,2020-11-22,2055.0,2060.0,2048.1,2059.8,1326.0
GLAXOSMITH,2020-11-19,2081.0,2089.9,2052.0,2054.8,2197.0
GLAXOSMITH,2020-11-18,2100.0,2100.0,2079.0,2079.6,2662.0
GLAXOSMITH,2020-11-17,2065.4,2100.0,2065.4,2088.7,771.0
GLAXOSMITH,2020-11-16,2070.0,2100.0,2070.0,2086.1,732.0
GLAXOSMITH,2020-11-15,2100.0,2100.0,2050.0,2074.3,349.0
GLAXOSMITH,2020-11-11,2085.4,2086.0,2070.1,2076.0,102.0
GLAXOSMITH,2020-11-10,2175.0,2180.0,2100.0,2120.2,1473.0
GLAXOSMITH,2020-11-06,2053.0,2058.0,2046.3,2046.8,322.0
GLAXOSMITH,2020-11-03,2084.9,2120.0,2040.0,2099.7,10867.0
GLAXOSMITH,2020-11-02,1834.8,1834.8,1787.1,1791.5,4071.0
GLAXOSMITH,2020-10-29,2087.9,2140.0,2087.9,2100.0,1458.0
GLAXOSMITH,2020-10-28,2080.0,2120.0,2061.0,2087.9,2648.0
GLAXOSMITH,2020-10-27,2184.0,2184.0,2080.0,2123.4,689.0
GLAXOSMITH,2020-10-25,2165.0,2200.0,2162.0,2184.3,80.0
GLAXOSMITH,2020-10-22,2190.0,2220.0,2175.0,2188.0,414.0
GLAXOSMITH,2020-10-21,2181.2,2215.0,2181.1,2197.7,809.0
GLAXOSMITH,2020-10-20,2172.1,2228.9,2172.1,2185.2,142.0
GLAXOSMITH,2020-10-19,2176.0,2210.0,2161.0,2190.5,341.0
GLAXOSMITH,2020-10-18,2186.6,2227.0,2175.0,2193.2,267.0
GLAXOSMITH,2020-10-15,2220.0,2222.0,2150.0,2186.6,820.0
GLAXOSMITH,2020-10-14,2102.0,2136.0,2102.0,2126.7,214.0
GLAXOSMITH,2020-10-13,2096.5,2102.0,2071.2,2085.3,908.0
GLAXOSMITH,2020-10-11,2101.0,2120.0,2081.0,2111.4,476.0
GLAXOSMITH,2020-10-09,2228.7,2275.0,2228.7,2249.2,1715.0
GLAXOSMITH,2020-10-08,2205.3,2300.4,2205.3,2289.4,10242.0
GLAXOSMITH,2020-10-06,2046.3,2059.0,2046.3,2052.9,26606.0
GLAXOSMITH,2020-10-03,2085.0,2090.0,1970.0,2033.0,2725.0
GLAXOSMITH,2020-10-02,1803.5,1814.0,1796.6,1803.1,3137.0
GLAXOSMITH,2020-09-30,2191.0,2215.0,2144.0,2210.7,1981.0
GLAXOSMITH,2020-09-29,2210.0,2210.0,2190.0,2199.9,2884.0
GLAXOSMITH,2020-09-28,2205.0,2230.0,2180.1,2185.7,1729.0
GLAXOSMITH,2020-09-27,2246.1,2270.0,2180.2,2201.3,2204.0
GLAXOSMITH,2020-09-24,2243.0,2259.0,2235.0,2246.1,540.0
GLAXOSMITH,2020-09-23,2240.1,2243.1,2235.3,2235.7,616.0
GLAXOSMITH,2020-09-22,2236.1,2270.0,2223.0,2268.7,1250.0
GLAXOSMITH,2020-09-21,2261.0,2261.0,2230.5,2236.7,1164.0
GLAXOSMITH,2020-09-20,2258.0,2272.0,2250.0,2250.4,1798.0
GLAXOSMITH,2020-09-17,2300.0,2300.0,2256.0,2272.0,3046.0
GLAXOSMITH,2020-09-16,2262.5,2310.0,2262.5,2305.6,3748.0
GLAXOSMITH,2020-09-15,2239.0,2280.0,2230.0,2262.4,3262.0
GLAXOSMITH,2020-09-14,2275.0,2275.0,2222.0,2235.6,647.0
GLAXOSMITH,2020-09-13,2280.0,2280.0,2233.5,2237.0,1149.0
GLAXOSMITH,2020-09-11,2115.0,2124.0,2100.0,2113.4,607.0
GLAXOSMITH,2020-09-09,2257.0,2257.0,2220.0,2228.7,4288.0
GLAXOSMITH,2020-09-08,2200.0,2249.0,2136.0,2234.3,5805.0
GLAXOSMITH,2020-09-07,2221.5,2267.0,2140.0,2188.0,11374.0
GLAXOSMITH,2020-09-06,2046.3,2046.3,2046.3,2046.3,6107.0
GLAXOSMITH,2020-09-03,2052.0,2099.9,2007.3,2012.7,14052.0
GLAXOSMITH,2020-09-02,1939.2,1943.7,1805.0,1841.5,5989.0
GLAXOSMITH,2020-09-01,1645.3,1688.0,1645.3,1671.6,244.0
GLAXOSMITH,2020-08-31,2347.9,2347.9,2300.0,2306.4,2779.0
GLAXOSMITH,2020-08-27,2320.0,2339.0,2300.0,2309.0,3715.0
GLAXOSMITH,2020-08-26,2329.0,2335.0,2300.0,2302.7,2868.0
GLAXOSMITH,2020-08-25,2322.1,2330.0,2312.3,2318.3,5800.0
GLAXOSMITH,2020-08-24,2365.0,2370.0,2315.1,2322.1,1708.0
GLAXOSMITH,2020-08-23,2369.0,2374.0,2330.0,2363.4,4116.0
GLAXOSMITH,2020-08-20,2326.0,2360.0,2325.0,2353.6,1728.0
GLAXOSMITH,2020-08-19,2330.0,2373.5,2330.0,2344.2,2682.0
GLAXOSMITH,2020-08-18,2380.0,2380.0,2327.3,2345.7,2215.0
GLAXOSMITH,2020-08-17,2399.5,2400.0,2361.0,2376.4,3399.0
GLAXOSMITH,2020-08-16,2348.7,2458.0,2348.7,2399.5,3222.0
GLAXOSMITH,2020-08-13,2281.0,2390.0,2280.5,2348.7,28740.0
GLAXOSMITH,2020-08-11,2147.0,2147.0,2111.0,2111.1,412.0
GLAXOSMITH,2020-08-10,2180.1,2210.0,2176.0,2198.1,166.0
GLAXOSMITH,2020-08-09,2272.9,2289.0,2248.0,2257.0,7039.0
GLAXOSMITH,2020-08-07,2317.2,2317.2,2210.8,2221.5,9529.0
GLAXOSMITH,2020-08-06,2046.3,2046.3,2046.3,2046.3,1130.0
GLAXOSMITH,2020-08-03,2150.0,2174.9,2081.3,2112.9,7473.0
GLAXOSMITH,2020-08-01,1712.2,1730.1,1675.0,1679.4,1089.0
GLAXOSMITH,2020-07-30,2161.0,2181.0,2143.1,2163.6,7722.0
GLAXOSMITH,2020-07-29,2141.5,2174.6,2140.0,2161.3,5413.0
GLAXOSMITH,2020-07-28,2151.0,2178.0,2135.0,2151.0,7767.0
GLAXOSMITH,2020-07-27,2215.0,2217.0,2144.0,2152.3,9802.0
GLAXOSMITH,2020-07-26,2173.5,2219.0,2173.0,2210.6,4906.0
GLAXOSMITH,2020-07-23,2143.0,2169.8,2131.0,2157.0,6140.0
GLAXOSMITH,2020-07-21,2185.3,2185.3,2129.9,2137.9,10568.0
GLAXOSMITH,2020-07-20,2156.0,2193.0,2151.5,2185.3,776.0
GLAXOSMITH,2020-07-19,2193.0,2210.0,2171.0,2175.3,3476.0
GLAXOSMITH,2020-07-16,2155.0,2190.0,2140.2,2182.5,4365.0
GLAXOSMITH,2020-07-15,2135.0,2165.5,2135.0,2156.2,4586.0
GLAXOSMITH,2020-07-14,2180.0,2193.9,2125.6,2135.4,9229.0
GLAXOSMITH,2020-07-13,2200.0,2224.0,2170.0,2183.8,4366.0
GLAXOSMITH,2020-07-10,2210.0,2210.0,2185.0,2188.3,387.0
GLAXOSMITH,2020-07-09,2298.1,2298.1,2266.0,2272.9,1008.0
GLAXOSMITH,2020-07-07,2378.0,2378.0,2302.1,2317.3,7703.0
GLAXOSMITH,2020-07-06,2046.3,2046.3,2046.3,2046.3,507.0
GLAXOSMITH,2020-07-01,1730.3,1755.0,1710.0,1711.4,1638.0
GLAXOSMITH,2020-06-30,2185.0,2216.0,2101.1,2186.6,11727.0
GLAXOSMITH,2020-06-29,2120.0,2188.3,2099.9,2174.5,24494.0
GLAXOSMITH,2020-06-28,2148.6,2148.6,2046.3,2084.1,37335.0
GLAXOSMITH,2020-06-25,2046.3,2046.3,2046.3,2046.3,4633.0
GLAXOSMITH,2020-06-24,2046.3,2061.0,2046.3,2046.3,6712.0
