Trading_Code,Date,Open,High,Low,Close,Volume
GOLDENSON,2025-04-08,13.7,13.8,13.3,13.4,1287847.0
GOLDENSON,2025-04-07,13.9,14.1,13.6,13.6,1468622.0
GOLDENSON,2025-04-06,14.0,14.0,13.7,13.8,996643.0
GOLDENSON,2025-03-27,14.2,14.3,14.0,14.2,538982.0
GOLDENSON,2025-03-25,14.2,14.3,14.0,14.0,1145615.0
GOLDENSON,2025-03-24,14.4,14.6,14.1,14.1,1501697.0
GOLDENSON,2025-03-23,15.2,15.2,14.3,14.4,1512009.0
GOLDENSON,2025-03-20,14.9,15.4,14.8,15.0,4744459.0
GOLDENSON,2025-03-19,14.5,14.8,14.3,14.7,2524486.0
GOLDENSON,2025-03-18,14.4,14.8,14.3,14.5,2700717.0
GOLDENSON,2025-03-17,14.3,14.8,14.1,14.4,2705965.0
GOLDENSON,2025-03-16,13.7,14.4,13.6,14.2,3329754.0
GOLDENSON,2025-03-13,13.9,14.0,13.6,13.6,915448.0
GOLDENSON,2025-03-12,13.6,14.0,13.5,13.7,1376367.0
GOLDENSON,2025-03-11,13.5,13.7,13.3,13.5,799732.0
GOLDENSON,2025-03-10,13.3,13.5,13.2,13.4,521518.0
GOLDENSON,2025-03-09,13.7,13.7,13.1,13.2,591885.0
GOLDENSON,2025-03-06,13.7,13.9,13.5,13.6,617096.0
GOLDENSON,2025-03-05,14.0,14.0,13.5,13.6,771590.0
GOLDENSON,2025-03-04,14.1,14.1,13.7,13.8,658241.0
GOLDENSON,2025-03-03,14.2,14.2,13.9,14.0,1017939.0
GOLDENSON,2025-03-02,14.5,14.5,14.0,14.0,1288237.0
GOLDENSON,2025-02-27,14.2,14.6,14.2,14.3,1043357.0
GOLDENSON,2025-02-26,14.5,14.6,14.2,14.2,1967836.0
GOLDENSON,2025-02-25,14.9,15.0,14.3,14.4,2885627.0
GOLDENSON,2025-02-24,14.5,14.9,14.5,14.8,3142474.0
GOLDENSON,2025-02-23,14.5,14.9,14.3,14.7,3099341.0
GOLDENSON,2025-02-20,14.0,14.6,14.0,14.4,3828338.0
GOLDENSON,2025-02-19,14.0,14.2,13.7,13.9,1619762.0
GOLDENSON,2025-02-18,13.8,14.1,13.5,13.9,3573861.0
GOLDENSON,2025-02-17,13.7,13.7,13.4,13.6,1568870.0
GOLDENSON,2025-02-16,13.3,13.9,13.3,13.7,4126453.0
GOLDENSON,2025-02-13,13.0,13.3,12.8,12.9,842382.0
