Trading_Code,Date,Open,High,Low,Close,Volume
GP,2025-04-08,322.5,324.8,320.1,320.5,74528.0
GP,2025-04-07,320.1,325.3,320.1,322.5,85981.0
GP,2025-04-06,322.0,322.0,317.2,320.8,59102.0
GP,2025-03-27,320.5,324.7,319.5,321.9,30172.0
GP,2025-03-25,321.2,321.2,318.8,319.5,51708.0
GP,2025-03-24,319.9,321.8,318.0,318.4,69437.0
GP,2025-03-23,319.6,321.8,318.4,319.9,80213.0
GP,2025-03-20,319.6,320.8,319.3,319.6,110865.0
GP,2025-03-19,324.4,324.4,319.4,319.7,88582.0
GP,2025-03-18,322.3,324.4,320.6,321.2,120043.0
GP,2025-03-17,324.9,324.9,322.1,322.6,190531.0
GP,2025-03-16,325.4,325.4,324.1,324.8,86108.0
GP,2025-03-13,325.5,327.8,324.7,325.4,82422.0
GP,2025-03-12,326.5,326.5,325.0,325.5,43084.0
GP,2025-03-11,326.8,330.0,324.2,324.9,65750.0
GP,2025-03-10,323.5,331.0,322.9,326.8,189477.0
GP,2025-03-09,325.0,325.0,323.4,323.9,57078.0
GP,2025-03-06,325.4,325.5,324.3,324.8,84006.0
GP,2025-03-05,325.5,326.7,325.0,325.3,55471.0
GP,2025-03-04,327.1,327.5,325.0,325.4,108861.0
GP,2025-03-03,325.0,327.8,324.0,326.9,136978.0
GP,2025-03-02,327.4,328.8,323.0,324.9,120276.0
GP,2025-02-27,331.0,333.0,325.0,328.2,201281.0
GP,2025-02-26,0.0,0.0,0.0,344.1,0.0
GP,2025-02-25,345.0,345.1,342.0,344.1,620471.0
GP,2025-02-24,346.0,347.0,344.5,344.9,220604.0
GP,2025-02-23,345.7,347.6,343.0,346.4,669057.0
GP,2025-02-20,343.2,347.0,341.7,345.7,476692.0
GP,2025-02-19,343.7,344.8,340.8,343.7,355635.0
GP,2025-02-18,347.9,347.9,342.7,343.8,421025.0
GP,2025-02-17,341.0,346.5,341.0,345.8,1171546.0
GP,2025-02-16,339.9,341.8,338.3,340.6,387159.0
GP,2025-02-13,336.1,339.4,336.1,338.6,159622.0
GP,2025-02-12,336.6,337.4,336.6,336.9,155791.0
GP,2025-02-11,338.0,338.0,336.0,337.1,66921.0
GP,2025-02-10,339.5,339.5,335.8,337.6,158751.0
GP,2025-02-09,337.3,338.2,336.0,336.6,131960.0
GP,2025-02-06,338.0,338.7,337.2,337.8,127622.0
GP,2025-02-05,340.0,340.0,337.7,338.0,313570.0
GP,2025-02-04,340.1,342.0,335.6,338.6,385528.0
GP,2025-02-03,332.0,339.4,332.0,337.0,555698.0
GP,2025-02-02,336.7,338.8,335.0,336.8,304690.0
GP,2025-01-30,331.9,336.7,331.9,335.4,157549.0
GP,2025-01-29,331.7,333.5,331.0,333.1,135287.0
GP,2025-01-28,330.0,332.8,329.7,331.7,113546.0
GP,2025-01-27,331.0,331.5,328.5,330.8,141063.0
GP,2025-01-26,331.8,333.7,329.3,330.1,116645.0
GP,2025-01-23,335.9,335.9,333.0,333.7,51622.0
GP,2025-01-22,336.9,336.9,333.9,335.7,93765.0
GP,2025-01-21,333.3,336.2,333.0,335.8,164250.0
GP,2025-01-20,333.5,334.0,331.9,333.1,147108.0
GP,2025-01-19,332.8,333.0,329.6,332.5,110903.0
GP,2025-01-16,329.1,333.0,328.9,331.1,70219.0
GP,2025-01-15,334.3,334.3,329.0,329.4,118648.0
GP,2025-01-14,340.0,340.0,331.7,332.9,171885.0
GP,2025-01-13,334.2,340.0,333.0,339.1,1139308.0
GP,2025-01-12,332.5,336.0,330.7,335.0,258573.0
GP,2025-01-09,327.8,333.3,325.5,332.4,401666.0
GP,2025-01-08,326.0,328.0,324.5,326.7,136494.0
GP,2025-01-07,325.8,328.6,325.3,326.1,186648.0
GP,2025-01-06,325.6,325.9,323.9,325.2,160868.0
GP,2025-01-05,321.5,326.0,321.4,324.7,128148.0
GP,2025-01-02,324.5,325.3,323.4,324.2,98807.0
GP,2025-01-01,323.5,325.9,323.5,325.1,112900.0
GP,2024-12-30,320.1,325.5,320.1,323.1,120082.0
GP,2024-12-29,322.5,324.0,319.0,322.5,165469.0
GP,2024-12-26,323.9,323.9,321.5,322.5,52461.0
GP,2024-12-24,324.2,324.2,322.1,322.5,63706.0
GP,2024-12-23,325.6,326.0,323.0,323.5,66634.0
GP,2024-12-22,325.8,326.3,324.0,325.2,188725.0
GP,2024-12-19,324.5,326.0,319.4,325.4,317228.0
GP,2024-12-18,320.0,326.2,318.8,324.2,362952.0
GP,2024-12-17,315.0,320.6,314.7,320.0,124858.0
GP,2024-12-15,315.1,315.7,313.1,314.3,184535.0
GP,2024-12-12,312.5,315.5,312.5,314.6,38695.0
GP,2024-12-11,318.0,318.0,313.0,313.5,101840.0
GP,2024-12-10,319.9,320.5,315.7,316.3,108159.0
GP,2024-12-09,318.2,321.3,317.1,317.9,76574.0
GP,2024-12-08,319.6,319.6,316.0,318.2,102040.0
GP,2024-12-05,320.2,320.5,317.1,317.6,109121.0
GP,2024-12-04,324.5,326.4,319.0,320.5,220520.0
GP,2024-12-03,319.2,325.1,318.1,323.8,360259.0
GP,2024-12-02,318.9,320.0,317.5,319.2,163215.0
GP,2024-12-01,318.5,319.2,316.7,317.8,128825.0
GP,2024-11-28,322.9,322.9,318.7,319.7,186193.0
GP,2024-11-27,320.0,324.5,316.1,321.1,413979.0
GP,2024-11-26,315.3,320.1,315.3,318.8,107283.0
GP,2024-11-25,317.0,318.8,314.1,315.2,97674.0
GP,2024-11-24,316.1,319.0,316.0,317.8,75527.0
GP,2024-11-21,322.9,322.9,317.1,318.2,94214.0
GP,2024-11-20,321.2,324.6,317.0,322.9,229396.0
GP,2024-11-19,318.8,324.8,313.0,320.4,285523.0
GP,2024-11-18,320.5,323.0,317.3,318.8,130028.0
GP,2024-11-17,327.0,327.8,320.1,320.7,254040.0
GP,2024-11-14,326.5,330.1,323.2,326.0,251263.0
GP,2024-11-13,329.3,329.3,324.2,325.5,149814.0
GP,2024-11-12,325.7,333.0,324.0,328.8,436589.0
GP,2024-11-11,319.0,327.4,318.8,325.6,350206.0
GP,2024-11-10,324.0,324.0,317.0,318.3,154401.0
GP,2024-11-07,320.0,325.0,313.0,321.1,433223.0
GP,2024-11-06,316.1,318.7,311.5,315.7,427101.0
