Trading_Code,Date,Open,High,Low,Close,Volume
GPHISPAT,2025-04-08,21.8,21.8,21.0,21.2,436803.0
GPHISPAT,2025-04-07,21.4,21.7,21.4,21.5,553961.0
GPHISPAT,2025-04-06,21.6,21.6,21.2,21.4,362076.0
GPHISPAT,2025-03-27,21.9,22.0,21.6,21.7,634194.0
GPHISPAT,2025-03-25,21.8,21.9,21.5,21.7,1020377.0
GPHISPAT,2025-03-24,21.5,21.8,21.4,21.5,789512.0
GPHISPAT,2025-03-23,21.7,21.9,21.2,21.4,596453.0
GPHISPAT,2025-03-20,21.0,21.9,21.0,21.7,1659698.0
GPHISPAT,2025-03-19,21.2,21.4,21.1,21.1,667203.0
GPHISPAT,2025-03-18,20.8,21.3,20.8,21.0,667590.0
GPHISPAT,2025-03-17,20.9,20.9,20.7,20.8,519974.0
GPHISPAT,2025-03-16,20.9,21.0,20.7,20.8,585151.0
GPHISPAT,2025-03-13,21.1,21.1,20.8,20.9,494996.0
GPHISPAT,2025-03-12,21.1,21.2,20.9,21.0,433790.0
GPHISPAT,2025-03-11,21.0,21.3,20.9,21.1,487901.0
GPHISPAT,2025-03-10,21.2,21.2,20.8,21.0,309941.0
GPHISPAT,2025-03-09,21.3,21.3,20.8,20.9,500441.0
GPHISPAT,2025-03-06,21.2,21.5,21.0,21.2,457570.0
GPHISPAT,2025-03-05,21.3,21.4,21.1,21.2,413973.0
GPHISPAT,2025-03-04,21.6,21.6,21.2,21.3,383379.0
GPHISPAT,2025-03-03,21.8,21.9,21.5,21.5,556453.0
GPHISPAT,2025-03-02,21.8,21.9,21.6,21.7,623277.0
GPHISPAT,2025-02-27,21.8,21.9,21.5,21.6,645331.0
GPHISPAT,2025-02-26,21.8,21.8,21.6,21.7,814983.0
GPHISPAT,2025-02-25,22.0,22.0,21.6,21.7,1258281.0
GPHISPAT,2025-02-24,22.1,22.5,21.8,21.9,2383205.0
GPHISPAT,2025-02-23,21.2,22.0,21.0,21.9,2268509.0
GPHISPAT,2025-02-20,20.7,21.1,19.2,21.0,542244.0
GPHISPAT,2025-02-19,20.8,21.2,20.8,20.9,506909.0
GPHISPAT,2025-02-18,21.3,21.5,21.1,21.1,754885.0
GPHISPAT,2025-02-17,21.3,21.4,21.0,21.1,813789.0
GPHISPAT,2025-02-16,21.4,21.5,21.2,21.2,690147.0
GPHISPAT,2025-02-13,21.3,21.6,21.3,21.4,854496.0
GPHISPAT,2025-02-12,21.7,21.8,21.3,21.4,851717.0
GPHISPAT,2025-02-11,21.4,21.9,21.4,21.7,1745259.0
GPHISPAT,2025-02-10,21.3,21.5,21.1,21.3,924640.0
GPHISPAT,2025-02-09,21.6,21.9,21.2,21.3,760996.0
GPHISPAT,2025-02-06,21.7,21.9,21.4,21.6,1839366.0
GPHISPAT,2025-02-05,22.0,22.1,21.5,21.6,1148336.0
GPHISPAT,2025-02-04,22.7,22.7,21.2,21.9,4785947.0
GPHISPAT,2025-02-03,20.9,21.0,20.6,20.7,497402.0
GPHISPAT,2025-02-02,20.6,21.1,20.4,20.8,937507.0
GPHISPAT,2025-01-30,20.5,20.5,20.2,20.3,346194.0
GPHISPAT,2025-01-29,20.6,20.6,20.4,20.4,372943.0
GPHISPAT,2025-01-28,20.8,20.9,20.6,20.6,649357.0
GPHISPAT,2025-01-27,20.9,20.9,20.7,20.8,512012.0
GPHISPAT,2025-01-26,21.0,21.1,20.8,20.9,472106.0
GPHISPAT,2025-01-23,21.1,21.3,20.9,21.0,433522.0
GPHISPAT,2025-01-22,21.4,21.5,21.1,21.2,673155.0
GPHISPAT,2025-01-21,21.3,21.7,21.3,21.4,922778.0
GPHISPAT,2025-01-20,20.9,21.6,20.7,21.3,1049938.0
GPHISPAT,2025-01-19,21.0,21.0,20.8,20.8,539549.0
GPHISPAT,2025-01-16,21.1,21.2,20.9,20.9,643452.0
GPHISPAT,2025-01-15,21.1,21.3,20.9,21.0,1053616.0
GPHISPAT,2025-01-14,21.4,21.5,21.0,21.1,763633.0
GPHISPAT,2025-01-13,21.1,21.4,21.0,21.2,565791.0
GPHISPAT,2025-01-12,21.5,21.5,21.0,21.1,917303.0
GPHISPAT,2025-01-09,21.4,21.7,21.3,21.4,599947.0
GPHISPAT,2025-01-08,21.6,21.6,21.3,21.4,693368.0
GPHISPAT,2025-01-07,21.8,22.1,21.5,21.6,1180347.0
GPHISPAT,2025-01-06,21.3,21.8,21.2,21.7,1073892.0
GPHISPAT,2025-01-05,21.8,21.8,21.2,21.3,560232.0
GPHISPAT,2025-01-02,21.8,21.9,21.6,21.6,808219.0
GPHISPAT,2025-01-01,22.1,22.3,21.7,21.8,1394061.0
GPHISPAT,2024-12-30,22.3,22.4,21.9,22.1,1533817.0
GPHISPAT,2024-12-29,22.4,22.4,22.1,22.2,1661612.0
GPHISPAT,2024-12-26,22.3,22.4,21.9,22.1,1658367.0
GPHISPAT,2024-12-24,22.3,22.7,21.9,22.1,3234693.0
GPHISPAT,2024-12-23,23.1,23.2,22.2,22.3,3173405.0
GPHISPAT,2024-12-22,22.7,23.3,22.5,23.1,4141764.0
GPHISPAT,2024-12-19,22.2,22.8,22.0,22.5,3023503.0
GPHISPAT,2024-12-18,23.5,23.6,22.2,22.4,1990992.0
GPHISPAT,2024-12-17,21.3,23.2,21.2,23.2,4336490.0
GPHISPAT,2024-12-15,21.5,21.5,20.9,21.1,882356.0
GPHISPAT,2024-12-12,21.7,21.8,21.1,21.2,1077476.0
GPHISPAT,2024-12-11,22.1,22.2,21.5,21.6,852321.0
GPHISPAT,2024-12-10,22.4,22.4,21.9,22.1,996206.0
GPHISPAT,2024-12-09,22.9,22.9,22.1,22.2,857724.0
GPHISPAT,2024-12-08,22.6,22.7,22.3,22.6,538648.0
GPHISPAT,2024-12-05,23.0,23.1,22.5,22.6,436598.0
GPHISPAT,2024-12-04,23.7,23.7,23.0,23.1,473132.0
GPHISPAT,2024-12-03,23.5,23.7,23.2,23.5,723617.0
GPHISPAT,2024-12-02,23.6,23.7,23.4,23.6,396324.0
GPHISPAT,2024-12-01,23.2,23.7,22.7,23.4,621325.0
