Trading_Code,Date,Open,High,Low,Close,Volume
GRAMEEN1,2016-12-01,18.2,18.4,18.1,18.2,11988.0
GRAMEEN1,2016-11-02,17.1,19.1,17.1,18.9,358388.0
GRAMEEN1,2016-11-01,18.2,18.2,17.9,18.0,39840.0
GRAMEEN1,2016-10-02,17.0,17.6,17.0,17.4,21915.0
GRAMEEN1,2016-10-01,18.1,18.3,18.1,18.2,16101.0
GRAMEEN1,2016-09-02,17.2,17.2,17.2,17.2,1605.0
GRAMEEN1,2016-08-02,16.9,16.9,16.9,16.9,15583.0
GRAMEEN1,2016-07-02,17.1,17.1,17.0,17.0,5847.0
GRAMEEN1,2016-07-01,18.0,18.3,18.0,18.1,11589.0
GRAMEEN1,2016-06-01,18.4,18.5,18.2,18.3,15712.0
GRAMEEN1,2016-05-01,18.2,18.2,17.6,17.8,244183.0
GRAMEEN1,2016-04-02,17.4,17.6,17.3,17.3,29985.0
GRAMEEN1,2016-04-01,18.1,18.4,18.1,18.3,65061.0
GRAMEEN1,2016-03-02,17.4,17.5,17.4,17.4,36974.0
GRAMEEN1,2016-03-01,18.2,18.8,18.0,18.4,15337.0
GRAMEEN1,2016-02-29,20.2,20.2,20.0,20.0,79613.0
GRAMEEN1,2016-02-28,20.4,20.9,20.2,20.7,153055.0
GRAMEEN1,2016-02-25,21.0,21.1,20.4,20.7,445767.0
GRAMEEN1,2016-02-24,20.4,21.0,20.4,21.0,342066.0
GRAMEEN1,2016-02-23,20.1,21.0,20.1,20.9,414985.0
GRAMEEN1,2016-02-22,20.5,20.7,19.6,20.5,299568.0
GRAMEEN1,2016-02-18,20.0,21.4,20.0,20.5,1578196.0
GRAMEEN1,2016-02-17,19.4,19.6,19.4,19.5,142401.0
GRAMEEN1,2016-02-16,19.2,19.6,19.0,19.4,227937.0
GRAMEEN1,2016-02-15,18.0,19.1,17.9,18.8,190533.0
GRAMEEN1,2016-02-14,19.1,19.5,18.1,18.6,159205.0
GRAMEEN1,2016-02-02,17.5,17.6,17.3,17.4,64587.0
GRAMEEN1,2016-01-31,17.9,17.9,17.4,17.8,6700.0
GRAMEEN1,2016-01-28,17.6,17.8,17.6,17.7,24025.0
GRAMEEN1,2016-01-27,17.5,17.8,17.4,17.7,33784.0
GRAMEEN1,2016-01-26,17.9,17.9,17.6,17.7,32076.0
GRAMEEN1,2016-01-25,18.0,18.0,17.6,17.8,14854.0
GRAMEEN1,2016-01-24,17.6,17.7,17.6,17.6,38455.0
GRAMEEN1,2016-01-21,17.9,17.9,17.8,17.8,61934.0
GRAMEEN1,2016-01-20,18.1,18.2,17.8,17.9,141379.0
GRAMEEN1,2016-01-19,18.3,18.4,18.1,18.2,59544.0
GRAMEEN1,2016-01-18,18.4,18.6,18.3,18.4,86226.0
GRAMEEN1,2016-01-17,18.5,18.5,18.1,18.3,56535.0
GRAMEEN1,2016-01-14,18.6,18.8,18.5,18.6,55732.0
GRAMEEN1,2016-01-13,18.3,18.9,18.2,18.6,56251.0
GRAMEEN1,2016-01-03,19.9,20.5,19.6,20.1,456578.0
GRAMEEN1,2016-01-02,17.4,17.7,17.4,17.6,8255.0
GRAMEEN1,2015-12-31,17.9,19.0,17.9,18.6,66231.0
GRAMEEN1,2015-12-30,17.7,18.0,17.7,17.9,7110.0
GRAMEEN1,2015-12-29,18.0,18.0,17.9,18.0,52563.0
GRAMEEN1,2015-12-28,18.0,18.0,17.9,18.0,10707.0
GRAMEEN1,2015-12-27,18.3,18.3,18.0,18.2,17823.0
GRAMEEN1,2015-12-24,18.5,18.6,18.2,18.3,39529.0
GRAMEEN1,2015-12-23,17.5,18.3,17.5,18.1,8642.0
GRAMEEN1,2015-12-22,18.3,18.7,18.2,18.4,55219.0
GRAMEEN1,2015-12-21,18.4,18.9,18.2,18.4,46485.0
GRAMEEN1,2015-12-20,18.2,19.0,18.2,18.6,31939.0
GRAMEEN1,2015-12-17,21.0,21.3,19.4,19.6,291546.0
GRAMEEN1,2015-12-15,21.1,21.4,20.1,20.4,534611.0
GRAMEEN1,2015-12-14,20.2,21.2,20.2,21.1,106032.0
GRAMEEN1,2015-12-13,20.9,21.2,20.9,21.1,104671.0
GRAMEEN1,2015-12-10,18.3,18.5,18.1,18.5,95831.0
GRAMEEN1,2015-12-08,26.9,27.4,26.6,26.9,439197.0
GRAMEEN1,2015-12-07,23.4,23.9,22.8,22.9,117750.0
GRAMEEN1,2015-12-05,23.0,23.5,22.0,22.5,216933.0
GRAMEEN1,2015-12-04,20.2,20.2,19.0,19.5,20119.0
GRAMEEN1,2015-12-03,22.1,22.3,22.0,22.2,96575.0
GRAMEEN1,2015-12-02,22.8,23.2,22.7,23.0,199340.0
GRAMEEN1,2015-12-01,25.0,25.3,24.7,24.9,248754.0
GRAMEEN1,2015-11-30,20.1,20.8,20.0,20.6,208845.0
GRAMEEN1,2015-11-10,18.4,18.4,18.1,18.2,41224.0
GRAMEEN1,2015-11-08,26.5,26.9,26.3,26.7,1593388.0
GRAMEEN1,2015-11-06,22.0,22.4,21.8,22.1,59400.0
GRAMEEN1,2015-11-05,21.6,22.9,21.2,22.4,448793.0
GRAMEEN1,2015-11-03,22.3,22.4,22.2,22.3,93001.0
GRAMEEN1,2015-11-02,22.8,22.9,22.5,22.8,146810.0
GRAMEEN1,2015-11-01,24.5,25.4,24.5,24.9,433895.0
GRAMEEN1,2015-10-29,17.7,18.0,17.7,17.9,13300.0
GRAMEEN1,2015-10-28,17.8,18.0,17.7,17.8,8800.0
GRAMEEN1,2015-10-27,18.0,18.2,17.8,18.0,42983.0
GRAMEEN1,2015-10-26,17.8,17.9,17.8,17.8,14208.0
GRAMEEN1,2015-10-25,18.0,18.0,17.9,17.9,28834.0
GRAMEEN1,2015-10-21,18.3,18.3,18.0,18.1,66796.0
GRAMEEN1,2015-10-20,18.0,18.2,17.9,18.0,70066.0
GRAMEEN1,2015-10-19,17.7,18.4,17.3,18.2,39489.0
GRAMEEN1,2015-10-18,18.0,18.1,18.0,18.0,55343.0
GRAMEEN1,2015-10-15,18.0,18.4,18.0,18.4,43503.0
GRAMEEN1,2015-10-14,18.4,18.5,18.3,18.3,22657.0
GRAMEEN1,2015-10-13,18.2,18.7,18.2,18.5,32892.0
GRAMEEN1,2015-10-12,21.2,21.4,21.2,21.3,118113.0
GRAMEEN1,2015-10-09,19.0,20.1,19.0,20.0,323657.0
GRAMEEN1,2015-10-08,25.2,26.5,25.2,26.4,572050.0
GRAMEEN1,2015-10-06,21.4,22.2,21.3,22.2,65805.0
GRAMEEN1,2015-10-05,20.5,22.0,20.5,21.5,272425.0
GRAMEEN1,2015-10-03,22.3,22.4,22.2,22.3,27560.0
GRAMEEN1,2015-10-02,22.8,22.9,22.6,22.8,72075.0
GRAMEEN1,2015-09-30,19.1,19.2,19.0,19.1,74603.0
GRAMEEN1,2015-09-29,19.2,19.2,19.0,19.1,13039.0
GRAMEEN1,2015-09-28,18.9,19.2,18.9,19.0,37470.0
GRAMEEN1,2015-09-22,19.2,19.3,18.8,19.0,48437.0
GRAMEEN1,2015-09-21,19.5,19.8,18.8,19.0,142694.0
GRAMEEN1,2015-09-20,20.1,20.1,19.6,19.7,143827.0
GRAMEEN1,2015-09-17,20.3,20.5,20.0,20.2,306785.0
GRAMEEN1,2015-09-16,20.7,20.8,20.6,20.7,136034.0
GRAMEEN1,2015-09-15,20.5,20.7,20.4,20.7,168113.0
GRAMEEN1,2015-09-14,20.0,20.5,20.0,20.4,265366.0
GRAMEEN1,2015-09-13,20.0,20.0,19.8,19.9,146201.0
GRAMEEN1,2015-09-12,21.2,21.4,21.1,21.3,365349.0
GRAMEEN1,2015-09-09,19.8,20.1,19.7,19.9,483500.0
GRAMEEN1,2015-09-08,26.1,26.4,25.5,25.9,289330.0
GRAMEEN1,2015-09-07,22.6,23.0,22.6,22.9,30725.0
GRAMEEN1,2015-09-06,20.5,22.1,20.5,21.3,126910.0
GRAMEEN1,2015-09-04,21.0,21.9,19.8,20.1,12075.0
GRAMEEN1,2015-09-03,22.3,22.3,22.2,22.3,94144.0
GRAMEEN1,2015-09-02,23.5,23.5,22.6,22.8,65501.0
GRAMEEN1,2015-08-31,26.8,26.8,26.0,26.6,74802.0
GRAMEEN1,2015-08-30,26.2,26.6,26.2,26.5,79230.0
GRAMEEN1,2015-08-27,26.3,26.3,26.1,26.2,77175.0
GRAMEEN1,2015-08-26,26.0,26.2,26.0,26.2,59225.0
GRAMEEN1,2015-08-25,26.1,26.3,25.9,26.0,44555.0
GRAMEEN1,2015-08-24,26.4,26.5,26.1,26.3,124761.0
GRAMEEN1,2015-08-23,26.3,26.4,26.1,26.3,124360.0
GRAMEEN1,2015-08-20,25.9,26.3,25.9,26.0,162732.0
GRAMEEN1,2015-08-19,26.2,26.4,25.7,26.0,303059.0
GRAMEEN1,2015-08-18,27.1,27.3,26.0,26.3,243110.0
GRAMEEN1,2015-08-17,27.3,27.3,25.5,26.5,364380.0
GRAMEEN1,2015-08-16,27.5,27.5,26.7,26.8,363555.0
GRAMEEN1,2015-08-13,26.6,27.4,26.5,27.2,359144.0
GRAMEEN1,2015-08-12,21.1,21.2,21.0,21.2,250837.0
GRAMEEN1,2015-08-11,19.9,20.7,19.8,20.2,279181.0
GRAMEEN1,2015-08-10,18.5,18.5,18.2,18.3,137345.0
