Trading_Code,Date,Open,High,Low,Close,Volume
GREENDELT,2025-04-08,44.3,44.8,44.0,44.0,14949.0
GREENDELT,2025-04-07,44.7,44.9,44.1,44.3,12993.0
GREENDELT,2025-04-06,44.2,44.8,44.0,44.7,11997.0
GREENDELT,2025-03-27,44.6,45.0,44.3,44.7,9702.0
GREENDELT,2025-03-25,44.4,44.5,43.9,44.1,10237.0
GREENDELT,2025-03-24,44.0,44.8,43.8,44.4,14268.0
GREENDELT,2025-03-23,43.6,44.5,43.5,43.7,24293.0
GREENDELT,2025-03-20,44.0,44.0,43.5,43.7,12274.0
GREENDELT,2025-03-19,44.6,45.2,43.7,43.9,21550.0
GREENDELT,2025-03-18,45.5,45.5,44.5,44.7,5413.0
GREENDELT,2025-03-17,44.7,45.1,44.7,44.8,17104.0
GREENDELT,2025-03-16,44.5,46.5,44.3,45.3,46155.0
GREENDELT,2025-03-13,44.3,45.2,44.3,44.7,24551.0
GREENDELT,2025-03-12,43.8,44.4,43.5,44.3,5018.0
GREENDELT,2025-03-11,44.2,44.6,43.7,43.8,15938.0
GREENDELT,2025-03-10,44.1,44.5,44.0,44.0,33881.0
GREENDELT,2025-03-09,45.1,45.1,44.2,44.4,26420.0
GREENDELT,2025-03-06,45.5,45.7,45.0,45.3,9587.0
GREENDELT,2025-03-05,45.2,45.8,44.5,45.2,34560.0
GREENDELT,2025-03-04,0.0,0.0,0.0,47.8,0.0
GREENDELT,2025-03-03,47.1,47.9,47.0,47.8,85059.0
GREENDELT,2025-03-02,47.3,48.4,47.1,47.2,47433.0
GREENDELT,2025-02-27,47.9,48.6,47.3,47.8,37683.0
GREENDELT,2025-02-26,48.3,48.3,47.8,47.9,32985.0
GREENDELT,2025-02-25,47.8,48.5,47.8,48.0,65747.0
GREENDELT,2025-02-24,47.5,47.8,47.3,47.6,47471.0
GREENDELT,2025-02-23,47.3,47.8,47.1,47.7,21816.0
GREENDELT,2025-02-20,46.5,47.1,46.4,46.8,40808.0
GREENDELT,2025-02-19,47.3,47.3,46.8,47.0,33489.0
GREENDELT,2025-02-18,47.0,47.5,46.9,47.0,46079.0
GREENDELT,2025-02-17,47.6,47.6,47.1,47.3,47860.0
GREENDELT,2025-02-16,47.2,47.6,47.0,47.4,21412.0
GREENDELT,2025-02-13,47.2,47.8,47.0,47.5,40155.0
GREENDELT,2025-02-12,47.5,47.6,46.7,47.1,66997.0
GREENDELT,2025-02-11,46.4,47.6,46.0,47.2,43350.0
GREENDELT,2025-02-10,46.5,46.6,45.5,46.0,20100.0
GREENDELT,2025-02-09,47.0,47.0,46.3,46.5,15439.0
GREENDELT,2025-02-06,46.6,47.0,46.2,46.6,31889.0
GREENDELT,2025-02-05,46.0,47.0,46.0,46.6,26534.0
GREENDELT,2025-02-04,46.0,46.0,45.0,45.2,24890.0
GREENDELT,2025-02-03,45.9,46.0,45.0,45.7,13933.0
GREENDELT,2025-02-02,46.3,46.5,44.0,44.0,28814.0
GREENDELT,2025-01-30,46.5,46.5,46.1,46.2,4300.0
GREENDELT,2025-01-29,45.9,46.5,45.6,45.8,24090.0
GREENDELT,2025-01-28,45.7,46.5,45.5,46.0,6321.0
GREENDELT,2025-01-27,46.5,46.5,45.7,45.8,24891.0
GREENDELT,2025-01-26,46.3,46.3,46.1,46.2,5108.0
GREENDELT,2025-01-23,47.2,47.4,45.9,46.3,37438.0
GREENDELT,2025-01-22,47.6,48.4,46.8,46.9,10202.0
GREENDELT,2025-01-21,48.0,48.6,47.5,47.6,18271.0
GREENDELT,2025-01-20,47.7,49.0,47.5,47.7,37187.0
GREENDELT,2025-01-19,47.9,47.9,47.3,47.7,17724.0
GREENDELT,2025-01-16,46.6,47.7,46.5,46.7,10141.0
GREENDELT,2025-01-15,46.3,46.8,46.3,46.8,600.0
GREENDELT,2025-01-14,46.4,46.6,46.3,46.3,8640.0
GREENDELT,2025-01-13,46.8,46.9,45.7,46.3,18513.0
GREENDELT,2025-01-12,47.2,47.7,46.7,46.9,11303.0
GREENDELT,2025-01-09,49.2,49.2,47.1,47.4,6956.0
GREENDELT,2025-01-08,49.7,49.7,47.5,47.5,33884.0
GREENDELT,2025-01-07,48.9,49.7,48.5,48.5,11461.0
GREENDELT,2025-01-06,48.6,49.7,48.5,48.8,4140.0
GREENDELT,2025-01-05,48.5,48.5,48.4,48.5,2400.0
GREENDELT,2025-01-02,48.4,48.9,48.3,48.7,12111.0
GREENDELT,2025-01-01,49.0,49.0,48.7,48.9,6582.0
GREENDELT,2024-12-30,48.6,49.0,48.3,48.6,12381.0
GREENDELT,2024-12-29,48.8,50.0,48.7,48.9,7712.0
GREENDELT,2024-12-26,49.0,49.0,48.3,48.5,6111.0
GREENDELT,2024-12-24,49.4,49.4,48.2,48.6,6449.0
GREENDELT,2024-12-23,50.9,50.9,48.5,48.7,5982.0
GREENDELT,2024-12-22,50.5,50.5,49.3,49.4,11272.0
GREENDELT,2024-12-19,49.5,50.0,49.4,49.5,11839.0
GREENDELT,2024-12-18,50.3,50.3,49.1,49.3,8768.0
GREENDELT,2024-12-17,50.0,50.4,49.8,50.0,31115.0
GREENDELT,2024-12-15,48.9,49.9,48.5,49.7,20351.0
GREENDELT,2024-12-12,48.0,48.5,47.9,48.0,4586.0
GREENDELT,2024-12-11,48.9,48.9,48.0,48.1,8027.0
GREENDELT,2024-12-10,48.2,49.8,48.2,48.8,7934.0
GREENDELT,2024-12-09,49.0,49.0,48.1,48.3,1664.0
GREENDELT,2024-12-08,48.8,49.0,47.9,48.0,28336.0
GREENDELT,2024-12-05,50.4,50.5,48.7,48.9,29196.0
GREENDELT,2024-12-04,51.0,51.0,50.0,50.1,13072.0
GREENDELT,2024-12-03,50.0,50.6,49.2,50.1,58441.0
GREENDELT,2024-12-02,50.0,50.7,50.0,50.1,43702.0
GREENDELT,2024-12-01,50.0,51.5,49.8,50.0,11332.0
GREENDELT,2024-11-28,52.8,52.9,50.3,50.6,79653.0
