Trading_Code,Date,Open,High,Low,Close,Volume
GSPFINANCE,2025-04-08,5.9,6.1,5.8,5.9,40607.0
GSPFINANCE,2025-04-07,6.2,6.2,5.8,5.9,98530.0
GSPFINANCE,2025-04-06,6.3,6.3,5.8,6.0,124183.0
GSPFINANCE,2025-03-27,6.5,6.5,6.0,6.1,63942.0
GSPFINANCE,2025-03-25,6.0,6.4,6.0,6.2,373666.0
GSPFINANCE,2025-03-24,5.9,6.1,5.8,5.9,43003.0
GSPFINANCE,2025-03-23,6.2,6.2,5.9,5.9,73757.0
GSPFINANCE,2025-03-20,6.1,6.1,5.9,6.0,144815.0
GSPFINANCE,2025-03-19,6.2,6.2,5.9,5.9,29403.0
GSPFINANCE,2025-03-18,5.9,6.0,5.9,5.9,52805.0
GSPFINANCE,2025-03-17,5.9,5.9,5.8,5.8,88690.0
GSPFINANCE,2025-03-16,6.0,6.0,5.9,5.9,80999.0
GSPFINANCE,2025-03-13,6.4,6.4,5.9,6.0,47909.0
GSPFINANCE,2025-03-12,6.1,6.2,6.0,6.1,44079.0
GSPFINANCE,2025-03-11,6.1,6.2,6.0,6.1,14647.0
GSPFINANCE,2025-03-10,6.4,6.4,5.9,6.0,64695.0
GSPFINANCE,2025-03-09,6.2,6.2,6.0,6.1,76542.0
GSPFINANCE,2025-03-06,6.7,6.7,6.1,6.1,63426.0
GSPFINANCE,2025-03-05,6.0,6.2,6.0,6.1,13822.0
GSPFINANCE,2025-03-04,6.1,6.2,6.1,6.1,70199.0
GSPFINANCE,2025-03-03,6.2,6.3,6.1,6.2,91861.0
GSPFINANCE,2025-03-02,6.3,6.3,6.2,6.2,123613.0
GSPFINANCE,2025-02-27,6.3,6.3,6.2,6.2,100755.0
GSPFINANCE,2025-02-26,6.3,6.4,6.2,6.3,173768.0
GSPFINANCE,2025-02-25,6.4,6.4,6.2,6.3,242060.0
GSPFINANCE,2025-02-24,6.2,6.4,6.2,6.2,257884.0
GSPFINANCE,2025-02-23,6.4,6.4,6.2,6.2,119695.0
GSPFINANCE,2025-02-20,6.3,6.4,6.2,6.3,216046.0
GSPFINANCE,2025-02-19,6.3,6.3,6.1,6.2,124764.0
GSPFINANCE,2025-02-18,6.3,6.4,6.2,6.3,207348.0
GSPFINANCE,2025-02-17,6.5,6.5,6.3,6.3,157644.0
GSPFINANCE,2025-02-16,6.8,6.8,6.4,6.5,148477.0
GSPFINANCE,2025-02-13,6.5,6.6,6.4,6.5,281898.0
GSPFINANCE,2025-02-12,6.6,6.6,6.3,6.4,395200.0
GSPFINANCE,2025-02-11,6.2,6.6,6.2,6.4,262728.0
GSPFINANCE,2025-02-10,6.6,6.6,6.1,6.2,214956.0
GSPFINANCE,2025-02-09,6.7,6.9,6.4,6.5,856528.0
GSPFINANCE,2025-02-06,5.9,6.3,5.9,6.3,1297439.0
GSPFINANCE,2025-02-05,5.9,5.9,5.7,5.8,281843.0
GSPFINANCE,2025-02-04,5.8,5.9,5.7,5.7,46059.0
GSPFINANCE,2025-02-03,5.9,5.9,5.6,5.8,99966.0
GSPFINANCE,2025-02-02,5.7,5.8,5.7,5.8,72739.0
GSPFINANCE,2025-01-30,5.7,5.7,5.5,5.6,61065.0
GSPFINANCE,2025-01-29,5.8,5.8,5.6,5.7,51074.0
GSPFINANCE,2025-01-28,5.8,5.9,5.7,5.8,155411.0
GSPFINANCE,2025-01-27,5.7,5.8,5.6,5.7,46101.0
GSPFINANCE,2025-01-26,5.8,5.9,5.6,5.6,62075.0
GSPFINANCE,2025-01-23,6.0,6.0,5.5,5.7,167322.0
GSPFINANCE,2025-01-22,6.1,6.1,5.9,5.9,58522.0
GSPFINANCE,2025-01-21,6.2,6.2,5.9,6.1,99106.0
GSPFINANCE,2025-01-20,5.9,6.0,5.8,6.0,97237.0
GSPFINANCE,2025-01-19,6.0,6.0,5.7,5.8,74294.0
GSPFINANCE,2025-01-16,5.9,5.9,5.7,5.8,140505.0
GSPFINANCE,2025-01-15,6.1,6.1,5.8,5.9,203579.0
GSPFINANCE,2025-01-14,6.1,6.2,6.0,6.1,59326.0
GSPFINANCE,2025-01-13,6.0,6.1,5.9,6.1,98116.0
GSPFINANCE,2025-01-12,5.7,6.2,5.7,6.1,536715.0
GSPFINANCE,2025-01-09,5.8,5.8,5.7,5.7,50848.0
GSPFINANCE,2025-01-08,5.7,5.9,5.6,5.7,59832.0
GSPFINANCE,2025-01-07,5.8,5.8,5.7,5.7,55655.0
GSPFINANCE,2025-01-06,5.7,5.8,5.6,5.7,79804.0
GSPFINANCE,2025-01-05,5.6,5.7,5.6,5.7,32065.0
GSPFINANCE,2025-01-02,5.9,5.9,5.6,5.7,59477.0
GSPFINANCE,2025-01-01,5.6,5.9,5.6,5.8,12465.0
GSPFINANCE,2024-12-30,5.8,5.8,5.6,5.7,46596.0
GSPFINANCE,2024-12-29,5.7,5.7,5.5,5.6,137183.0
GSPFINANCE,2024-12-26,5.7,5.7,5.6,5.6,26176.0
GSPFINANCE,2024-12-24,5.5,5.7,5.4,5.6,45350.0
GSPFINANCE,2024-12-23,5.7,5.8,5.5,5.6,63582.0
GSPFINANCE,2024-12-22,6.0,6.0,5.6,5.6,124582.0
GSPFINANCE,2024-12-19,5.9,6.0,5.8,5.8,101214.0
GSPFINANCE,2024-12-18,6.0,6.1,5.9,6.0,36528.0
GSPFINANCE,2024-12-17,6.1,6.2,5.9,6.0,77482.0
GSPFINANCE,2024-12-15,6.3,6.3,6.0,6.0,48298.0
GSPFINANCE,2024-12-12,0.0,0.0,0.0,6.0,0.0
GSPFINANCE,2024-12-11,6.1,6.1,6.0,6.0,103891.0
GSPFINANCE,2024-12-10,6.1,6.2,5.9,6.0,91212.0
GSPFINANCE,2024-12-09,6.1,6.2,6.0,6.1,82483.0
GSPFINANCE,2024-12-08,6.4,6.4,6.0,6.1,62811.0
GSPFINANCE,2024-12-05,6.3,6.3,6.1,6.2,67718.0
GSPFINANCE,2024-12-04,6.4,6.6,6.2,6.3,143354.0
GSPFINANCE,2024-12-03,6.4,6.5,6.1,6.4,270858.0
GSPFINANCE,2024-12-02,6.6,6.6,6.2,6.3,188477.0
GSPFINANCE,2024-12-01,6.4,6.4,6.0,6.0,153240.0
GSPFINANCE,2024-11-28,6.5,6.5,6.0,6.0,83503.0
GSPFINANCE,2024-11-27,6.3,6.3,6.0,6.2,132649.0
GSPFINANCE,2024-11-26,6.4,6.4,5.9,6.0,62392.0
GSPFINANCE,2024-11-25,5.9,6.3,5.9,6.1,48793.0
GSPFINANCE,2024-11-24,5.7,6.1,5.4,6.0,426282.0
GSPFINANCE,2024-11-21,7.1,7.1,6.3,6.3,228111.0
GSPFINANCE,2024-11-20,7.0,7.0,6.3,6.5,627883.0
