Trading_Code,Date,Open,High,Low,Close,Volume
HAKKANIPUL,2025-04-08,60.7,62.9,60.7,61.8,477572.0
HAKKANIPUL,2025-04-07,60.7,62.3,59.3,60.2,311959.0
HAKKANIPUL,2025-04-06,65.0,65.0,59.9,60.7,779669.0
HAKKANIPUL,2025-03-27,66.4,67.9,65.1,66.1,310206.0
HAKKANIPUL,2025-03-25,67.4,68.7,66.3,66.6,405087.0
HAKKANIPUL,2025-03-24,67.5,68.5,66.3,67.1,347509.0
HAKKANIPUL,2025-03-23,66.1,68.6,66.1,67.3,422799.0
HAKKANIPUL,2025-03-20,70.2,71.4,66.4,67.6,833064.0
HAKKANIPUL,2025-03-19,71.6,73.1,70.2,71.0,880770.0
HAKKANIPUL,2025-03-18,71.0,75.2,71.0,72.5,1562017.0
HAKKANIPUL,2025-03-17,70.7,71.1,68.6,70.8,1033131.0
HAKKANIPUL,2025-03-16,71.8,72.8,69.7,70.3,960863.0
HAKKANIPUL,2025-03-13,68.0,72.5,68.0,70.9,1178723.0
HAKKANIPUL,2025-03-12,70.4,71.8,68.9,69.6,1056647.0
HAKKANIPUL,2025-03-11,67.7,71.3,66.0,70.4,1362673.0
HAKKANIPUL,2025-03-10,64.8,69.3,64.8,67.6,1271804.0
HAKKANIPUL,2025-03-09,64.1,66.3,63.0,64.6,864134.0
HAKKANIPUL,2025-03-06,67.8,71.9,63.0,64.0,1333375.0
HAKKANIPUL,2025-03-05,61.9,66.6,61.4,66.6,1027502.0
HAKKANIPUL,2025-03-04,60.8,61.2,59.5,60.6,423203.0
HAKKANIPUL,2025-03-03,60.0,61.7,59.7,60.1,282030.0
HAKKANIPUL,2025-03-02,62.7,63.3,61.0,61.7,527064.0
HAKKANIPUL,2025-02-27,58.0,62.0,58.0,61.3,712195.0
HAKKANIPUL,2025-02-26,55.2,59.1,55.2,58.1,291854.0
HAKKANIPUL,2025-02-25,57.9,59.7,56.5,57.4,327599.0
HAKKANIPUL,2025-02-24,58.1,59.0,57.5,57.9,383017.0
HAKKANIPUL,2025-02-23,57.9,60.0,57.9,58.2,267191.0
HAKKANIPUL,2025-02-20,59.0,61.3,58.8,59.3,346415.0
HAKKANIPUL,2025-02-19,58.0,61.4,58.0,60.5,468687.0
HAKKANIPUL,2025-02-18,62.5,63.6,58.3,59.6,641092.0
