Trading_Code,Date,Open,High,Low,Close,Volume
HAMI,2025-04-08,121.5,124.7,119.7,123.8,82758.0
HAMI,2025-04-07,123.1,124.7,118.0,119.7,21524.0
HAMI,2025-04-06,113.0,124.4,113.0,122.8,17116.0
HAMI,2025-03-27,122.0,122.0,116.3,118.4,56163.0
HAMI,2025-03-25,116.2,121.8,116.0,119.7,49717.0
HAMI,2025-03-24,115.3,116.9,114.0,115.3,68895.0
HAMI,2025-03-23,115.5,116.0,113.8,114.9,20232.0
HAMI,2025-03-20,114.9,117.8,111.0,115.8,103976.0
HAMI,2025-03-19,106.8,115.0,106.8,114.3,127774.0
HAMI,2025-03-18,108.7,111.0,106.7,106.9,34864.0
HAMI,2025-03-17,110.8,113.7,108.8,109.3,31237.0
HAMI,2025-03-16,109.9,116.0,109.4,110.0,38594.0
HAMI,2025-03-13,115.0,115.0,106.4,108.5,55308.0
HAMI,2025-03-12,101.0,110.5,101.0,110.5,56852.0
HAMI,2025-03-11,100.0,104.0,99.8,100.5,34430.0
HAMI,2025-03-10,93.2,100.0,92.9,96.6,7425.0
HAMI,2025-03-09,99.9,99.9,92.8,93.3,9939.0
HAMI,2025-03-06,102.7,102.8,96.1,98.6,6935.0
HAMI,2025-03-05,100.3,101.6,99.5,100.1,31907.0
HAMI,2025-03-04,100.8,101.7,100.0,100.6,5768.0
HAMI,2025-03-03,104.2,104.2,100.8,101.0,6552.0
HAMI,2025-03-02,102.5,105.0,100.0,101.4,13463.0
HAMI,2025-02-27,107.5,107.5,100.0,102.6,17386.0
HAMI,2025-02-26,103.3,107.8,103.0,106.0,13307.0
HAMI,2025-02-25,106.4,109.7,104.9,105.1,6241.0
HAMI,2025-02-24,107.6,110.4,105.0,106.2,8470.0
HAMI,2025-02-23,115.0,115.0,106.5,107.5,17343.0
HAMI,2025-02-20,111.0,114.5,110.7,111.6,4127.0
HAMI,2025-02-19,112.2,115.0,107.0,113.1,33302.0
HAMI,2025-02-18,108.8,113.5,108.1,108.4,5028.0
HAMI,2025-02-17,109.3,113.4,107.5,108.7,14710.0
HAMI,2025-02-16,113.7,113.7,107.6,109.5,11880.0
HAMI,2025-02-13,109.3,117.1,106.1,108.0,10906.0
HAMI,2025-02-12,107.0,117.0,106.1,114.1,12638.0
HAMI,2025-02-11,115.0,115.0,105.2,106.9,13055.0
HAMI,2025-02-10,116.0,116.4,109.2,110.5,18063.0
HAMI,2025-02-09,119.5,123.5,116.1,116.4,9252.0
HAMI,2025-02-06,112.9,119.6,106.7,118.7,36135.0
HAMI,2025-02-05,114.9,124.0,105.0,108.8,22904.0
HAMI,2025-02-04,125.0,125.1,113.1,114.7,31281.0
HAMI,2025-02-03,121.3,126.8,120.0,120.7,20159.0
HAMI,2025-02-02,120.0,124.7,120.0,120.7,14768.0
HAMI,2025-01-30,126.0,128.8,121.8,122.0,19242.0
HAMI,2025-01-29,124.1,130.5,124.1,127.2,20819.0
HAMI,2025-01-28,126.5,133.5,126.5,128.8,50962.0
HAMI,2025-01-27,127.1,127.1,124.3,126.1,23426.0
HAMI,2025-01-26,127.8,129.9,125.3,125.4,12900.0
HAMI,2025-01-23,121.0,128.9,121.0,126.4,21803.0
HAMI,2025-01-22,127.6,127.6,117.2,123.4,10146.0
HAMI,2025-01-21,129.3,129.3,124.2,126.6,14454.0
HAMI,2025-01-20,125.9,128.3,121.0,125.7,20617.0
HAMI,2025-01-19,114.8,120.0,114.8,119.8,26784.0
HAMI,2025-01-16,116.5,124.2,116.5,117.8,16161.0
HAMI,2025-01-15,129.0,129.0,115.0,119.6,30388.0
HAMI,2025-01-14,140.9,140.9,125.0,125.4,31496.0
HAMI,2025-01-13,132.0,134.6,127.7,129.0,28056.0
HAMI,2025-01-12,123.1,135.0,123.1,131.8,47904.0
HAMI,2025-01-09,123.0,126.7,119.8,125.1,32662.0
HAMI,2025-01-08,115.0,122.9,115.0,120.3,31599.0
HAMI,2025-01-07,125.7,127.5,120.1,121.1,51107.0
HAMI,2025-01-06,121.8,124.4,119.0,122.7,68168.0
HAMI,2025-01-05,116.2,121.1,112.3,116.9,51775.0
HAMI,2025-01-02,113.1,115.0,104.1,113.8,21627.0
HAMI,2025-01-01,117.0,117.0,111.1,113.2,55033.0
HAMI,2024-12-30,112.7,112.7,107.3,110.4,70141.0
HAMI,2024-12-29,100.9,108.3,100.9,106.1,39199.0
HAMI,2024-12-26,105.1,105.1,100.0,100.8,30623.0
HAMI,2024-12-24,101.5,104.8,101.5,103.3,30552.0
HAMI,2024-12-23,97.8,102.7,95.4,100.5,33970.0
HAMI,2024-12-22,97.9,98.5,94.0,96.6,28367.0
HAMI,2024-12-19,94.0,99.9,94.0,98.7,17113.0
HAMI,2024-12-18,102.1,106.5,94.4,97.1,69278.0
HAMI,2024-12-17,93.2,103.2,93.2,103.2,150642.0
HAMI,2024-12-15,89.0,93.9,89.0,93.9,97770.0
HAMI,2024-12-12,81.9,88.4,81.9,85.4,65806.0
HAMI,2024-12-11,84.0,84.0,79.4,80.6,16166.0
HAMI,2024-12-10,77.1,79.8,77.1,79.3,62845.0
HAMI,2024-12-09,77.5,81.2,77.5,78.7,11163.0
HAMI,2024-12-08,77.0,78.0,75.1,77.8,4412.0
HAMI,2024-12-05,78.3,80.0,75.6,75.9,20897.0
HAMI,2024-12-04,81.5,81.5,79.2,79.4,3504.0
HAMI,2024-12-03,82.5,82.5,80.1,80.3,4744.0
HAMI,2024-12-02,83.0,83.0,79.4,80.6,14507.0
HAMI,2024-12-01,79.0,83.2,79.0,79.8,12203.0
HAMI,2024-11-28,80.1,82.8,79.6,81.8,15206.0
HAMI,2024-11-27,83.0,83.0,80.0,80.7,21382.0
HAMI,2024-11-26,81.9,84.0,77.5,82.2,33205.0
HAMI,2024-11-25,80.3,84.2,80.0,80.0,33172.0
HAMI,2024-11-24,77.0,82.2,77.0,81.2,42684.0
HAMI,2024-11-21,83.0,83.0,74.8,75.1,19024.0
HAMI,2024-11-20,77.8,82.3,73.0,76.6,27171.0
HAMI,2024-11-19,80.7,80.7,76.1,78.2,29740.0
HAMI,2024-11-18,76.3,80.8,76.3,79.2,4390.0
HAMI,2024-11-17,78.2,80.3,77.1,78.1,2772.0
HAMI,2024-11-14,80.0,83.4,75.2,78.8,21947.0
HAMI,2024-11-13,78.0,78.0,74.0,77.0,10492.0
HAMI,2024-11-12,73.5,79.2,73.5,75.0,8094.0
HAMI,2024-11-11,75.6,75.6,72.4,73.3,5080.0
HAMI,2024-11-10,77.0,77.2,72.1,72.8,16457.0
HAMI,2024-11-07,75.3,77.0,72.4,76.1,5149.0
HAMI,2024-11-06,79.1,81.3,77.5,78.8,26930.0
HAMI,2024-11-05,78.1,82.5,78.1,80.1,35967.0
HAMI,2024-11-04,88.4,88.4,76.7,78.1,59086.0
HAMI,2024-11-03,79.8,80.4,79.8,80.4,7882.0
HAMI,2024-10-31,68.2,73.1,68.2,73.1,8813.0
HAMI,2024-10-30,63.1,66.5,61.3,66.5,18314.0
HAMI,2024-10-29,55.0,60.5,55.0,60.5,13935.0
HAMI,2024-10-28,54.0,55.9,52.0,55.0,6489.0
HAMI,2024-10-27,52.3,58.8,50.2,51.7,27328.0
HAMI,2024-10-24,58.1,58.5,54.9,55.2,15702.0
HAMI,2024-10-23,67.9,67.9,60.8,61.0,12755.0
HAMI,2024-10-22,60.2,68.0,60.2,65.5,13337.0
HAMI,2024-10-21,68.0,68.0,65.0,65.7,2847.0
HAMI,2024-10-20,68.4,68.6,65.1,66.6,10328.0
HAMI,2024-10-17,69.5,69.5,66.8,67.9,22278.0
HAMI,2024-10-16,70.9,70.9,68.0,69.6,19387.0
HAMI,2024-10-15,73.1,73.1,66.1,70.7,16874.0
HAMI,2024-10-14,69.1,70.4,68.1,70.0,8205.0
HAMI,2024-10-09,65.1,69.4,64.7,68.6,11591.0
HAMI,2024-10-08,72.3,72.3,67.1,67.9,15114.0
HAMI,2024-10-07,72.8,73.9,68.3,69.1,4207.0
HAMI,2024-10-06,76.5,76.9,71.8,72.8,9965.0
HAMI,2024-10-03,79.0,79.0,71.8,73.1,42699.0
HAMI,2024-10-02,81.6,81.6,78.6,79.0,12408.0
HAMI,2024-10-01,78.6,84.4,77.3,81.6,59327.0
HAMI,2024-09-30,76.3,79.9,76.3,78.6,10190.0
HAMI,2024-09-29,83.5,83.5,79.9,80.2,37402.0
HAMI,2024-09-26,82.0,84.5,77.0,83.5,34940.0
HAMI,2024-09-25,94.8,94.8,79.8,84.3,55101.0
HAMI,2024-09-24,82.0,87.1,81.9,87.1,46860.0
HAMI,2024-09-23,80.0,83.7,76.6,79.2,111069.0
HAMI,2024-09-22,86.3,94.5,85.1,85.1,122550.0
HAMI,2024-09-19,98.0,100.0,93.9,94.5,46225.0
HAMI,2024-09-18,98.8,106.9,98.8,104.3,3648.0
HAMI,2024-09-17,109.0,114.1,105.6,106.0,5035.0
HAMI,2024-09-15,109.9,109.9,107.0,107.8,5150.0
HAMI,2024-09-12,107.0,111.9,100.0,109.9,22525.0
HAMI,2024-09-11,120.0,120.0,101.7,107.0,30239.0
HAMI,2024-09-10,116.5,119.9,112.0,112.3,16954.0
HAMI,2024-09-09,120.1,122.7,115.5,122.4,94947.0
HAMI,2024-09-08,125.2,129.9,120.0,123.8,7162.0
HAMI,2024-09-05,130.5,130.5,125.0,126.6,7774.0
HAMI,2024-09-04,129.9,132.0,123.0,127.7,5508.0
HAMI,2024-09-03,125.0,127.0,117.1,124.5,13434.0
HAMI,2024-09-02,120.0,128.9,118.1,119.2,3976.0
HAMI,2024-09-01,116.0,120.3,116.0,120.0,15756.0
HAMI,2024-08-29,109.0,118.8,107.0,114.8,7721.0
HAMI,2024-08-28,117.0,121.0,112.7,112.7,42964.0
HAMI,2024-08-27,125.0,125.0,113.0,116.1,45614.0
HAMI,2024-08-25,110.8,117.0,110.8,114.4,5553.0
HAMI,2024-08-22,111.2,118.6,110.6,112.2,10200.0
HAMI,2024-08-21,114.2,118.8,114.0,114.0,18266.0
HAMI,2024-08-20,110.4,123.7,110.4,117.5,71046.0
HAMI,2024-08-19,113.8,113.8,113.8,113.8,6029.0
HAMI,2024-08-18,117.3,117.3,117.3,117.3,1383.0
HAMI,2024-08-15,120.9,120.9,120.9,120.9,1125.0
HAMI,2024-08-14,124.6,124.6,124.6,124.6,2035.0
HAMI,2024-08-13,128.4,128.4,128.4,128.4,10016.0
HAMI,2024-08-12,132.3,132.3,132.3,132.3,35829.0
HAMI,2024-08-11,136.3,136.3,136.3,136.3,6255.0
HAMI,2024-08-08,140.5,140.5,140.5,140.5,5197.0
HAMI,2024-08-07,149.7,149.7,144.8,144.8,1505.0
HAMI,2024-08-06,151.0,151.0,140.0,149.2,8937.0
HAMI,2024-08-04,138.0,138.0,137.0,137.6,441.0
HAMI,2024-08-01,139.9,144.0,132.5,141.2,5770.0
HAMI,2024-07-31,147.0,147.0,131.1,132.9,1165.0
HAMI,2024-07-30,135.0,142.5,134.1,134.7,14677.0
HAMI,2024-07-29,143.9,143.9,137.7,138.2,7205.0
HAMI,2024-07-28,142.8,147.9,139.5,141.8,1359.0
HAMI,2024-07-25,143.5,143.5,138.3,139.3,11644.0
HAMI,2024-07-24,139.9,147.5,139.2,139.3,14644.0
HAMI,2024-07-18,150.0,150.0,136.0,143.5,14835.0
HAMI,2024-07-16,138.0,143.9,137.2,137.4,7175.0
HAMI,2024-07-15,138.2,144.9,138.2,139.3,3496.0
HAMI,2024-07-14,148.0,148.0,140.9,141.1,10868.0
HAMI,2024-07-11,150.9,150.9,145.0,145.2,7015.0
HAMI,2024-07-10,153.6,153.6,147.1,149.2,11479.0
HAMI,2024-07-09,144.7,149.0,142.4,147.1,18696.0
HAMI,2024-07-08,147.0,150.0,143.4,145.0,12564.0
HAMI,2024-07-07,153.5,153.5,147.2,147.8,12151.0
HAMI,2024-07-04,154.0,156.0,148.2,151.2,182143.0
HAMI,2024-07-03,138.6,150.9,135.9,149.5,52823.0
HAMI,2024-07-02,137.0,139.5,136.3,137.5,16620.0
HAMI,2024-06-30,140.5,144.7,140.5,140.5,10694.0
HAMI,2024-06-27,155.0,155.0,144.0,144.8,17400.0
HAMI,2024-06-26,0.0,0.0,0.0,148.4,0.0
HAMI,2024-06-25,164.0,164.0,148.4,148.4,17875.0
HAMI,2024-06-24,158.0,158.0,152.9,152.9,29433.0
HAMI,2024-06-23,155.8,166.5,155.8,157.6,125216.0
HAMI,2024-06-20,144.9,151.4,139.1,151.4,28961.0
HAMI,2024-06-19,140.4,140.4,131.6,137.7,24102.0
HAMI,2024-06-13,128.7,133.8,122.5,133.1,6496.0
HAMI,2024-06-12,127.0,127.0,120.3,122.4,5217.0
HAMI,2024-06-11,122.4,129.8,122.4,122.4,24791.0
HAMI,2024-06-10,126.1,126.4,126.1,126.1,3538.0
HAMI,2024-06-09,140.0,140.0,129.9,129.9,12323.0
HAMI,2024-06-06,132.2,136.3,132.1,133.9,54331.0
HAMI,2024-06-05,136.1,138.7,136.1,136.1,63069.0
HAMI,2024-06-04,140.3,143.6,140.3,140.3,24325.0
HAMI,2024-06-03,146.5,147.1,144.6,144.6,12801.0
HAMI,2024-06-02,167.0,167.0,145.6,149.0,44191.0
HAMI,2024-05-30,152.0,158.0,148.5,154.4,65246.0
HAMI,2024-05-29,140.0,153.2,140.0,149.6,54530.0
HAMI,2024-05-28,138.9,140.3,133.5,139.3,44923.0
HAMI,2024-05-27,138.2,138.2,130.5,133.2,5444.0
HAMI,2024-05-26,131.2,131.2,127.3,127.6,50707.0
HAMI,2024-05-23,139.9,139.9,126.3,131.2,13705.0
HAMI,2024-05-21,133.9,133.9,125.1,130.1,30727.0
HAMI,2024-05-20,125.0,132.3,120.3,126.9,8933.0
HAMI,2024-05-19,138.9,138.9,123.8,124.0,8943.0
HAMI,2024-05-16,122.7,134.9,122.7,127.5,30338.0
HAMI,2024-05-15,126.4,126.4,126.4,126.4,951.0
HAMI,2024-05-14,130.6,130.6,130.3,130.3,6573.0
HAMI,2024-05-13,134.8,134.8,134.3,134.3,19378.0
HAMI,2024-05-12,148.0,148.0,138.4,138.4,14525.0
HAMI,2024-05-09,139.0,145.0,138.8,142.5,28541.0
HAMI,2024-05-08,145.0,156.2,141.4,141.4,9526.0
HAMI,2024-05-07,153.7,153.7,145.6,145.7,20661.0
HAMI,2024-05-06,150.0,154.7,149.5,150.1,20988.0
HAMI,2024-05-05,163.0,163.0,154.1,154.1,9392.0
HAMI,2024-05-02,149.7,160.0,149.7,158.8,58891.0
HAMI,2024-04-30,154.3,154.3,154.3,154.3,7972.0
HAMI,2024-04-29,165.0,165.0,159.0,159.0,5138.0
HAMI,2024-04-28,172.8,172.8,156.9,163.9,15350.0
HAMI,2024-04-25,167.9,167.9,157.1,157.8,11964.0
HAMI,2024-04-24,171.5,171.5,161.6,161.9,8548.0
HAMI,2024-04-23,168.9,173.0,164.0,166.3,12236.0
HAMI,2024-04-22,161.3,174.0,161.3,170.9,12571.0
HAMI,2024-04-21,163.8,168.0,160.5,165.2,13153.0
HAMI,2024-04-18,170.0,170.0,161.1,162.5,8483.0
HAMI,2024-04-17,178.8,178.8,167.8,168.9,9907.0
HAMI,2024-04-16,177.9,177.9,171.4,171.6,8129.0
HAMI,2024-04-15,179.5,179.5,169.1,170.7,8470.0
HAMI,2024-04-09,185.2,189.6,175.1,180.2,8538.0
HAMI,2024-04-08,175.0,186.0,160.1,184.8,16874.0
HAMI,2024-04-04,153.1,171.3,153.1,171.3,12229.0
HAMI,2024-04-03,167.0,167.0,152.0,155.9,25755.0
HAMI,2024-04-02,168.0,168.0,153.5,156.0,4674.0
HAMI,2024-04-01,172.8,172.8,146.5,153.6,7632.0
HAMI,2024-03-31,169.4,169.4,162.0,162.6,9254.0
HAMI,2024-03-28,170.0,170.9,161.0,163.1,8337.0
HAMI,2024-03-27,174.9,174.9,160.1,163.2,9445.0
HAMI,2024-03-25,180.6,180.6,167.0,168.0,5515.0
