Trading_Code,Date,Open,High,Low,Close,Volume
HEIDELBCEM,2025-04-08,214.9,231.4,213.2,231.4,45651.0
HEIDELBCEM,2025-04-07,210.5,214.1,208.1,212.8,16217.0
HEIDELBCEM,2025-04-06,209.0,215.5,208.0,210.8,2299.0
HEIDELBCEM,2025-03-27,217.8,217.8,212.0,214.4,4715.0
HEIDELBCEM,2025-03-25,213.1,217.4,206.5,214.5,3766.0
HEIDELBCEM,2025-03-24,214.8,214.8,212.1,213.0,4455.0
HEIDELBCEM,2025-03-23,210.4,216.7,210.4,212.5,4032.0
HEIDELBCEM,2025-03-20,212.9,212.9,210.1,210.4,7093.0
HEIDELBCEM,2025-03-19,211.0,211.0,210.0,210.4,5120.0
HEIDELBCEM,2025-03-18,209.5,212.0,209.5,211.1,561.0
HEIDELBCEM,2025-03-17,212.8,212.9,210.5,210.8,4280.0
HEIDELBCEM,2025-03-16,206.1,213.9,206.0,212.8,5624.0
HEIDELBCEM,2025-03-13,210.6,213.9,210.0,210.1,8132.0
HEIDELBCEM,2025-03-12,210.0,215.0,210.0,212.3,1254.0
HEIDELBCEM,2025-03-11,212.9,213.0,209.5,210.0,1209.0
HEIDELBCEM,2025-03-10,210.0,210.4,208.5,208.7,3604.0
HEIDELBCEM,2025-03-09,208.6,210.5,208.0,208.6,2711.0
HEIDELBCEM,2025-03-06,207.4,213.8,207.4,208.4,713.0
HEIDELBCEM,2025-03-05,210.4,212.0,208.0,209.1,10439.0
HEIDELBCEM,2025-03-04,214.0,214.0,209.5,210.2,2151.0
HEIDELBCEM,2025-03-03,207.5,213.0,207.5,211.0,588.0
HEIDELBCEM,2025-03-02,215.9,215.9,209.2,210.8,1588.0
HEIDELBCEM,2025-02-27,211.9,212.5,209.4,211.0,956.0
HEIDELBCEM,2025-02-26,209.2,211.8,209.2,209.5,890.0
HEIDELBCEM,2025-02-25,215.0,215.0,209.2,210.5,1063.0
HEIDELBCEM,2025-02-24,211.9,211.9,207.6,210.1,656.0
HEIDELBCEM,2025-02-23,211.6,211.6,206.7,207.0,5166.0
HEIDELBCEM,2025-02-20,209.1,216.0,205.0,208.2,13740.0
HEIDELBCEM,2025-02-19,210.0,212.0,209.8,210.2,2129.0
HEIDELBCEM,2025-02-18,216.0,216.0,209.4,209.5,2258.0
HEIDELBCEM,2025-02-17,210.7,213.0,210.0,210.2,2472.0
HEIDELBCEM,2025-02-16,210.2,213.1,210.2,210.6,1863.0
HEIDELBCEM,2025-02-13,208.7,213.0,208.7,211.2,4692.0
HEIDELBCEM,2025-02-12,210.2,212.0,210.2,211.1,1248.0
HEIDELBCEM,2025-02-11,208.2,213.5,208.2,210.2,2390.0
HEIDELBCEM,2025-02-10,208.5,216.0,208.5,212.2,10031.0
HEIDELBCEM,2025-02-09,208.0,210.5,208.0,209.6,2877.0
HEIDELBCEM,2025-02-06,209.9,211.5,208.9,209.4,383.0
HEIDELBCEM,2025-02-05,212.5,212.5,201.1,207.0,4216.0
HEIDELBCEM,2025-02-04,211.0,211.0,207.4,208.1,2739.0
HEIDELBCEM,2025-02-03,208.1,214.9,208.0,208.8,2101.0
HEIDELBCEM,2025-02-02,215.0,215.0,210.0,210.5,322.0
HEIDELBCEM,2025-01-30,213.5,213.5,209.0,209.6,983.0
HEIDELBCEM,2025-01-29,212.0,212.0,210.2,210.9,1044.0
HEIDELBCEM,2025-01-28,208.2,212.3,208.1,209.9,5058.0
HEIDELBCEM,2025-01-27,208.5,211.5,208.0,210.6,4210.0
HEIDELBCEM,2025-01-26,210.5,210.5,208.0,209.0,2541.0
HEIDELBCEM,2025-01-23,211.7,212.0,210.0,210.5,4771.0
HEIDELBCEM,2025-01-22,212.0,221.0,211.0,211.7,1632.0
HEIDELBCEM,2025-01-21,224.0,224.0,210.3,213.2,478.0
HEIDELBCEM,2025-01-20,211.0,213.4,209.0,210.7,5588.0
HEIDELBCEM,2025-01-19,214.0,214.0,209.3,209.5,1865.0
HEIDELBCEM,2025-01-16,210.6,214.3,207.0,208.1,16727.0
HEIDELBCEM,2025-01-15,216.3,219.5,214.2,215.7,1358.0
HEIDELBCEM,2025-01-14,215.0,224.0,209.0,214.0,3643.0
HEIDELBCEM,2025-01-13,215.0,218.8,214.0,215.7,2958.0
HEIDELBCEM,2025-01-12,220.1,224.7,216.5,216.9,899.0
HEIDELBCEM,2025-01-09,224.8,224.8,219.0,220.8,939.0
HEIDELBCEM,2025-01-08,224.0,224.0,219.0,219.8,361.0
HEIDELBCEM,2025-01-07,227.9,230.0,218.3,220.6,2809.0
HEIDELBCEM,2025-01-06,214.0,229.9,214.0,220.9,2242.0
HEIDELBCEM,2025-01-05,217.0,217.4,214.0,214.7,3370.0
HEIDELBCEM,2025-01-02,221.7,221.7,218.0,218.7,2095.0
HEIDELBCEM,2025-01-01,222.0,226.9,221.0,223.0,3343.0
HEIDELBCEM,2024-12-30,210.0,225.0,210.0,221.5,1819.0
HEIDELBCEM,2024-12-29,226.9,226.9,221.0,223.2,433.0
HEIDELBCEM,2024-12-26,226.0,227.0,221.1,226.0,1163.0
HEIDELBCEM,2024-12-24,224.9,233.0,222.8,229.2,3962.0
HEIDELBCEM,2024-12-23,225.6,226.3,221.0,221.9,1685.0
HEIDELBCEM,2024-12-22,226.6,226.6,222.3,223.5,2062.0
HEIDELBCEM,2024-12-19,225.0,225.0,220.6,221.7,702.0
HEIDELBCEM,2024-12-18,230.0,230.0,222.5,223.0,1002.0
HEIDELBCEM,2024-12-17,225.0,226.8,221.0,223.8,2373.0
HEIDELBCEM,2024-12-15,222.9,222.9,215.0,216.3,2137.0
HEIDELBCEM,2024-12-12,220.2,222.0,217.1,220.6,759.0
HEIDELBCEM,2024-12-11,222.1,224.7,219.0,220.2,2292.0
HEIDELBCEM,2024-12-10,221.2,230.0,210.2,224.5,7170.0
HEIDELBCEM,2024-12-09,222.5,228.5,222.5,225.2,320.0
HEIDELBCEM,2024-12-08,208.0,228.0,208.0,223.0,2902.0
HEIDELBCEM,2024-12-05,228.0,228.0,223.0,226.9,661.0
HEIDELBCEM,2024-12-04,225.3,230.0,225.1,226.4,426.0
HEIDELBCEM,2024-12-03,223.2,232.3,223.2,224.3,2332.0
HEIDELBCEM,2024-12-02,235.9,235.9,222.1,225.6,6603.0
HEIDELBCEM,2024-12-01,227.6,234.5,227.0,228.2,1507.0
HEIDELBCEM,2024-11-28,230.0,230.0,226.0,226.5,7386.0
HEIDELBCEM,2024-11-27,234.8,234.8,227.3,228.9,2078.0
HEIDELBCEM,2024-11-26,226.7,234.6,226.7,226.9,128.0
HEIDELBCEM,2024-11-25,245.0,245.0,222.0,228.1,1507.0
HEIDELBCEM,2024-11-24,230.0,233.0,227.6,227.6,2574.0
HEIDELBCEM,2024-11-21,228.0,239.3,225.0,227.5,1449.0
HEIDELBCEM,2024-11-20,223.7,229.4,223.7,226.7,1745.0
HEIDELBCEM,2024-11-19,225.0,229.7,222.1,223.3,1191.0
HEIDELBCEM,2024-11-18,230.2,239.9,222.0,229.7,1547.0
HEIDELBCEM,2024-11-17,235.0,235.0,228.7,232.1,2875.0
HEIDELBCEM,2024-11-14,235.0,244.0,227.0,228.6,3873.0
HEIDELBCEM,2024-11-13,220.0,235.0,220.0,234.4,5040.0
HEIDELBCEM,2024-11-12,245.0,245.0,225.0,227.1,8331.0
HEIDELBCEM,2024-11-11,228.0,234.9,221.6,227.4,657.0
HEIDELBCEM,2024-11-10,230.7,230.7,224.1,228.2,419.0
HEIDELBCEM,2024-11-07,238.0,238.0,230.0,230.5,6127.0
HEIDELBCEM,2024-11-06,236.0,244.0,233.0,234.8,3950.0
HEIDELBCEM,2024-11-05,235.3,245.0,235.3,241.2,15162.0
HEIDELBCEM,2024-11-04,235.1,248.2,230.2,233.2,6692.0
HEIDELBCEM,2024-11-03,229.3,241.8,229.3,234.9,2763.0
HEIDELBCEM,2024-10-31,219.0,234.0,215.0,229.1,3349.0
HEIDELBCEM,2024-10-30,205.5,223.3,205.5,223.3,12340.0
HEIDELBCEM,2024-10-29,201.0,211.9,201.0,205.4,3502.0
HEIDELBCEM,2024-10-28,193.0,216.9,193.0,203.3,3971.0
