Trading_Code,Date,Open,High,Low,Close,Volume
HFL,2025-04-08,10.0,10.0,9.5,9.5,50125.0
HFL,2025-04-07,10.2,10.2,9.6,9.6,188848.0
HFL,2025-04-06,10.6,10.6,9.9,10.0,116337.0
HFL,2025-03-27,11.0,11.0,10.7,10.8,50941.0
HFL,2025-03-25,10.7,10.9,10.7,10.7,116404.0
HFL,2025-03-24,10.9,10.9,10.7,10.7,31145.0
HFL,2025-03-23,11.0,11.0,10.6,10.7,70896.0
HFL,2025-03-20,10.9,11.1,10.8,10.9,67540.0
HFL,2025-03-19,11.2,11.5,10.9,10.9,305842.0
HFL,2025-03-18,10.9,11.2,10.7,11.1,180589.0
HFL,2025-03-17,10.5,10.8,10.5,10.7,194817.0
HFL,2025-03-16,11.0,11.0,10.4,10.5,242634.0
HFL,2025-03-13,11.2,11.3,10.9,10.9,160166.0
HFL,2025-03-12,10.8,11.3,10.6,10.9,196449.0
HFL,2025-03-11,11.1,11.3,10.6,10.7,255903.0
HFL,2025-03-10,11.3,11.6,11.0,11.2,198177.0
HFL,2025-03-09,11.2,11.8,11.1,11.3,240047.0
HFL,2025-03-06,11.5,11.7,11.1,11.3,1083519.0
HFL,2025-03-05,12.7,13.0,12.0,12.3,589303.0
HFL,2025-03-04,13.1,13.6,12.6,12.8,1057407.0
HFL,2025-03-03,13.7,13.8,13.0,13.3,1408810.0
HFL,2025-03-02,13.3,14.3,13.2,13.8,1673313.0
HFL,2025-02-27,12.0,13.0,12.0,13.0,1963961.0
HFL,2025-02-26,11.6,12.3,11.5,11.9,949569.0
HFL,2025-02-25,11.9,11.9,11.4,11.6,283365.0
HFL,2025-02-24,11.5,12.3,11.5,11.9,957817.0
HFL,2025-02-23,11.3,11.6,11.2,11.4,487586.0
HFL,2025-02-20,11.3,11.5,10.9,11.2,514824.0
HFL,2025-02-19,11.5,11.5,11.0,11.1,278072.0
HFL,2025-02-18,11.3,11.7,11.2,11.4,545201.0
HFL,2025-02-17,10.6,11.4,10.6,11.3,656224.0
HFL,2025-02-16,10.7,10.7,10.3,10.6,362981.0
HFL,2025-02-13,10.5,11.2,10.5,10.7,687674.0
HFL,2025-02-12,10.7,10.7,9.8,10.4,291440.0
HFL,2025-02-11,10.0,10.6,10.0,10.0,369762.0
HFL,2025-02-10,9.8,10.2,9.6,9.9,443698.0
HFL,2025-02-09,10.8,10.9,9.8,10.0,225377.0
HFL,2025-02-06,10.5,10.6,9.9,10.6,1315498.0
HFL,2025-02-05,9.3,10.0,9.3,9.7,269623.0
HFL,2025-02-04,9.2,9.4,9.2,9.3,93249.0
HFL,2025-02-03,9.6,9.8,9.2,9.3,151182.0
HFL,2025-02-02,9.2,9.5,9.2,9.3,66589.0
HFL,2025-01-30,9.3,9.5,9.1,9.2,109902.0
HFL,2025-01-29,9.4,9.5,9.0,9.1,90558.0
HFL,2025-01-28,9.3,9.6,9.1,9.3,71736.0
HFL,2025-01-27,9.2,9.5,9.2,9.2,163272.0
HFL,2025-01-26,9.2,9.3,9.0,9.1,104058.0
HFL,2025-01-23,9.3,9.6,9.1,9.2,80339.0
HFL,2025-01-22,9.7,9.7,9.2,9.3,80202.0
HFL,2025-01-21,9.5,9.8,9.5,9.7,70126.0
HFL,2025-01-20,9.5,9.8,9.5,9.5,155394.0
HFL,2025-01-19,9.6,9.6,9.2,9.4,28157.0
HFL,2025-01-16,9.1,9.8,9.1,9.5,184371.0
HFL,2025-01-15,9.3,9.4,9.2,9.3,75385.0
HFL,2025-01-14,9.2,9.3,9.0,9.2,77913.0
HFL,2025-01-13,8.9,9.1,8.9,9.0,34515.0
HFL,2025-01-12,9.1,9.1,8.7,8.8,110011.0
HFL,2025-01-09,9.4,9.4,9.1,9.1,35911.0
HFL,2025-01-08,9.3,9.4,9.3,9.4,47391.0
HFL,2025-01-07,9.1,9.4,9.1,9.3,114245.0
HFL,2025-01-06,9.1,9.2,8.9,9.0,82743.0
HFL,2025-01-05,9.0,9.1,8.8,8.9,57890.0
HFL,2025-01-02,9.0,9.3,9.0,9.2,25894.0
HFL,2025-01-01,9.4,9.4,9.1,9.2,27544.0
HFL,2024-12-30,9.2,9.4,9.2,9.3,68724.0
HFL,2024-12-29,9.5,9.5,9.2,9.2,23958.0
HFL,2024-12-26,9.4,9.5,9.1,9.3,28908.0
HFL,2024-12-24,9.9,9.9,9.2,9.5,105315.0
HFL,2024-12-23,9.2,9.2,9.0,9.0,102616.0
HFL,2024-12-22,9.3,9.3,9.0,9.0,68529.0
HFL,2024-12-19,9.6,9.6,9.2,9.3,20298.0
HFL,2024-12-18,10.4,10.4,9.3,9.4,26746.0
HFL,2024-12-17,9.5,9.9,9.4,9.5,229010.0
HFL,2024-12-15,9.3,9.8,9.3,9.5,40829.0
HFL,2024-12-12,8.4,10.0,8.4,9.5,267691.0
HFL,2024-12-11,9.5,9.5,9.1,9.2,94343.0
HFL,2024-12-10,10.0,10.0,9.0,9.3,150506.0
HFL,2024-12-09,8.9,9.3,8.8,9.2,146474.0
HFL,2024-12-08,9.2,9.5,9.2,9.4,37911.0
HFL,2024-12-05,9.5,9.7,9.3,9.3,70457.0
HFL,2024-12-04,9.9,10.1,9.3,9.6,309859.0
HFL,2024-12-03,9.8,10.4,9.8,10.1,210177.0
HFL,2024-12-02,10.2,10.2,9.2,9.8,476805.0
HFL,2024-12-01,9.2,9.5,9.0,9.3,59714.0
HFL,2024-11-28,0.0,0.0,0.0,9.2,0.0
