Trading_Code,Date,Open,High,Low,Close,Volume
HWAWELLTEX,2025-04-08,40.8,40.8,38.9,39.3,2434.0
HWAWELLTEX,2025-04-07,38.7,40.9,38.7,39.9,1629.0
HWAWELLTEX,2025-04-06,40.0,40.6,40.0,40.0,2245.0
HWAWELLTEX,2025-03-27,41.6,41.6,41.0,41.2,1711.0
HWAWELLTEX,2025-03-25,41.0,41.2,41.0,41.2,3401.0
HWAWELLTEX,2025-03-24,40.3,41.5,40.0,40.8,5459.0
HWAWELLTEX,2025-03-23,40.7,41.2,40.5,41.1,4500.0
HWAWELLTEX,2025-03-20,41.0,41.4,41.0,41.0,877.0
HWAWELLTEX,2025-03-19,41.9,41.9,41.2,41.4,455.0
HWAWELLTEX,2025-03-18,40.9,41.4,40.9,41.0,729.0
HWAWELLTEX,2025-03-17,40.4,41.6,40.4,40.9,1653.0
HWAWELLTEX,2025-03-16,41.6,41.6,41.0,41.2,3027.0
HWAWELLTEX,2025-03-13,41.4,41.5,40.6,40.8,2944.0
HWAWELLTEX,2025-03-12,41.4,41.4,41.1,41.2,749.0
HWAWELLTEX,2025-03-11,41.4,41.4,41.0,41.0,1722.0
HWAWELLTEX,2025-03-10,41.3,41.3,41.3,41.3,100.0
HWAWELLTEX,2025-03-09,41.0,41.0,40.9,40.9,4595.0
HWAWELLTEX,2025-03-06,43.1,43.1,41.1,41.3,2601.0
HWAWELLTEX,2025-03-05,42.0,42.0,41.0,41.2,277.0
HWAWELLTEX,2025-03-04,41.6,41.6,40.8,40.9,26578.0
HWAWELLTEX,2025-03-03,41.9,41.9,41.2,41.4,7874.0
HWAWELLTEX,2025-03-02,42.3,42.3,41.6,41.9,6761.0
HWAWELLTEX,2025-02-27,41.3,42.1,41.3,41.7,23115.0
HWAWELLTEX,2025-02-26,41.2,41.2,41.1,41.1,22063.0
HWAWELLTEX,2025-02-25,41.6,41.6,41.2,41.2,22672.0
HWAWELLTEX,2025-02-24,42.0,42.0,41.2,41.2,39314.0
HWAWELLTEX,2025-02-23,41.3,41.9,41.1,41.2,20287.0
HWAWELLTEX,2025-02-20,41.0,41.7,41.0,41.2,29960.0
HWAWELLTEX,2025-02-19,42.4,42.4,41.0,41.2,32550.0
HWAWELLTEX,2025-02-18,41.4,42.2,41.1,41.3,29607.0
HWAWELLTEX,2025-02-17,41.2,41.7,41.2,41.3,2940.0
HWAWELLTEX,2025-02-16,42.8,42.8,41.6,41.7,2641.0
HWAWELLTEX,2025-02-13,41.4,42.2,41.4,41.5,2770.0
HWAWELLTEX,2025-02-12,41.3,42.0,41.2,41.3,2501.0
HWAWELLTEX,2025-02-11,41.3,42.0,41.3,41.7,2328.0
HWAWELLTEX,2025-02-10,43.5,43.5,41.2,41.2,1342.0
HWAWELLTEX,2025-02-09,42.4,42.4,41.2,41.4,7570.0
HWAWELLTEX,2025-02-06,41.2,41.8,41.2,41.5,16614.0
HWAWELLTEX,2025-02-05,41.2,42.2,41.0,41.0,6022.0
HWAWELLTEX,2025-02-04,40.9,41.5,40.7,41.0,10592.0
HWAWELLTEX,2025-02-03,41.1,41.7,40.9,40.9,13969.0
HWAWELLTEX,2025-02-02,43.8,43.8,40.9,41.1,3417.0
HWAWELLTEX,2025-01-30,43.0,43.0,41.1,41.2,2885.0
HWAWELLTEX,2025-01-29,41.4,41.4,41.0,41.0,1565.0
HWAWELLTEX,2025-01-28,41.2,41.6,40.9,41.0,10270.0
HWAWELLTEX,2025-01-27,41.5,41.5,40.6,40.9,7334.0
HWAWELLTEX,2025-01-26,41.5,41.6,41.0,41.1,2201.0
HWAWELLTEX,2025-01-23,41.5,41.7,40.9,41.1,2406.0
HWAWELLTEX,2025-01-22,42.9,42.9,41.0,41.0,2692.0
HWAWELLTEX,2025-01-21,41.7,41.9,41.2,41.5,16749.0
HWAWELLTEX,2025-01-20,42.0,42.0,41.2,41.9,3028.0
HWAWELLTEX,2025-01-19,45.0,45.0,41.2,41.6,3247.0
HWAWELLTEX,2025-01-16,41.8,41.8,40.5,41.5,13767.0
HWAWELLTEX,2025-01-15,41.1,41.8,40.4,40.7,16797.0
HWAWELLTEX,2025-01-14,40.9,41.5,40.9,41.4,2352.0
HWAWELLTEX,2025-01-13,41.9,41.9,41.0,41.0,3720.0
HWAWELLTEX,2025-01-12,40.5,41.3,40.5,41.1,657.0
HWAWELLTEX,2025-01-09,41.0,41.9,41.0,41.0,1712.0
HWAWELLTEX,2025-01-08,42.7,42.7,41.0,41.2,6666.0
HWAWELLTEX,2025-01-07,42.0,42.2,40.9,42.0,1652.0
HWAWELLTEX,2025-01-06,41.4,41.4,41.0,41.3,530.0
HWAWELLTEX,2025-01-05,40.8,40.8,40.6,40.8,13025.0
HWAWELLTEX,2025-01-02,40.8,41.5,40.2,40.8,6523.0
HWAWELLTEX,2025-01-01,41.5,41.5,40.6,40.8,466.0
HWAWELLTEX,2024-12-30,41.6,41.6,40.7,41.4,3942.0
HWAWELLTEX,2024-12-29,40.3,41.9,40.1,41.6,9842.0
HWAWELLTEX,2024-12-26,40.4,41.5,40.4,41.1,1846.0
HWAWELLTEX,2024-12-24,40.9,41.5,40.9,41.3,5443.0
HWAWELLTEX,2024-12-23,40.0,40.9,40.0,40.1,2061.0
HWAWELLTEX,2024-12-22,41.5,41.5,40.1,40.6,1335.0
HWAWELLTEX,2024-12-19,39.8,40.9,39.8,40.5,182.0
HWAWELLTEX,2024-12-18,40.0,41.4,39.9,40.4,1804.0
HWAWELLTEX,2024-12-17,40.4,41.4,40.0,40.1,1057.0
HWAWELLTEX,2024-12-15,40.0,41.1,39.6,40.4,5338.0
HWAWELLTEX,2024-12-12,39.6,41.0,39.6,40.9,6724.0
HWAWELLTEX,2024-12-11,42.4,42.4,40.0,40.1,2048.0
HWAWELLTEX,2024-12-10,41.1,41.1,39.4,39.6,9596.0
HWAWELLTEX,2024-12-09,40.0,40.9,40.0,40.4,4531.0
HWAWELLTEX,2024-12-08,39.9,40.5,39.9,40.4,5749.0
HWAWELLTEX,2024-12-05,40.2,40.6,40.1,40.1,1024.0
HWAWELLTEX,2024-12-04,40.5,40.8,40.5,40.6,4549.0
HWAWELLTEX,2024-12-03,40.7,40.7,40.1,40.5,1821.0
HWAWELLTEX,2024-12-02,41.6,41.6,39.9,39.9,7088.0
HWAWELLTEX,2024-12-01,39.9,40.2,39.7,40.1,6683.0
HWAWELLTEX,2024-11-28,40.6,40.6,39.2,39.5,4803.0
HWAWELLTEX,2024-11-27,40.7,40.7,39.2,39.7,6408.0
HWAWELLTEX,2024-11-26,41.5,41.5,38.8,38.8,8988.0
HWAWELLTEX,2024-11-25,38.8,40.4,38.8,39.0,2325.0
HWAWELLTEX,2024-11-24,41.1,41.1,37.8,39.8,5962.0
HWAWELLTEX,2024-11-21,0.0,0.0,0.0,42.0,0.0
HWAWELLTEX,2024-11-20,42.0,42.8,41.6,42.0,56194.0
HWAWELLTEX,2024-11-19,42.5,42.5,41.8,41.9,75565.0
HWAWELLTEX,2024-11-18,41.8,42.1,41.4,42.0,26150.0
HWAWELLTEX,2024-11-17,41.2,41.9,41.2,41.6,36357.0
HWAWELLTEX,2024-11-14,41.2,41.8,40.9,41.2,54031.0
HWAWELLTEX,2024-11-13,41.0,42.1,41.0,41.2,42727.0
HWAWELLTEX,2024-11-12,43.8,43.8,41.0,41.2,27392.0
HWAWELLTEX,2024-11-11,41.9,41.9,40.7,41.0,24444.0
HWAWELLTEX,2024-11-10,41.7,41.8,41.6,41.6,32754.0
HWAWELLTEX,2024-11-07,41.5,41.9,41.5,41.6,39175.0
HWAWELLTEX,2024-11-06,42.9,42.9,41.0,41.5,66319.0
HWAWELLTEX,2024-11-05,42.4,42.5,41.3,42.3,11786.0
HWAWELLTEX,2024-11-04,41.3,41.3,40.6,40.8,19555.0
HWAWELLTEX,2024-11-03,40.7,41.8,40.6,40.9,19651.0
HWAWELLTEX,2024-10-31,41.2,43.0,41.1,41.4,15715.0
HWAWELLTEX,2024-10-30,43.0,43.0,39.8,41.7,27736.0
HWAWELLTEX,2024-10-29,42.8,42.8,39.1,39.3,1027.0
HWAWELLTEX,2024-10-28,42.5,42.5,38.3,38.4,9261.0
HWAWELLTEX,2024-10-27,42.0,42.0,38.1,38.7,888.0
HWAWELLTEX,2024-10-24,41.5,41.8,39.6,40.0,5612.0
HWAWELLTEX,2024-10-23,41.4,44.8,41.0,41.2,11522.0
HWAWELLTEX,2024-10-22,43.0,43.0,41.1,41.6,6518.0
HWAWELLTEX,2024-10-21,42.6,43.2,42.5,42.9,1671.0
HWAWELLTEX,2024-10-20,43.3,43.3,42.0,42.8,5117.0
HWAWELLTEX,2024-10-17,43.0,44.3,43.0,43.3,3746.0
HWAWELLTEX,2024-10-16,45.0,45.0,43.5,43.9,1313.0
HWAWELLTEX,2024-10-15,44.2,44.9,44.2,44.8,9515.0
HWAWELLTEX,2024-10-14,45.3,45.3,43.1,44.2,2.0
HWAWELLTEX,2024-10-09,44.1,44.7,43.5,43.8,3175.0
HWAWELLTEX,2024-10-08,44.2,44.6,43.8,44.0,3103.0
HWAWELLTEX,2024-10-07,43.6,45.7,43.5,43.8,4249.0
HWAWELLTEX,2024-10-06,43.8,46.2,43.8,44.1,309.0
HWAWELLTEX,2024-10-03,45.0,46.7,44.2,44.5,1127.0
HWAWELLTEX,2024-10-02,44.1,46.5,44.1,45.5,11044.0
HWAWELLTEX,2024-10-01,47.4,47.4,44.5,44.7,5517.0
HWAWELLTEX,2024-09-30,45.0,45.4,45.0,45.1,968.0
HWAWELLTEX,2024-09-29,46.5,46.5,44.7,46.5,5102.0
HWAWELLTEX,2024-09-26,43.2,45.9,43.2,45.4,70.0
HWAWELLTEX,2024-09-25,45.1,45.9,44.7,45.4,13667.0
HWAWELLTEX,2024-09-24,46.9,46.9,45.0,45.1,14027.0
HWAWELLTEX,2024-09-23,46.0,46.0,45.0,45.4,26297.0
HWAWELLTEX,2024-09-22,45.4,45.4,44.9,45.0,8283.0
HWAWELLTEX,2024-09-19,45.7,46.0,45.1,45.7,1994.0
HWAWELLTEX,2024-09-18,45.4,46.7,44.8,45.0,16981.0
HWAWELLTEX,2024-09-17,46.0,47.1,43.9,45.2,25416.0
HWAWELLTEX,2024-09-15,45.4,46.7,45.4,46.0,12336.0
HWAWELLTEX,2024-09-12,45.5,47.1,45.5,46.4,1472.0
HWAWELLTEX,2024-09-11,46.8,47.2,46.2,46.5,14313.0
HWAWELLTEX,2024-09-10,47.0,47.8,46.4,46.7,2583.0
HWAWELLTEX,2024-09-09,48.0,48.0,46.2,46.5,6379.0
HWAWELLTEX,2024-09-08,47.2,47.2,47.0,47.1,7130.0
HWAWELLTEX,2024-09-05,47.6,47.9,47.0,47.3,5154.0
HWAWELLTEX,2024-09-04,46.3,48.7,46.3,47.6,12361.0
HWAWELLTEX,2024-09-03,45.6,49.0,45.6,47.7,11130.0
HWAWELLTEX,2024-09-02,48.0,49.5,48.0,48.7,19713.0
HWAWELLTEX,2024-09-01,47.8,50.2,47.3,49.3,39173.0
HWAWELLTEX,2024-08-29,46.1,48.0,46.1,47.8,15155.0
HWAWELLTEX,2024-08-28,46.0,47.9,46.0,47.6,5132.0
HWAWELLTEX,2024-08-27,45.5,46.9,45.5,46.3,2901.0
HWAWELLTEX,2024-08-25,47.2,47.2,45.6,46.1,2650.0
HWAWELLTEX,2024-08-22,48.3,48.3,44.9,45.0,7200.0
HWAWELLTEX,2024-08-21,45.7,47.0,45.5,45.6,9446.0
HWAWELLTEX,2024-08-20,45.1,47.6,45.1,46.9,2072.0
HWAWELLTEX,2024-08-19,47.7,47.7,45.9,46.1,1012.0
HWAWELLTEX,2024-08-18,45.4,46.7,45.4,46.2,3925.0
HWAWELLTEX,2024-08-15,46.0,47.1,46.0,46.8,20052.0
HWAWELLTEX,2024-08-14,47.9,47.9,46.0,46.2,1171.0
HWAWELLTEX,2024-08-13,47.5,47.5,45.3,46.7,19920.0
HWAWELLTEX,2024-08-12,46.5,47.7,46.4,46.5,9586.0
HWAWELLTEX,2024-08-11,50.0,50.0,47.5,47.8,32396.0
HWAWELLTEX,2024-08-08,45.9,49.0,45.3,48.9,34050.0
HWAWELLTEX,2024-08-07,46.4,46.4,44.3,44.6,2882.0
HWAWELLTEX,2024-08-06,46.7,46.7,44.9,45.6,3117.0
HWAWELLTEX,2024-08-04,42.8,42.8,42.6,42.6,1574.0
HWAWELLTEX,2024-08-01,43.1,44.0,43.1,43.8,1244.0
HWAWELLTEX,2024-07-31,43.6,44.4,43.6,43.7,582.0
HWAWELLTEX,2024-07-30,44.5,44.8,44.0,44.3,13727.0
HWAWELLTEX,2024-07-29,45.2,45.2,44.2,44.5,3405.0
HWAWELLTEX,2024-07-28,43.9,45.5,43.9,45.4,27913.0
HWAWELLTEX,2024-07-25,44.9,44.9,44.9,44.9,5051.0
HWAWELLTEX,2024-07-24,45.0,45.0,43.3,43.3,205.0
HWAWELLTEX,2024-07-18,44.3,45.0,44.2,44.5,4568.0
HWAWELLTEX,2024-07-16,46.3,46.3,44.5,44.9,17336.0
HWAWELLTEX,2024-07-15,46.9,46.9,45.1,45.3,21285.0
HWAWELLTEX,2024-07-14,45.1,45.5,45.0,45.3,6474.0
HWAWELLTEX,2024-07-11,45.5,46.0,45.0,45.9,338085.0
HWAWELLTEX,2024-07-10,45.5,46.8,45.3,45.9,35325.0
HWAWELLTEX,2024-07-09,45.0,45.8,45.0,45.7,17753.0
HWAWELLTEX,2024-07-08,46.7,46.7,44.3,45.1,20040.0
HWAWELLTEX,2024-07-07,45.0,45.8,44.9,45.3,22300.0
HWAWELLTEX,2024-07-04,43.8,46.0,43.8,45.1,11869.0
HWAWELLTEX,2024-07-03,43.0,44.0,42.8,43.2,7155.0
HWAWELLTEX,2024-07-02,42.0,43.0,42.0,42.6,2130.0
HWAWELLTEX,2024-06-30,42.7,43.1,41.6,42.4,15361.0
HWAWELLTEX,2024-06-27,43.8,43.9,41.5,42.7,5893.0
HWAWELLTEX,2024-06-26,43.5,43.5,40.4,40.8,9141.0
HWAWELLTEX,2024-06-25,42.8,42.8,41.6,41.6,5026.0
HWAWELLTEX,2024-06-24,43.0,43.0,42.8,42.8,12292.0
HWAWELLTEX,2024-06-23,42.9,44.5,42.0,44.1,22455.0
HWAWELLTEX,2024-06-20,42.3,43.0,42.0,42.8,12270.0
HWAWELLTEX,2024-06-19,41.0,42.5,41.0,42.0,1209.0
HWAWELLTEX,2024-06-13,41.5,41.5,40.5,40.8,763.0
