Trading_Code,Date,Open,High,Low,Close,Volume
IBNSINA,2025-04-08,291.3,309.9,291.2,304.9,59965.0
IBNSINA,2025-04-07,291.9,293.2,290.6,292.5,28412.0
IBNSINA,2025-04-06,286.8,291.4,286.1,290.4,8213.0
IBNSINA,2025-03-27,290.3,290.3,286.5,287.7,16058.0
IBNSINA,2025-03-25,292.9,292.9,289.6,290.3,18163.0
IBNSINA,2025-03-24,290.5,291.5,290.5,291.0,9760.0
IBNSINA,2025-03-23,292.9,292.9,289.5,290.4,14214.0
IBNSINA,2025-03-20,291.9,291.9,290.0,290.5,7415.0
IBNSINA,2025-03-19,292.8,292.8,290.0,290.6,18742.0
IBNSINA,2025-03-18,290.9,291.5,290.9,291.0,11131.0
IBNSINA,2025-03-17,290.5,292.0,290.5,291.1,10250.0
IBNSINA,2025-03-16,290.0,291.6,289.1,291.1,19067.0
IBNSINA,2025-03-13,290.4,291.9,290.4,291.0,9607.0
IBNSINA,2025-03-12,290.0,293.3,290.0,290.4,11919.0
IBNSINA,2025-03-11,291.0,294.0,290.4,292.7,18553.0
IBNSINA,2025-03-10,289.2,292.0,289.2,291.4,3152.0
IBNSINA,2025-03-09,290.3,291.5,289.0,289.9,6542.0
IBNSINA,2025-03-06,290.5,293.6,290.5,290.6,8003.0
IBNSINA,2025-03-05,290.2,293.0,290.2,290.5,31688.0
IBNSINA,2025-03-04,293.9,293.9,290.9,291.0,46235.0
IBNSINA,2025-03-03,295.8,295.8,292.5,292.9,17469.0
IBNSINA,2025-03-02,294.9,295.0,292.1,294.4,9833.0
IBNSINA,2025-02-27,291.8,296.4,291.8,293.3,32323.0
IBNSINA,2025-02-26,292.3,294.2,291.5,293.7,30082.0
IBNSINA,2025-02-25,290.7,292.0,290.7,291.3,15482.0
IBNSINA,2025-02-24,292.4,292.4,291.2,291.2,26680.0
IBNSINA,2025-02-23,291.0,292.6,289.9,291.4,17155.0
IBNSINA,2025-02-20,290.3,291.9,290.0,291.1,20208.0
IBNSINA,2025-02-19,290.1,290.8,289.1,290.2,18448.0
IBNSINA,2025-02-18,290.0,291.9,290.0,290.1,32688.0
IBNSINA,2025-02-17,291.3,291.6,288.8,289.3,28008.0
IBNSINA,2025-02-16,289.9,290.5,289.4,289.5,25373.0
IBNSINA,2025-02-13,290.1,291.9,290.0,290.0,26164.0
IBNSINA,2025-02-12,285.7,293.9,285.7,290.6,27065.0
IBNSINA,2025-02-11,292.1,295.0,291.7,292.4,21053.0
IBNSINA,2025-02-10,293.1,295.3,291.0,293.5,28558.0
IBNSINA,2025-02-09,288.9,294.0,288.9,292.8,32406.0
IBNSINA,2025-02-06,288.6,288.8,286.6,287.9,19721.0
IBNSINA,2025-02-05,287.1,288.9,287.1,287.5,24029.0
IBNSINA,2025-02-04,289.0,290.0,287.0,287.0,14704.0
IBNSINA,2025-02-03,289.9,291.4,286.3,287.9,37229.0
IBNSINA,2025-02-02,289.9,289.9,285.6,288.4,40851.0
IBNSINA,2025-01-30,285.6,289.0,285.6,287.9,51746.0
IBNSINA,2025-01-29,285.6,289.9,285.6,288.5,10882.0
IBNSINA,2025-01-28,290.9,290.9,285.0,288.3,77986.0
IBNSINA,2025-01-27,292.6,294.0,288.9,290.9,17888.0
IBNSINA,2025-01-26,293.0,295.0,291.0,292.5,57775.0
IBNSINA,2025-01-23,294.5,294.5,290.9,291.6,24209.0
IBNSINA,2025-01-22,290.0,295.0,289.8,294.5,83571.0
IBNSINA,2025-01-21,294.3,295.8,290.4,293.0,68678.0
IBNSINA,2025-01-20,285.6,295.1,285.6,294.3,85748.0
IBNSINA,2025-01-19,284.0,288.3,284.0,287.7,18865.0
IBNSINA,2025-01-16,281.1,290.0,281.0,287.9,31420.0
IBNSINA,2025-01-15,283.0,283.3,281.0,282.5,14162.0
IBNSINA,2025-01-14,283.4,284.0,282.8,282.9,9406.0
IBNSINA,2025-01-13,281.4,282.9,279.8,282.2,17273.0
IBNSINA,2025-01-12,283.0,286.2,281.8,282.2,37191.0
IBNSINA,2025-01-09,285.4,286.3,284.8,285.1,14313.0
IBNSINA,2025-01-08,285.0,286.5,285.0,285.6,23768.0
IBNSINA,2025-01-07,286.9,287.2,284.5,285.9,27893.0
IBNSINA,2025-01-06,285.0,294.0,285.0,286.5,14394.0
IBNSINA,2025-01-05,285.1,287.0,284.0,285.3,19267.0
IBNSINA,2025-01-02,286.1,287.0,285.1,285.6,11946.0
IBNSINA,2025-01-01,288.7,288.7,285.5,286.1,19830.0
IBNSINA,2024-12-30,286.5,288.0,286.4,286.8,23342.0
IBNSINA,2024-12-29,288.7,289.5,286.0,286.4,34147.0
