Trading_Code,Date,Open,High,Low,Close,Volume
ICB,2025-04-08,51.6,51.6,50.5,50.6,143742.0
ICB,2025-04-07,51.5,51.8,50.9,51.0,140108.0
ICB,2025-04-06,51.8,52.1,50.8,51.0,226508.0
ICB,2025-03-27,52.2,52.6,51.8,52.0,123640.0
ICB,2025-03-25,51.8,53.8,51.7,51.9,414366.0
ICB,2025-03-24,51.5,51.8,51.1,51.3,89318.0
ICB,2025-03-23,52.2,52.2,51.0,51.2,97099.0
ICB,2025-03-20,50.0,52.3,49.9,52.1,310381.0
ICB,2025-03-19,50.8,50.9,49.3,49.8,142608.0
ICB,2025-03-18,50.3,50.9,50.2,50.6,104677.0
ICB,2025-03-17,50.8,51.1,50.0,50.3,153768.0
ICB,2025-03-16,51.1,51.2,50.6,50.8,94322.0
ICB,2025-03-13,51.5,51.6,50.8,51.0,95854.0
ICB,2025-03-12,51.6,51.9,51.0,51.2,137289.0
ICB,2025-03-11,52.0,52.3,51.1,51.3,137238.0
ICB,2025-03-10,52.0,52.4,51.5,51.8,87868.0
ICB,2025-03-09,52.1,52.9,51.6,51.8,95966.0
ICB,2025-03-06,52.2,53.2,52.2,52.5,119700.0
ICB,2025-03-05,52.1,52.7,52.0,52.1,72504.0
ICB,2025-03-04,52.8,52.8,52.0,52.2,88587.0
ICB,2025-03-03,53.5,53.5,52.3,52.5,158792.0
ICB,2025-03-02,53.4,54.7,53.1,53.4,345643.0
ICB,2025-02-27,52.3,53.8,51.1,53.3,383628.0
ICB,2025-02-26,53.1,53.7,51.8,52.1,191119.0
ICB,2025-02-25,51.5,53.6,51.5,53.0,429946.0
ICB,2025-02-24,51.7,52.0,51.3,51.6,142357.0
ICB,2025-02-23,51.6,51.7,51.0,51.3,177918.0
ICB,2025-02-20,52.1,52.1,50.9,51.3,275481.0
ICB,2025-02-19,52.6,52.6,51.5,51.7,216279.0
ICB,2025-02-18,52.2,52.8,52.1,52.2,229678.0
ICB,2025-02-17,52.6,52.6,51.8,52.1,183250.0
ICB,2025-02-16,52.7,53.1,51.9,52.1,165621.0
ICB,2025-02-13,53.0,53.3,52.6,52.7,157577.0
ICB,2025-02-12,52.8,53.1,52.5,52.6,126702.0
ICB,2025-02-11,52.5,53.4,52.2,52.7,124127.0
ICB,2025-02-10,53.4,53.5,52.6,52.7,159195.0
ICB,2025-02-09,53.4,54.6,53.2,53.3,162080.0
ICB,2025-02-06,53.7,54.8,53.7,53.9,310827.0
ICB,2025-02-05,54.0,55.1,53.6,53.7,222125.0
ICB,2025-02-04,52.5,55.8,52.5,54.0,562109.0
ICB,2025-02-03,51.9,52.7,51.5,52.3,175986.0
ICB,2025-02-02,52.2,52.6,51.2,51.4,117613.0
ICB,2025-01-30,53.3,53.3,51.9,52.1,263125.0
ICB,2025-01-29,55.4,55.4,53.0,53.5,205278.0
ICB,2025-01-28,55.4,55.9,54.5,54.7,222807.0
ICB,2025-01-27,54.9,55.7,54.8,55.0,169430.0
ICB,2025-01-26,56.2,56.5,54.6,54.9,255630.0
ICB,2025-01-23,56.9,57.6,56.2,56.3,160906.0
ICB,2025-01-22,58.4,58.4,56.6,56.9,261185.0
ICB,2025-01-21,56.9,59.3,56.8,58.0,547968.0
ICB,2025-01-20,56.6,56.8,56.0,56.5,287674.0
ICB,2025-01-19,57.8,57.8,55.5,55.9,207659.0
ICB,2025-01-16,55.9,57.7,55.6,57.0,313516.0
ICB,2025-01-15,57.1,57.6,54.4,55.4,366165.0
ICB,2025-01-14,58.2,58.4,56.7,56.8,298390.0
ICB,2025-01-13,59.4,59.4,56.7,57.1,260082.0
ICB,2025-01-12,59.1,59.6,58.4,58.5,311243.0
ICB,2025-01-09,59.6,59.7,58.8,59.0,212550.0
ICB,2025-01-08,60.1,60.2,58.9,59.0,243392.0
ICB,2025-01-07,60.3,61.5,59.4,59.8,390388.0
ICB,2025-01-06,59.9,60.4,58.9,59.7,348075.0
ICB,2025-01-05,60.6,61.0,58.8,59.2,270708.0
ICB,2025-01-02,62.3,62.5,60.5,60.9,334476.0
ICB,2025-01-01,62.0,63.3,61.7,62.1,462842.0
ICB,2024-12-30,62.3,62.5,61.3,61.6,439364.0
ICB,2024-12-29,62.6,63.4,61.6,62.1,508850.0
