Trading_Code,Date,Open,High,Low,Close,Volume
ICB1STNRB,2017-12-03,24.0,24.5,24.0,24.3,200911.0
ICB1STNRB,2017-12-02,24.0,24.0,23.6,23.9,16363.0
ICB1STNRB,2017-12-01,23.6,24.0,23.4,23.9,31560.0
ICB1STNRB,2017-11-01,22.9,23.1,22.7,23.0,81600.0
ICB1STNRB,2017-10-01,22.1,23.0,22.1,22.5,20440.0
ICB1STNRB,2017-09-03,23.5,24.0,23.0,24.0,123220.0
ICB1STNRB,2017-09-02,24.6,24.6,23.6,23.8,4850.0
ICB1STNRB,2017-09-01,21.4,22.1,21.4,22.0,52818.0
ICB1STNRB,2017-08-03,23.9,23.9,23.5,23.6,43995.0
ICB1STNRB,2017-08-02,23.5,24.0,23.1,23.7,19750.0
ICB1STNRB,2017-08-01,21.7,21.8,21.7,21.8,20284.0
ICB1STNRB,2017-07-03,23.0,23.9,23.0,23.8,101590.0
ICB1STNRB,2017-07-02,22.8,23.4,22.8,23.0,800.0
ICB1STNRB,2017-06-03,23.0,24.0,22.9,23.9,445783.0
ICB1STNRB,2017-06-02,23.9,23.9,23.0,23.0,9450.0
ICB1STNRB,2017-05-03,22.9,23.1,22.6,23.0,63836.0
ICB1STNRB,2017-05-02,23.9,23.9,23.7,23.8,877.0
ICB1STNRB,2017-05-01,21.8,22.2,21.5,22.0,75896.0
ICB1STNRB,2017-04-01,21.5,21.5,21.2,21.5,6910.0
ICB1STNRB,2017-03-19,22.3,23.9,22.3,23.9,646840.0
ICB1STNRB,2017-03-16,22.4,23.8,21.5,21.8,332043.0
ICB1STNRB,2017-03-15,23.9,24.0,22.4,23.8,47649.0
ICB1STNRB,2017-03-14,23.6,23.9,23.5,23.6,7500.0
ICB1STNRB,2017-03-13,24.0,24.2,24.0,24.0,44550.0
ICB1STNRB,2017-03-01,21.4,21.5,21.0,21.4,115700.0
ICB1STNRB,2017-02-28,20.6,21.0,20.6,21.0,77300.0
ICB1STNRB,2017-02-27,21.0,21.0,20.3,20.5,21813.0
ICB1STNRB,2017-02-26,20.4,22.0,20.0,21.0,208625.0
ICB1STNRB,2017-02-23,21.3,21.9,20.8,20.9,130475.0
ICB1STNRB,2017-02-22,23.1,23.5,21.6,22.2,134180.0
ICB1STNRB,2017-02-20,24.1,24.2,23.5,23.9,9068.0
ICB1STNRB,2017-02-19,24.0,24.2,24.0,24.1,2750.0
ICB1STNRB,2017-02-16,23.9,23.9,22.9,23.2,982.0
ICB1STNRB,2017-02-15,23.8,23.9,23.6,23.8,28110.0
ICB1STNRB,2017-02-14,23.5,24.0,23.5,23.8,12950.0
ICB1STNRB,2017-02-13,23.6,24.7,23.5,24.3,25559.0
ICB1STNRB,2017-02-03,22.1,23.1,22.0,23.0,187431.0
ICB1STNRB,2017-02-02,23.7,23.7,23.4,23.5,15355.0
ICB1STNRB,2017-02-01,20.8,21.3,20.8,21.0,46140.0
ICB1STNRB,2017-01-31,24.0,24.3,24.0,24.3,4853.0
ICB1STNRB,2017-01-30,24.2,24.4,23.3,24.1,14121.0
ICB1STNRB,2017-01-29,25.4,25.4,24.0,24.6,29180.0
ICB1STNRB,2017-01-26,25.4,25.5,24.8,24.9,22499.0
ICB1STNRB,2017-01-25,24.2,25.4,24.2,24.3,4450.0
ICB1STNRB,2017-01-24,25.0,25.6,25.0,25.1,66660.0
ICB1STNRB,2017-01-23,25.0,25.6,24.6,25.0,27915.0
ICB1STNRB,2017-01-22,25.5,26.7,24.4,25.1,70780.0
ICB1STNRB,2017-01-19,25.5,26.0,24.8,25.9,104515.0
ICB1STNRB,2017-01-18,24.2,26.0,24.1,25.8,344486.0
ICB1STNRB,2017-01-17,24.2,24.2,23.6,23.8,69290.0
ICB1STNRB,2017-01-16,24.4,24.5,23.7,23.9,98200.0
ICB1STNRB,2017-01-15,24.0,24.5,24.0,24.0,116911.0
ICB1STNRB,2017-01-03,21.0,22.7,21.0,22.4,315600.0
ICB1STNRB,2017-01-02,24.2,24.2,24.0,24.0,13370.0
ICB1STNRB,2017-01-01,20.5,21.3,20.5,20.9,13736.0
ICB1STNRB,2016-12-29,21.1,21.3,20.1,20.5,30298.0
ICB1STNRB,2016-12-28,20.4,21.1,20.2,20.8,73337.0
ICB1STNRB,2016-12-27,19.5,20.5,19.5,20.2,119100.0
ICB1STNRB,2016-12-26,19.2,19.5,19.2,19.3,26068.0
ICB1STNRB,2016-12-22,19.0,19.2,19.0,19.1,12767.0
ICB1STNRB,2016-12-21,18.6,19.0,18.6,18.9,14700.0
ICB1STNRB,2016-12-20,18.7,18.9,18.7,18.8,38400.0
ICB1STNRB,2016-12-19,18.7,19.0,18.7,18.8,84139.0
ICB1STNRB,2016-12-18,18.6,18.8,18.5,18.6,16658.0
ICB1STNRB,2016-12-15,18.6,18.6,18.6,18.6,5370.0
ICB1STNRB,2016-12-14,18.6,18.7,18.6,18.7,1400.0
ICB1STNRB,2016-12-12,18.6,18.8,18.6,18.6,6600.0
ICB1STNRB,2016-12-07,19.4,20.0,19.4,19.6,13800.0
ICB1STNRB,2016-12-06,18.7,18.7,18.6,18.6,21500.0
ICB1STNRB,2016-12-05,18.3,19.4,18.3,19.1,10705.0
ICB1STNRB,2016-12-01,18.1,18.1,18.0,18.0,23100.0
ICB1STNRB,2016-11-30,18.8,18.9,18.3,18.5,49845.0
ICB1STNRB,2016-11-29,18.9,18.9,18.8,18.8,11100.0
ICB1STNRB,2016-11-28,19.0,19.0,18.7,18.9,5071.0
ICB1STNRB,2016-11-27,19.0,19.0,18.8,19.0,13564.0
ICB1STNRB,2016-11-24,18.8,18.8,18.8,18.8,986.0
ICB1STNRB,2016-11-23,18.6,18.6,18.5,18.5,18420.0
ICB1STNRB,2016-11-22,18.6,18.6,18.4,18.5,23586.0
ICB1STNRB,2016-11-21,18.6,18.7,18.6,18.6,8519.0
ICB1STNRB,2016-11-20,18.8,18.8,18.8,18.8,5100.0
ICB1STNRB,2016-11-17,18.6,18.9,18.6,18.6,5520.0
ICB1STNRB,2016-11-16,18.7,18.8,18.6,18.7,11000.0
ICB1STNRB,2016-11-15,18.6,18.7,18.6,18.7,2450.0
ICB1STNRB,2016-11-14,18.7,18.7,18.5,18.5,34402.0
ICB1STNRB,2016-11-13,18.8,18.8,18.7,18.7,9810.0
ICB1STNRB,2016-11-12,18.8,18.8,18.6,18.8,7000.0
ICB1STNRB,2016-11-08,21.3,21.9,21.1,21.8,209207.0
ICB1STNRB,2016-11-07,19.3,19.3,19.2,19.2,1500.0
ICB1STNRB,2016-11-05,19.5,19.5,19.5,19.5,2000.0
ICB1STNRB,2016-11-04,19.5,19.5,19.2,19.3,10000.0
ICB1STNRB,2016-11-02,19.0,19.0,18.9,19.0,9050.0
ICB1STNRB,2016-11-01,18.1,18.1,18.1,18.1,3730.0
ICB1STNRB,2016-10-31,18.6,18.6,18.5,18.5,9312.0
ICB1STNRB,2016-10-30,18.9,18.9,18.6,18.7,5340.0
ICB1STNRB,2016-10-27,18.9,18.9,18.9,18.9,100.0
ICB1STNRB,2016-10-26,18.6,19.0,18.4,18.5,31717.0
ICB1STNRB,2016-10-25,18.8,18.8,18.6,18.8,19349.0
ICB1STNRB,2016-10-24,18.9,19.0,18.7,18.8,20010.0
ICB1STNRB,2016-10-23,18.9,18.9,18.8,18.8,12320.0
ICB1STNRB,2016-10-20,18.9,18.9,18.9,18.9,4752.0
ICB1STNRB,2016-10-19,19.0,19.0,18.8,18.9,31500.0
ICB1STNRB,2016-10-18,19.2,19.2,18.8,19.0,7350.0
ICB1STNRB,2016-10-17,19.0,19.0,18.9,19.0,5711.0
ICB1STNRB,2016-10-16,18.9,18.9,18.8,18.8,6800.0
ICB1STNRB,2016-10-13,18.8,18.8,18.8,18.8,1530.0
ICB1STNRB,2016-10-11,18.8,18.9,18.8,18.8,13330.0
ICB1STNRB,2016-10-10,19.0,19.0,18.9,18.9,8100.0
ICB1STNRB,2016-10-08,21.4,22.0,20.7,21.0,271730.0
ICB1STNRB,2016-10-07,19.2,19.2,19.2,19.2,3000.0
ICB1STNRB,2016-10-05,19.3,19.4,18.5,19.0,4457.0
ICB1STNRB,2016-10-04,20.0,20.0,19.9,19.9,170.0
ICB1STNRB,2016-10-03,18.8,19.2,18.8,19.1,2329.0
ICB1STNRB,2016-10-02,19.2,19.2,18.8,19.0,14592.0
ICB1STNRB,2016-10-01,18.4,18.4,18.1,18.2,15549.0
ICB1STNRB,2016-09-29,18.9,19.0,18.7,18.9,16178.0
ICB1STNRB,2016-09-28,18.9,19.0,18.9,19.0,4750.0
ICB1STNRB,2016-09-27,19.0,19.0,19.0,19.0,5932.0
ICB1STNRB,2016-09-26,18.5,19.0,18.5,18.7,29100.0
ICB1STNRB,2016-09-25,18.7,18.9,18.7,18.8,7600.0
ICB1STNRB,2016-09-24,18.8,19.0,18.8,19.0,20068.0
ICB1STNRB,2016-09-22,18.4,18.8,18.3,18.5,35161.0
ICB1STNRB,2016-09-21,18.5,18.8,18.5,18.7,8150.0
ICB1STNRB,2016-09-20,18.1,18.5,18.1,18.3,14011.0
ICB1STNRB,2016-09-19,18.6,18.6,18.0,18.1,66252.0
ICB1STNRB,2016-09-18,19.2,19.2,18.6,18.6,51.0
ICB1STNRB,2016-09-11,18.8,18.9,18.8,18.8,11400.0
ICB1STNRB,2016-09-10,18.8,18.9,18.8,18.9,2500.0
ICB1STNRB,2016-09-08,20.3,20.3,20.1,20.1,7000.0
ICB1STNRB,2016-09-06,18.8,18.8,18.6,18.7,12000.0
ICB1STNRB,2016-09-05,18.3,19.5,18.3,19.4,100.0
ICB1STNRB,2016-09-03,18.9,18.9,18.9,18.9,1000.0
ICB1STNRB,2016-09-02,19.0,20.2,18.7,19.4,19930.0
ICB1STNRB,2016-08-30,22.0,22.2,21.8,22.1,127415.0
ICB1STNRB,2016-08-29,22.0,22.3,21.7,21.9,130440.0
ICB1STNRB,2016-08-28,22.1,22.3,22.0,22.0,108907.0
ICB1STNRB,2016-08-24,21.7,22.3,21.7,22.0,67974.0
ICB1STNRB,2016-08-23,22.0,22.0,21.5,21.6,136912.0
ICB1STNRB,2016-08-22,21.7,21.7,21.3,21.7,196370.0
ICB1STNRB,2016-08-21,21.9,22.0,21.3,21.7,66228.0
ICB1STNRB,2016-08-18,22.2,22.2,21.8,22.0,17428.0
ICB1STNRB,2016-08-17,22.1,22.3,21.5,21.7,348677.0
ICB1STNRB,2016-08-16,21.8,22.2,21.8,22.0,461975.0
ICB1STNRB,2016-08-14,21.9,21.9,21.6,21.7,78363.0
ICB1STNRB,2016-08-12,18.7,18.8,18.7,18.7,8350.0
ICB1STNRB,2016-08-11,18.8,18.9,18.7,18.8,11200.0
ICB1STNRB,2016-08-09,19.1,19.1,18.5,18.8,46151.0
ICB1STNRB,2016-08-08,20.0,20.5,20.0,20.4,6950.0
ICB1STNRB,2016-08-06,19.0,19.0,18.9,18.9,2500.0
ICB1STNRB,2016-08-05,19.5,19.5,19.1,19.5,6950.0
ICB1STNRB,2016-08-02,18.9,18.9,18.5,18.6,3555.0
ICB1STNRB,2016-07-31,19.5,19.7,19.5,19.7,27600.0
ICB1STNRB,2016-07-28,19.0,19.4,18.9,19.0,4600.0
ICB1STNRB,2016-07-27,19.2,19.5,19.2,19.4,2900.0
ICB1STNRB,2016-07-25,19.2,19.2,18.9,19.1,7450.0
ICB1STNRB,2016-07-24,19.2,19.2,19.2,19.2,1220.0
ICB1STNRB,2016-07-21,19.1,19.2,19.1,19.2,850.0
ICB1STNRB,2016-07-20,19.0,19.0,19.0,19.0,1500.0
ICB1STNRB,2016-07-19,18.9,18.9,18.7,18.8,4550.0
ICB1STNRB,2016-07-18,18.7,19.0,18.7,18.9,12000.0
ICB1STNRB,2016-07-17,19.8,19.8,19.8,19.8,100.0
ICB1STNRB,2016-07-16,19.6,19.7,19.4,19.6,6200.0
ICB1STNRB,2016-07-14,19.6,19.6,19.6,19.6,1600.0
ICB1STNRB,2016-07-13,19.8,20.0,19.5,19.9,14780.0
ICB1STNRB,2016-07-12,18.8,18.8,18.4,18.5,15505.0
ICB1STNRB,2016-07-11,18.8,18.9,18.7,18.8,6500.0
ICB1STNRB,2016-07-09,18.6,18.9,18.6,18.6,29581.0
ICB1STNRB,2016-07-08,20.0,20.4,20.0,20.2,14000.0
ICB1STNRB,2016-07-06,18.9,19.0,18.9,19.0,3500.0
ICB1STNRB,2016-07-04,19.9,19.9,19.5,19.8,2700.0
ICB1STNRB,2016-07-03,19.4,19.5,18.5,18.7,10165.0
ICB1STNRB,2016-07-02,17.8,19.0,17.8,18.7,2330.0
ICB1STNRB,2016-07-01,18.3,18.3,18.2,18.3,6151.0
ICB1STNRB,2016-06-30,18.8,18.9,18.8,18.9,1250.0
ICB1STNRB,2016-06-28,18.6,18.9,18.6,18.9,21063.0
ICB1STNRB,2016-06-23,18.6,18.6,18.5,18.5,43800.0
ICB1STNRB,2016-06-22,18.6,18.6,18.6,18.6,50.0
ICB1STNRB,2016-06-20,18.8,18.8,18.6,18.7,8139.0
ICB1STNRB,2016-06-19,18.8,18.9,18.6,18.8,5500.0
ICB1STNRB,2016-06-16,18.9,18.9,18.6,18.8,8000.0
ICB1STNRB,2016-06-15,19.0,19.0,18.5,18.7,10150.0
ICB1STNRB,2016-06-14,18.6,18.6,18.5,18.5,39998.0
ICB1STNRB,2016-06-13,18.5,18.6,18.5,18.5,8026.0
ICB1STNRB,2016-06-12,18.8,18.8,18.6,18.7,16387.0
ICB1STNRB,2016-06-11,18.6,18.9,18.6,18.8,7012.0
ICB1STNRB,2016-06-10,18.9,19.1,18.9,19.0,24365.0
ICB1STNRB,2016-06-09,19.2,19.2,18.3,18.6,14345.0
ICB1STNRB,2016-06-06,18.9,19.0,18.9,19.0,200.0
ICB1STNRB,2016-06-04,19.4,19.9,19.0,19.7,31508.0
ICB1STNRB,2016-06-03,18.4,18.7,18.2,18.4,3710.0
ICB1STNRB,2016-06-01,18.2,18.5,17.5,17.6,116700.0
ICB1STNRB,2016-05-31,18.9,18.9,18.6,18.8,5600.0
ICB1STNRB,2016-05-30,19.1,19.1,18.8,18.9,3384.0
ICB1STNRB,2016-05-29,19.2,19.2,18.9,19.0,500.0
ICB1STNRB,2016-05-26,19.3,19.3,19.3,19.3,6273.0
ICB1STNRB,2016-05-25,18.8,19.2,18.8,18.9,4232.0
ICB1STNRB,2016-05-22,18.5,19.0,17.6,17.9,9100.0
ICB1STNRB,2016-05-19,19.1,19.1,19.1,19.1,3334.0
ICB1STNRB,2016-05-17,19.3,19.4,19.3,19.4,60000.0
ICB1STNRB,2016-05-16,18.6,19.3,18.6,19.1,2100.0
ICB1STNRB,2016-05-15,19.6,19.8,19.6,19.7,3445.0
ICB1STNRB,2016-05-12,18.7,18.8,18.6,18.7,3700.0
ICB1STNRB,2016-05-10,19.0,19.0,19.0,19.0,20000.0
ICB1STNRB,2016-05-09,18.8,18.9,18.8,18.8,98564.0
ICB1STNRB,2016-05-04,19.4,19.4,19.4,19.4,2000.0
ICB1STNRB,2016-05-01,18.2,18.2,18.0,18.0,40600.0
ICB1STNRB,2016-04-28,19.5,19.5,19.5,19.5,2000.0
ICB1STNRB,2016-04-27,18.9,19.5,18.9,19.2,100.0
ICB1STNRB,2016-04-26,17.6,18.5,17.6,17.9,3093.0
ICB1STNRB,2016-04-25,18.5,18.5,18.1,18.2,400.0
ICB1STNRB,2016-04-21,19.1,19.1,19.1,19.1,3474.0
ICB1STNRB,2016-04-20,19.8,19.8,19.2,19.4,3550.0
ICB1STNRB,2016-04-19,19.5,19.5,19.5,19.5,3000.0
ICB1STNRB,2016-04-18,19.0,19.2,19.0,19.2,10800.0
ICB1STNRB,2016-04-17,17.4,20.0,17.4,17.5,511500.0
ICB1STNRB,2016-04-12,18.7,18.9,18.7,18.8,1700.0
ICB1STNRB,2016-04-10,18.8,19.0,18.7,18.7,21655.0
ICB1STNRB,2016-04-09,19.5,19.5,18.0,18.6,35102.0
ICB1STNRB,2016-04-08,20.1,20.1,19.8,20.0,3500.0
ICB1STNRB,2016-04-04,19.2,19.7,19.2,19.6,7700.0
ICB1STNRB,2016-04-02,17.5,18.6,17.5,17.9,10750.0
ICB1STNRB,2016-04-01,18.3,18.3,18.3,18.3,5000.0
ICB1STNRB,2016-03-31,17.7,19.0,17.7,18.4,11800.0
ICB1STNRB,2016-03-30,19.1,19.1,18.9,18.9,2440.0
ICB1STNRB,2016-03-29,19.0,19.0,19.0,19.0,1200.0
ICB1STNRB,2016-03-28,19.3,19.3,19.1,19.2,1400.0
ICB1STNRB,2016-03-27,19.0,19.0,19.0,19.0,7472.0
ICB1STNRB,2016-03-24,19.2,19.2,19.2,19.2,11000.0
ICB1STNRB,2016-03-23,19.2,19.2,19.0,19.1,24120.0
ICB1STNRB,2016-03-20,18.8,18.8,18.8,18.8,5510.0
ICB1STNRB,2016-03-16,19.1,19.1,18.8,19.0,15950.0
ICB1STNRB,2016-03-15,19.3,19.3,19.0,19.1,6871.0
ICB1STNRB,2016-03-14,19.0,19.2,19.0,19.1,5250.0
ICB1STNRB,2016-03-11,18.8,18.9,18.8,18.8,6070.0
ICB1STNRB,2016-03-10,18.9,18.9,18.8,18.9,25500.0
ICB1STNRB,2016-03-08,20.2,20.4,20.2,20.2,26150.0
ICB1STNRB,2016-03-05,19.4,19.4,19.4,19.4,1000.0
ICB1STNRB,2016-03-04,20.0,20.0,19.0,19.0,17900.0
ICB1STNRB,2016-03-03,18.2,19.2,18.2,19.0,7300.0
ICB1STNRB,2016-03-02,19.1,19.1,19.1,19.1,1.0
