Trading_Code,Date,Open,High,Low,Close,Volume
ICBAGRANI1,2025-04-08,7.1,7.3,6.9,7.2,86614.0
ICBAGRANI1,2025-04-07,7.0,7.1,7.0,7.0,27603.0
ICBAGRANI1,2025-04-06,7.1,7.2,6.9,7.2,151702.0
ICBAGRANI1,2025-03-27,7.0,7.1,7.0,7.0,118051.0
ICBAGRANI1,2025-03-25,7.0,7.1,7.0,7.0,143293.0
ICBAGRANI1,2025-03-24,6.7,7.1,6.7,6.9,500207.0
ICBAGRANI1,2025-03-23,6.8,6.8,6.7,6.8,126939.0
ICBAGRANI1,2025-03-20,6.8,6.9,6.7,6.8,269225.0
ICBAGRANI1,2025-03-19,6.8,6.9,6.6,6.8,131509.0
ICBAGRANI1,2025-03-18,6.6,6.8,6.6,6.7,157667.0
ICBAGRANI1,2025-03-17,6.7,6.7,6.6,6.6,38793.0
ICBAGRANI1,2025-03-16,6.6,6.7,6.3,6.6,195464.0
ICBAGRANI1,2025-03-13,6.4,6.5,6.4,6.4,5000.0
ICBAGRANI1,2025-03-12,6.5,6.5,6.4,6.5,1400.0
ICBAGRANI1,2025-03-11,6.4,6.4,6.3,6.4,25722.0
ICBAGRANI1,2025-03-10,6.4,6.4,6.2,6.2,33010.0
ICBAGRANI1,2025-03-09,6.4,6.4,6.3,6.4,115989.0
ICBAGRANI1,2025-03-06,6.3,6.4,6.3,6.4,103572.0
ICBAGRANI1,2025-03-05,6.4,6.4,6.3,6.3,20545.0
ICBAGRANI1,2025-03-04,6.4,6.4,6.2,6.2,60502.0
ICBAGRANI1,2025-03-03,6.4,6.4,6.3,6.3,64000.0
ICBAGRANI1,2025-03-02,6.4,6.4,6.3,6.3,88001.0
ICBAGRANI1,2025-02-27,6.5,6.5,6.4,6.4,26782.0
ICBAGRANI1,2025-02-26,6.6,6.6,6.3,6.3,69403.0
ICBAGRANI1,2025-02-25,6.6,6.6,6.3,6.4,125401.0
ICBAGRANI1,2025-02-24,6.7,6.7,6.4,6.4,80033.0
ICBAGRANI1,2025-02-23,6.5,6.8,6.4,6.6,137706.0
ICBAGRANI1,2025-02-20,6.5,6.5,6.3,6.4,76711.0
ICBAGRANI1,2025-02-19,6.5,6.5,6.3,6.4,36001.0
ICBAGRANI1,2025-02-18,6.5,6.5,6.3,6.4,87992.0
ICBAGRANI1,2025-02-17,6.4,6.6,6.3,6.4,90161.0
ICBAGRANI1,2025-02-16,6.5,6.5,6.4,6.5,74955.0
ICBAGRANI1,2025-02-13,6.7,6.7,6.5,6.5,34001.0
ICBAGRANI1,2025-02-12,6.5,6.7,6.3,6.5,148200.0
ICBAGRANI1,2025-02-11,6.4,6.5,6.4,6.5,73845.0
ICBAGRANI1,2025-02-10,6.5,6.5,6.4,6.4,74590.0
ICBAGRANI1,2025-02-09,6.5,6.6,6.3,6.4,184236.0
ICBAGRANI1,2025-02-06,6.5,6.6,6.3,6.5,107476.0
ICBAGRANI1,2025-02-05,6.5,6.5,6.3,6.3,100329.0
ICBAGRANI1,2025-02-04,6.5,6.5,6.4,6.4,86871.0
ICBAGRANI1,2025-02-03,6.4,6.4,6.3,6.4,36142.0
ICBAGRANI1,2025-02-02,6.4,6.5,6.3,6.4,48300.0
ICBAGRANI1,2025-01-30,6.6,6.6,6.2,6.3,221828.0
ICBAGRANI1,2025-01-29,6.8,6.8,6.6,6.7,77994.0
ICBAGRANI1,2025-01-28,6.9,6.9,6.8,6.8,47204.0
ICBAGRANI1,2025-01-27,6.9,6.9,6.8,6.8,59991.0
ICBAGRANI1,2025-01-26,7.0,7.0,6.8,6.9,39536.0
ICBAGRANI1,2025-01-23,7.0,7.0,6.8,6.9,197623.0
ICBAGRANI1,2025-01-22,7.1,7.1,6.9,7.0,42357.0
ICBAGRANI1,2025-01-21,7.1,7.2,7.0,7.1,110586.0
ICBAGRANI1,2025-01-20,7.1,7.1,7.0,7.0,122270.0
ICBAGRANI1,2025-01-19,7.1,7.2,6.9,7.1,210638.0
ICBAGRANI1,2025-01-16,6.9,7.2,6.9,7.0,122392.0
ICBAGRANI1,2025-01-15,7.0,7.0,6.9,6.9,39824.0
ICBAGRANI1,2025-01-14,7.1,7.2,7.0,7.1,126777.0
ICBAGRANI1,2025-01-13,7.0,7.1,6.7,6.9,138273.0
ICBAGRANI1,2025-01-12,7.2,7.3,6.9,7.0,87151.0
ICBAGRANI1,2025-01-09,7.1,7.1,7.0,7.1,110500.0
ICBAGRANI1,2025-01-08,7.3,7.3,7.0,7.1,19560.0
ICBAGRANI1,2025-01-07,6.8,7.5,6.8,7.4,18931.0
ICBAGRANI1,2025-01-06,7.1,7.3,7.1,7.1,11121.0
ICBAGRANI1,2025-01-05,7.3,7.3,7.2,7.2,305.0
ICBAGRANI1,2025-01-02,7.5,7.5,7.1,7.2,12987.0
ICBAGRANI1,2025-01-01,7.1,7.5,7.1,7.3,83061.0
ICBAGRANI1,2024-12-30,7.3,7.4,7.1,7.2,48985.0
ICBAGRANI1,2024-12-29,7.1,7.6,7.1,7.4,210641.0
ICBAGRANI1,2024-12-26,6.9,7.2,6.9,7.1,85863.0
ICBAGRANI1,2024-12-24,7.0,7.1,6.8,7.0,45237.0
ICBAGRANI1,2024-12-23,6.8,7.0,6.8,6.9,53576.0
ICBAGRANI1,2024-12-22,6.9,7.0,6.8,6.9,47872.0
ICBAGRANI1,2024-12-19,6.9,7.0,6.8,6.8,76244.0
ICBAGRANI1,2024-12-18,7.0,7.1,6.9,7.0,115850.0
ICBAGRANI1,2024-12-17,7.1,7.2,7.0,7.1,70396.0
ICBAGRANI1,2024-12-15,6.8,7.1,6.8,7.0,149344.0
ICBAGRANI1,2024-12-12,6.8,7.0,6.8,6.9,22937.0
ICBAGRANI1,2024-12-11,7.0,7.0,6.8,6.9,58191.0
ICBAGRANI1,2024-12-10,7.0,7.3,7.0,7.0,143175.0
ICBAGRANI1,2024-12-09,7.2,7.2,6.8,6.9,191882.0
ICBAGRANI1,2024-12-08,7.0,7.1,6.9,7.0,187144.0
ICBAGRANI1,2024-12-05,7.5,7.5,7.1,7.2,355961.0
ICBAGRANI1,2024-12-04,7.3,7.5,6.9,7.5,639636.0
ICBAGRANI1,2024-12-03,6.9,6.9,6.8,6.9,72323.0
ICBAGRANI1,2024-12-02,6.9,7.0,6.9,6.9,44616.0
ICBAGRANI1,2024-12-01,6.8,6.9,6.8,6.8,117721.0
ICBAGRANI1,2024-11-28,6.9,7.1,6.8,6.9,98282.0
ICBAGRANI1,2024-11-27,6.7,7.1,6.7,6.9,114741.0
ICBAGRANI1,2024-11-26,6.7,6.8,6.6,6.6,65027.0
ICBAGRANI1,2024-11-25,6.7,6.7,6.6,6.7,30100.0
ICBAGRANI1,2024-11-24,6.7,6.7,6.5,6.6,41300.0
ICBAGRANI1,2024-11-21,6.7,6.7,6.6,6.7,80044.0
ICBAGRANI1,2024-11-20,6.8,6.8,6.7,6.7,52915.0
ICBAGRANI1,2024-11-19,6.9,6.9,6.6,6.7,162030.0
ICBAGRANI1,2024-11-18,6.8,7.1,6.8,6.8,191346.0
ICBAGRANI1,2024-11-17,7.1,7.2,6.7,6.8,221362.0
ICBAGRANI1,2024-11-14,6.9,7.1,6.9,7.0,178377.0
ICBAGRANI1,2024-11-13,6.6,6.8,6.6,6.7,63361.0
ICBAGRANI1,2024-11-12,7.0,7.0,6.6,6.7,263291.0
ICBAGRANI1,2024-11-11,7.0,7.0,6.8,6.8,245430.0
ICBAGRANI1,2024-11-10,7.0,7.2,6.8,6.8,627688.0
ICBAGRANI1,2024-11-07,7.1,7.4,7.0,7.1,238464.0
ICBAGRANI1,2024-11-06,7.1,7.7,7.0,7.1,868880.0
ICBAGRANI1,2024-11-05,7.4,7.6,6.9,7.1,583972.0
ICBAGRANI1,2024-11-04,7.5,7.5,6.9,7.1,1494021.0
ICBAGRANI1,2024-11-03,7.2,7.2,7.2,7.2,760269.0
ICBAGRANI1,2024-10-31,6.6,6.6,6.4,6.6,1552469.0
ICBAGRANI1,2024-10-30,6.0,6.0,5.7,6.0,218577.0
ICBAGRANI1,2024-10-29,5.7,5.7,5.2,5.5,734766.0
ICBAGRANI1,2024-10-28,5.8,5.8,5.4,5.6,128039.0
ICBAGRANI1,2024-10-27,6.1,6.2,5.8,5.9,77553.0
ICBAGRANI1,2024-10-24,6.7,6.7,6.2,6.2,921320.0
ICBAGRANI1,2024-10-23,6.2,6.2,6.1,6.2,404130.0
ICBAGRANI1,2024-10-22,6.5,6.8,6.2,6.2,136721.0
ICBAGRANI1,2024-10-21,6.5,6.7,6.4,6.4,1401.0
ICBAGRANI1,2024-10-20,6.5,7.1,6.5,6.5,524600.0
ICBAGRANI1,2024-10-17,7.3,7.3,6.4,6.5,20002.0
ICBAGRANI1,2024-10-16,7.4,7.4,6.6,6.7,222502.0
ICBAGRANI1,2024-10-15,7.1,7.1,6.7,6.8,18603.0
ICBAGRANI1,2024-10-14,7.0,7.0,6.9,7.0,52852.0
ICBAGRANI1,2024-10-09,7.0,7.1,7.0,7.0,5001.0
ICBAGRANI1,2024-10-08,7.1,7.1,7.0,7.1,6002.0
ICBAGRANI1,2024-10-07,8.0,8.0,6.9,7.2,3508.0
