Trading_Code,Date,Open,High,Low,Close,Volume
ICBAMCL2ND,2025-04-08,6.7,7.0,6.3,6.4,286718.0
ICBAMCL2ND,2025-04-07,7.0,7.0,6.4,6.7,54505.0
ICBAMCL2ND,2025-04-06,6.5,6.9,6.3,6.9,279186.0
ICBAMCL2ND,2025-03-27,6.2,6.3,6.2,6.3,16879.0
ICBAMCL2ND,2025-03-25,6.3,6.3,6.1,6.2,7325.0
ICBAMCL2ND,2025-03-24,6.2,6.2,6.0,6.0,207183.0
ICBAMCL2ND,2025-03-23,6.0,6.2,6.0,6.0,14482.0
ICBAMCL2ND,2025-03-20,6.0,6.3,6.0,6.1,11170.0
ICBAMCL2ND,2025-03-19,6.1,6.3,6.0,6.2,50461.0
ICBAMCL2ND,2025-03-18,6.0,6.3,6.0,6.1,37811.0
ICBAMCL2ND,2025-03-17,6.0,6.1,5.5,5.8,145147.0
ICBAMCL2ND,2025-03-16,6.0,6.2,5.9,6.0,47135.0
ICBAMCL2ND,2025-03-13,6.0,6.0,5.9,6.0,58409.0
ICBAMCL2ND,2025-03-12,6.0,6.2,5.9,6.0,82410.0
ICBAMCL2ND,2025-03-11,6.1,6.2,5.9,6.0,9036.0
ICBAMCL2ND,2025-03-10,6.0,6.1,5.9,6.0,24125.0
ICBAMCL2ND,2025-03-09,5.9,6.0,5.9,6.0,43430.0
ICBAMCL2ND,2025-03-06,5.9,6.1,5.9,6.0,9056.0
ICBAMCL2ND,2025-03-05,6.1,6.1,5.9,6.0,31525.0
ICBAMCL2ND,2025-03-04,6.0,6.1,5.9,6.0,4358.0
ICBAMCL2ND,2025-03-03,6.1,6.1,6.0,6.0,8500.0
ICBAMCL2ND,2025-03-02,6.2,6.2,6.1,6.1,110.0
ICBAMCL2ND,2025-02-27,6.1,6.2,6.1,6.2,403.0
ICBAMCL2ND,2025-02-26,6.1,6.3,6.0,6.1,29660.0
ICBAMCL2ND,2025-02-25,6.1,6.4,6.1,6.2,4701.0
ICBAMCL2ND,2025-02-24,6.1,6.3,6.0,6.0,32448.0
ICBAMCL2ND,2025-02-23,6.0,6.2,6.0,6.1,25067.0
ICBAMCL2ND,2025-02-20,6.2,6.3,6.0,6.0,54222.0
ICBAMCL2ND,2025-02-19,6.0,6.1,5.9,6.1,4950.0
ICBAMCL2ND,2025-02-18,6.0,6.3,6.0,6.1,46667.0
ICBAMCL2ND,2025-02-17,6.0,6.1,6.0,6.1,26221.0
ICBAMCL2ND,2025-02-16,5.9,6.1,5.9,5.9,14650.0
ICBAMCL2ND,2025-02-13,6.2,6.2,6.0,6.0,20125.0
ICBAMCL2ND,2025-02-12,6.0,6.5,5.9,6.0,51885.0
ICBAMCL2ND,2025-02-11,6.0,6.0,5.9,6.0,66779.0
ICBAMCL2ND,2025-02-10,6.0,6.1,5.9,6.0,10666.0
ICBAMCL2ND,2025-02-09,6.1,6.1,6.0,6.0,18175.0
ICBAMCL2ND,2025-02-06,6.1,6.1,5.9,6.0,4835.0
ICBAMCL2ND,2025-02-05,6.0,6.1,6.0,6.1,27685.0
ICBAMCL2ND,2025-02-04,6.1,6.1,6.0,6.0,20209.0
ICBAMCL2ND,2025-02-03,6.1,6.1,6.0,6.0,5192.0
ICBAMCL2ND,2025-02-02,6.0,6.1,5.9,6.0,6431.0
ICBAMCL2ND,2025-01-30,6.1,6.1,6.0,6.0,4610.0
ICBAMCL2ND,2025-01-29,6.1,6.1,6.0,6.0,3130.0
ICBAMCL2ND,2025-01-28,6.0,6.0,5.9,6.0,1000.0
ICBAMCL2ND,2025-01-27,6.0,6.1,6.0,6.0,5667.0
ICBAMCL2ND,2025-01-26,6.0,6.0,5.9,6.0,3958.0
ICBAMCL2ND,2025-01-23,6.1,6.2,6.0,6.1,9500.0
ICBAMCL2ND,2025-01-22,6.1,6.1,6.0,6.0,30470.0
ICBAMCL2ND,2025-01-21,6.0,6.2,6.0,6.1,15522.0
ICBAMCL2ND,2025-01-20,6.1,6.1,5.9,6.0,44260.0
ICBAMCL2ND,2025-01-19,6.1,6.1,6.0,6.1,30561.0
