Trading_Code,Date,Open,High,Low,Close,Volume
ICBEPMF1S1,2025-04-08,5.2,5.4,5.2,5.3,308309.0
ICBEPMF1S1,2025-04-07,5.2,5.4,5.2,5.2,14500.0
ICBEPMF1S1,2025-04-06,5.3,5.5,5.3,5.4,129153.0
ICBEPMF1S1,2025-03-27,5.2,5.2,5.2,5.2,35100.0
ICBEPMF1S1,2025-03-25,5.1,5.2,5.1,5.1,88794.0
ICBEPMF1S1,2025-03-24,0.0,0.0,0.0,5.0,0.0
ICBEPMF1S1,2025-03-23,5.0,5.1,5.0,5.0,27580.0
ICBEPMF1S1,2025-03-20,5.1,5.2,5.1,5.1,7000.0
ICBEPMF1S1,2025-03-19,5.2,5.3,5.1,5.3,93702.0
ICBEPMF1S1,2025-03-18,5.0,5.2,4.9,5.1,16805.0
ICBEPMF1S1,2025-03-17,5.5,5.5,4.9,5.0,35501.0
ICBEPMF1S1,2025-03-16,5.0,5.3,5.0,5.0,1351.0
ICBEPMF1S1,2025-03-13,4.9,5.2,4.9,5.2,129427.0
ICBEPMF1S1,2025-03-12,4.9,5.1,4.9,5.0,51874.0
ICBEPMF1S1,2025-03-11,5.0,5.0,4.9,4.9,65324.0
ICBEPMF1S1,2025-03-10,4.8,4.9,4.8,4.9,1500.0
ICBEPMF1S1,2025-03-09,4.9,4.9,4.8,4.8,1745.0
ICBEPMF1S1,2025-03-06,0.0,0.0,0.0,5.0,0.0
ICBEPMF1S1,2025-03-05,4.7,5.2,4.7,5.0,11208.0
ICBEPMF1S1,2025-03-04,5.0,5.0,5.0,5.0,2000.0
ICBEPMF1S1,2025-03-03,5.0,5.0,4.9,5.0,3508.0
ICBEPMF1S1,2025-03-02,4.9,4.9,4.9,4.9,100.0
ICBEPMF1S1,2025-02-27,4.8,5.1,4.8,5.0,31850.0
ICBEPMF1S1,2025-02-26,5.0,5.0,5.0,5.0,1500.0
ICBEPMF1S1,2025-02-25,5.0,5.0,4.9,5.0,11767.0
ICBEPMF1S1,2025-02-24,4.9,4.9,4.9,4.9,32633.0
ICBEPMF1S1,2025-02-23,4.9,5.1,4.9,5.0,10454.0
ICBEPMF1S1,2025-02-20,4.8,5.1,4.7,4.7,38911.0
ICBEPMF1S1,2025-02-19,5.0,5.0,4.9,5.0,651.0
ICBEPMF1S1,2025-02-18,5.0,5.0,4.9,5.0,17540.0
ICBEPMF1S1,2025-02-17,5.1,5.1,4.8,5.1,209.0
ICBEPMF1S1,2025-02-16,4.9,4.9,4.9,4.9,9313.0
ICBEPMF1S1,2025-02-13,4.8,4.9,4.8,4.8,11700.0
ICBEPMF1S1,2025-02-12,4.9,5.0,4.8,4.8,1010.0
ICBEPMF1S1,2025-02-11,4.8,4.9,4.7,4.8,3604.0
ICBEPMF1S1,2025-02-10,4.8,4.8,4.8,4.8,145.0
ICBEPMF1S1,2025-02-09,4.9,5.1,4.9,5.0,8054.0
ICBEPMF1S1,2025-02-06,4.9,4.9,4.8,4.9,3100.0
ICBEPMF1S1,2025-02-05,4.8,5.1,4.8,4.8,35400.0
ICBEPMF1S1,2025-02-04,5.2,5.2,4.8,4.9,19000.0
ICBEPMF1S1,2025-02-03,4.8,5.2,4.8,4.9,40844.0
ICBEPMF1S1,2025-02-02,4.8,4.8,4.8,4.8,600.0
ICBEPMF1S1,2025-01-30,4.9,5.0,4.9,4.9,8000.0
ICBEPMF1S1,2025-01-29,4.9,4.9,4.9,4.9,1950.0
ICBEPMF1S1,2025-01-28,0.0,0.0,0.0,4.9,0.0
ICBEPMF1S1,2025-01-27,4.9,4.9,4.8,4.9,2784.0
ICBEPMF1S1,2025-01-26,5.0,5.0,4.9,5.0,24350.0
ICBEPMF1S1,2025-01-23,5.0,5.0,5.0,5.0,925.0
ICBEPMF1S1,2025-01-22,5.0,5.0,5.0,5.0,280.0
ICBEPMF1S1,2025-01-21,5.1,5.3,5.1,5.1,10981.0
ICBEPMF1S1,2025-01-20,5.0,5.0,5.0,5.0,5375.0
ICBEPMF1S1,2025-01-19,4.9,5.1,4.9,5.0,11346.0
ICBEPMF1S1,2025-01-16,5.1,5.1,5.1,5.1,3497.0
ICBEPMF1S1,2025-01-15,0.0,0.0,0.0,5.0,0.0
ICBEPMF1S1,2025-01-14,5.0,5.1,5.0,5.0,15352.0
ICBEPMF1S1,2025-01-13,4.9,5.0,4.9,4.9,65022.0
ICBEPMF1S1,2025-01-12,5.1,5.1,5.1,5.1,1016.0
ICBEPMF1S1,2025-01-09,4.9,5.1,4.9,5.0,9800.0
ICBEPMF1S1,2025-01-08,5.2,5.2,5.1,5.1,2076.0
ICBEPMF1S1,2025-01-07,0.0,0.0,0.0,5.1,0.0
ICBEPMF1S1,2025-01-06,5.1,5.1,5.0,5.1,3500.0
ICBEPMF1S1,2025-01-05,5.1,5.1,5.1,5.1,66.0
ICBEPMF1S1,2025-01-02,5.1,5.1,5.1,5.1,50.0
ICBEPMF1S1,2025-01-01,5.4,5.4,5.1,5.2,12097.0
ICBEPMF1S1,2024-12-30,5.1,5.2,5.0,5.1,30962.0
ICBEPMF1S1,2024-12-29,5.1,5.3,5.1,5.1,6171.0
ICBEPMF1S1,2024-12-26,5.0,5.3,5.0,5.0,36234.0
ICBEPMF1S1,2024-12-24,5.3,5.3,5.0,5.1,31600.0
ICBEPMF1S1,2024-12-23,5.3,5.4,5.0,5.1,37381.0
ICBEPMF1S1,2024-12-22,5.6,5.6,5.3,5.4,3419.0
ICBEPMF1S1,2024-12-19,5.5,5.5,5.3,5.5,2326.0
ICBEPMF1S1,2024-12-18,5.4,5.5,5.2,5.3,61999.0
ICBEPMF1S1,2024-12-17,5.9,5.9,5.4,5.5,2603.0
ICBEPMF1S1,2024-12-15,5.8,5.8,5.3,5.5,5581.0
ICBEPMF1S1,2024-12-12,5.3,5.6,5.3,5.4,2111.0
ICBEPMF1S1,2024-12-11,5.5,5.6,5.4,5.4,4856.0
ICBEPMF1S1,2024-12-10,5.6,5.7,5.5,5.6,35201.0
ICBEPMF1S1,2024-12-09,5.4,5.5,5.0,5.3,8737.0
ICBEPMF1S1,2024-12-08,5.5,5.5,5.4,5.5,3015.0
ICBEPMF1S1,2024-12-05,5.7,5.7,5.5,5.7,5788.0
ICBEPMF1S1,2024-12-04,5.6,5.9,5.6,5.7,176120.0
ICBEPMF1S1,2024-12-03,5.6,5.6,5.3,5.4,64678.0
ICBEPMF1S1,2024-12-02,5.4,5.5,5.4,5.5,17702.0
ICBEPMF1S1,2024-12-01,5.6,5.6,5.4,5.5,751.0
ICBEPMF1S1,2024-11-28,5.3,5.6,5.2,5.5,23659.0
ICBEPMF1S1,2024-11-27,5.5,5.6,5.4,5.5,12351.0
ICBEPMF1S1,2024-11-26,5.3,5.3,5.3,5.3,552.0
ICBEPMF1S1,2024-11-25,5.2,5.5,5.1,5.3,36000.0
ICBEPMF1S1,2024-11-24,5.4,5.4,5.4,5.4,1000.0
ICBEPMF1S1,2024-11-21,5.5,5.5,5.2,5.3,30702.0
ICBEPMF1S1,2024-11-20,5.5,5.5,5.5,5.5,2020.0
ICBEPMF1S1,2024-11-19,5.5,5.5,5.5,5.5,10225.0
ICBEPMF1S1,2024-11-18,5.6,5.6,5.5,5.6,5455.0
ICBEPMF1S1,2024-11-17,0.0,0.0,0.0,5.6,0.0
ICBEPMF1S1,2024-11-14,5.6,5.7,5.5,5.6,18110.0
ICBEPMF1S1,2024-11-13,5.5,5.6,5.5,5.6,4366.0
ICBEPMF1S1,2024-11-12,5.5,5.6,5.5,5.6,46003.0
ICBEPMF1S1,2024-11-11,5.5,5.5,5.5,5.5,10717.0
ICBEPMF1S1,2024-11-10,5.5,5.6,5.5,5.5,50887.0
ICBEPMF1S1,2024-11-07,5.6,5.6,5.5,5.5,38390.0
