Trading_Code,Date,Open,High,Low,Close,Volume
ICBISLAMIC,2014-12-24,15.0,15.6,15.0,15.5,164852.0
ICBISLAMIC,2014-12-23,15.1,15.4,14.8,15.0,125160.0
ICBISLAMIC,2014-12-22,15.5,15.5,15.0,15.1,95900.0
ICBISLAMIC,2014-12-21,15.2,15.4,15.2,15.3,97310.0
ICBISLAMIC,2014-12-18,15.2,15.5,15.1,15.4,58750.0
ICBISLAMIC,2014-12-17,15.2,15.5,15.2,15.3,39000.0
ICBISLAMIC,2014-12-15,15.1,15.2,15.0,15.1,201900.0
ICBISLAMIC,2014-12-14,15.0,15.2,14.9,15.1,58500.0
ICBISLAMIC,2014-12-11,15.0,15.5,15.0,15.2,42000.0
ICBISLAMIC,2014-12-10,15.3,16.4,15.3,15.9,79500.0
ICBISLAMIC,2014-12-08,19.0,19.9,19.0,19.1,64000.0
ICBISLAMIC,2014-12-06,17.9,18.7,17.5,17.6,61000.0
ICBISLAMIC,2014-12-05,20.7,20.8,20.7,20.7,15500.0
ICBISLAMIC,2014-12-03,21.5,21.5,21.5,21.5,4000.0
ICBISLAMIC,2014-12-02,23.8,23.9,22.7,22.7,48000.0
ICBISLAMIC,2014-12-01,18.0,18.1,17.9,17.9,19500.0
ICBISLAMIC,2014-11-30,15.0,15.2,15.0,15.0,18500.0
ICBISLAMIC,2014-11-27,15.0,15.0,14.8,14.9,16000.0
ICBISLAMIC,2014-11-26,14.9,15.0,14.9,14.9,12000.0
ICBISLAMIC,2014-11-25,14.9,14.9,14.8,14.8,7500.0
ICBISLAMIC,2014-11-24,14.7,14.8,14.6,14.7,25000.0
ICBISLAMIC,2014-11-23,14.8,15.5,14.8,15.0,87500.0
ICBISLAMIC,2014-11-20,14.8,14.9,14.8,14.8,244500.0
ICBISLAMIC,2014-11-19,14.9,14.9,14.6,14.7,53500.0
ICBISLAMIC,2014-11-18,14.7,14.9,14.6,14.9,214000.0
ICBISLAMIC,2014-11-17,14.7,14.9,14.6,14.7,25000.0
ICBISLAMIC,2014-11-16,15.1,15.1,14.7,14.8,36000.0
ICBISLAMIC,2014-11-13,15.0,15.2,15.0,15.1,207500.0
ICBISLAMIC,2014-11-12,14.9,14.9,14.9,14.9,2500.0
ICBISLAMIC,2014-11-11,15.0,15.0,15.0,15.0,23500.0
ICBISLAMIC,2014-11-09,16.5,16.5,15.9,16.0,28000.0
ICBISLAMIC,2014-11-08,19.3,19.3,18.7,18.7,74000.0
ICBISLAMIC,2014-11-06,18.0,18.9,17.6,17.8,26500.0
ICBISLAMIC,2014-11-05,20.8,20.8,20.8,20.8,11000.0
ICBISLAMIC,2014-11-03,21.5,21.5,21.5,21.5,1500.0
ICBISLAMIC,2014-11-02,22.8,23.4,22.8,23.0,15500.0
ICBISLAMIC,2014-10-30,14.7,15.1,14.7,14.9,44500.0
ICBISLAMIC,2014-10-29,15.0,15.3,14.8,14.8,47500.0
ICBISLAMIC,2014-10-28,15.0,15.0,14.9,14.9,13000.0
ICBISLAMIC,2014-10-27,14.9,15.4,14.9,15.0,11500.0
ICBISLAMIC,2014-10-26,15.2,15.4,14.9,14.9,38500.0
ICBISLAMIC,2014-10-23,15.2,15.3,15.2,15.2,16000.0
ICBISLAMIC,2014-10-22,15.2,15.3,15.2,15.2,19500.0
ICBISLAMIC,2014-10-21,15.5,15.5,15.2,15.3,19500.0
ICBISLAMIC,2014-10-20,15.7,15.7,15.4,15.4,10500.0
ICBISLAMIC,2014-10-19,15.7,15.7,15.1,15.3,35500.0
ICBISLAMIC,2014-10-16,15.8,16.0,15.6,15.8,15500.0
ICBISLAMIC,2014-10-15,16.0,16.0,15.5,15.8,38500.0
ICBISLAMIC,2014-10-14,15.7,15.8,15.4,15.4,43000.0
ICBISLAMIC,2014-10-13,16.1,16.1,15.6,15.7,38500.0
ICBISLAMIC,2014-10-12,14.9,14.9,14.9,14.9,6000.0
ICBISLAMIC,2014-10-11,14.9,15.0,14.9,14.9,25000.0
ICBISLAMIC,2014-10-09,16.0,16.4,15.9,15.9,41000.0
ICBISLAMIC,2014-10-08,20.0,20.0,18.6,19.3,87500.0
ICBISLAMIC,2014-10-07,19.5,19.5,19.3,19.4,7000.0
ICBISLAMIC,2014-10-06,18.0,18.0,17.9,17.9,3000.0
ICBISLAMIC,2014-10-04,23.5,23.5,21.3,22.3,167500.0
ICBISLAMIC,2014-10-03,21.6,21.6,21.3,21.3,11500.0
ICBISLAMIC,2014-10-02,23.0,23.3,23.0,23.0,16500.0
ICBISLAMIC,2014-09-30,14.6,14.7,14.5,14.5,34500.0
ICBISLAMIC,2014-09-29,14.6,14.7,14.5,14.5,18500.0
ICBISLAMIC,2014-09-28,14.8,15.0,14.6,14.6,50000.0
ICBISLAMIC,2014-09-25,15.2,15.2,14.7,14.7,60500.0
ICBISLAMIC,2014-09-24,15.3,15.3,14.8,14.9,61000.0
ICBISLAMIC,2014-09-23,14.8,15.4,14.8,15.1,59000.0
ICBISLAMIC,2014-09-22,15.0,15.1,14.9,14.9,41000.0
ICBISLAMIC,2014-09-21,14.7,15.2,14.7,15.0,77500.0
ICBISLAMIC,2014-09-18,14.6,15.3,14.6,15.0,55000.0
ICBISLAMIC,2014-09-17,15.2,15.2,14.5,14.6,187000.0
ICBISLAMIC,2014-09-16,15.9,15.9,15.6,15.6,20500.0
ICBISLAMIC,2014-09-15,16.2,16.2,16.0,16.1,7000.0
ICBISLAMIC,2014-09-14,15.9,16.0,15.9,15.9,8000.0
ICBISLAMIC,2014-09-12,15.0,15.2,15.0,15.0,81000.0
ICBISLAMIC,2014-09-11,15.0,15.0,14.7,14.8,21500.0
ICBISLAMIC,2014-09-09,16.2,16.2,16.0,16.1,21000.0
ICBISLAMIC,2014-09-07,18.8,18.8,18.8,18.8,7500.0
ICBISLAMIC,2014-09-04,21.7,22.0,20.4,21.4,34000.0
ICBISLAMIC,2014-09-03,22.0,22.0,21.7,21.8,6000.0
ICBISLAMIC,2014-09-02,22.7,23.5,22.7,23.0,37500.0
ICBISLAMIC,2014-09-01,18.1,18.1,17.7,17.8,47000.0
ICBISLAMIC,2014-08-31,17.4,17.4,16.5,16.8,3500.0
ICBISLAMIC,2014-08-28,17.5,17.5,16.5,16.8,36500.0
ICBISLAMIC,2014-08-27,16.1,17.5,16.1,17.2,84000.0
ICBISLAMIC,2014-08-26,16.0,17.0,15.7,16.9,86000.0
ICBISLAMIC,2014-08-25,16.6,16.6,15.6,16.0,41500.0
ICBISLAMIC,2014-08-24,16.9,17.3,15.4,15.6,44000.0
ICBISLAMIC,2014-08-21,16.9,16.9,16.5,16.5,12000.0
ICBISLAMIC,2014-08-19,18.6,18.6,18.2,18.3,153000.0
ICBISLAMIC,2014-08-18,18.3,18.8,18.3,18.6,29000.0
ICBISLAMIC,2014-08-14,18.8,19.0,18.5,18.6,62000.0
ICBISLAMIC,2014-08-13,19.0,19.0,18.9,18.9,6000.0
ICBISLAMIC,2014-08-12,14.9,15.1,14.9,14.9,43500.0
ICBISLAMIC,2014-08-09,16.9,16.9,16.0,16.3,28000.0
ICBISLAMIC,2014-08-07,18.8,18.8,18.8,18.8,1000.0
ICBISLAMIC,2014-08-06,17.8,18.0,17.8,17.9,16500.0
ICBISLAMIC,2014-08-05,20.5,20.9,20.3,20.7,20000.0
ICBISLAMIC,2014-08-04,21.0,22.6,20.7,22.3,162000.0
ICBISLAMIC,2014-08-01,18.0,18.2,17.9,18.0,34000.0
ICBISLAMIC,2014-07-24,19.1,19.1,19.0,19.0,34500.0
ICBISLAMIC,2014-07-23,19.2,19.4,18.9,19.1,10000.0
ICBISLAMIC,2014-07-22,18.8,19.3,18.8,19.0,7000.0
ICBISLAMIC,2014-07-21,18.7,19.0,18.6,18.7,15000.0
ICBISLAMIC,2014-07-20,18.8,18.9,18.7,18.7,8500.0
ICBISLAMIC,2014-07-17,18.8,18.9,18.8,18.8,2000.0
ICBISLAMIC,2014-07-16,19.0,19.0,18.8,18.8,10000.0
ICBISLAMIC,2014-07-15,19.0,19.2,19.0,19.0,5500.0
ICBISLAMIC,2014-07-12,14.7,14.9,14.6,14.7,21500.0
ICBISLAMIC,2014-07-09,16.7,16.9,16.5,16.6,44500.0
ICBISLAMIC,2014-07-08,19.4,20.0,19.4,19.6,23500.0
ICBISLAMIC,2014-07-07,18.3,18.9,18.3,18.6,12500.0
ICBISLAMIC,2014-07-05,21.0,21.0,21.0,21.0,1500.0
ICBISLAMIC,2014-07-04,20.4,21.4,20.0,20.7,17000.0
ICBISLAMIC,2014-07-01,17.7,18.0,17.7,17.8,7000.0
ICBISLAMIC,2014-06-30,19.4,20.3,19.4,19.9,8500.0
ICBISLAMIC,2014-06-29,20.2,20.5,19.5,19.9,12000.0
ICBISLAMIC,2014-06-26,18.6,20.4,18.6,19.6,58000.0
ICBISLAMIC,2014-06-25,18.8,18.9,18.7,18.8,27500.0
ICBISLAMIC,2014-06-24,18.3,18.8,18.3,18.6,3000.0
ICBISLAMIC,2014-06-23,18.6,18.6,18.6,18.6,1000.0
ICBISLAMIC,2014-06-19,18.6,18.7,18.5,18.6,12000.0
ICBISLAMIC,2014-06-18,19.3,19.3,18.5,18.8,6500.0
ICBISLAMIC,2014-06-17,17.7,19.0,17.4,18.5,39500.0
ICBISLAMIC,2014-06-16,17.8,17.8,17.7,17.7,5000.0
ICBISLAMIC,2014-06-15,17.8,17.9,17.7,17.7,38500.0
ICBISLAMIC,2014-06-11,15.0,15.1,15.0,15.0,14500.0
ICBISLAMIC,2014-06-08,19.0,19.4,18.9,19.1,38500.0
ICBISLAMIC,2014-06-07,18.9,18.9,18.9,18.9,4000.0
ICBISLAMIC,2014-06-05,20.1,21.0,20.1,20.7,1500.0
