Trading_Code,Date,Open,High,Low,Close,Volume
ICICL,2025-04-08,21.1,21.4,21.1,21.1,27887.0
ICICL,2025-04-07,21.0,21.6,21.0,21.4,103603.0
ICICL,2025-04-06,20.9,21.6,20.8,20.9,101231.0
ICICL,2025-03-27,21.3,21.5,21.2,21.4,34648.0
ICICL,2025-03-25,21.3,21.4,21.2,21.4,27350.0
ICICL,2025-03-24,21.0,21.4,20.9,21.0,56844.0
ICICL,2025-03-23,21.2,21.4,21.0,21.1,39771.0
ICICL,2025-03-20,21.3,21.5,21.2,21.3,57133.0
ICICL,2025-03-19,22.3,22.3,21.3,21.4,49629.0
ICICL,2025-03-18,21.7,21.9,21.4,21.5,125857.0
ICICL,2025-03-17,22.0,22.1,21.5,21.8,112578.0
ICICL,2025-03-16,21.5,23.1,21.5,22.4,542187.0
ICICL,2025-03-13,20.8,21.7,20.8,21.5,114649.0
ICICL,2025-03-12,21.0,21.5,20.9,21.1,64802.0
ICICL,2025-03-11,20.8,21.8,20.8,21.4,48780.0
ICICL,2025-03-10,20.6,21.2,20.6,20.9,17815.0
ICICL,2025-03-09,20.8,20.9,20.5,20.6,65002.0
ICICL,2025-03-06,21.1,21.3,20.9,20.9,94306.0
ICICL,2025-03-05,21.3,21.4,21.0,21.1,31226.0
ICICL,2025-03-04,21.1,21.4,21.1,21.1,32568.0
ICICL,2025-03-03,21.2,21.4,21.2,21.3,62509.0
ICICL,2025-03-02,21.2,21.6,21.2,21.4,38879.0
ICICL,2025-02-27,21.4,21.6,21.2,21.3,77123.0
ICICL,2025-02-26,21.9,21.9,21.4,21.5,37186.0
ICICL,2025-02-25,21.6,22.1,21.6,21.7,169632.0
ICICL,2025-02-24,21.9,22.0,21.3,21.6,118678.0
ICICL,2025-02-23,21.2,21.9,20.8,21.7,171258.0
ICICL,2025-02-20,21.4,21.4,20.8,21.0,33496.0
ICICL,2025-02-19,21.5,21.5,21.0,21.1,71690.0
ICICL,2025-02-18,21.4,21.5,21.2,21.3,51683.0
ICICL,2025-02-17,21.1,21.4,21.1,21.2,68017.0
ICICL,2025-02-16,21.5,21.5,21.0,21.0,104792.0
ICICL,2025-02-13,21.5,21.6,21.1,21.2,89357.0
