Trading_Code,Date,Open,High,Low,Close,Volume
IDLC,2025-04-08,31.0,31.5,30.8,31.0,139590.0
IDLC,2025-04-07,31.2,31.7,31.1,31.3,86557.0
IDLC,2025-04-06,31.4,31.4,30.9,31.1,86906.0
IDLC,2025-03-27,31.9,32.1,31.1,31.4,62190.0
IDLC,2025-03-25,31.0,32.0,30.4,31.7,474771.0
IDLC,2025-03-24,30.0,30.7,29.9,30.4,95264.0
IDLC,2025-03-23,31.2,31.4,30.4,30.5,164902.0
IDLC,2025-03-20,31.0,31.3,30.8,31.2,142677.0
IDLC,2025-03-19,30.9,31.1,30.7,30.8,45140.0
IDLC,2025-03-18,30.7,31.0,30.7,30.9,42396.0
IDLC,2025-03-17,30.9,31.4,30.6,30.7,111135.0
IDLC,2025-03-16,31.3,31.4,30.6,30.9,145673.0
IDLC,2025-03-13,31.2,31.6,31.1,31.3,36251.0
IDLC,2025-03-12,31.0,31.3,31.0,31.1,47576.0
IDLC,2025-03-11,31.0,31.7,30.9,31.0,45195.0
IDLC,2025-03-10,31.3,31.7,30.6,30.7,419376.0
IDLC,2025-03-09,31.3,32.0,31.1,31.2,52656.0
IDLC,2025-03-06,31.4,31.8,31.2,31.3,119458.0
IDLC,2025-03-05,31.5,32.0,31.0,31.1,167493.0
IDLC,2025-03-04,31.9,32.2,31.4,31.5,166116.0
IDLC,2025-03-03,31.9,32.2,31.7,31.9,83300.0
IDLC,2025-03-02,32.2,32.5,31.7,31.8,113552.0
IDLC,2025-02-27,31.6,32.5,31.5,32.2,178075.0
IDLC,2025-02-26,32.0,32.6,31.2,31.5,212033.0
IDLC,2025-02-25,31.9,32.4,31.7,32.0,225552.0
IDLC,2025-02-24,31.4,32.0,31.3,31.8,163237.0
IDLC,2025-02-23,31.2,31.4,31.1,31.3,83612.0
IDLC,2025-02-20,31.8,31.8,31.0,31.1,18357.0
IDLC,2025-02-19,31.8,31.8,31.1,31.2,158332.0
IDLC,2025-02-18,31.5,31.9,31.3,31.3,95032.0
IDLC,2025-02-17,31.6,32.1,31.5,31.7,101869.0
IDLC,2025-02-16,31.4,31.9,31.3,31.5,97181.0
IDLC,2025-02-13,31.5,32.0,31.3,31.3,51584.0
IDLC,2025-02-12,31.6,32.2,31.4,31.5,45509.0
IDLC,2025-02-11,31.3,31.7,31.2,31.5,165770.0
IDLC,2025-02-10,31.3,31.5,31.1,31.2,100855.0
IDLC,2025-02-09,31.8,32.2,31.4,31.5,270420.0
IDLC,2025-02-06,31.5,32.0,31.2,31.7,165519.0
IDLC,2025-02-05,30.9,31.5,30.9,31.4,130001.0
IDLC,2025-02-04,30.9,31.4,30.7,30.9,129326.0
IDLC,2025-02-03,31.4,31.4,30.9,30.9,63986.0
IDLC,2025-02-02,31.2,31.6,30.9,31.0,58469.0
IDLC,2025-01-30,31.8,31.8,31.0,31.2,81588.0
IDLC,2025-01-29,31.3,31.6,31.0,31.0,82580.0
IDLC,2025-01-28,31.4,31.5,31.0,31.2,157367.0
IDLC,2025-01-27,31.3,31.7,31.0,31.3,187480.0
IDLC,2025-01-26,31.2,31.3,30.8,31.2,246691.0
IDLC,2025-01-23,31.2,31.4,30.9,31.1,130203.0
IDLC,2025-01-22,31.3,31.4,31.0,31.1,103027.0
IDLC,2025-01-21,31.3,31.7,31.0,31.2,180949.0
IDLC,2025-01-20,30.6,31.4,30.3,31.2,176345.0
IDLC,2025-01-19,30.4,31.0,30.2,30.6,76487.0
IDLC,2025-01-16,30.5,31.0,30.2,30.4,121061.0
IDLC,2025-01-15,30.6,31.4,30.0,30.5,133190.0
IDLC,2025-01-14,30.6,31.7,30.3,30.6,114426.0
IDLC,2025-01-13,32.5,32.5,30.5,30.6,487876.0
IDLC,2025-01-12,31.8,32.3,31.4,31.5,97974.0
IDLC,2025-01-09,32.2,32.5,31.6,31.7,421670.0
IDLC,2025-01-08,32.8,32.8,32.0,32.0,190903.0
IDLC,2025-01-07,32.5,33.1,32.1,32.2,252670.0
IDLC,2025-01-06,32.5,33.0,32.2,32.5,104066.0
IDLC,2025-01-05,33.2,33.2,32.1,32.5,174333.0
IDLC,2025-01-02,32.7,33.0,32.5,32.6,304260.0
IDLC,2025-01-01,32.7,32.9,32.4,32.7,366945.0
IDLC,2024-12-30,32.4,32.9,32.4,32.7,116801.0
IDLC,2024-12-29,33.1,33.8,32.0,32.2,587361.0
IDLC,2024-12-26,33.0,33.8,32.6,33.1,90854.0
IDLC,2024-12-24,32.4,33.3,32.1,33.0,328936.0
IDLC,2024-12-23,32.6,32.9,32.0,32.2,260125.0
IDLC,2024-12-22,32.4,33.2,32.2,32.8,308280.0
IDLC,2024-12-19,32.3,33.2,32.2,32.2,150986.0
IDLC,2024-12-18,32.8,33.3,32.5,32.6,175021.0
IDLC,2024-12-17,32.5,33.2,32.5,32.7,243402.0
