Trading_Code,Date,Open,High,Low,Close,Volume
IFADAUTOS,2025-04-08,24.2,24.8,23.7,24.6,844328.0
IFADAUTOS,2025-04-07,23.6,24.2,23.6,23.9,146722.0
IFADAUTOS,2025-04-06,23.7,23.7,23.3,23.5,138256.0
IFADAUTOS,2025-03-27,24.1,24.1,23.7,23.8,105328.0
IFADAUTOS,2025-03-25,24.2,24.2,23.7,23.8,115129.0
IFADAUTOS,2025-03-24,23.3,24.2,23.3,23.7,182002.0
IFADAUTOS,2025-03-23,24.3,24.5,23.8,23.9,219479.0
IFADAUTOS,2025-03-20,24.2,24.6,24.0,24.3,374879.0
IFADAUTOS,2025-03-19,23.8,24.1,23.8,24.0,216335.0
IFADAUTOS,2025-03-18,24.1,24.3,23.8,24.0,237655.0
IFADAUTOS,2025-03-17,24.8,24.8,23.9,24.2,264222.0
IFADAUTOS,2025-03-16,23.9,25.0,23.9,24.7,499837.0
IFADAUTOS,2025-03-13,24.0,24.3,23.7,23.8,112346.0
IFADAUTOS,2025-03-12,23.9,24.3,23.7,24.0,284071.0
IFADAUTOS,2025-03-11,23.8,24.0,23.5,23.6,108793.0
IFADAUTOS,2025-03-10,23.5,24.0,23.0,23.8,236790.0
IFADAUTOS,2025-03-09,24.0,24.0,23.2,23.3,146843.0
IFADAUTOS,2025-03-06,24.0,24.1,23.6,23.7,165787.0
IFADAUTOS,2025-03-05,24.2,24.2,23.6,23.7,237497.0
IFADAUTOS,2025-03-04,24.5,24.5,23.8,23.9,261346.0
IFADAUTOS,2025-03-03,24.9,24.9,24.2,24.3,312235.0
IFADAUTOS,2025-03-02,24.8,25.0,24.5,24.7,434390.0
IFADAUTOS,2025-02-27,24.5,25.1,24.5,24.7,295728.0
IFADAUTOS,2025-02-26,24.9,25.3,24.6,24.6,638168.0
IFADAUTOS,2025-02-25,25.6,25.6,24.9,25.0,676768.0
IFADAUTOS,2025-02-24,24.5,25.9,24.4,25.6,1718681.0
IFADAUTOS,2025-02-23,24.2,24.5,23.9,24.2,520053.0
IFADAUTOS,2025-02-20,24.0,24.4,23.8,24.0,425155.0
IFADAUTOS,2025-02-19,24.5,24.5,23.8,24.0,341656.0
IFADAUTOS,2025-02-18,24.5,24.9,24.3,24.4,708962.0
IFADAUTOS,2025-02-17,24.4,24.7,24.1,24.5,482998.0
IFADAUTOS,2025-02-16,24.6,24.8,24.3,24.3,393023.0
IFADAUTOS,2025-02-13,24.7,25.2,24.3,24.5,440210.0
IFADAUTOS,2025-02-12,25.5,25.7,24.6,24.7,780533.0
IFADAUTOS,2025-02-11,24.3,25.8,24.3,25.5,1499048.0
IFADAUTOS,2025-02-10,24.7,24.8,24.2,24.3,604993.0
IFADAUTOS,2025-02-09,24.6,25.1,24.2,24.4,714763.0
IFADAUTOS,2025-02-06,25.3,25.8,24.1,24.4,1092229.0
IFADAUTOS,2025-02-05,25.9,27.3,25.0,25.3,1841884.0
IFADAUTOS,2025-02-04,25.4,26.2,24.3,25.9,1754169.0
IFADAUTOS,2025-02-03,24.0,24.9,23.1,24.9,3088446.0
IFADAUTOS,2025-02-02,22.7,22.7,22.7,22.7,1107222.0
IFADAUTOS,2025-01-30,21.0,21.1,20.6,20.7,75202.0
IFADAUTOS,2025-01-29,21.2,21.2,20.8,21.0,164096.0
IFADAUTOS,2025-01-28,21.4,21.6,21.2,21.3,137127.0
IFADAUTOS,2025-01-27,21.4,21.5,21.0,21.3,183765.0
IFADAUTOS,2025-01-26,21.4,21.4,20.9,21.1,185011.0
IFADAUTOS,2025-01-23,21.7,21.9,20.9,21.0,284288.0
IFADAUTOS,2025-01-22,22.3,22.6,21.4,21.8,588724.0
IFADAUTOS,2025-01-21,20.4,22.3,20.4,22.3,2129104.0
IFADAUTOS,2025-01-20,19.8,20.6,19.8,20.3,332362.0
IFADAUTOS,2025-01-19,19.8,20.1,19.7,19.9,89567.0
IFADAUTOS,2025-01-16,19.9,20.2,19.6,19.9,55635.0
IFADAUTOS,2025-01-15,20.1,20.3,19.9,19.9,186319.0
