Trading_Code,Date,Open,High,Low,Close,Volume
IFIC,2025-04-08,7.1,7.2,7.0,7.0,3203940.0
IFIC,2025-04-07,7.0,7.2,7.0,7.1,2918805.0
IFIC,2025-04-06,7.0,7.2,6.9,7.0,4664797.0
IFIC,2025-03-27,7.1,7.2,7.0,7.1,1868553.0
IFIC,2025-03-25,7.1,7.2,7.1,7.1,1430583.0
IFIC,2025-03-24,7.1,7.2,7.0,7.1,2173649.0
IFIC,2025-03-23,7.1,7.2,7.0,7.1,3425061.0
IFIC,2025-03-20,7.2,7.3,7.0,7.1,5683835.0
IFIC,2025-03-19,7.4,7.4,7.1,7.2,4413191.0
IFIC,2025-03-18,7.1,7.6,7.1,7.3,8336513.0
IFIC,2025-03-17,7.2,7.2,7.1,7.1,2818935.0
IFIC,2025-03-16,7.2,7.3,7.1,7.1,3311095.0
IFIC,2025-03-13,7.2,7.3,7.1,7.2,2937911.0
IFIC,2025-03-12,7.2,7.3,7.1,7.1,2461856.0
IFIC,2025-03-11,7.3,7.3,7.1,7.2,2940406.0
IFIC,2025-03-10,7.3,7.4,7.1,7.2,3414485.0
IFIC,2025-03-09,6.7,7.6,6.7,7.3,4581852.0
IFIC,2025-03-06,7.2,7.6,7.2,7.4,8801989.0
IFIC,2025-03-05,7.1,7.3,7.0,7.2,7327830.0
IFIC,2025-03-04,7.3,7.3,7.0,7.0,7101777.0
IFIC,2025-03-03,7.3,7.5,7.1,7.2,6127964.0
IFIC,2025-03-02,7.6,7.6,7.2,7.3,6295532.0
IFIC,2025-02-27,7.6,7.8,7.4,7.6,10943431.0
IFIC,2025-02-26,8.0,8.0,7.3,7.7,19035697.0
IFIC,2025-02-25,6.7,7.3,6.7,7.3,10705534.0
IFIC,2025-02-24,6.7,6.8,6.7,6.7,1729789.0
IFIC,2025-02-23,6.8,6.8,6.7,6.7,986131.0
IFIC,2025-02-20,6.8,6.9,6.7,6.7,2905532.0
IFIC,2025-02-19,6.8,6.9,6.7,6.8,1251245.0
IFIC,2025-02-18,6.8,6.9,6.8,6.8,1490411.0
IFIC,2025-02-17,6.8,6.9,6.8,6.8,1177031.0
IFIC,2025-02-16,6.9,6.9,6.8,6.8,1348380.0
IFIC,2025-02-13,6.9,7.0,6.8,6.8,1915242.0
IFIC,2025-02-12,6.9,7.0,6.8,6.9,1722514.0
IFIC,2025-02-11,6.9,7.0,6.8,6.9,2487380.0
IFIC,2025-02-10,6.9,7.0,6.8,6.9,2210556.0
IFIC,2025-02-09,7.0,7.0,6.9,6.9,1320132.0
IFIC,2025-02-06,7.0,7.1,6.9,6.9,1691025.0
IFIC,2025-02-05,6.9,7.1,6.9,7.0,3270244.0
IFIC,2025-02-04,7.0,7.0,6.8,6.9,956084.0
IFIC,2025-02-03,6.8,7.1,6.8,6.9,3089375.0
IFIC,2025-02-02,6.9,6.9,6.8,6.8,1006635.0
IFIC,2025-01-30,6.7,6.9,6.7,6.8,2044030.0
IFIC,2025-01-29,6.8,6.8,6.7,6.7,758609.0
IFIC,2025-01-28,6.7,6.8,6.7,6.8,1287603.0
IFIC,2025-01-27,6.8,6.9,6.7,6.8,1128024.0
IFIC,2025-01-26,6.8,6.9,6.7,6.8,1512988.0
IFIC,2025-01-23,6.9,6.9,6.8,6.8,884948.0
IFIC,2025-01-22,7.0,7.0,6.8,6.8,1190380.0
IFIC,2025-01-21,6.9,7.0,6.8,6.9,1628702.0
IFIC,2025-01-20,6.8,6.9,6.8,6.9,978987.0
IFIC,2025-01-19,6.8,6.9,6.7,6.8,1410312.0
IFIC,2025-01-16,6.9,6.9,6.8,6.8,809516.0
IFIC,2025-01-15,7.0,7.0,6.8,6.8,2925605.0
IFIC,2025-01-14,7.0,7.1,6.9,6.9,3628431.0
IFIC,2025-01-13,7.1,7.2,7.0,7.0,2235395.0
IFIC,2025-01-12,7.2,7.2,7.1,7.1,2042378.0
IFIC,2025-01-09,7.2,7.2,7.1,7.2,721968.0
IFIC,2025-01-08,7.2,7.3,7.1,7.2,607631.0
IFIC,2025-01-07,7.2,7.3,7.2,7.2,2027446.0
IFIC,2025-01-06,7.2,7.3,7.1,7.2,1177682.0
IFIC,2025-01-05,7.3,7.3,7.2,7.2,1322179.0
IFIC,2025-01-02,7.1,7.4,7.1,7.3,4406032.0
IFIC,2025-01-01,7.1,7.2,7.1,7.1,1081627.0
IFIC,2024-12-30,7.1,7.2,7.1,7.2,1371051.0
IFIC,2024-12-29,7.1,7.2,7.0,7.1,1574401.0
IFIC,2024-12-26,7.0,7.1,7.0,7.1,1178236.0
IFIC,2024-12-24,7.1,7.1,7.0,7.0,1388309.0
IFIC,2024-12-23,7.0,7.1,7.0,7.1,1216296.0
IFIC,2024-12-22,7.1,7.1,7.0,7.0,1659808.0
IFIC,2024-12-19,7.1,7.2,7.0,7.1,1264710.0
IFIC,2024-12-18,7.1,7.2,7.0,7.1,2003942.0
IFIC,2024-12-17,7.2,7.2,7.1,7.1,2717649.0
IFIC,2024-12-15,7.1,7.2,7.0,7.2,1312897.0
IFIC,2024-12-12,7.1,7.2,7.0,7.0,2367700.0
IFIC,2024-12-11,7.2,7.3,7.1,7.1,1918634.0
IFIC,2024-12-10,7.3,7.3,7.2,7.2,1428033.0
IFIC,2024-12-09,7.3,7.4,7.2,7.2,1871317.0
IFIC,2024-12-08,7.4,7.4,7.3,7.3,1806097.0
IFIC,2024-12-05,7.4,7.5,7.4,7.4,2095119.0
IFIC,2024-12-04,7.5,7.6,7.4,7.5,2740497.0
IFIC,2024-12-03,7.4,7.5,7.3,7.5,3035119.0
IFIC,2024-12-02,7.4,7.6,7.3,7.4,3285213.0
IFIC,2024-12-01,7.4,7.5,7.3,7.4,1767654.0
IFIC,2024-11-28,7.6,7.6,7.4,7.4,2036868.0
