Trading_Code,Date,Open,High,Low,Close,Volume
IFIC1STMF,2025-04-08,3.8,4.0,3.8,4.0,8143786.0
IFIC1STMF,2025-04-07,3.9,4.0,3.6,3.7,2524902.0
IFIC1STMF,2025-04-06,3.4,3.7,3.4,3.7,6368035.0
IFIC1STMF,2025-03-27,3.3,3.5,3.2,3.4,1074364.0
IFIC1STMF,2025-03-25,3.3,3.3,3.2,3.3,226868.0
IFIC1STMF,2025-03-24,3.3,3.4,3.2,3.3,436347.0
IFIC1STMF,2025-03-23,3.3,3.3,3.2,3.3,716401.0
IFIC1STMF,2025-03-20,3.3,3.4,3.2,3.3,894015.0
IFIC1STMF,2025-03-19,3.3,3.4,3.2,3.3,1649269.0
IFIC1STMF,2025-03-18,3.0,3.3,3.0,3.2,900002.0
IFIC1STMF,2025-03-17,3.0,3.2,3.0,3.0,171023.0
IFIC1STMF,2025-03-16,3.1,3.2,3.0,3.1,77081.0
IFIC1STMF,2025-03-13,3.2,3.2,3.1,3.1,60691.0
IFIC1STMF,2025-03-12,3.1,3.2,3.0,3.1,161800.0
IFIC1STMF,2025-03-11,3.0,3.1,3.0,3.0,1966.0
IFIC1STMF,2025-03-10,3.1,3.2,3.0,3.1,41560.0
IFIC1STMF,2025-03-09,3.1,3.1,3.0,3.1,23656.0
IFIC1STMF,2025-03-06,3.2,3.2,3.1,3.1,61004.0
IFIC1STMF,2025-03-05,3.2,3.2,3.1,3.1,593237.0
IFIC1STMF,2025-03-04,3.2,3.2,3.0,3.1,54211.0
IFIC1STMF,2025-03-03,3.1,3.2,3.1,3.1,311652.0
IFIC1STMF,2025-03-02,3.2,3.2,3.1,3.1,65451.0
IFIC1STMF,2025-02-27,3.2,3.2,3.1,3.1,59500.0
IFIC1STMF,2025-02-26,3.2,3.2,3.1,3.2,59445.0
IFIC1STMF,2025-02-25,3.1,3.2,3.1,3.1,153649.0
IFIC1STMF,2025-02-24,3.2,3.2,3.1,3.1,116123.0
IFIC1STMF,2025-02-23,3.1,3.2,3.0,3.2,443661.0
IFIC1STMF,2025-02-20,3.0,3.2,3.0,3.0,415885.0
IFIC1STMF,2025-02-19,3.1,3.2,3.0,3.1,357117.0
IFIC1STMF,2025-02-18,3.1,3.2,3.0,3.2,692975.0
IFIC1STMF,2025-02-17,3.0,3.1,3.0,3.1,147881.0
IFIC1STMF,2025-02-16,3.1,3.1,3.0,3.0,80509.0
IFIC1STMF,2025-02-13,3.0,3.1,3.0,3.0,70514.0
IFIC1STMF,2025-02-12,3.1,3.2,3.1,3.1,239076.0
IFIC1STMF,2025-02-11,3.0,3.1,3.0,3.1,126510.0
IFIC1STMF,2025-02-10,3.1,3.1,3.0,3.0,29450.0
IFIC1STMF,2025-02-09,3.0,3.1,3.0,3.0,162827.0
IFIC1STMF,2025-02-06,3.1,3.1,3.0,3.1,47172.0
IFIC1STMF,2025-02-05,3.0,3.1,3.0,3.1,263491.0
IFIC1STMF,2025-02-04,3.1,3.1,3.0,3.0,67340.0
IFIC1STMF,2025-02-03,3.1,3.1,3.0,3.0,416757.0
IFIC1STMF,2025-02-02,2.9,3.1,2.9,3.0,104356.0
IFIC1STMF,2025-01-30,3.0,3.0,3.0,3.0,70392.0
IFIC1STMF,2025-01-29,3.1,3.1,2.9,3.0,142703.0
IFIC1STMF,2025-01-28,3.0,3.1,3.0,3.0,270789.0
IFIC1STMF,2025-01-27,2.9,3.1,2.9,3.0,124872.0
IFIC1STMF,2025-01-26,3.1,3.1,2.9,3.0,189533.0
IFIC1STMF,2025-01-23,3.1,3.1,3.0,3.0,725637.0
IFIC1STMF,2025-01-22,3.2,3.2,3.1,3.1,39814.0
IFIC1STMF,2025-01-21,3.2,3.2,3.1,3.2,132487.0
IFIC1STMF,2025-01-20,3.1,3.2,3.1,3.1,196810.0
IFIC1STMF,2025-01-19,3.1,3.2,3.0,3.1,59800.0
IFIC1STMF,2025-01-16,3.1,3.2,3.0,3.1,92598.0
IFIC1STMF,2025-01-15,3.2,3.2,3.1,3.1,102358.0
IFIC1STMF,2025-01-14,3.3,3.3,3.1,3.2,17875.0
IFIC1STMF,2025-01-13,3.2,3.3,3.2,3.2,104660.0
IFIC1STMF,2025-01-12,3.3,3.3,3.2,3.2,914.0
IFIC1STMF,2025-01-09,3.3,3.3,3.2,3.3,13420.0
IFIC1STMF,2025-01-08,3.3,3.3,3.2,3.2,252943.0
IFIC1STMF,2025-01-07,3.4,3.4,3.2,3.2,107578.0
IFIC1STMF,2025-01-06,3.2,3.3,3.2,3.3,61081.0
IFIC1STMF,2025-01-05,3.2,3.3,3.2,3.3,115779.0
IFIC1STMF,2025-01-02,3.3,3.4,3.3,3.3,60157.0
IFIC1STMF,2025-01-01,3.3,3.4,3.2,3.3,31021.0
IFIC1STMF,2024-12-30,3.3,3.4,3.2,3.3,44686.0
IFIC1STMF,2024-12-29,3.3,3.4,3.2,3.3,196183.0
IFIC1STMF,2024-12-26,3.2,3.3,3.2,3.2,31030.0
IFIC1STMF,2024-12-24,3.3,3.3,3.2,3.2,125766.0
IFIC1STMF,2024-12-23,3.2,3.3,3.2,3.2,283932.0
IFIC1STMF,2024-12-22,3.3,3.4,3.2,3.3,334102.0
IFIC1STMF,2024-12-19,3.4,3.4,3.3,3.4,56729.0
IFIC1STMF,2024-12-18,3.3,3.4,3.3,3.4,2000.0
IFIC1STMF,2024-12-17,3.3,3.4,3.3,3.3,63969.0
IFIC1STMF,2024-12-15,3.3,3.4,3.3,3.3,113826.0
IFIC1STMF,2024-12-12,3.3,3.4,3.3,3.3,775.0
IFIC1STMF,2024-12-11,3.4,3.4,3.3,3.3,38514.0
IFIC1STMF,2024-12-10,3.4,3.4,3.4,3.4,246267.0
IFIC1STMF,2024-12-09,3.4,3.5,3.4,3.4,73793.0
IFIC1STMF,2024-12-08,3.4,3.4,3.4,3.4,262050.0
IFIC1STMF,2024-12-05,3.5,3.5,3.4,3.4,363583.0
IFIC1STMF,2024-12-04,3.4,3.6,3.4,3.6,870435.0
IFIC1STMF,2024-12-03,3.3,3.5,3.3,3.4,43074.0
IFIC1STMF,2024-12-02,3.4,3.5,3.4,3.4,124618.0
IFIC1STMF,2024-12-01,3.4,3.5,3.3,3.3,131800.0
IFIC1STMF,2024-11-28,3.5,3.5,3.4,3.4,1041.0
IFIC1STMF,2024-11-27,3.4,3.5,3.3,3.4,176976.0
IFIC1STMF,2024-11-26,3.5,3.5,3.3,3.4,155677.0
IFIC1STMF,2024-11-25,3.4,3.5,3.4,3.4,136260.0
IFIC1STMF,2024-11-24,3.4,3.5,3.3,3.4,36109.0
IFIC1STMF,2024-11-21,3.4,3.5,3.3,3.4,450719.0
IFIC1STMF,2024-11-20,3.4,3.5,3.3,3.4,242520.0
IFIC1STMF,2024-11-19,3.4,3.5,3.3,3.4,136359.0
IFIC1STMF,2024-11-18,3.6,3.6,3.4,3.4,547110.0
IFIC1STMF,2024-11-17,3.4,3.6,3.4,3.5,99018.0
IFIC1STMF,2024-11-14,3.6,3.6,3.4,3.4,357559.0
IFIC1STMF,2024-11-13,3.5,3.6,3.4,3.5,230026.0
IFIC1STMF,2024-11-12,3.5,3.5,3.4,3.5,785958.0
IFIC1STMF,2024-11-11,3.5,3.6,3.4,3.5,373532.0
IFIC1STMF,2024-11-10,3.6,3.6,3.4,3.6,801793.0
IFIC1STMF,2024-11-07,3.6,3.7,3.5,3.6,324610.0
IFIC1STMF,2024-11-06,3.6,3.8,3.5,3.6,816388.0
