Trading_Code,Date,Open,High,Low,Close,Volume
IMAMBUTTON,2024-03-24,170.0,170.7,162.8,164.2,12421.0
IMAMBUTTON,2024-03-21,174.2,174.2,165.0,167.8,21677.0
IMAMBUTTON,2024-03-20,181.9,181.9,166.4,168.1,9604.0
IMAMBUTTON,2024-03-19,174.0,174.0,166.2,170.3,7088.0
IMAMBUTTON,2024-03-18,172.8,172.8,162.1,170.3,5705.0
IMAMBUTTON,2024-03-14,178.0,178.0,171.6,172.8,7163.0
IMAMBUTTON,2024-03-13,180.0,180.0,175.0,175.5,5024.0
IMAMBUTTON,2024-03-12,172.3,182.6,170.1,171.8,16872.0
IMAMBUTTON,2024-03-11,180.0,187.0,177.3,178.9,17099.0
IMAMBUTTON,2024-03-10,181.0,188.0,180.2,182.4,6216.0
IMAMBUTTON,2024-03-07,190.8,190.8,182.0,182.9,9423.0
IMAMBUTTON,2024-03-06,194.4,194.4,181.1,183.4,26439.0
IMAMBUTTON,2024-03-05,185.0,195.0,185.0,189.0,25041.0
IMAMBUTTON,2024-03-04,190.0,192.9,185.6,187.7,19318.0
IMAMBUTTON,2024-03-03,190.6,195.7,186.9,187.4,68434.0
IMAMBUTTON,2024-02-29,195.6,200.9,189.2,190.6,17987.0
IMAMBUTTON,2024-02-28,195.1,204.5,194.8,195.5,16619.0
IMAMBUTTON,2024-02-27,189.3,197.8,189.0,194.9,28762.0
IMAMBUTTON,2024-02-25,196.6,196.6,185.0,187.9,19762.0
IMAMBUTTON,2024-02-22,201.9,201.9,191.0,191.5,61594.0
IMAMBUTTON,2024-02-20,0.0,0.0,0.0,195.4,0.0
IMAMBUTTON,2024-02-19,196.0,204.8,193.6,195.4,37379.0
IMAMBUTTON,2024-02-18,194.0,199.0,191.6,195.9,49326.0
IMAMBUTTON,2024-02-15,199.8,199.9,192.0,194.0,30524.0
IMAMBUTTON,2024-02-14,191.0,198.0,190.1,195.5,29791.0
IMAMBUTTON,2024-02-13,182.5,195.0,182.5,189.8,54923.0
IMAMBUTTON,2024-02-12,180.7,186.0,180.7,181.9,26732.0
IMAMBUTTON,2024-02-11,195.9,195.9,178.0,180.6,24706.0
IMAMBUTTON,2024-02-08,178.2,184.5,177.5,178.5,25544.0
IMAMBUTTON,2024-02-07,173.5,183.2,173.2,178.1,20048.0
IMAMBUTTON,2024-02-06,179.7,179.7,172.0,173.3,23473.0
IMAMBUTTON,2024-02-05,171.1,179.8,167.0,169.0,27993.0
IMAMBUTTON,2024-02-04,175.0,187.8,168.0,173.3,39898.0
IMAMBUTTON,2024-02-01,198.6,198.6,176.0,178.2,48651.0
IMAMBUTTON,2024-01-31,196.9,196.9,180.0,183.5,28340.0
IMAMBUTTON,2024-01-30,215.0,217.9,194.1,196.9,75445.0
