Trading_Code,Date,Open,High,Low,Close,Volume
INDEXAGRO,2025-04-08,65.9,66.7,64.3,64.8,65278.0
INDEXAGRO,2025-04-07,66.3,67.2,65.7,65.9,44094.0
INDEXAGRO,2025-04-06,66.2,66.8,66.0,66.5,5960.0
INDEXAGRO,2025-03-27,66.2,66.9,66.0,66.5,5697.0
INDEXAGRO,2025-03-25,67.7,67.7,66.1,66.3,5572.0
INDEXAGRO,2025-03-24,67.8,67.8,66.1,66.1,97557.0
INDEXAGRO,2025-03-23,66.4,66.7,66.2,66.3,14715.0
INDEXAGRO,2025-03-20,66.4,67.1,66.2,66.3,23516.0
INDEXAGRO,2025-03-19,66.6,67.5,66.6,66.7,1888.0
INDEXAGRO,2025-03-18,68.6,68.6,66.0,66.9,26228.0
INDEXAGRO,2025-03-17,66.9,67.0,66.0,66.3,14076.0
INDEXAGRO,2025-03-16,68.9,68.9,66.3,66.4,18035.0
INDEXAGRO,2025-03-13,67.1,67.6,66.7,67.0,5050.0
INDEXAGRO,2025-03-12,67.1,67.9,66.6,67.1,20120.0
INDEXAGRO,2025-03-11,68.3,68.3,66.8,66.9,8365.0
INDEXAGRO,2025-03-10,67.2,67.2,66.4,66.9,20206.0
INDEXAGRO,2025-03-09,68.6,68.6,66.8,66.9,10187.0
INDEXAGRO,2025-03-06,68.0,68.0,67.0,67.2,42295.0
INDEXAGRO,2025-03-05,67.7,68.5,66.9,67.2,41473.0
INDEXAGRO,2025-03-04,68.3,68.3,67.4,67.8,27949.0
INDEXAGRO,2025-03-03,68.5,70.5,68.5,68.7,38967.0
INDEXAGRO,2025-03-02,67.9,71.1,67.3,70.1,78085.0
INDEXAGRO,2025-02-27,66.5,67.4,66.4,66.9,37078.0
INDEXAGRO,2025-02-26,67.6,68.0,66.8,66.9,23226.0
INDEXAGRO,2025-02-25,68.8,68.8,67.2,67.3,20813.0
INDEXAGRO,2025-02-24,68.0,68.0,67.6,67.6,22908.0
INDEXAGRO,2025-02-23,67.5,68.6,67.5,67.7,4557.0
INDEXAGRO,2025-02-20,67.2,68.0,67.2,67.9,11390.0
INDEXAGRO,2025-02-19,67.5,68.1,67.3,67.7,5394.0
INDEXAGRO,2025-02-18,67.8,68.9,67.6,67.8,14522.0
INDEXAGRO,2025-02-17,68.6,68.6,68.0,68.2,18501.0
INDEXAGRO,2025-02-16,70.0,70.0,68.5,68.8,10686.0
INDEXAGRO,2025-02-13,69.1,69.7,68.9,68.9,21418.0
INDEXAGRO,2025-02-12,69.6,69.6,69.0,69.1,25852.0
INDEXAGRO,2025-02-11,69.0,70.5,68.5,69.3,62705.0
INDEXAGRO,2025-02-10,66.5,68.5,66.5,68.5,34952.0
INDEXAGRO,2025-02-09,68.1,68.9,68.1,68.2,17270.0
INDEXAGRO,2025-02-06,67.6,68.7,67.5,68.4,21469.0
INDEXAGRO,2025-02-05,68.4,68.7,68.0,68.1,25314.0
INDEXAGRO,2025-02-04,71.4,71.4,67.9,68.1,61177.0
INDEXAGRO,2025-02-03,67.9,68.6,67.6,68.1,14759.0
INDEXAGRO,2025-02-02,66.8,68.8,66.8,67.0,25224.0
INDEXAGRO,2025-01-30,68.1,68.2,67.0,67.1,36944.0
INDEXAGRO,2025-01-29,68.3,68.8,67.5,68.6,33005.0
INDEXAGRO,2025-01-28,69.0,69.6,66.9,67.0,78360.0
INDEXAGRO,2025-01-27,67.5,68.4,66.7,66.9,56276.0
INDEXAGRO,2025-01-26,69.5,69.5,67.3,67.4,24721.0
INDEXAGRO,2025-01-23,70.4,71.3,68.2,68.4,41545.0
INDEXAGRO,2025-01-22,70.0,72.7,69.5,70.2,117203.0
INDEXAGRO,2025-01-21,68.3,70.7,67.3,69.9,124069.0
INDEXAGRO,2025-01-20,67.2,67.8,66.8,67.5,99548.0
INDEXAGRO,2025-01-19,67.2,68.5,66.3,66.9,60360.0
INDEXAGRO,2025-01-16,66.9,67.3,66.2,66.8,55431.0
INDEXAGRO,2025-01-15,68.7,68.7,67.3,67.5,14889.0
INDEXAGRO,2025-01-14,68.3,69.0,67.6,67.8,18661.0
INDEXAGRO,2025-01-13,67.1,69.0,67.1,68.3,28174.0
INDEXAGRO,2025-01-12,66.9,68.0,66.5,66.9,13398.0
INDEXAGRO,2025-01-09,66.5,66.9,66.3,66.3,5911.0
INDEXAGRO,2025-01-08,68.0,68.0,66.2,66.3,6332.0
INDEXAGRO,2025-01-07,68.0,68.0,66.2,66.4,11326.0
INDEXAGRO,2025-01-06,64.6,67.6,64.6,66.1,4260.0
INDEXAGRO,2025-01-05,65.8,68.6,65.8,66.0,19729.0
INDEXAGRO,2025-01-02,66.8,67.6,66.2,66.3,8471.0
INDEXAGRO,2025-01-01,66.1,67.5,66.1,66.5,6312.0
INDEXAGRO,2024-12-30,67.0,67.9,66.3,66.4,21529.0
INDEXAGRO,2024-12-29,67.5,67.8,66.0,66.3,17298.0
INDEXAGRO,2024-12-26,67.5,69.0,67.4,67.4,14905.0
INDEXAGRO,2024-12-24,69.1,69.2,67.3,67.3,15613.0
INDEXAGRO,2024-12-23,69.5,69.5,65.1,67.6,30169.0
INDEXAGRO,2024-12-22,70.0,70.0,66.5,67.4,27499.0
INDEXAGRO,2024-12-19,69.9,70.0,65.2,69.4,50702.0
INDEXAGRO,2024-12-18,69.1,69.1,63.1,64.2,21296.0
INDEXAGRO,2024-12-17,69.0,70.0,68.4,69.1,9584.0
INDEXAGRO,2024-12-15,70.8,70.8,67.6,67.7,14924.0
INDEXAGRO,2024-12-12,67.7,68.9,67.3,67.7,31173.0
INDEXAGRO,2024-12-11,71.3,71.3,67.5,67.7,48774.0
INDEXAGRO,2024-12-10,72.8,72.8,65.1,68.6,57117.0
INDEXAGRO,2024-12-09,71.0,73.5,70.5,70.9,95869.0
INDEXAGRO,2024-12-08,67.3,71.8,67.3,70.7,174664.0
INDEXAGRO,2024-12-05,67.7,69.8,67.4,67.7,83663.0
INDEXAGRO,2024-12-04,69.2,69.4,66.2,67.7,71920.0
INDEXAGRO,2024-12-03,67.8,69.9,67.3,68.7,87605.0
INDEXAGRO,2024-12-02,62.5,68.2,62.5,67.2,59839.0
INDEXAGRO,2024-12-01,64.5,64.9,62.4,63.9,10819.0
INDEXAGRO,2024-11-28,62.1,65.2,61.2,64.5,56620.0
