Trading_Code,Date,Open,High,Low,Close,Volume
IPDC,2025-04-08,17.2,17.3,17.0,17.2,665216.0
IPDC,2025-04-07,17.0,17.3,16.9,17.0,1227112.0
IPDC,2025-04-06,16.9,17.1,16.6,16.9,553698.0
IPDC,2025-03-27,18.0,18.3,16.9,17.0,1451929.0
IPDC,2025-03-25,17.1,18.2,17.1,17.8,1503989.0
IPDC,2025-03-24,17.3,17.3,16.8,16.9,717707.0
IPDC,2025-03-23,17.5,17.5,17.1,17.2,246486.0
IPDC,2025-03-20,17.3,17.6,17.3,17.3,322483.0
IPDC,2025-03-19,17.4,17.4,17.1,17.2,151884.0
IPDC,2025-03-18,17.2,17.5,17.1,17.2,182334.0
IPDC,2025-03-17,17.5,17.5,17.1,17.1,566641.0
IPDC,2025-03-16,17.6,17.8,17.3,17.4,282317.0
IPDC,2025-03-13,17.7,17.7,17.5,17.6,171527.0
IPDC,2025-03-12,17.7,17.8,17.4,17.5,463407.0
IPDC,2025-03-11,17.7,17.9,17.5,17.7,163015.0
IPDC,2025-03-10,17.9,17.9,17.6,17.7,319313.0
IPDC,2025-03-09,18.0,18.0,17.7,17.8,150532.0
IPDC,2025-03-06,18.0,18.4,17.9,18.0,586324.0
IPDC,2025-03-05,18.0,18.0,17.7,17.8,171308.0
IPDC,2025-03-04,17.9,18.0,17.7,17.8,281453.0
IPDC,2025-03-03,18.3,18.3,17.8,17.9,362566.0
IPDC,2025-03-02,18.3,18.6,18.1,18.2,544462.0
IPDC,2025-02-27,17.7,18.3,17.7,18.1,734399.0
IPDC,2025-02-26,18.2,18.3,17.7,17.8,457763.0
IPDC,2025-02-25,18.4,18.6,18.0,18.3,622235.0
IPDC,2025-02-24,17.9,18.6,17.6,18.3,764232.0
IPDC,2025-02-23,17.8,17.8,17.6,17.8,144116.0
IPDC,2025-02-20,17.5,17.8,17.5,17.6,167603.0
IPDC,2025-02-19,17.9,17.9,17.5,17.6,174082.0
IPDC,2025-02-18,18.1,18.1,17.7,17.8,321985.0
IPDC,2025-02-17,18.0,18.1,17.8,17.9,416726.0
IPDC,2025-02-16,17.9,17.9,17.7,17.8,164826.0
IPDC,2025-02-13,17.8,17.8,17.6,17.7,235428.0
IPDC,2025-02-12,17.8,18.0,17.6,17.7,477176.0
IPDC,2025-02-11,17.6,18.0,17.6,17.8,404414.0
IPDC,2025-02-10,18.0,18.0,17.6,17.8,344134.0
IPDC,2025-02-09,17.9,18.5,17.8,18.0,1047397.0
IPDC,2025-02-06,17.6,18.0,17.5,17.9,770742.0
IPDC,2025-02-05,17.1,17.7,17.1,17.4,814204.0
IPDC,2025-02-04,17.2,17.3,17.0,17.1,334008.0
IPDC,2025-02-03,17.0,17.2,17.0,17.1,176852.0
IPDC,2025-02-02,17.1,17.2,16.9,16.9,350574.0
IPDC,2025-01-30,17.2,17.2,17.0,17.1,125368.0
IPDC,2025-01-29,17.2,17.3,17.0,17.1,292070.0
IPDC,2025-01-28,17.2,17.3,17.1,17.3,205059.0
IPDC,2025-01-27,17.1,17.2,17.0,17.1,230575.0
IPDC,2025-01-26,17.1,17.2,17.0,17.1,170100.0
IPDC,2025-01-23,17.2,17.3,17.1,17.1,214204.0
IPDC,2025-01-22,17.4,17.4,17.1,17.2,228510.0
IPDC,2025-01-21,17.6,17.7,17.2,17.4,458660.0
IPDC,2025-01-20,17.1,17.5,17.1,17.4,250298.0
IPDC,2025-01-19,17.3,17.3,16.9,17.1,279495.0
