Trading_Code,Date,Open,High,Low,Close,Volume
ISLAMIINS,2025-04-08,37.9,37.9,36.4,36.9,6451.0
ISLAMIINS,2025-04-07,36.0,38.0,35.6,36.5,11949.0
ISLAMIINS,2025-04-06,34.3,36.9,34.3,36.7,10542.0
ISLAMIINS,2025-03-27,37.0,38.2,37.0,37.7,2372.0
ISLAMIINS,2025-03-25,37.4,37.4,36.0,37.0,1320.0
ISLAMIINS,2025-03-24,36.8,37.5,36.1,36.5,9562.0
ISLAMIINS,2025-03-23,37.6,38.1,36.7,37.2,23082.0
ISLAMIINS,2025-03-20,37.5,38.6,37.3,37.6,2220.0
ISLAMIINS,2025-03-19,38.2,38.2,37.2,37.5,3927.0
ISLAMIINS,2025-03-18,38.4,38.4,37.5,37.5,10728.0
ISLAMIINS,2025-03-17,38.5,39.0,37.2,37.9,11652.0
ISLAMIINS,2025-03-16,38.7,39.1,38.1,38.5,54031.0
ISLAMIINS,2025-03-13,38.3,38.3,37.2,37.6,17535.0
ISLAMIINS,2025-03-12,37.7,37.7,37.2,37.2,5683.0
ISLAMIINS,2025-03-11,40.0,40.0,36.5,36.8,22731.0
ISLAMIINS,2025-03-10,40.0,40.0,36.6,36.9,4008.0
ISLAMIINS,2025-03-09,38.0,38.0,36.9,37.4,2667.0
ISLAMIINS,2025-03-06,38.2,38.2,37.7,38.0,5697.0
ISLAMIINS,2025-03-05,38.9,38.9,38.1,38.2,1302.0
ISLAMIINS,2025-03-04,37.9,38.7,37.8,38.0,6975.0
ISLAMIINS,2025-03-03,38.0,38.2,37.9,37.9,18514.0
ISLAMIINS,2025-03-02,38.4,38.4,38.2,38.3,420.0
ISLAMIINS,2025-02-27,39.3,39.3,38.2,38.2,7357.0
ISLAMIINS,2025-02-26,39.3,39.3,38.6,38.8,10479.0
ISLAMIINS,2025-02-25,38.3,39.8,38.3,39.4,13670.0
ISLAMIINS,2025-02-24,39.8,39.8,38.4,38.5,16584.0
ISLAMIINS,2025-02-23,38.6,39.4,38.6,39.0,4480.0
ISLAMIINS,2025-02-20,39.9,39.9,38.9,39.0,3224.0
ISLAMIINS,2025-02-19,39.7,39.7,38.9,39.1,448.0
ISLAMIINS,2025-02-18,38.3,40.1,37.6,39.6,12381.0
ISLAMIINS,2025-02-17,42.6,42.6,37.6,38.3,1968.0
ISLAMIINS,2025-02-16,40.5,40.5,38.5,38.9,9619.0
ISLAMIINS,2025-02-13,40.0,40.0,39.2,39.3,3614.0
ISLAMIINS,2025-02-12,40.0,40.0,39.2,39.4,5363.0
ISLAMIINS,2025-02-11,39.1,39.9,39.0,39.4,4072.0
ISLAMIINS,2025-02-10,39.5,39.5,39.0,39.0,13067.0
ISLAMIINS,2025-02-09,39.6,39.9,39.5,39.5,13946.0
ISLAMIINS,2025-02-06,39.5,40.2,39.4,39.5,10950.0
ISLAMIINS,2025-02-05,40.5,40.5,39.3,39.4,12563.0
ISLAMIINS,2025-02-04,40.7,40.7,39.3,39.7,1258.0
ISLAMIINS,2025-02-03,41.4,41.4,39.5,39.6,10245.0
ISLAMIINS,2025-02-02,39.9,40.4,39.3,39.6,7492.0
ISLAMIINS,2025-01-30,39.8,41.0,39.8,39.9,3449.0
ISLAMIINS,2025-01-29,41.5,41.5,40.1,40.4,2205.0
ISLAMIINS,2025-01-28,41.5,41.8,39.8,39.8,42752.0
ISLAMIINS,2025-01-27,40.5,41.3,40.5,40.8,3307.0
ISLAMIINS,2025-01-26,41.2,41.8,41.1,41.3,2898.0
ISLAMIINS,2025-01-23,42.0,42.0,41.0,41.3,8265.0
ISLAMIINS,2025-01-22,41.4,42.5,41.4,42.3,10307.0
ISLAMIINS,2025-01-21,42.7,42.8,41.1,41.4,23285.0
ISLAMIINS,2025-01-20,41.5,43.0,41.5,42.6,29511.0
ISLAMIINS,2025-01-19,41.5,42.4,41.5,42.2,34889.0
ISLAMIINS,2025-01-16,41.0,42.2,40.5,41.7,39918.0
ISLAMIINS,2025-01-15,41.1,41.2,40.0,40.2,13382.0
ISLAMIINS,2025-01-14,40.1,41.4,40.1,40.7,11555.0
ISLAMIINS,2025-01-13,41.0,41.0,40.6,40.7,10858.0
ISLAMIINS,2025-01-12,41.4,41.5,40.7,41.3,23486.0
ISLAMIINS,2025-01-09,40.0,41.6,40.0,41.5,22902.0
ISLAMIINS,2025-01-08,40.6,40.7,40.5,40.6,10050.0
ISLAMIINS,2025-01-07,40.2,41.3,40.2,40.9,8651.0
ISLAMIINS,2025-01-06,40.0,41.2,40.0,40.9,18723.0
ISLAMIINS,2025-01-05,40.3,41.0,40.3,40.8,9680.0
ISLAMIINS,2025-01-02,39.9,41.0,39.9,40.9,4692.0
