Trading_Code,Date,Open,High,Low,Close,Volume
ISNLTD,2025-04-08,41.1,41.4,40.2,40.3,111247.0
ISNLTD,2025-04-07,39.1,41.4,39.1,40.8,92263.0
ISNLTD,2025-04-06,39.4,40.9,39.4,39.7,42616.0
ISNLTD,2025-03-27,40.0,40.9,40.0,40.4,29730.0
ISNLTD,2025-03-25,40.0,41.1,40.0,40.3,78138.0
ISNLTD,2025-03-24,39.3,41.5,39.3,40.4,54467.0
ISNLTD,2025-03-23,41.4,41.8,40.4,40.5,93129.0
ISNLTD,2025-03-20,40.4,41.9,40.2,41.4,136982.0
ISNLTD,2025-03-19,41.0,41.9,40.0,40.6,223933.0
ISNLTD,2025-03-18,41.5,42.2,41.0,41.2,176345.0
ISNLTD,2025-03-17,41.2,42.4,41.2,41.8,107993.0
ISNLTD,2025-03-16,43.5,43.5,41.4,41.6,125694.0
ISNLTD,2025-03-13,42.8,43.7,41.9,42.0,279879.0
ISNLTD,2025-03-12,43.7,45.2,42.8,43.3,406920.0
ISNLTD,2025-03-11,43.3,44.0,42.6,43.4,238702.0
ISNLTD,2025-03-10,41.6,43.7,41.6,42.6,174866.0
ISNLTD,2025-03-09,42.1,43.0,41.4,41.7,74576.0
ISNLTD,2025-03-06,42.1,43.5,42.0,42.6,299513.0
ISNLTD,2025-03-05,41.2,42.5,41.2,41.8,77390.0
ISNLTD,2025-03-04,43.8,43.8,41.1,41.5,50374.0
ISNLTD,2025-03-03,44.0,44.2,41.2,41.7,187960.0
ISNLTD,2025-03-02,43.0,45.0,41.2,43.7,402606.0
ISNLTD,2025-02-27,41.1,42.9,41.1,42.5,194017.0
ISNLTD,2025-02-26,41.2,41.7,40.9,41.1,28232.0
ISNLTD,2025-02-25,40.8,42.3,40.8,41.5,43760.0
ISNLTD,2025-02-24,41.0,42.3,40.6,41.7,99363.0
ISNLTD,2025-02-23,41.8,43.4,40.9,41.0,67952.0
ISNLTD,2025-02-20,42.3,42.5,41.3,41.6,45780.0
ISNLTD,2025-02-19,39.7,42.8,39.7,42.1,247818.0
ISNLTD,2025-02-18,42.5,42.5,40.1,40.5,105203.0
ISNLTD,2025-02-17,42.6,42.6,41.0,41.5,24777.0
ISNLTD,2025-02-16,42.5,42.7,40.5,41.7,162453.0
ISNLTD,2025-02-13,40.5,41.6,40.1,41.0,45442.0
ISNLTD,2025-02-12,40.4,41.8,40.0,40.6,35028.0
ISNLTD,2025-02-11,42.7,42.7,40.1,40.4,84978.0
ISNLTD,2025-02-10,43.1,43.1,41.2,41.5,35168.0
ISNLTD,2025-02-09,42.5,42.6,41.5,41.6,65918.0
ISNLTD,2025-02-06,42.9,43.3,42.1,42.5,115853.0
ISNLTD,2025-02-05,42.1,42.6,41.1,42.2,85387.0
ISNLTD,2025-02-04,42.7,42.7,41.5,41.9,43877.0
ISNLTD,2025-02-03,42.1,43.4,42.0,42.6,93095.0
ISNLTD,2025-02-02,40.9,43.0,40.0,42.4,147651.0
ISNLTD,2025-01-30,40.0,40.4,39.1,39.8,42144.0
ISNLTD,2025-01-29,39.6,40.3,39.2,39.5,23082.0
ISNLTD,2025-01-28,40.1,41.1,39.6,39.9,31356.0
ISNLTD,2025-01-27,39.0,40.5,39.0,40.1,70744.0
ISNLTD,2025-01-26,38.8,39.8,38.8,39.0,97060.0
ISNLTD,2025-01-23,40.4,40.4,39.0,39.1,26080.0
ISNLTD,2025-01-22,39.2,40.4,39.2,39.3,40427.0
ISNLTD,2025-01-21,40.9,40.9,39.5,39.8,52068.0
ISNLTD,2025-01-20,41.8,41.8,39.6,39.8,56466.0
ISNLTD,2025-01-19,40.7,42.0,40.0,40.2,53330.0
ISNLTD,2025-01-16,41.2,42.2,40.5,41.1,109003.0
ISNLTD,2025-01-15,40.4,41.0,39.7,40.4,91232.0
ISNLTD,2025-01-14,41.4,41.6,39.5,39.9,60541.0
ISNLTD,2025-01-13,39.5,41.0,38.7,40.5,117668.0
ISNLTD,2025-01-12,42.4,43.0,39.5,39.9,88976.0
ISNLTD,2025-01-09,41.0,43.0,40.5,42.4,138218.0
ISNLTD,2025-01-08,42.9,42.9,40.6,41.0,195920.0
ISNLTD,2025-01-07,42.9,43.4,40.7,42.7,158105.0
ISNLTD,2025-01-06,38.3,42.0,38.3,42.0,856802.0
ISNLTD,2025-01-05,37.0,38.7,36.7,38.2,60515.0
ISNLTD,2025-01-02,37.1,37.5,36.6,37.2,45302.0
ISNLTD,2025-01-01,36.3,37.2,36.3,37.0,37434.0
ISNLTD,2024-12-30,37.1,37.1,35.4,36.5,53040.0
ISNLTD,2024-12-29,37.5,38.0,36.7,36.9,67985.0
ISNLTD,2024-12-26,37.5,37.7,37.0,37.5,37196.0
ISNLTD,2024-12-24,35.9,37.7,35.9,37.4,86273.0
ISNLTD,2024-12-23,35.7,36.6,35.7,36.2,37131.0
ISNLTD,2024-12-22,35.3,36.4,35.3,36.1,29572.0
ISNLTD,2024-12-19,36.1,36.5,35.5,35.7,38399.0
ISNLTD,2024-12-18,35.0,37.2,34.8,36.4,117091.0
ISNLTD,2024-12-17,35.0,35.5,34.6,35.1,84889.0
ISNLTD,2024-12-15,35.4,35.4,34.0,34.4,51424.0
ISNLTD,2024-12-12,34.9,34.9,33.1,33.9,22771.0
ISNLTD,2024-12-11,34.6,34.6,33.2,33.6,52756.0
ISNLTD,2024-12-10,35.3,35.9,34.2,34.4,44179.0
ISNLTD,2024-12-09,35.4,36.7,34.5,34.9,38413.0
ISNLTD,2024-12-08,36.1,36.7,34.4,35.4,52513.0
ISNLTD,2024-12-05,36.7,37.4,36.1,36.3,110425.0
ISNLTD,2024-12-04,37.8,37.9,36.7,37.0,119358.0
