Trading_Code,Date,Open,High,Low,Close,Volume
JMISMDL,2025-04-08,137.4,138.8,135.1,138.7,21017.0
JMISMDL,2025-04-07,138.1,139.5,135.6,137.3,20154.0
JMISMDL,2025-04-06,137.7,139.0,134.0,138.1,19753.0
JMISMDL,2025-03-27,136.7,137.0,134.3,135.9,24856.0
JMISMDL,2025-03-25,135.4,135.5,133.2,135.2,13458.0
JMISMDL,2025-03-24,134.0,135.0,132.0,133.8,19975.0
JMISMDL,2025-03-23,133.5,134.2,133.5,133.8,18675.0
JMISMDL,2025-03-20,135.0,135.0,132.0,134.2,20626.0
JMISMDL,2025-03-19,134.0,134.3,133.0,133.8,26106.0
JMISMDL,2025-03-18,131.8,134.4,131.8,133.7,14564.0
JMISMDL,2025-03-17,133.1,134.3,132.7,133.5,15852.0
JMISMDL,2025-03-16,133.1,134.8,132.9,133.3,9960.0
JMISMDL,2025-03-13,136.0,136.0,133.1,134.0,12879.0
JMISMDL,2025-03-12,133.2,135.9,133.2,133.7,20752.0
JMISMDL,2025-03-11,131.2,135.9,131.2,134.9,14995.0
JMISMDL,2025-03-10,130.6,134.3,130.6,132.1,11522.0
JMISMDL,2025-03-09,133.0,136.0,132.0,132.3,14577.0
JMISMDL,2025-03-06,133.0,136.6,133.0,133.9,8498.0
JMISMDL,2025-03-05,134.0,137.7,134.0,134.5,18935.0
JMISMDL,2025-03-04,137.3,138.5,135.3,135.6,17317.0
JMISMDL,2025-03-03,135.8,141.2,135.8,137.2,49912.0
JMISMDL,2025-03-02,136.5,139.0,135.6,136.3,30795.0
JMISMDL,2025-02-27,133.1,136.3,133.0,134.5,33056.0
JMISMDL,2025-02-26,132.8,134.6,132.1,132.8,20160.0
JMISMDL,2025-02-25,133.5,134.4,132.1,132.7,25310.0
JMISMDL,2025-02-24,133.1,133.7,132.7,133.2,21388.0
JMISMDL,2025-02-23,133.3,134.7,132.5,133.3,12043.0
JMISMDL,2025-02-20,134.0,134.0,133.0,133.2,47443.0
JMISMDL,2025-02-19,132.5,137.4,132.5,133.3,9691.0
JMISMDL,2025-02-18,136.8,139.4,134.1,134.9,24468.0
JMISMDL,2025-02-17,132.1,139.0,132.1,137.1,45691.0
JMISMDL,2025-02-16,136.5,136.5,133.8,134.0,15818.0
JMISMDL,2025-02-13,133.0,134.0,132.0,133.4,26024.0
JMISMDL,2025-02-12,132.4,135.0,132.4,133.0,12380.0
JMISMDL,2025-02-11,132.2,136.4,132.2,133.4,19765.0
JMISMDL,2025-02-10,132.2,134.7,132.0,132.4,37126.0
JMISMDL,2025-02-09,135.5,135.5,132.0,132.2,14677.0
JMISMDL,2025-02-06,132.9,134.0,131.6,133.3,11117.0
JMISMDL,2025-02-05,133.0,134.0,130.6,131.1,17566.0
JMISMDL,2025-02-04,133.4,133.4,130.9,131.4,22718.0
JMISMDL,2025-02-03,135.9,135.9,130.1,131.2,34324.0
JMISMDL,2025-02-02,135.9,135.9,132.5,132.8,16398.0
JMISMDL,2025-01-30,137.0,139.5,134.0,134.7,70364.0
