Trading_Code,Date,Open,High,Low,Close,Volume
JUTESPINN,2025-04-08,207.1,207.5,207.1,207.2,935.0
JUTESPINN,2025-04-07,205.9,206.2,205.8,206.1,189.0
JUTESPINN,2025-04-06,213.0,213.0,205.0,205.8,1091.0
JUTESPINN,2025-03-27,215.2,215.2,212.0,213.8,51.0
JUTESPINN,2025-03-25,210.1,216.2,209.0,215.3,718.0
JUTESPINN,2025-03-24,206.7,214.0,206.0,206.4,591.0
JUTESPINN,2025-03-23,207.1,207.1,205.6,205.7,1166.0
JUTESPINN,2025-03-20,209.0,213.8,206.2,207.1,1974.0
JUTESPINN,2025-03-19,212.6,212.6,210.1,211.6,917.0
JUTESPINN,2025-03-18,220.8,220.8,212.0,212.2,54.0
JUTESPINN,2025-03-17,227.5,227.5,209.4,220.8,4.0
JUTESPINN,2025-03-16,224.9,224.9,224.9,224.9,2.0
JUTESPINN,2025-03-13,214.0,224.1,213.2,215.8,909.0
JUTESPINN,2025-03-12,209.0,211.1,209.0,210.4,144.0
JUTESPINN,2025-03-11,214.4,215.1,210.0,213.0,2006.0
JUTESPINN,2025-03-10,225.6,225.6,208.3,212.6,831.0
JUTESPINN,2025-03-09,219.1,219.1,216.0,216.7,1018.0
JUTESPINN,2025-03-06,230.0,230.0,215.6,216.1,2162.0
JUTESPINN,2025-03-05,226.0,238.5,215.0,217.6,939.0
JUTESPINN,2025-03-04,234.5,234.7,224.0,231.9,426.0
JUTESPINN,2025-03-03,222.1,238.5,220.0,222.6,1492.0
JUTESPINN,2025-03-02,240.0,240.3,226.2,232.1,838.0
JUTESPINN,2025-02-27,239.3,246.0,227.5,242.5,2832.0
JUTESPINN,2025-02-26,225.0,235.0,225.0,234.0,4017.0
JUTESPINN,2025-02-25,217.0,227.0,216.0,225.6,3523.0
JUTESPINN,2025-02-24,207.1,217.6,207.1,216.9,310.0
JUTESPINN,2025-02-23,206.1,218.2,206.1,210.0,1377.0
JUTESPINN,2025-02-20,206.2,212.5,206.2,211.3,352.0
