Trading_Code,Date,Open,High,Low,Close,Volume
KAY&QUE,2025-04-08,218.0,223.5,218.0,222.6,75306.0
KAY&QUE,2025-04-07,209.4,219.0,209.4,215.9,45011.0
KAY&QUE,2025-04-06,208.9,212.0,208.0,208.4,22332.0
KAY&QUE,2025-03-27,209.2,214.7,208.4,210.0,26665.0
KAY&QUE,2025-03-25,205.0,209.5,204.9,208.4,37513.0
KAY&QUE,2025-03-24,201.9,203.0,199.4,202.0,15933.0
KAY&QUE,2025-03-23,198.4,199.9,192.3,197.3,17189.0
KAY&QUE,2025-03-20,203.0,203.0,198.3,201.0,5737.0
KAY&QUE,2025-03-19,203.9,203.9,201.0,201.1,9553.0
KAY&QUE,2025-03-18,205.0,205.0,200.1,200.4,18014.0
KAY&QUE,2025-03-17,205.8,209.0,200.2,201.0,12826.0
KAY&QUE,2025-03-16,197.7,206.9,197.7,205.8,28203.0
KAY&QUE,2025-03-13,196.4,204.0,196.1,197.6,25680.0
KAY&QUE,2025-03-12,192.0,196.9,192.0,195.4,13516.0
KAY&QUE,2025-03-11,195.0,195.0,191.0,191.3,9224.0
KAY&QUE,2025-03-10,191.0,191.6,190.0,190.8,4496.0
KAY&QUE,2025-03-09,191.5,195.5,190.0,190.4,5093.0
KAY&QUE,2025-03-06,195.0,195.0,191.7,191.9,10610.0
KAY&QUE,2025-03-05,192.6,195.7,192.1,192.1,6600.0
KAY&QUE,2025-03-04,193.5,196.0,191.0,191.6,14675.0
KAY&QUE,2025-03-03,197.9,197.9,192.2,193.2,4831.0
KAY&QUE,2025-03-02,197.0,198.9,193.6,194.1,10635.0
KAY&QUE,2025-02-27,195.0,210.0,193.0,195.2,13605.0
KAY&QUE,2025-02-26,192.8,195.5,191.0,192.0,4198.0
KAY&QUE,2025-02-25,197.0,197.0,190.0,190.5,21864.0
KAY&QUE,2025-02-24,193.6,197.4,190.6,192.3,10403.0
KAY&QUE,2025-02-23,195.4,197.6,192.2,193.6,11532.0
KAY&QUE,2025-02-20,194.0,198.0,194.0,196.5,6717.0
KAY&QUE,2025-02-19,195.4,199.5,194.0,195.7,8905.0
KAY&QUE,2025-02-18,200.9,200.9,195.0,195.5,7905.0
KAY&QUE,2025-02-17,202.6,202.6,196.7,197.1,7634.0
KAY&QUE,2025-02-16,200.0,201.0,198.0,198.2,6762.0
KAY&QUE,2025-02-13,203.0,203.8,198.0,199.1,6936.0
KAY&QUE,2025-02-12,201.0,201.8,199.9,200.1,8716.0
KAY&QUE,2025-02-11,202.7,202.7,199.2,199.7,15512.0
KAY&QUE,2025-02-10,202.0,202.0,198.8,200.7,9855.0
KAY&QUE,2025-02-09,195.6,202.9,195.6,201.4,2611.0
KAY&QUE,2025-02-06,198.9,203.7,197.2,200.7,27772.0
KAY&QUE,2025-02-05,203.5,203.5,195.6,196.1,21392.0
KAY&QUE,2025-02-04,195.0,204.2,192.0,200.5,17109.0
KAY&QUE,2025-02-03,195.0,202.8,191.0,192.0,40089.0
KAY&QUE,2025-02-02,0.0,0.0,0.0,203.6,0.0
KAY&QUE,2025-01-30,206.7,206.7,203.3,203.6,28085.0
KAY&QUE,2025-01-29,208.9,209.0,202.5,204.8,28434.0
KAY&QUE,2025-01-28,212.0,213.2,207.0,208.9,41319.0
KAY&QUE,2025-01-27,210.8,210.8,208.0,209.4,25937.0
KAY&QUE,2025-01-26,212.3,212.3,207.7,208.3,24612.0
KAY&QUE,2025-01-23,214.5,214.5,208.2,210.4,27271.0
KAY&QUE,2025-01-22,213.0,216.2,210.3,211.1,102077.0
KAY&QUE,2025-01-21,210.5,213.8,210.2,210.8,25397.0
KAY&QUE,2025-01-20,217.2,217.2,207.2,210.0,42570.0
KAY&QUE,2025-01-19,217.0,218.6,212.0,214.0,34125.0
KAY&QUE,2025-01-16,215.9,217.0,212.6,215.0,44562.0
KAY&QUE,2025-01-15,215.8,218.2,210.2,211.7,64466.0
KAY&QUE,2025-01-14,206.0,219.3,206.0,215.8,96288.0
KAY&QUE,2025-01-13,209.0,209.0,204.4,205.3,41151.0
KAY&QUE,2025-01-12,209.6,214.0,206.0,209.0,29448.0
KAY&QUE,2025-01-09,209.9,209.9,204.1,205.3,31662.0
KAY&QUE,2025-01-08,213.9,213.9,203.9,204.4,26887.0
KAY&QUE,2025-01-07,210.0,215.0,207.0,208.0,45500.0
KAY&QUE,2025-01-06,215.9,215.9,210.3,211.6,25913.0
KAY&QUE,2025-01-05,228.4,228.4,210.0,210.6,6942.0
KAY&QUE,2025-01-02,222.4,222.4,210.0,212.5,9181.0
KAY&QUE,2025-01-01,220.0,222.7,214.1,216.3,24499.0
KAY&QUE,2024-12-30,218.1,222.3,218.0,219.1,28396.0
KAY&QUE,2024-12-29,221.9,221.9,217.8,218.1,14087.0
KAY&QUE,2024-12-26,217.0,222.0,216.0,218.4,21754.0
KAY&QUE,2024-12-24,218.0,218.0,214.0,214.3,14345.0
KAY&QUE,2024-12-23,224.0,224.0,212.3,213.4,32639.0
KAY&QUE,2024-12-22,228.3,228.3,220.5,220.7,11706.0
KAY&QUE,2024-12-19,224.2,226.9,223.7,224.1,26753.0
KAY&QUE,2024-12-18,229.0,229.0,224.8,225.1,24281.0
KAY&QUE,2024-12-17,232.4,232.4,226.4,227.8,28677.0
KAY&QUE,2024-12-15,231.5,232.1,226.0,226.7,13271.0
KAY&QUE,2024-12-12,237.0,237.0,225.0,226.0,19613.0
KAY&QUE,2024-12-11,227.7,232.6,225.1,225.8,18438.0
KAY&QUE,2024-12-10,235.6,236.9,229.1,229.5,27033.0
KAY&QUE,2024-12-09,239.0,240.8,234.6,235.2,28274.0
KAY&QUE,2024-12-08,234.0,238.3,227.6,236.6,29288.0
KAY&QUE,2024-12-05,0.0,0.0,0.0,236.8,0.0
KAY&QUE,2024-12-04,239.5,242.5,236.0,236.8,70409.0
KAY&QUE,2024-12-03,238.5,240.0,233.0,236.7,55485.0
KAY&QUE,2024-12-02,248.0,255.0,236.0,239.7,83453.0
KAY&QUE,2024-12-01,239.9,243.0,235.7,240.6,41262.0
KAY&QUE,2024-11-28,243.8,243.9,234.0,235.1,33658.0
KAY&QUE,2024-11-27,246.7,250.0,238.0,239.6,69391.0
KAY&QUE,2024-11-26,235.0,245.5,231.3,244.1,73092.0
KAY&QUE,2024-11-25,233.0,233.8,229.2,230.2,14641.0
KAY&QUE,2024-11-24,229.8,232.0,223.7,230.5,9563.0
KAY&QUE,2024-11-21,229.9,233.0,224.0,224.7,18016.0
KAY&QUE,2024-11-20,243.3,243.3,224.1,226.2,17361.0
KAY&QUE,2024-11-19,233.5,233.5,222.9,223.8,27518.0
KAY&QUE,2024-11-18,234.0,234.0,229.0,229.8,32579.0
KAY&QUE,2024-11-17,239.9,239.9,230.0,232.2,47675.0
KAY&QUE,2024-11-14,245.0,248.8,235.0,238.6,58825.0
KAY&QUE,2024-11-13,245.0,251.0,240.0,243.9,102752.0
KAY&QUE,2024-11-12,228.1,245.0,225.0,242.7,105015.0
KAY&QUE,2024-11-11,258.0,258.0,230.7,237.6,139348.0
KAY&QUE,2024-11-10,260.0,260.0,250.0,252.8,93979.0
KAY&QUE,2024-11-07,261.0,267.8,254.0,257.8,145257.0
KAY&QUE,2024-11-06,247.4,259.1,239.9,256.1,200015.0
KAY&QUE,2024-11-05,239.9,245.9,234.0,238.3,79771.0
KAY&QUE,2024-11-04,234.0,249.8,234.0,237.4,106867.0
KAY&QUE,2024-11-03,228.4,237.8,216.0,231.8,30127.0
KAY&QUE,2024-10-31,231.0,233.5,212.6,218.7,56899.0
KAY&QUE,2024-10-30,219.8,229.8,214.3,227.9,28044.0
KAY&QUE,2024-10-29,205.5,216.0,204.2,213.1,26396.0
KAY&QUE,2024-10-28,219.9,219.9,205.0,207.5,41308.0
KAY&QUE,2024-10-27,210.2,218.4,203.0,211.8,62851.0
KAY&QUE,2024-10-24,206.9,206.9,196.2,200.9,4076.0
KAY&QUE,2024-10-23,211.2,211.2,200.0,200.1,9566.0
KAY&QUE,2024-10-22,206.0,210.0,200.5,208.1,9567.0
KAY&QUE,2024-10-21,206.8,206.8,196.7,200.1,13548.0
KAY&QUE,2024-10-20,213.2,213.2,202.0,202.2,8009.0
KAY&QUE,2024-10-17,215.9,215.9,206.6,208.2,14803.0
KAY&QUE,2024-10-16,214.7,214.7,208.0,209.3,3382.0
KAY&QUE,2024-10-15,214.8,214.8,208.0,208.2,11962.0
KAY&QUE,2024-10-14,222.0,222.0,211.4,212.7,12626.0
KAY&QUE,2024-10-09,219.0,219.8,211.0,217.6,21087.0
KAY&QUE,2024-10-08,218.0,218.0,210.0,214.8,6418.0
KAY&QUE,2024-10-07,218.0,218.0,210.0,210.2,10118.0
KAY&QUE,2024-10-06,219.8,219.8,208.2,210.9,12688.0
KAY&QUE,2024-10-03,210.1,213.6,207.0,212.4,11818.0
KAY&QUE,2024-10-02,226.8,226.8,200.2,209.0,20601.0
KAY&QUE,2024-10-01,226.8,226.8,216.5,217.1,20510.0
KAY&QUE,2024-09-30,230.0,230.0,219.0,220.0,13553.0
KAY&QUE,2024-09-29,227.9,229.9,223.4,226.3,9782.0
KAY&QUE,2024-09-26,224.6,229.7,216.3,224.1,9293.0
KAY&QUE,2024-09-25,235.0,235.0,223.0,224.6,25372.0
KAY&QUE,2024-09-24,239.5,239.5,232.5,233.1,28366.0
KAY&QUE,2024-09-23,239.8,239.8,232.9,235.0,16903.0
KAY&QUE,2024-09-22,242.8,242.8,233.1,235.2,10720.0
KAY&QUE,2024-09-19,240.0,240.0,235.5,236.5,11364.0
KAY&QUE,2024-09-18,241.0,244.0,236.0,237.2,24654.0
KAY&QUE,2024-09-17,241.5,243.9,236.9,238.3,31974.0
KAY&QUE,2024-09-15,247.3,249.8,240.0,240.4,39941.0
KAY&QUE,2024-09-12,238.7,251.0,234.4,247.3,97527.0
KAY&QUE,2024-09-11,242.0,243.9,236.1,236.8,21924.0
KAY&QUE,2024-09-10,231.5,242.9,230.6,240.6,39281.0
KAY&QUE,2024-09-09,239.4,239.6,230.0,232.2,27169.0
KAY&QUE,2024-09-08,243.9,243.9,233.4,235.8,24860.0
KAY&QUE,2024-09-05,243.7,243.7,231.5,234.9,31310.0
KAY&QUE,2024-09-04,251.0,254.2,240.4,243.0,33446.0
KAY&QUE,2024-09-03,242.6,251.6,242.6,247.5,31700.0
KAY&QUE,2024-09-02,256.6,256.6,244.5,246.4,33884.0
KAY&QUE,2024-09-01,254.9,254.9,244.0,250.6,31764.0
KAY&QUE,2024-08-29,241.1,247.9,240.0,246.1,52626.0
KAY&QUE,2024-08-28,257.0,258.9,247.9,247.9,50156.0
KAY&QUE,2024-08-27,251.0,256.5,241.0,255.5,85141.0
KAY&QUE,2024-08-25,248.0,248.0,237.3,246.0,32295.0
KAY&QUE,2024-08-22,244.0,254.9,240.2,242.3,69985.0
KAY&QUE,2024-08-21,235.0,243.9,227.0,239.1,57812.0
KAY&QUE,2024-08-20,242.0,242.0,228.0,230.6,39519.0
KAY&QUE,2024-08-19,233.9,238.7,225.0,233.5,46064.0
KAY&QUE,2024-08-18,240.0,240.0,226.9,227.5,26034.0
KAY&QUE,2024-08-15,235.0,236.7,230.0,233.9,35116.0
KAY&QUE,2024-08-14,231.1,238.0,230.0,232.9,48228.0
KAY&QUE,2024-08-13,235.8,240.0,235.8,235.8,13875.0
KAY&QUE,2024-08-12,243.0,243.0,243.0,243.0,7790.0
KAY&QUE,2024-08-11,253.1,260.0,250.5,250.5,42578.0
KAY&QUE,2024-08-08,258.0,265.0,252.6,258.2,68457.0
KAY&QUE,2024-08-07,248.2,248.2,231.5,248.2,115268.0
KAY&QUE,2024-08-06,228.3,228.3,228.3,228.3,8701.0
KAY&QUE,2024-08-04,219.9,219.9,210.0,210.0,6166.0
KAY&QUE,2024-08-01,215.1,221.9,215.0,216.4,11384.0
KAY&QUE,2024-07-31,220.0,220.0,207.1,217.9,22002.0
KAY&QUE,2024-07-30,223.5,223.5,209.9,211.3,13306.0
KAY&QUE,2024-07-29,228.0,228.0,215.1,216.2,14424.0
KAY&QUE,2024-07-28,229.0,229.0,219.7,221.5,12266.0
KAY&QUE,2024-07-25,222.0,226.0,221.5,222.4,16457.0
KAY&QUE,2024-07-24,222.3,222.3,219.4,220.0,5059.0
KAY&QUE,2024-07-18,223.5,229.2,223.0,226.1,14412.0
KAY&QUE,2024-07-16,228.8,230.1,220.6,228.4,24088.0
KAY&QUE,2024-07-15,230.0,230.0,221.9,223.2,25188.0
KAY&QUE,2024-07-14,231.0,231.0,222.9,225.1,10634.0
KAY&QUE,2024-07-11,229.5,236.0,226.0,226.7,24768.0
KAY&QUE,2024-07-10,228.0,235.1,228.0,232.1,47448.0
KAY&QUE,2024-07-09,229.0,233.9,226.1,228.2,31213.0
KAY&QUE,2024-07-08,234.0,235.0,227.1,229.0,37563.0
KAY&QUE,2024-07-07,231.0,237.0,227.0,233.8,52062.0
KAY&QUE,2024-07-04,227.0,232.0,225.0,227.3,66351.0
KAY&QUE,2024-07-03,224.9,225.0,220.0,223.7,26192.0
KAY&QUE,2024-07-02,223.6,227.6,220.0,221.8,21946.0
KAY&QUE,2024-06-30,213.5,227.7,213.5,222.3,33015.0
KAY&QUE,2024-06-27,220.0,224.9,214.5,220.1,15474.0
KAY&QUE,2024-06-26,229.0,229.0,213.4,214.5,8213.0
KAY&QUE,2024-06-25,222.9,222.9,212.0,213.1,6760.0
KAY&QUE,2024-06-24,229.0,229.0,216.0,216.6,13561.0
KAY&QUE,2024-06-23,225.0,229.9,217.1,219.6,14269.0
KAY&QUE,2024-06-20,219.0,224.0,212.2,222.2,29590.0
KAY&QUE,2024-06-19,219.0,223.0,208.7,211.2,6555.0
KAY&QUE,2024-06-13,215.0,217.8,209.0,215.1,8982.0
KAY&QUE,2024-06-12,221.0,221.0,209.0,210.9,4857.0
KAY&QUE,2024-06-11,214.3,222.9,213.5,215.0,6910.0
KAY&QUE,2024-06-10,224.1,230.8,220.0,220.0,12216.0
KAY&QUE,2024-06-09,238.8,238.8,225.6,226.8,6802.0
KAY&QUE,2024-06-06,237.5,237.5,226.2,231.1,6935.0
KAY&QUE,2024-06-05,244.0,247.0,233.1,233.1,14686.0
