Trading_Code,Date,Open,High,Low,Close,Volume
KDSALTD,2025-04-08,46.5,46.8,45.1,45.6,643774.0
KDSALTD,2025-04-07,45.6,46.9,44.8,46.5,1441361.0
KDSALTD,2025-04-06,44.1,44.9,42.7,44.5,482223.0
KDSALTD,2025-03-27,46.2,46.4,44.5,44.8,707303.0
KDSALTD,2025-03-25,46.0,46.6,45.3,46.1,1252805.0
KDSALTD,2025-03-24,44.9,47.3,44.8,46.0,1958119.0
KDSALTD,2025-03-23,44.7,45.8,44.0,44.8,2180255.0
KDSALTD,2025-03-20,42.1,44.5,42.1,43.9,1046300.0
KDSALTD,2025-03-19,42.5,43.0,42.1,42.3,286698.0
KDSALTD,2025-03-18,43.7,43.9,42.0,42.2,363653.0
KDSALTD,2025-03-17,43.2,44.3,42.6,43.6,1159094.0
KDSALTD,2025-03-16,41.2,43.1,41.1,42.9,834374.0
KDSALTD,2025-03-13,41.9,42.4,40.7,40.9,525609.0
KDSALTD,2025-03-12,42.8,43.3,41.6,41.9,531735.0
KDSALTD,2025-03-11,42.0,42.8,42.0,42.6,587296.0
KDSALTD,2025-03-10,40.8,42.9,40.7,42.0,775269.0
KDSALTD,2025-03-09,43.2,43.5,40.6,41.1,684833.0
KDSALTD,2025-03-06,43.1,43.7,42.6,43.2,590834.0
KDSALTD,2025-03-05,44.2,44.7,42.7,42.9,752196.0
KDSALTD,2025-03-04,42.6,44.6,42.4,43.8,1645540.0
KDSALTD,2025-03-03,43.0,43.0,41.6,42.3,861162.0
KDSALTD,2025-03-02,41.3,43.8,41.1,42.8,1792920.0
KDSALTD,2025-02-27,39.5,41.5,39.5,40.8,1633884.0
KDSALTD,2025-02-26,38.0,41.2,38.0,40.2,1538998.0
KDSALTD,2025-02-25,38.1,39.8,37.9,39.0,1225600.0
KDSALTD,2025-02-24,41.9,41.9,38.3,38.9,983431.0
KDSALTD,2025-02-23,37.9,40.3,37.9,39.8,1085097.0
KDSALTD,2025-02-20,37.8,39.5,37.7,38.1,981612.0
KDSALTD,2025-02-19,37.6,38.3,37.1,37.6,824229.0
KDSALTD,2025-02-18,37.5,38.7,36.9,37.6,1325051.0
KDSALTD,2025-02-17,34.7,37.6,34.2,37.1,1190320.0
KDSALTD,2025-02-16,34.7,35.1,34.0,34.2,189002.0
KDSALTD,2025-02-13,34.7,35.2,34.6,34.8,233065.0
KDSALTD,2025-02-12,35.9,35.9,34.9,35.0,308337.0
KDSALTD,2025-02-11,34.8,35.6,34.5,35.4,489825.0
KDSALTD,2025-02-10,33.8,35.0,33.4,34.3,318709.0
KDSALTD,2025-02-09,34.8,34.8,33.8,33.9,159109.0
KDSALTD,2025-02-06,34.5,34.8,34.1,34.4,194643.0
KDSALTD,2025-02-05,35.2,35.5,34.1,34.3,324303.0
KDSALTD,2025-02-04,33.5,35.6,33.5,34.9,996712.0
KDSALTD,2025-02-03,32.8,33.7,32.8,33.3,419868.0
KDSALTD,2025-02-02,32.4,32.7,32.2,32.6,89772.0
KDSALTD,2025-01-30,32.7,33.0,32.0,32.1,261751.0
KDSALTD,2025-01-29,31.8,32.5,31.8,32.4,103614.0
KDSALTD,2025-01-28,32.4,32.4,31.8,31.9,50896.0
KDSALTD,2025-01-27,31.8,32.5,31.8,32.2,78083.0
KDSALTD,2025-01-26,32.9,32.9,31.9,32.0,81328.0
KDSALTD,2025-01-23,32.8,33.0,32.4,32.5,130739.0
KDSALTD,2025-01-22,33.3,33.5,32.8,33.0,113986.0
KDSALTD,2025-01-21,32.8,33.7,32.8,33.3,332351.0
KDSALTD,2025-01-20,32.4,32.9,32.3,32.8,155801.0
KDSALTD,2025-01-19,32.7,32.7,31.7,32.0,75891.0
KDSALTD,2025-01-16,32.9,32.9,31.8,31.9,74894.0
KDSALTD,2025-01-15,32.1,32.8,32.1,32.6,145831.0
KDSALTD,2025-01-14,32.2,32.3,31.8,32.0,83813.0
KDSALTD,2025-01-13,32.1,32.4,31.5,31.6,106507.0
KDSALTD,2025-01-12,32.7,33.1,31.8,31.9,214890.0
KDSALTD,2025-01-09,33.0,33.1,32.7,32.8,67025.0
KDSALTD,2025-01-08,33.5,33.5,32.5,32.7,162449.0
KDSALTD,2025-01-07,33.0,34.0,33.0,33.5,214702.0
KDSALTD,2025-01-06,32.9,33.6,32.6,33.0,101667.0
KDSALTD,2025-01-05,33.5,34.6,32.6,33.0,115807.0
KDSALTD,2025-01-02,34.0,34.5,33.7,33.9,74285.0
KDSALTD,2025-01-01,34.4,34.9,34.1,34.2,49588.0
KDSALTD,2024-12-30,34.5,34.5,33.7,34.4,189413.0
KDSALTD,2024-12-29,35.2,35.2,34.2,34.4,217430.0
KDSALTD,2024-12-26,34.9,35.1,34.5,34.6,91772.0
KDSALTD,2024-12-24,35.1,35.1,34.5,34.8,97452.0
KDSALTD,2024-12-23,35.0,35.2,34.5,34.6,107552.0
KDSALTD,2024-12-22,34.4,35.6,34.4,34.9,128890.0
KDSALTD,2024-12-19,35.4,35.4,34.4,34.5,118084.0
KDSALTD,2024-12-18,35.7,35.9,34.7,34.8,245307.0
KDSALTD,2024-12-17,36.0,36.3,35.6,35.6,207684.0
KDSALTD,2024-12-15,35.7,35.8,35.4,35.6,96518.0
KDSALTD,2024-12-12,35.5,35.6,34.6,35.0,188797.0
KDSALTD,2024-12-11,36.2,36.2,34.8,35.0,107490.0
KDSALTD,2024-12-10,36.2,36.7,35.3,35.4,231413.0
KDSALTD,2024-12-09,36.3,36.6,35.6,35.9,112613.0
KDSALTD,2024-12-08,35.4,36.9,35.0,36.1,189939.0
KDSALTD,2024-12-05,37.3,37.3,35.7,35.9,282194.0
KDSALTD,2024-12-04,38.0,38.7,36.2,36.7,677883.0
KDSALTD,2024-12-03,37.5,38.5,36.4,37.9,849832.0
KDSALTD,2024-12-02,37.2,37.6,36.5,37.3,607429.0
KDSALTD,2024-12-01,37.1,37.3,36.2,36.6,394232.0
KDSALTD,2024-11-28,35.9,37.5,35.7,36.9,948234.0
KDSALTD,2024-11-27,34.9,36.0,34.8,35.5,223193.0
KDSALTD,2024-11-26,36.4,36.4,34.5,35.1,293935.0
KDSALTD,2024-11-25,36.3,36.7,35.7,35.9,323274.0
KDSALTD,2024-11-24,35.1,36.1,34.6,35.8,229293.0
KDSALTD,2024-11-21,34.3,36.8,34.2,35.0,817503.0
KDSALTD,2024-11-20,33.8,34.4,33.2,34.0,190091.0
KDSALTD,2024-11-19,33.6,34.0,33.0,33.1,220655.0
KDSALTD,2024-11-18,34.7,34.7,33.3,33.4,269810.0
KDSALTD,2024-11-17,34.0,35.0,33.5,33.9,473343.0
KDSALTD,2024-11-14,0.0,0.0,0.0,35.2,0.0
KDSALTD,2024-11-13,33.9,35.7,33.5,35.2,669739.0
KDSALTD,2024-11-12,33.2,33.2,31.9,32.7,74322.0
KDSALTD,2024-11-11,33.3,33.5,32.0,32.5,170469.0
KDSALTD,2024-11-10,33.2,33.7,32.7,33.0,73020.0
KDSALTD,2024-11-07,33.4,34.4,33.2,33.4,161948.0
KDSALTD,2024-11-06,33.8,34.6,33.1,33.4,201238.0
KDSALTD,2024-11-05,34.8,35.5,34.1,34.6,447963.0
KDSALTD,2024-11-04,33.2,34.8,33.1,34.7,224729.0
KDSALTD,2024-11-03,32.8,34.4,31.9,33.6,424463.0
KDSALTD,2024-10-31,32.0,32.6,31.2,32.4,206852.0
KDSALTD,2024-10-30,29.9,32.5,29.9,32.2,352591.0
