Trading_Code,Date,Open,High,Low,Close,Volume
KEYADETERG,2011-12-05,69.0,76.0,69.0,75.6,285500.0
KEYADETERG,2011-12-04,83.0,93.0,83.0,92.3,649500.0
KEYADETERG,2011-12-01,85.0,88.0,78.5,82.9,334000.0
KEYADETERG,2011-11-05,65.6,71.5,65.6,70.0,266000.0
KEYADETERG,2011-11-04,90.0,91.0,84.0,85.9,352000.0
KEYADETERG,2011-11-01,71.5,78.3,71.5,78.2,44500.0
KEYADETERG,2011-10-05,76.0,76.0,68.4,68.7,229500.0
KEYADETERG,2011-10-04,91.8,93.9,89.0,91.2,713000.0
KEYADETERG,2011-10-03,77.4,79.7,74.6,76.1,433500.0
KEYADETERG,2011-10-02,73.2,79.9,73.0,75.8,191000.0
KEYADETERG,2011-10-01,77.0,77.0,64.1,65.3,79000.0
KEYADETERG,2011-09-05,71.8,74.8,66.5,73.5,157500.0
KEYADETERG,2011-09-03,70.3,76.0,70.2,74.1,428500.0
KEYADETERG,2011-09-02,82.0,82.0,75.7,77.0,128500.0
KEYADETERG,2011-09-01,90.0,90.0,70.0,73.5,219500.0
KEYADETERG,2011-08-05,77.3,78.9,71.0,71.6,268500.0
KEYADETERG,2011-08-03,68.5,75.0,66.9,72.7,398000.0
KEYADETERG,2011-08-02,70.0,75.5,69.7,75.5,123500.0
KEYADETERG,2011-07-04,94.0,95.5,91.9,93.8,1323500.0
KEYADETERG,2011-07-03,66.9,71.9,66.8,69.0,258000.0
KEYADETERG,2011-07-02,71.5,74.6,67.3,68.7,117000.0
KEYADETERG,2011-06-04,93.0,97.0,91.0,95.9,1090000.0
KEYADETERG,2011-06-03,61.9,67.1,61.7,66.4,231000.0
KEYADETERG,2011-06-02,81.5,81.5,73.0,73.7,119500.0
KEYADETERG,2011-06-01,92.2,92.2,86.0,86.6,143500.0
KEYADETERG,2011-05-24,66.9,68.9,64.7,65.7,573500.0
KEYADETERG,2011-05-23,67.2,68.5,63.9,64.7,492500.0
KEYADETERG,2011-05-22,69.1,69.1,65.0,66.9,379500.0
KEYADETERG,2011-05-19,73.2,73.5,70.0,70.4,237500.0
KEYADETERG,2011-05-18,74.9,75.5,73.0,73.2,181500.0
KEYADETERG,2011-05-16,78.0,78.0,73.2,74.1,312000.0
KEYADETERG,2011-05-15,77.0,79.6,76.0,76.8,574500.0
KEYADETERG,2011-05-05,82.4,84.9,76.2,77.3,187000.0
KEYADETERG,2011-05-04,90.0,93.2,89.5,92.4,1164500.0
KEYADETERG,2011-05-01,91.5,91.7,89.3,90.7,100000.0
KEYADETERG,2011-04-28,89.9,92.5,82.6,83.9,507500.0
KEYADETERG,2011-04-27,83.3,89.0,82.7,87.7,334500.0
KEYADETERG,2011-04-26,84.9,86.3,81.7,83.2,225500.0
KEYADETERG,2011-04-25,85.9,87.0,79.0,83.2,237000.0
KEYADETERG,2011-04-24,89.1,89.1,86.2,86.6,331500.0
KEYADETERG,2011-04-21,87.0,87.9,83.8,87.0,204000.0
KEYADETERG,2011-04-20,86.0,87.0,83.2,84.8,168000.0
KEYADETERG,2011-04-19,90.0,91.4,85.8,86.2,303000.0
KEYADETERG,2011-04-18,89.9,90.0,87.3,87.7,256500.0
KEYADETERG,2011-04-17,92.9,92.9,87.3,88.9,356000.0
KEYADETERG,2011-04-13,93.0,93.8,88.1,89.4,334000.0
KEYADETERG,2011-04-05,81.9,82.9,79.4,80.3,291000.0
KEYADETERG,2011-04-04,87.2,90.5,87.0,89.4,566000.0
KEYADETERG,2011-04-01,92.5,93.9,90.6,91.0,131500.0
KEYADETERG,2011-03-31,90.8,92.0,87.9,88.3,764500.0
KEYADETERG,2011-03-30,86.5,90.5,86.1,89.5,676500.0
KEYADETERG,2011-03-29,91.8,92.2,86.1,86.9,1091000.0
KEYADETERG,2011-03-28,84.7,90.4,84.0,90.1,1393000.0
KEYADETERG,2011-03-27,78.0,83.9,76.7,82.2,426500.0
KEYADETERG,2011-03-24,76.1,80.1,75.2,76.3,365500.0
KEYADETERG,2011-03-23,84.8,86.9,77.6,79.1,556000.0
KEYADETERG,2011-03-22,79.4,83.7,79.0,82.9,406500.0
KEYADETERG,2011-03-21,89.0,89.9,82.0,82.7,737500.0
KEYADETERG,2011-03-20,83.0,89.0,82.0,87.6,597500.0
KEYADETERG,2011-03-16,76.0,82.7,75.0,82.7,730000.0
KEYADETERG,2011-03-15,79.0,79.9,74.6,75.2,540500.0
KEYADETERG,2011-03-14,72.5,76.1,69.0,76.1,383500.0
KEYADETERG,2011-03-13,73.5,77.0,68.5,69.2,352500.0
KEYADETERG,2011-03-05,83.0,84.2,78.0,78.7,302500.0
KEYADETERG,2011-03-04,89.0,89.9,87.3,87.8,580000.0
KEYADETERG,2011-03-03,60.5,63.3,56.1,61.4,138500.0
KEYADETERG,2011-03-02,84.5,84.5,79.0,80.8,137000.0
KEYADETERG,2011-03-01,96.0,96.1,92.5,93.0,165000.0
KEYADETERG,2011-02-28,64.0,64.0,54.9,56.6,182500.0
KEYADETERG,2011-02-27,62.0,64.0,58.7,59.4,142000.0
KEYADETERG,2011-02-24,66.9,67.3,63.9,64.3,116000.0
KEYADETERG,2011-02-23,66.9,70.4,64.2,65.1,227500.0
KEYADETERG,2011-02-20,74.0,76.0,73.5,76.0,154500.0
KEYADETERG,2011-02-15,66.0,69.3,56.7,69.1,226500.0
KEYADETERG,2011-02-14,63.1,65.9,62.6,63.0,96000.0
KEYADETERG,2011-02-13,75.5,76.2,68.4,69.5,206000.0
