Trading_Code,Date,Open,High,Low,Close,Volume
KPCL,2025-04-08,12.5,12.9,12.5,12.7,134229.0
KPCL,2025-04-07,12.7,13.0,12.5,12.6,135438.0
KPCL,2025-04-06,12.8,13.1,12.7,12.8,91244.0
KPCL,2025-03-27,13.1,13.2,13.0,13.1,47766.0
KPCL,2025-03-25,12.8,13.1,12.7,13.0,101426.0
KPCL,2025-03-24,12.9,12.9,12.6,12.7,62147.0
KPCL,2025-03-23,13.0,13.0,12.7,12.7,91027.0
KPCL,2025-03-20,12.9,13.0,12.8,12.9,227258.0
KPCL,2025-03-19,13.0,13.1,12.8,12.8,62559.0
KPCL,2025-03-18,12.7,13.1,12.7,13.0,113940.0
KPCL,2025-03-17,12.8,13.4,12.6,12.7,233508.0
KPCL,2025-03-16,13.1,13.1,12.8,12.9,185556.0
KPCL,2025-03-13,13.3,13.3,13.0,13.1,138416.0
KPCL,2025-03-12,13.6,13.6,13.2,13.3,306236.0
KPCL,2025-03-11,13.8,13.8,13.5,13.5,143068.0
KPCL,2025-03-10,13.8,13.9,13.5,13.6,119449.0
KPCL,2025-03-09,14.1,14.2,13.6,13.8,260166.0
KPCL,2025-03-06,13.9,14.3,13.9,14.1,204702.0
KPCL,2025-03-05,13.8,14.0,13.7,13.9,163243.0
KPCL,2025-03-04,13.8,14.1,13.6,13.7,145506.0
KPCL,2025-03-03,14.0,14.0,13.7,13.8,161110.0
KPCL,2025-03-02,14.4,14.4,13.8,14.0,236402.0
KPCL,2025-02-27,14.3,14.5,14.1,14.3,122521.0
KPCL,2025-02-26,14.7,14.7,14.1,14.3,194324.0
KPCL,2025-02-25,14.8,14.8,14.3,14.4,103196.0
KPCL,2025-02-24,15.0,15.0,14.3,14.6,293407.0
KPCL,2025-02-23,14.6,14.9,14.4,14.8,379269.0
KPCL,2025-02-20,14.8,14.8,14.3,14.5,114377.0
KPCL,2025-02-19,14.7,14.8,14.5,14.5,180754.0
KPCL,2025-02-18,15.0,15.5,14.6,14.7,348674.0
KPCL,2025-02-17,14.8,15.0,14.6,15.0,249443.0
KPCL,2025-02-16,15.0,15.1,14.6,14.7,322433.0
KPCL,2025-02-13,15.3,15.4,14.9,14.9,539982.0
KPCL,2025-02-12,15.4,15.5,15.0,15.3,413909.0
KPCL,2025-02-11,15.7,16.2,15.5,15.6,1257773.0
KPCL,2025-02-10,14.2,15.2,13.9,15.2,1487631.0
KPCL,2025-02-09,14.4,14.4,13.8,13.9,337640.0
KPCL,2025-02-06,14.4,14.8,14.3,14.4,842764.0
KPCL,2025-02-05,14.5,14.9,14.4,14.4,623956.0
KPCL,2025-02-04,13.8,14.7,13.6,14.3,1862819.0
KPCL,2025-02-03,13.2,13.6,13.1,13.5,475059.0
KPCL,2025-02-02,13.4,13.4,12.8,12.9,367059.0
KPCL,2025-01-30,14.2,14.2,13.0,13.2,586003.0
KPCL,2025-01-29,14.6,14.6,13.4,13.6,1541238.0
KPCL,2025-01-28,12.6,13.3,12.6,13.3,363813.0
KPCL,2025-01-27,12.3,12.3,12.0,12.1,133203.0
KPCL,2025-01-26,12.2,12.4,12.2,12.2,66455.0
KPCL,2025-01-23,12.1,12.4,12.0,12.2,148814.0
KPCL,2025-01-22,12.2,12.5,12.0,12.1,244470.0
KPCL,2025-01-21,12.2,12.6,12.2,12.3,189073.0
KPCL,2025-01-20,12.4,12.5,12.3,12.5,128415.0
KPCL,2025-01-19,12.4,12.6,12.3,12.3,43585.0
KPCL,2025-01-16,12.6,12.6,12.4,12.5,122679.0
KPCL,2025-01-15,12.5,12.7,12.4,12.4,92787.0
KPCL,2025-01-14,12.5,12.7,12.4,12.4,144666.0
KPCL,2025-01-13,12.5,12.7,12.4,12.4,77670.0
KPCL,2025-01-12,12.9,12.9,12.5,12.5,82060.0
KPCL,2025-01-09,12.8,12.9,12.6,12.6,107453.0
KPCL,2025-01-08,13.1,13.1,12.7,12.8,121456.0
KPCL,2025-01-07,12.8,13.1,12.8,12.9,177327.0
KPCL,2025-01-06,12.7,12.8,12.6,12.8,54162.0
KPCL,2025-01-05,12.5,13.0,12.5,12.7,117810.0
KPCL,2025-01-02,12.9,12.9,12.5,12.6,195709.0
KPCL,2025-01-01,13.0,13.1,12.8,12.8,99476.0
KPCL,2024-12-30,13.2,13.4,12.9,13.1,272447.0
KPCL,2024-12-29,13.4,13.7,13.2,13.3,262437.0
KPCL,2024-12-26,12.6,13.3,12.6,13.2,323701.0
KPCL,2024-12-24,12.2,12.7,12.2,12.5,214188.0
KPCL,2024-12-23,12.2,12.3,12.1,12.2,70804.0
KPCL,2024-12-22,12.4,12.6,12.0,12.1,220934.0
KPCL,2024-12-19,12.7,12.7,12.4,12.5,165718.0
KPCL,2024-12-18,12.8,12.8,12.5,12.5,107706.0
KPCL,2024-12-17,12.9,12.9,12.4,12.5,225301.0
KPCL,2024-12-15,12.6,12.7,12.5,12.5,48849.0
