Trading_Code,Date,Open,High,Low,Close,Volume
KTL,2025-04-08,13.0,13.4,12.8,12.9,1557177.0
KTL,2025-04-07,13.5,13.7,12.8,12.9,1904295.0
KTL,2025-04-06,13.9,13.9,13.2,13.4,1960304.0
KTL,2025-03-27,13.9,14.3,13.6,14.2,1148238.0
KTL,2025-03-25,14.1,14.2,13.7,13.7,1752356.0
KTL,2025-03-24,14.2,14.5,13.9,14.1,1285103.0
KTL,2025-03-23,14.6,14.6,14.0,14.1,1623161.0
KTL,2025-03-20,14.9,15.2,14.4,14.5,3743026.0
KTL,2025-03-19,15.4,15.4,14.8,15.1,3503739.0
KTL,2025-03-18,14.6,15.5,14.2,15.2,5482498.0
KTL,2025-03-17,15.1,15.1,14.3,14.5,3914956.0
KTL,2025-03-16,14.0,15.1,13.8,14.9,5594601.0
KTL,2025-03-13,13.9,14.3,13.6,14.0,4009873.0
KTL,2025-03-12,12.8,13.8,12.7,13.8,5341902.0
KTL,2025-03-11,12.7,12.7,12.3,12.6,1267250.0
KTL,2025-03-10,12.7,12.8,12.3,12.5,766832.0
KTL,2025-03-09,13.0,13.0,12.5,12.6,1214276.0
KTL,2025-03-06,12.5,13.0,12.4,12.8,1040790.0
KTL,2025-03-05,12.4,12.7,12.3,12.5,899912.0
KTL,2025-03-04,13.0,13.0,12.3,12.4,1942091.0
KTL,2025-03-03,13.4,13.4,12.8,12.9,1656382.0
KTL,2025-03-02,13.6,13.7,13.1,13.2,2057161.0
KTL,2025-02-27,13.4,14.1,13.3,13.5,5377541.0
KTL,2025-02-26,13.3,13.6,13.1,13.3,3725058.0
KTL,2025-02-25,13.8,14.1,13.1,13.3,4057248.0
KTL,2025-02-24,12.5,13.4,12.5,13.4,7230835.0
KTL,2025-02-23,12.2,12.5,11.8,12.2,2518683.0
KTL,2025-02-20,11.6,12.2,11.6,12.1,1828646.0
KTL,2025-02-19,11.8,11.9,11.6,11.7,1478406.0
KTL,2025-02-18,12.4,12.6,11.8,11.8,2323615.0
KTL,2025-02-17,11.8,12.3,11.6,12.2,2307600.0
KTL,2025-02-16,12.2,12.2,11.5,11.6,2576805.0
KTL,2025-02-13,12.5,12.8,12.1,12.2,3573975.0
KTL,2025-02-12,11.7,12.4,11.6,12.1,3303470.0
KTL,2025-02-11,11.9,12.7,11.8,11.9,4772149.0
KTL,2025-02-10,10.7,11.7,10.7,11.7,4758609.0
KTL,2025-02-09,11.2,11.5,10.6,10.7,2789768.0
KTL,2025-02-06,10.5,11.3,10.5,11.2,4462605.0
KTL,2025-02-05,9.4,10.3,9.4,10.3,3265693.0
KTL,2025-02-04,9.6,9.7,9.3,9.4,668719.0
KTL,2025-02-03,9.4,9.7,9.4,9.6,1362104.0
KTL,2025-02-02,9.3,9.4,9.2,9.3,892558.0
KTL,2025-01-30,9.2,9.2,8.9,9.0,478260.0
KTL,2025-01-29,9.2,9.3,9.1,9.1,383481.0
KTL,2025-01-28,9.2,9.4,9.1,9.2,496170.0
KTL,2025-01-27,9.2,9.3,9.1,9.2,318573.0
KTL,2025-01-26,9.2,9.4,9.1,9.2,331031.0
KTL,2025-01-23,9.3,9.5,9.1,9.2,606477.0
KTL,2025-01-22,9.4,9.5,9.1,9.2,362034.0
KTL,2025-01-21,9.7,9.7,9.3,9.4,1055728.0
KTL,2025-01-20,9.6,9.8,9.2,9.4,838483.0
KTL,2025-01-19,9.5,9.7,9.2,9.5,879255.0
KTL,2025-01-16,9.5,9.8,9.3,9.4,1013577.0
KTL,2025-01-15,9.1,9.9,9.1,9.5,1815518.0
KTL,2025-01-14,9.0,9.4,9.0,9.1,717884.0
KTL,2025-01-13,8.9,9.2,8.9,9.0,363318.0
KTL,2025-01-12,9.0,9.2,8.8,8.8,531394.0
KTL,2025-01-09,9.3,9.3,8.9,9.0,358490.0
KTL,2025-01-08,9.0,9.4,9.0,9.2,541534.0
KTL,2025-01-07,9.0,9.4,9.0,9.1,541566.0
KTL,2025-01-06,8.9,9.1,8.9,8.9,264497.0
KTL,2025-01-05,8.8,9.1,8.7,9.0,232488.0
KTL,2025-01-02,8.9,9.0,8.8,8.8,370401.0
KTL,2025-01-01,9.0,9.1,8.9,8.9,194324.0
KTL,2024-12-30,9.2,9.2,8.9,9.0,293103.0
KTL,2024-12-29,9.1,9.3,9.0,9.1,299779.0
KTL,2024-12-26,9.1,9.1,8.9,9.0,180374.0
KTL,2024-12-24,8.8,9.1,8.7,9.0,411222.0
KTL,2024-12-23,9.0,9.1,8.9,8.9,166248.0
KTL,2024-12-22,9.3,9.3,8.9,9.0,367322.0
KTL,2024-12-19,9.2,9.3,9.0,9.2,228510.0
KTL,2024-12-18,9.4,9.4,9.0,9.1,362922.0
KTL,2024-12-17,9.4,9.5,9.1,9.2,389565.0
KTL,2024-12-15,9.3,9.5,9.2,9.2,283502.0
KTL,2024-12-12,9.4,9.5,9.2,9.3,446500.0
KTL,2024-12-11,9.8,9.9,9.3,9.4,603742.0
KTL,2024-12-10,9.5,9.9,9.3,9.7,1413741.0
KTL,2024-12-09,9.2,9.5,9.2,9.4,603948.0
KTL,2024-12-08,9.0,9.4,9.0,9.2,324845.0
KTL,2024-12-05,9.3,9.6,9.1,9.2,758729.0
KTL,2024-12-04,9.7,9.8,9.2,9.3,711714.0
KTL,2024-12-03,9.6,9.8,9.5,9.7,1043039.0
KTL,2024-12-02,9.3,9.8,9.2,9.5,1448849.0
KTL,2024-12-01,9.0,9.3,8.8,9.2,437236.0
KTL,2024-11-28,9.0,9.3,8.9,9.0,622353.0
KTL,2024-11-27,8.8,9.3,8.7,9.1,547190.0
KTL,2024-11-26,8.6,8.9,8.6,8.8,239871.0
KTL,2024-11-25,8.8,9.0,8.7,8.7,246313.0
KTL,2024-11-24,8.9,9.1,8.8,8.9,252412.0
KTL,2024-11-21,9.1,9.2,8.9,8.9,304240.0
KTL,2024-11-20,9.1,9.2,9.0,9.1,246938.0
KTL,2024-11-19,9.2,9.3,8.9,9.0,468921.0
KTL,2024-11-18,9.4,9.6,9.2,9.2,650631.0
KTL,2024-11-17,9.4,9.7,9.4,9.4,490868.0
KTL,2024-11-14,9.5,9.7,9.3,9.4,542953.0
KTL,2024-11-13,9.4,9.7,9.2,9.4,421526.0
KTL,2024-11-12,9.8,10.1,9.5,9.5,763919.0
KTL,2024-11-11,10.0,10.1,9.7,9.8,795632.0
KTL,2024-11-10,9.8,10.0,9.6,9.9,1243857.0
KTL,2024-11-07,9.7,9.8,9.5,9.6,684398.0
KTL,2024-11-06,9.9,10.1,9.6,9.7,946943.0
KTL,2024-11-05,10.0,10.4,9.8,9.9,1476070.0
KTL,2024-11-04,9.6,9.9,9.4,9.8,840269.0
KTL,2024-11-03,9.8,9.8,9.3,9.4,784611.0
KTL,2024-10-31,9.9,10.0,9.6,9.7,1028670.0
KTL,2024-10-30,9.2,9.8,9.2,9.7,1142070.0
KTL,2024-10-29,8.9,9.3,8.9,9.2,314532.0
KTL,2024-10-28,9.3,9.4,8.6,8.9,886669.0
KTL,2024-10-27,9.7,9.7,9.0,9.0,690632.0
KTL,2024-10-24,9.6,9.7,9.3,9.6,320453.0
KTL,2024-10-23,9.4,10.1,9.4,9.7,1534766.0
KTL,2024-10-22,0.0,0.0,0.0,9.2,0.0
KTL,2024-10-21,9.6,9.6,9.1,9.2,624443.0
KTL,2024-10-20,10.5,10.5,9.4,9.5,736464.0
KTL,2024-10-17,10.6,10.8,10.2,10.3,483026.0
KTL,2024-10-16,10.8,11.1,10.6,10.6,850762.0
KTL,2024-10-15,11.0,11.0,10.6,10.7,651344.0
KTL,2024-10-14,11.2,11.4,10.9,11.0,881654.0
KTL,2024-10-09,10.9,11.2,10.8,11.1,821403.0
KTL,2024-10-08,10.9,11.1,10.7,10.8,643313.0
KTL,2024-10-07,11.0,11.2,10.6,10.7,1090612.0
KTL,2024-10-06,11.0,11.5,10.9,11.0,1481867.0
KTL,2024-10-03,10.1,11.0,10.0,10.8,1196039.0
KTL,2024-10-02,11.1,11.1,10.1,10.2,1440347.0
KTL,2024-10-01,12.1,12.1,11.1,11.2,1651994.0
KTL,2024-09-30,11.4,12.4,11.4,12.0,1439131.0
KTL,2024-09-29,12.6,12.9,11.0,11.6,4020711.0
KTL,2024-09-26,14.4,14.7,13.3,13.9,2163108.0
KTL,2024-09-25,15.9,16.2,14.6,14.7,3258727.0
KTL,2024-09-24,16.4,16.6,15.8,15.9,3342060.0
KTL,2024-09-23,16.2,17.1,15.7,16.5,5914666.0
KTL,2024-09-22,14.6,15.7,14.5,15.7,3897740.0
KTL,2024-09-19,14.3,14.5,14.2,14.3,628493.0
KTL,2024-09-18,14.5,14.5,14.1,14.1,641627.0
KTL,2024-09-17,14.7,14.8,14.2,14.4,634005.0
KTL,2024-09-15,14.5,14.8,14.4,14.6,673841.0
KTL,2024-09-12,14.6,14.8,14.3,14.4,703612.0
KTL,2024-09-11,14.6,15.0,14.5,14.6,939830.0
KTL,2024-09-10,14.6,14.6,14.2,14.5,511531.0
KTL,2024-09-09,14.2,14.7,14.0,14.3,896788.0
KTL,2024-09-08,14.6,14.7,14.0,14.2,606573.0
KTL,2024-09-05,14.7,14.8,14.3,14.4,627146.0
KTL,2024-09-04,14.8,15.1,14.5,14.6,417955.0
KTL,2024-09-03,15.3,15.3,14.7,14.8,789534.0
KTL,2024-09-02,15.9,16.0,15.1,15.2,1668439.0
KTL,2024-09-01,15.1,15.8,15.1,15.7,1440940.0
KTL,2024-08-29,14.4,15.2,14.4,15.1,1217443.0
KTL,2024-08-28,14.8,14.8,14.5,14.5,651926.0
KTL,2024-08-27,14.1,15.0,14.0,14.5,1037210.0
KTL,2024-08-25,14.5,14.5,13.9,14.1,528613.0
KTL,2024-08-22,14.0,14.7,14.0,14.3,749654.0
KTL,2024-08-21,14.7,14.9,14.4,14.4,543158.0
KTL,2024-08-20,15.4,15.4,14.7,14.8,926424.0
KTL,2024-08-19,15.5,15.6,15.0,15.0,1495947.0
KTL,2024-08-18,16.2,16.2,15.4,15.4,1287754.0
KTL,2024-08-15,15.7,16.4,15.3,15.8,2728382.0
KTL,2024-08-14,16.4,16.5,15.5,15.5,1312287.0
KTL,2024-08-13,14.8,16.4,14.6,15.9,3994507.0
KTL,2024-08-12,16.0,16.0,14.7,15.0,969661.0
KTL,2024-08-11,15.7,16.5,15.0,15.1,2284628.0
KTL,2024-08-08,14.9,15.6,14.1,15.4,1356374.0
KTL,2024-08-07,14.3,14.8,13.6,14.5,1468074.0
KTL,2024-08-06,14.6,14.7,13.6,14.0,1594871.0
KTL,2024-08-04,13.4,13.4,13.4,13.4,35548.0
KTL,2024-08-01,13.8,14.0,13.4,13.8,453246.0
KTL,2024-07-31,13.5,13.8,13.5,13.6,1132852.0
KTL,2024-07-30,14.0,14.0,13.9,13.9,37784.0
KTL,2024-07-29,14.5,14.6,14.3,14.3,247830.0
KTL,2024-07-28,15.1,15.3,14.7,14.7,475617.0
KTL,2024-07-25,14.4,15.3,14.4,15.1,550684.0
KTL,2024-07-24,14.8,14.8,14.8,14.8,76460.0
KTL,2024-07-18,15.2,15.3,15.2,15.2,392539.0
KTL,2024-07-16,16.0,16.1,15.5,15.6,832216.0
KTL,2024-07-15,15.7,16.4,15.4,15.9,1780862.0
KTL,2024-07-14,15.5,15.9,15.4,15.5,1360150.0
KTL,2024-07-11,16.0,16.4,15.8,15.8,1582521.0
KTL,2024-07-10,16.7,17.0,16.2,16.2,3077992.0
KTL,2024-07-09,15.2,16.6,15.2,16.6,4111124.0
KTL,2024-07-08,14.1,15.2,14.1,15.1,3138863.0
KTL,2024-07-07,13.9,14.1,13.5,13.9,1167777.0
KTL,2024-07-04,13.2,14.0,13.2,13.8,1327525.0
KTL,2024-07-03,13.0,13.3,13.0,13.2,660716.0
KTL,2024-07-02,12.6,13.2,12.5,13.0,497651.0
KTL,2024-06-30,12.7,12.9,12.6,12.7,353663.0
KTL,2024-06-27,13.1,13.2,12.9,12.9,340423.0
KTL,2024-06-26,12.9,13.1,12.7,12.9,272938.0
KTL,2024-06-25,13.2,13.3,12.9,12.9,363804.0
KTL,2024-06-24,12.9,13.3,12.6,13.2,722638.0
KTL,2024-06-23,13.1,13.2,12.9,12.9,427791.0
KTL,2024-06-20,13.3,13.3,12.9,13.0,298785.0
KTL,2024-06-19,13.1,13.2,12.8,13.0,243253.0
KTL,2024-06-13,13.0,13.2,12.8,13.1,268904.0
KTL,2024-06-12,13.1,13.3,12.9,12.9,200721.0
KTL,2024-06-11,13.1,13.4,12.8,13.0,471311.0
KTL,2024-06-10,13.3,13.6,13.1,13.1,371783.0
KTL,2024-06-09,14.0,14.1,13.5,13.5,577659.0
KTL,2024-06-06,13.7,14.0,13.6,13.9,599265.0
KTL,2024-06-05,14.3,14.4,14.0,14.0,520747.0
KTL,2024-06-04,14.4,14.8,14.3,14.4,1014093.0
KTL,2024-06-03,13.7,14.4,13.5,14.2,922709.0
KTL,2024-06-02,13.9,14.3,13.7,13.8,728090.0
KTL,2024-05-30,13.3,13.9,13.0,13.7,800836.0
KTL,2024-05-29,13.2,13.6,13.2,13.3,362341.0
KTL,2024-05-28,14.1,14.5,13.5,13.6,531352.0
KTL,2024-05-27,13.6,14.0,13.3,13.9,440007.0
KTL,2024-05-26,13.7,14.5,13.3,13.4,414790.0
KTL,2024-05-23,14.0,14.2,13.7,13.7,350061.0
KTL,2024-05-21,14.5,14.9,14.0,14.1,714459.0
KTL,2024-05-20,14.2,14.4,14.0,14.3,650484.0
KTL,2024-05-19,14.8,14.8,14.4,14.4,187374.0
KTL,2024-05-16,14.9,15.3,14.6,14.8,708584.0
KTL,2024-05-15,15.3,15.5,15.0,15.0,859371.0
KTL,2024-05-14,15.9,16.1,15.4,15.4,1564243.0
KTL,2024-05-13,15.5,16.5,15.5,15.7,1403025.0
KTL,2024-05-12,15.6,15.8,15.3,15.5,1329716.0
KTL,2024-05-09,15.5,16.0,15.4,15.5,953976.0
KTL,2024-05-08,15.7,16.0,15.4,15.5,1139424.0
KTL,2024-05-07,15.8,16.6,15.4,15.7,1754059.0
KTL,2024-05-06,15.1,16.0,15.0,15.7,1428036.0
KTL,2024-05-05,14.4,15.4,14.4,15.0,1062803.0
KTL,2024-05-02,14.6,14.8,14.1,14.3,672675.0
KTL,2024-04-30,14.3,14.8,14.2,14.3,986404.0
KTL,2024-04-29,15.0,15.3,14.6,14.6,712789.0
KTL,2024-04-28,14.1,15.4,13.7,15.0,1049702.0
KTL,2024-04-25,14.6,14.6,14.1,14.1,370275.0
KTL,2024-04-24,15.4,15.5,14.5,14.5,1119043.0
KTL,2024-04-23,16.0,16.0,15.1,15.2,775967.0
KTL,2024-04-22,15.9,16.1,15.8,15.9,538913.0
KTL,2024-04-21,16.1,16.1,15.5,15.6,736631.0
KTL,2024-04-18,16.7,16.7,15.9,16.0,1083883.0
KTL,2024-04-17,17.0,17.2,16.6,16.7,853472.0
KTL,2024-04-16,17.0,17.3,16.4,16.8,720296.0
KTL,2024-04-15,17.5,17.5,16.5,16.6,956566.0
KTL,2024-04-09,18.0,18.3,17.2,17.4,1123813.0
KTL,2024-04-08,18.0,18.5,17.8,18.1,1228338.0
KTL,2024-04-04,16.6,18.0,16.3,17.7,2272734.0
KTL,2024-04-03,16.1,16.5,15.8,16.4,657738.0
KTL,2024-04-02,15.9,15.9,15.2,15.7,449106.0
KTL,2024-04-01,16.6,16.7,15.5,15.9,722485.0
KTL,2024-03-31,16.4,16.7,16.1,16.5,538304.0
KTL,2024-03-28,16.0,16.3,14.8,15.9,832648.0
KTL,2024-03-27,16.8,17.1,15.5,15.7,1058780.0
KTL,2024-03-25,17.2,17.4,16.7,16.8,527290.0
KTL,2024-03-24,18.2,18.2,17.0,17.1,1251480.0
KTL,2024-03-21,18.3,18.5,17.8,17.9,1424418.0
KTL,2024-03-20,17.4,18.3,17.2,18.0,1142688.0
KTL,2024-03-19,17.6,17.7,16.8,17.0,1373625.0
KTL,2024-03-18,18.8,19.0,17.3,17.6,1726456.0
KTL,2024-03-14,19.5,20.0,18.6,18.7,1887751.0
KTL,2024-03-13,18.7,19.6,18.2,19.1,2159321.0
KTL,2024-03-12,20.5,20.5,18.4,18.5,2209932.0
KTL,2024-03-11,19.6,20.7,19.6,20.3,3691467.0
KTL,2024-03-10,18.4,19.5,18.4,19.2,2174403.0
KTL,2024-03-07,19.3,19.4,17.9,18.1,2361244.0
KTL,2024-03-06,19.4,19.9,19.0,19.1,2402993.0
KTL,2024-03-05,19.8,20.8,19.1,19.3,2770900.0
KTL,2024-03-04,21.8,21.8,19.7,19.9,6065883.0
