Trading_Code,Date,Open,High,Low,Close,Volume
LHB,2025-04-08,45.4,45.5,45.0,45.1,799600.0
LHB,2025-04-07,45.5,45.8,44.7,45.2,629974.0
LHB,2025-04-06,45.5,46.5,44.9,45.5,441412.0
LHB,2025-03-27,45.5,45.7,45.4,45.6,314051.0
LHB,2025-03-25,45.8,45.8,45.4,45.5,491303.0
LHB,2025-03-24,45.7,46.0,45.5,45.7,410868.0
LHB,2025-03-23,46.0,46.3,45.7,45.8,308148.0
LHB,2025-03-20,46.2,46.9,45.3,45.7,401215.0
LHB,2025-03-19,47.5,47.8,46.2,46.6,272856.0
LHB,2025-03-18,47.8,47.8,47.2,47.4,298724.0
LHB,2025-03-17,48.0,48.0,47.6,47.7,146694.0
LHB,2025-03-16,48.1,48.5,47.6,47.8,433833.0
LHB,2025-03-13,49.0,49.0,48.2,48.4,399343.0
LHB,2025-03-12,49.3,49.3,48.8,48.9,183323.0
LHB,2025-03-11,49.8,49.8,48.9,49.0,190535.0
LHB,2025-03-10,48.5,50.0,48.5,49.3,278401.0
LHB,2025-03-09,49.7,49.7,48.8,48.9,172408.0
LHB,2025-03-06,49.9,50.3,49.1,49.4,140420.0
LHB,2025-03-05,49.8,49.8,49.0,49.6,154125.0
LHB,2025-03-04,50.0,50.1,49.7,49.8,157276.0
LHB,2025-03-03,49.9,50.2,49.7,50.0,491660.0
LHB,2025-03-02,50.3,50.3,49.7,49.9,107613.0
LHB,2025-02-27,49.9,50.3,49.9,50.1,529862.0
LHB,2025-02-26,50.0,50.2,49.9,50.0,204513.0
LHB,2025-02-25,50.1,50.4,49.9,50.0,230591.0
LHB,2025-02-24,50.2,50.2,50.0,50.1,150004.0
LHB,2025-02-23,50.1,50.3,49.7,50.0,293760.0
LHB,2025-02-20,50.2,50.6,50.0,50.2,195550.0
LHB,2025-02-19,50.3,50.5,50.0,50.2,210376.0
LHB,2025-02-18,50.0,50.7,50.0,50.2,256744.0
LHB,2025-02-17,49.6,50.0,49.4,49.7,175358.0
LHB,2025-02-16,49.1,49.7,49.1,49.3,225070.0
LHB,2025-02-13,49.3,49.5,48.8,49.4,221880.0
LHB,2025-02-12,49.4,49.4,49.0,49.1,113656.0
LHB,2025-02-11,49.1,49.7,49.0,49.2,199309.0
LHB,2025-02-10,49.8,49.8,49.0,49.2,299722.0
LHB,2025-02-09,49.2,49.7,48.8,49.6,190930.0
