Trading_Code,Date,Open,High,Low,Close,Volume
LHBL,2024-10-08,57.2,57.9,56.5,57.5,245113.0
LHBL,2024-10-07,57.9,57.9,56.5,57.1,92427.0
LHBL,2024-10-06,59.9,60.0,55.8,56.6,1657509.0
LHBL,2024-10-03,59.9,60.0,58.3,59.7,97526.0
LHBL,2024-10-02,60.7,60.7,58.8,59.2,293803.0
LHBL,2024-10-01,61.2,62.0,61.0,61.1,137559.0
LHBL,2024-09-30,62.1,62.5,61.5,61.7,136450.0
LHBL,2024-09-29,61.7,62.7,61.5,62.1,274378.0
LHBL,2024-09-26,61.5,62.0,60.7,61.6,260723.0
LHBL,2024-09-25,62.7,62.7,61.7,61.8,300759.0
LHBL,2024-09-24,62.7,63.4,62.0,62.3,211351.0
LHBL,2024-09-23,63.2,63.5,62.5,62.7,356793.0
LHBL,2024-09-22,64.6,64.6,63.3,63.5,172880.0
LHBL,2024-09-19,63.9,65.0,63.6,64.6,145620.0
LHBL,2024-09-18,63.3,64.1,63.1,63.9,135377.0
LHBL,2024-09-17,64.1,64.4,63.0,63.3,272716.0
LHBL,2024-09-15,64.9,65.2,63.9,64.1,264400.0
LHBL,2024-09-12,65.0,65.0,64.6,64.8,324671.0
LHBL,2024-09-11,65.7,65.7,64.5,64.9,396302.0
LHBL,2024-09-10,65.9,65.9,64.0,65.1,467565.0
LHBL,2024-09-09,65.1,65.7,64.8,65.0,407780.0
LHBL,2024-09-08,64.9,66.1,64.9,65.4,497770.0
LHBL,2024-09-05,65.0,65.5,64.6,64.9,347831.0
LHBL,2024-09-04,65.1,66.3,65.0,65.3,280601.0
LHBL,2024-09-03,66.4,66.4,64.6,66.0,495373.0
LHBL,2024-09-02,66.2,67.4,66.0,66.4,895634.0
LHBL,2024-09-01,67.1,67.6,66.4,67.4,709709.0
LHBL,2024-08-29,65.2,67.0,64.8,66.7,1158866.0
LHBL,2024-08-28,64.4,65.4,64.2,65.1,592226.0
LHBL,2024-08-27,63.9,64.5,62.9,64.2,718066.0
LHBL,2024-08-25,63.7,64.1,63.0,63.4,590321.0
LHBL,2024-08-22,60.8,64.4,60.6,63.6,497211.0
LHBL,2024-08-21,64.5,64.5,62.3,62.4,590230.0
LHBL,2024-08-20,65.0,66.0,64.0,64.2,362396.0
LHBL,2024-08-19,64.7,66.0,64.0,65.0,624582.0
LHBL,2024-08-18,65.6,66.8,64.7,64.7,605380.0
LHBL,2024-08-15,67.9,67.9,65.2,66.6,823808.0
LHBL,2024-08-14,65.9,67.5,64.5,67.2,1294833.0
LHBL,2024-08-13,64.9,66.3,63.5,65.3,678469.0
LHBL,2024-08-12,66.5,66.5,64.6,64.9,960331.0
LHBL,2024-08-11,69.0,71.0,65.8,66.5,2711350.0
LHBL,2024-08-08,66.0,69.0,62.6,67.8,2616275.0
LHBL,2024-08-07,59.4,64.7,58.0,64.2,1621744.0
LHBL,2024-08-06,60.9,60.9,57.9,58.9,1115984.0
LHBL,2024-08-04,56.2,56.2,55.4,55.4,311666.0
LHBL,2024-08-01,55.5,57.9,55.5,57.1,231022.0
LHBL,2024-07-31,55.3,56.0,55.3,55.5,456536.0
LHBL,2024-07-30,56.5,56.5,54.9,55.3,312733.0
LHBL,2024-07-29,57.4,57.5,55.6,55.9,726502.0
LHBL,2024-07-28,58.9,58.9,56.8,57.2,704943.0
LHBL,2024-07-25,56.7,59.0,56.7,58.5,956079.0
LHBL,2024-07-24,58.4,58.4,58.4,58.4,115157.0
LHBL,2024-07-18,60.3,61.5,60.2,60.2,103303.0
LHBL,2024-07-16,61.9,62.4,61.7,62.0,382544.0
LHBL,2024-07-15,62.0,62.6,61.6,61.9,229913.0
LHBL,2024-07-14,62.5,62.5,61.7,61.9,333930.0
LHBL,2024-07-11,63.5,63.5,62.1,62.3,545546.0
LHBL,2024-07-10,63.5,63.9,62.6,62.9,476675.0
LHBL,2024-07-09,62.9,63.6,62.9,63.2,278604.0
LHBL,2024-07-08,63.7,64.4,62.6,62.9,567539.0
LHBL,2024-07-07,63.5,64.4,63.5,64.1,554462.0
LHBL,2024-07-04,62.4,63.8,61.9,63.5,607736.0
LHBL,2024-07-03,61.3,62.6,61.3,62.0,176018.0
LHBL,2024-07-02,61.8,62.3,61.4,61.9,349060.0
LHBL,2024-06-30,62.0,63.3,61.5,62.3,612664.0
LHBL,2024-06-27,63.2,63.8,62.9,63.4,668450.0
LHBL,2024-06-26,61.6,63.2,61.2,62.9,1303876.0
LHBL,2024-06-25,61.0,61.8,61.0,61.5,927514.0
LHBL,2024-06-24,60.9,61.6,60.3,60.9,855057.0
LHBL,2024-06-23,60.2,61.0,59.6,60.4,799150.0
LHBL,2024-06-20,60.0,60.7,59.5,59.9,437769.0
LHBL,2024-06-19,58.9,59.9,58.5,59.3,677474.0
LHBL,2024-06-13,58.8,59.4,58.1,59.0,324941.0
LHBL,2024-06-12,57.9,58.7,57.9,58.4,245123.0
LHBL,2024-06-11,58.0,59.5,57.6,57.8,434171.0
LHBL,2024-06-10,58.6,58.6,57.9,58.0,352672.0
LHBL,2024-06-09,59.8,59.8,58.5,58.7,553970.0
LHBL,2024-06-06,58.7,59.9,58.1,59.6,435774.0
LHBL,2024-06-05,59.0,59.3,58.4,58.9,278583.0
LHBL,2024-06-04,58.2,59.4,57.9,59.0,320517.0
LHBL,2024-06-03,58.3,58.3,57.6,57.9,175239.0
LHBL,2024-06-02,58.7,58.7,58.0,58.1,128091.0
LHBL,2024-05-30,58.9,58.9,57.6,58.6,143093.0
LHBL,2024-05-29,58.9,59.2,57.7,57.9,205812.0
LHBL,2024-05-28,59.8,59.9,58.5,58.8,203536.0
LHBL,2024-05-27,58.4,59.7,58.2,59.0,339645.0
LHBL,2024-05-26,59.1,59.1,57.3,58.0,478726.0
LHBL,2024-05-23,59.9,60.1,58.5,58.6,980938.0
LHBL,2024-05-21,61.3,61.7,59.5,59.7,448725.0
LHBL,2024-05-20,60.1,61.4,59.3,60.2,589993.0
LHBL,2024-05-19,62.0,62.0,60.6,60.8,468349.0
LHBL,2024-05-16,62.1,62.7,61.8,62.4,316473.0
LHBL,2024-05-15,63.4,63.4,61.5,61.8,1100535.0
LHBL,2024-05-14,64.7,65.2,63.1,63.4,1150686.0
LHBL,2024-05-13,65.9,65.9,65.0,65.0,462853.0
LHBL,2024-05-12,65.8,66.2,64.7,65.4,720015.0
LHBL,2024-05-09,65.3,66.0,65.3,65.8,604344.0
