Trading_Code,Date,Open,High,Low,Close,Volume
LIBRAINFU,2025-04-08,802.8,822.8,794.1,819.4,19540.0
LIBRAINFU,2025-04-07,810.0,810.1,790.0,793.3,5076.0
LIBRAINFU,2025-04-06,789.0,809.9,783.0,804.3,5640.0
LIBRAINFU,2025-03-27,805.0,805.0,791.0,793.4,2636.0
LIBRAINFU,2025-03-25,804.9,810.0,800.0,801.6,4286.0
LIBRAINFU,2025-03-24,798.9,800.9,784.0,799.3,5244.0
LIBRAINFU,2025-03-23,791.0,800.0,776.0,789.6,4718.0
LIBRAINFU,2025-03-20,799.6,799.6,783.1,790.0,972.0
LIBRAINFU,2025-03-19,788.0,791.1,778.0,789.3,3051.0
LIBRAINFU,2025-03-18,783.2,794.9,772.3,775.0,8600.0
LIBRAINFU,2025-03-17,780.2,788.0,773.1,782.1,2807.0
LIBRAINFU,2025-03-16,799.5,799.5,778.0,779.7,6248.0
LIBRAINFU,2025-03-13,799.7,804.8,786.2,787.7,5498.0
LIBRAINFU,2025-03-12,800.1,810.0,780.0,791.8,7504.0
LIBRAINFU,2025-03-11,802.7,804.0,793.1,795.4,4757.0
LIBRAINFU,2025-03-10,806.0,809.0,799.0,801.4,5028.0
LIBRAINFU,2025-03-09,808.0,815.0,795.5,799.9,5379.0
LIBRAINFU,2025-03-06,815.9,825.6,808.0,818.3,2730.0
LIBRAINFU,2025-03-05,830.0,830.0,802.0,806.0,8419.0
LIBRAINFU,2025-03-04,800.0,843.0,799.9,822.8,15723.0
LIBRAINFU,2025-03-03,793.0,800.0,790.1,794.3,2748.0
LIBRAINFU,2025-03-02,793.0,800.0,789.6,790.0,3831.0
LIBRAINFU,2025-02-27,791.0,797.4,784.0,790.5,4385.0
LIBRAINFU,2025-02-26,795.0,803.0,786.0,787.4,5413.0
LIBRAINFU,2025-02-25,809.9,815.0,793.6,794.6,3455.0
LIBRAINFU,2025-02-24,781.9,809.8,781.9,806.7,4127.0
LIBRAINFU,2025-02-23,802.0,802.0,780.0,781.4,5448.0
LIBRAINFU,2025-02-20,792.0,807.0,786.8,789.0,6041.0
LIBRAINFU,2025-02-19,805.0,808.0,795.0,796.6,9628.0
LIBRAINFU,2025-02-18,815.0,820.0,798.6,801.8,10076.0
LIBRAINFU,2025-02-17,817.0,817.0,806.0,807.6,10435.0
LIBRAINFU,2025-02-16,839.9,839.9,810.0,811.3,7541.0
LIBRAINFU,2025-02-13,818.2,832.0,818.2,822.6,3692.0
LIBRAINFU,2025-02-12,840.4,845.0,817.0,817.9,7780.0
LIBRAINFU,2025-02-11,825.0,843.4,825.0,838.2,6088.0
LIBRAINFU,2025-02-10,823.5,832.0,819.4,823.3,6295.0
LIBRAINFU,2025-02-09,811.2,820.0,811.0,818.2,3888.0
LIBRAINFU,2025-02-06,815.0,818.3,807.0,813.1,5107.0
LIBRAINFU,2025-02-05,823.9,823.9,806.1,809.6,7211.0
LIBRAINFU,2025-02-04,828.0,832.2,813.0,816.5,5116.0
LIBRAINFU,2025-02-03,838.0,845.0,820.0,828.8,7544.0
LIBRAINFU,2025-02-02,827.5,835.0,815.0,832.3,7174.0
LIBRAINFU,2025-01-30,810.0,828.8,810.0,824.0,4658.0
LIBRAINFU,2025-01-29,834.9,835.0,810.0,817.2,9943.0
LIBRAINFU,2025-01-28,867.0,867.0,810.0,820.3,26537.0
LIBRAINFU,2025-01-27,868.9,879.2,860.4,866.9,7884.0
LIBRAINFU,2025-01-26,880.0,885.0,860.0,861.1,6670.0
LIBRAINFU,2025-01-23,881.9,885.0,874.0,878.5,4583.0
LIBRAINFU,2025-01-22,880.0,893.7,874.0,876.4,8263.0
